League,Team,Link
Premier League,Arsenal,https://fbref.com/en/squads/18bb7c10/Arsenal-Stats
Premier League,Aston Villa,https://fbref.com/en/squads/8602292d/Aston-Villa-Stats
Premier League,Bournemouth,https://fbref.com/en/squads/4ba7cbea/Bournemouth-Stats
Premier League,Brentford,https://fbref.com/en/squads/cd051869/Brentford-Stats
Premier League,Brighton,https://fbref.com/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
Premier League,Chelsea,https://fbref.com/en/squads/cff3d9bb/Chelsea-Stats
Premier League,Crystal Palace,https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats
Premier League,Everton,https://fbref.com/en/squads/d3fd31cc/Everton-Stats
Premier League,Fulham,https://fbref.com/en/squads/fd962109/Fulham-Stats
Premier League,Ipswich Town,https://fbref.com/en/squads/b74092de/Ipswich-Town-Stats
Premier League,Leicester City,https://fbref.com/en/squads/a2d435b3/Leicester-City-Stats
Premier League,Liverpool,https://fbref.com/en/squads/822bd0ba/Liverpool-Stats
Premier League,Manchester City   ,https://fbref.com/en/squads/b8fd03ef/Manchester-City-Stats
Premier League,Manchester United,https://fbref.com/en/squads/19538871/Manchester-United-Stats
Premier League,Newcastle United,https://fbref.com/en/squads/b2b47a98/Newcastle-United-Stats
Premier League,Nottingham Forest,https://fbref.com/en/squads/e4a775cb/Nottingham-Forest-Stats
Premier League,Southampton,https://fbref.com/en/squads/33c895d4/Southampton-Stats
Premier League,Tottenham Hotspur,https://fbref.com/en/squads/361ca564/Tottenham-Hotspur-Stats
Premier League,West Ham United,https://fbref.com/en/squads/7c21e445/West-Ham-United-Stats
Premier League,Wolverhampton Wanderers   ,https://fbref.com/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
La Liga,Alavés,https://fbref.com/en/squads/8d6fd021/Alaves-Stats
La Liga,Leganés,https://fbref.com/en/squads/7c6f2c78/Leganes-Stats
La Liga,Athletic Bilbao,https://fbref.com/en/squads/2b390eca/Athletic-Club-Stats
La Liga,Atlético Madrid,https://fbref.com/en/squads/db3b9613/Atletico-Madrid-Stats
La Liga,Barcelona,https://fbref.com/en/squads/206d90db/Barcelona-Stats
La Liga,Espanyol,https://fbref.com/en/squads/a8661628/Espanyol-Stats
La Liga,Celta Vigo,https://fbref.com/en/squads/f25da7fb/Celta-Vigo-Stats
La Liga,Getafe,https://fbref.com/en/squads/7848bd64/Getafe-Stats
La Liga,Girona,https://fbref.com/en/squads/9024a00a/Girona-Stats
La Liga,Valladolid,https://fbref.com/en/squads/17859612/Valladolid-Stats
La Liga,Mallorca,https://fbref.com/en/squads/2aa12281/Mallorca-Stats
La Liga,Osasuna,https://fbref.com/en/squads/03c57e2b/Osasuna-Stats
La Liga,Rayo Vallecano,https://fbref.com/en/squads/98e8af82/Rayo-Vallecano-Stats
La Liga,Real Betis,https://fbref.com/en/squads/fc536746/Real-Betis-Stats
La Liga,Real Madrid,https://fbref.com/en/squads/53a2f082/Real-Madrid-Stats
La Liga,Real Sociedad,https://fbref.com/en/squads/e31d1cd9/Real-Sociedad-Stats
La Liga,Sevilla,https://fbref.com/en/squads/ad2be733/Sevilla-Stats
La Liga,Valencia,https://fbref.com/en/squads/dcc91a7b/Valencia-Stats
La Liga,Villarreal,https://fbref.com/en/squads/2a8183b3/Villarreal-Stats
La Liga,UD Las Palmas,https://fbref.com/en/squads/0049d422/Las-Palmas-Stats
Serie A,AC Milan,https://fbref.com/en/squads/dc56fe14/Milan-Stats
Serie A,Atalanta,https://fbref.com/en/squads/922493f3/Atalanta-Stats
Serie A,Bologna,https://fbref.com/en/squads/1d8099f8/Bologna-Stats
Serie A,Cagliari,https://fbref.com/en/squads/c4260e09/Cagliari-Stats
Serie A,Como,https://fbref.com/en/squads/28c9c3cd/Como-Stats
Serie A,Empoli,https://fbref.com/en/squads/a3d88bd8/Empoli-Stats
Serie A,Fiorentina,https://fbref.com/en/squads/421387cf/Fiorentina-Stats
Serie A,Genoa,https://fbref.com/en/squads/658bf2de/Genoa-Stats
Serie A,Hellas Verona,https://fbref.com/en/squads/0e72edf2/Hellas-Verona-Stats
Serie A,Inter Milan,https://fbref.com/en/squads/d609edc0/Internazionale-Stats
Serie A,Juventus,https://fbref.com/en/squads/e0652b02/Juventus-Stats
Serie A,Lazio,https://fbref.com/en/squads/7213da33/Lazio-Stats
Serie A,Lecce,https://fbref.com/en/squads/ffcbe334/Lecce-Stats
Serie A,Monza,https://fbref.com/en/squads/21680aa4/Monza-Stats
Serie A,Napoli,https://fbref.com/en/squads/d48ad4ff/Napoli-Stats
Serie A,Parma,https://fbref.com/en/squads/eab4234c/Parma-Stats
Serie A,Roma,https://fbref.com/en/squads/cf74a709/Roma-Stats
Serie A,Torino,https://fbref.com/en/squads/105360fe/Torino-Stats
Serie A,Udinese,https://fbref.com/en/squads/04eea015/Udinese-Stats
Serie A,Venezia,https://fbref.com/en/squads/af5d5982/Venezia-Stats
Bundesliga,Bayer Leverkusen,https://fbref.com/en/squads/c7a9f859/Bayer-Leverkusen-Stats
Bundesliga,VfB Stuttgart,https://fbref.com/en/squads/598bc722/Stuttgart-Stats
Bundesliga,FC Bayern Munich,https://fbref.com/en/squads/054efa67/Bayern-Munich-Stats
Bundesliga,RB Leipzig,https://fbref.com/en/squads/acbb6a5b/RB-Leipzig-Stats
Bundesliga,Borussia Dortmund,https://fbref.com/en/squads/add600ae/Dortmund-Stats
Bundesliga,Eintracht Frankfurt,https://fbref.com/en/squads/f0ac8ee6/Eintracht-Frankfurt-Stats
Bundesliga,TSG Hoffenheim,https://fbref.com/en/squads/18d9d2a7/Heidenheim-Stats
Bundesliga,FC Heidenheim 1846,https://fbref.com/en/squads/033ea6b8/Hoffenheim-Stats
Bundesliga,SV Werder Bremen,https://fbref.com/en/squads/62add3bf/Werder-Bremen-Stats
Bundesliga,SC Freiburg,https://fbref.com/en/squads/a486e511/Freiburg-Stats
Bundesliga,FC Augsburg,https://fbref.com/en/squads/0cdc4311/Augsburg-Stats
Bundesliga,VfL Wolfsburg,https://fbref.com/en/squads/4eaa11d7/Wolfsburg-Stats
Bundesliga,FSV Mainz 05,https://fbref.com/en/squads/a224b06a/Mainz-05-Stats
Bundesliga,Borussia Mönchengladbach,https://fbref.com/en/squads/32f3ee20/Monchengladbach-Stats
Bundesliga,FC Union Berlin,https://fbref.com/en/squads/7a41008f/Union-Berlin-Stats
Bundesliga,VfL Bochum 1848,https://fbref.com/en/squads/b42c6323/Bochum-Stats
Bundesliga,FC St. Pauli,https://fbref.com/en/squads/54864664/St-Pauli-Stats
Bundesliga,Holstein Kiel,https://fbref.com/en/squads/2ac661d9/Holstein-Kiel-Stats
