Season,Age,Squad,Country,Comp,LgRank,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Player,Position
2015-2016,20,Lille,fr FRA,1. Ligue 1,5th,3.2,3,,,,,,,,,,,,,,,,,,,,,,,,,Mike Maignan,GK
2016-2017,21,Lille,fr FRA,1. Ligue 1,11th,6.3,7,0,,,,,,,,,,,,,,,,,,,,,,,,Mike Maignan,GK
2017-2018,22,Lille,fr FRA,1. Ligue 1,17th,33.7,53,3,1,2,2,46.6,0.27,-4.4,-0.13,140,348,40.2,868,196,23.2,29.5,286,51.4,44.8,439,32,7.3,51,1.51,16.1,Mike Maignan,GK
2018-2019,23,Lille,fr FRA,1. Ligue 1,2nd,38.0,33,6,1,4,0,39.0,0.25,+6.0,+0.16,177,557,31.8,840,189,42.0,36.2,273,74.7,53.5,497,29,5.8,44,1.16,16.5,Mike Maignan,GK
2019-2020,24,Lille,fr FRA,1. Ligue 1,4th,28.0,27,4,1,1,3,25.0,0.25,+1.0,+0.04,130,390,33.3,563,137,44.0,37.2,200,71.0,52.4,323,11,3.4,24,0.86,17.0,Mike Maignan,GK
2020-2021,25,Lille,fr FRA,1. Ligue 1,1st,38.0,23,1,0,7,2,28.8,0.25,+7.8,+0.21,123,393,31.3,826,194,30.3,31.6,240,59.6,48.7,490,27,5.5,44,1.16,17.2,Mike Maignan,GK
2021-2022,26,Milan,it ITA,1. Serie A,1st,32.0,21,2,0,4,1,24.3,0.22,+4.3,+0.13,157,374,42.0,1004,164,31.5,33.0,149,38.9,36.5,347,25,7.2,45,1.41,16.8,Mike Maignan,GK
2022-2023,27,Milan,it ITA,1. Serie A,4th,22.0,21,2,1,2,0,20.3,0.28,-0.7,-0.03,76,193,39.4,725,119,22.8,29.8,85,32.9,35.1,221,15,6.8,32,1.46,17.8,Mike Maignan,GK
2023-2024,28,Milan,it ITA,1. Serie A,2nd,29.0,34,7,2,3,0,29.8,0.19,-4.2,-0.14,119,284,41.9,1070,188,21.1,28.2,147,39.5,38.0,339,37,10.9,36,1.24,15.2,Mike Maignan,GK
2024-2025,29,Milan,it ITA,1. Serie A,8th,17.0,17,0,0,2,1,14.1,0.23,-1.9,-0.11,52,136,38.2,642,72,16.7,27.0,69,42.0,42.0,207,13,6.3,28,1.65,17.2,Mike Maignan,GK
2022-2023,17,Saint-Étienne,fr FRA,2. Ligue 2,8th,0.3,3,0,0,1,0,1.3,0.33,-1.7,-6.55,2,7,28.6,2,1,50.0,31.0,6,100.0,59.0,7,0,0.0,0,0.00,,Noah Raveyre,GK
2013-2014,21,Atalanta,it ITA,1. Serie A,11th,3.0,3,,,,,,,,,,,,,,,,,,,,,,,,,Marco Sportiello,GK
2014-2015,22,Atalanta,it ITA,1. Serie A,17th,37.0,55,,,,,,,,,,,,,,,,,,,,,,,,,Marco Sportiello,GK
2015-2016,23,Atalanta,it ITA,1. Serie A,13th,36.0,43,,,,,,,,,,,,,,,,,,,,,,,,,Marco Sportiello,GK
2016-2017,24,Atalanta,it ITA,1. Serie A,4th,8.0,14,1,,,,,,,,,,,,,,,,,,,,,,,,Marco Sportiello,GK
2016-2017,24,Fiorentina,it ITA,1. Serie A,8th,2.0,4,1,,,,,,,,,,,,,,,,,,,,,,,,Marco Sportiello,GK
2017-2018,25,Fiorentina,it ITA,1. Serie A,8th,35.6,38,2,2,4,0,36.7,0.26,-1.3,-0.04,152,376,40.4,773,202,32.3,32.1,270,46.7,38.7,508,31,6.1,23,0.65,12.1,Marco Sportiello,GK
2018-2019,26,Frosinone,it ITA,1. Serie A,19th,35.0,64,5,2,8,1,54.7,0.25,-8.3,-0.24,178,532,33.5,882,222,36.4,34.8,341,61.9,47.5,584,20,3.4,21,0.60,13.8,Marco Sportiello,GK
2019-2020,27,Atalanta,it ITA,1. Serie A,3rd,5.8,5,0,0,0,0,4.8,0.26,-0.2,-0.04,9,28,32.1,124,32,12.1,26.9,26,50.0,38.8,52,3,5.8,10,1.71,19.7,Marco Sportiello,GK
2020-2021,28,Atalanta,it ITA,1. Serie A,3rd,14.0,21,1,0,2,0,17.3,0.33,-3.7,-0.26,40,91,44.0,318,74,17.9,28.3,57,59.6,43.6,143,8,5.6,27,1.93,16.3,Marco Sportiello,GK
2021-2022,29,Atalanta,it ITA,1. Serie A,8th,5.0,5,2,0,1,0,5.6,0.20,+0.6,+0.12,8,33,24.2,107,33,14.0,26.0,28,64.3,47.0,45,1,2.2,4,0.80,13.9,Marco Sportiello,GK
2022-2023,30,Atalanta,it ITA,1. Serie A,5th,14.9,21,1,1,2,0,19.6,0.29,-1.4,-0.10,52,148,35.1,346,85,20.5,28.8,116,66.4,49.7,200,18,9.0,18,1.21,15.0,Marco Sportiello,GK
2023-2024,31,Milan,it ITA,1. Serie A,2nd,7.0,11,1,0,0,1,8.9,0.25,-1.1,-0.15,20,51,39.2,230,40,20.4,26.9,17,23.5,29.1,81,5,6.2,9,1.29,15.4,Marco Sportiello,GK
