Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2015-2016,20,Lille,fr FRA,1. Ligue 1,5th,3.2,,,,,,,,,,,,,,,,,Mike Maignan,GK
2016-2017,21,Lille,fr FRA,1. Ligue 1,11th,6.3,,0,,,,,,,,,,,0,,,,Mike Maignan,GK
2017-2018,22,Lille,fr FRA,1. Ligue 1,17th,33.7,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,8,6,Mike Maignan,GK
2018-2019,23,Lille,fr FRA,1. Ligue 1,2nd,38.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,12,1,Mike Maignan,GK
2019-2020,24,Lille,fr FRA,1. Ligue 1,4th,28.0,0,0,0,0,0,0,0,,0,0,0,0,2,2,5,0,Mike Maignan,GK
2020-2021,25,Lille,fr FRA,1. Ligue 1,1st,38.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,2,Mike Maignan,GK
2021-2022,26,Milan,it ITA,1. Serie A,1st,32.0,2,1,2,0,0,2,2,100.0,0,0,0,0,1,3,4,2,Mike Maignan,GK
2022-2023,27,Milan,it ITA,1. Serie A,4th,22.0,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,10,1,Mike Maignan,GK
2023-2024,28,Milan,it ITA,1. Serie A,2nd,29.0,1,0,1,0,0,1,1,100.0,0,1,0,1,1,2,4,3,Mike Maignan,GK
2024-2025,29,Milan,it ITA,1. Serie A,8th,17.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,8,1,Mike Maignan,GK
2018-2019,19,Strasbourg,fr FRA,1. Ligue 1,11th,10.1,28,20,5,20,3,9,27,33.3,18,7,0,7,11,39,8,0,Youssouf Fofana,MF
2019-2020,20,Strasbourg,fr FRA,1. Ligue 1,10th,11.2,25,17,10,12,3,13,30,43.3,17,11,0,11,14,39,7,0,Youssouf Fofana,MF
2019-2020,20,Monaco,fr FRA,1. Ligue 1,9th,6.8,16,9,6,10,0,8,15,53.3,7,12,2,10,8,24,9,0,Youssouf Fofana,MF
2020-2021,21,Monaco,fr FRA,1. Ligue 1,3rd,31.9,90,51,31,51,8,42,82,51.2,40,43,7,36,34,124,14,2,Youssouf Fofana,MF
2021-2022,22,Monaco,fr FRA,1. Ligue 1,3rd,24.3,69,43,19,41,9,29,56,51.8,27,29,7,22,32,101,22,2,Youssouf Fofana,MF
2022-2023,23,Monaco,fr FRA,1. Ligue 1,6th,34.3,81,41,31,42,8,38,74,51.4,36,50,6,44,56,137,32,1,Youssouf Fofana,MF
2023-2024,24,Monaco,fr FRA,1. Ligue 1,2nd,30.0,61,39,19,36,6,30,66,45.5,36,35,7,28,37,98,31,1,Youssouf Fofana,MF
2024-2025,25,Milan,it ITA,1. Serie A,8th,14.6,26,16,5,19,2,14,26,53.8,12,16,4,12,10,36,15,2,Youssouf Fofana,MF
2017-2018,19,Zwolle,nl NED,1. Eredivisie,9th,0.0,,0,,,,,,,,,,,0,,,,Tijjani Reijnders,MF
2017-2018,19,Jong AZ,nl NED,2. Eerste Divisie,16th,29.3,,0,,,,,,,,,,,0,,,,Tijjani Reijnders,MF
2018-2019,20,Jong AZ,nl NED,2. Eerste Divisie,18th,35.8,,,,,,,,,,,,,,,,,Tijjani Reijnders,MF
