Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Player,Position
2015-2016,20,Lille,fr FRA,1. Ligue 1,5th,4,3,289,3.2,3,0.93,13,10,76.9,1,0,2,1,33.3,,,,,,Mike Maignan,GK
2016-2017,21,Lille,fr FRA,1. Ligue 1,11th,7,6,566,6.3,7,1.11,28,21,75.0,3,0,3,3,50.0,0,0,0,0,,Mike Maignan,GK
2017-2018,22,Lille,fr FRA,1. Ligue 1,17th,34,34,3032,33.7,53,1.57,160,107,68.8,10,7,17,5,14.7,5,3,2,0,40.0,Mike Maignan,GK
2018-2019,23,Lille,fr FRA,1. Ligue 1,2nd,38,38,3420,38.0,33,0.87,125,90,78.4,22,9,7,15,39.5,10,6,2,2,25.0,Mike Maignan,GK
2019-2020,24,Lille,fr FRA,1. Ligue 1,4th,28,28,2520,28.0,27,0.96,83,58,72.3,15,4,9,12,42.9,6,4,1,1,20.0,Mike Maignan,GK
2020-2021,25,Lille,fr FRA,1. Ligue 1,1st,38,38,3420,38.0,23,0.61,107,85,79.4,24,11,3,21,55.3,2,1,1,0,50.0,Mike Maignan,GK
2021-2022,26,Milan,it ITA,1. Serie A,1st,32,32,2880,32.0,21,0.66,101,81,81.2,22,7,3,17,53.1,2,2,0,0,0.0,Mike Maignan,GK
2022-2023,27,Milan,it ITA,1. Serie A,4th,22,22,1978,22.0,21,0.96,62,40,69.4,11,7,4,8,36.4,3,2,1,0,33.3,Mike Maignan,GK
2023-2024,28,Milan,it ITA,1. Serie A,2nd,29,29,2609,29.0,34,1.17,120,86,77.5,19,5,5,10,34.5,7,7,0,0,0.0,Mike Maignan,GK
2024-2025,29,Milan,it ITA,1. Serie A,8th,17,17,1530,17.0,17,1.00,57,40,70.2,7,6,4,8,47.1,1,0,1,0,100.0,Mike Maignan,GK
2022-2023,17,Saint-Étienne,fr FRA,2. Ligue 2,8th,1,0,23,0.3,3,11.74,4,1,25.0,0,0,0,0,,0,0,0,0,,Noah Raveyre,GK
2013-2014,21,Atalanta,it ITA,1. Serie A,11th,3,3,270,3.0,3,1.00,16,13,81.3,2,0,1,1,33.3,,,,,,Marco Sportiello,GK
2014-2015,22,Atalanta,it ITA,1. Serie A,17th,37,37,3330,37.0,55,1.49,152,97,63.8,7,10,20,8,21.6,,,,,,Marco Sportiello,GK
2015-2016,23,Atalanta,it ITA,1. Serie A,13th,36,36,3240,36.0,43,1.19,144,101,70.1,10,12,14,11,30.6,,,,,,Marco Sportiello,GK
2016-2017,24,Atalanta,it ITA,1. Serie A,4th,8,8,720,8.0,14,1.75,33,19,60.6,3,2,3,2,25.0,1,1,0,0,0.0,Marco Sportiello,GK
2016-2017,24,Fiorentina,it ITA,1. Serie A,8th,2,2,180,2.0,4,2.00,6,2,50.0,1,0,1,0,0.0,1,1,0,0,0.0,Marco Sportiello,GK
2017-2018,25,Fiorentina,it ITA,1. Serie A,8th,37,37,3202,35.6,38,1.07,131,92,72.5,16,9,12,14,37.8,3,2,1,0,33.3,Marco Sportiello,GK
2018-2019,26,Frosinone,it ITA,1. Serie A,19th,35,35,3150,35.0,64,1.83,201,138,70.6,5,9,21,8,22.9,5,5,0,0,0.0,Marco Sportiello,GK
2019-2020,27,Atalanta,it ITA,1. Serie A,3rd,6,5,525,5.8,5,0.86,18,13,72.2,4,0,1,2,40.0,0,0,0,0,,Marco Sportiello,GK
2020-2021,28,Atalanta,it ITA,1. Serie A,3rd,15,13,1261,14.0,21,1.50,47,25,57.4,9,1,3,2,15.4,2,1,1,0,50.0,Marco Sportiello,GK
2021-2022,29,Atalanta,it ITA,1. Serie A,8th,5,5,450,5.0,5,1.00,18,13,83.3,0,3,2,2,40.0,2,2,0,0,0.0,Marco Sportiello,GK
2022-2023,30,Atalanta,it ITA,1. Serie A,5th,15,14,1339,14.9,21,1.41,64,43,68.8,6,3,5,2,14.3,1,1,0,0,0.0,Marco Sportiello,GK
2023-2024,31,Milan,it ITA,1. Serie A,2nd,7,7,630,7.0,11,1.57,33,23,69.7,3,3,1,2,28.6,1,1,0,0,0.0,Marco Sportiello,GK
