Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2015-2016,20,Lille,fr FRA,1. Ligue 1,5th,3.2,,,,,,,,,,,,,,,,,Mike Maignan,GK
2016-2017,21,Lille,fr FRA,1. Ligue 1,11th,6.3,,,,,,,,,,,,,,,,,Mike Maignan,GK
2017-2018,22,Lille,fr FRA,1. Ligue 1,17th,33.7,5,0.15,3,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Mike Maignan,GK
2018-2019,23,Lille,fr FRA,1. Ligue 1,2nd,38.0,4,0.11,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Mike Maignan,GK
2019-2020,24,Lille,fr FRA,1. Ligue 1,4th,28.0,5,0.18,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Mike Maignan,GK
2020-2021,25,Lille,fr FRA,1. Ligue 1,1st,38.0,5,0.13,4,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Mike Maignan,GK
2021-2022,26,Milan,it ITA,1. Serie A,1st,32.0,9,0.28,6,3,0,0,0,0,1,0.03,1,0,0,0,0,0,Mike Maignan,GK
2022-2023,27,Milan,it ITA,1. Serie A,4th,22.0,3,0.14,3,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Mike Maignan,GK
2023-2024,28,Milan,it ITA,1. Serie A,2nd,29.0,8,0.28,7,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Mike Maignan,GK
2024-2025,29,Milan,it ITA,1. Serie A,8th,17.0,3,0.18,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Mike Maignan,GK
2018-2019,19,Strasbourg,fr FRA,1. Ligue 1,11th,10.1,17,1.68,11,0,4,0,2,0,2,0.20,2,0,0,0,0,0,Youssouf Fofana,MF
2019-2020,20,Strasbourg,fr FRA,1. Ligue 1,10th,11.2,20,1.79,16,0,3,0,0,1,0,0.00,0,0,0,0,0,0,Youssouf Fofana,MF
2019-2020,20,Monaco,fr FRA,1. Ligue 1,9th,6.8,16,2.36,10,0,1,1,4,0,2,0.30,2,0,0,0,0,0,Youssouf Fofana,MF
2020-2021,21,Monaco,fr FRA,1. Ligue 1,3rd,31.9,69,2.16,51,7,4,2,3,2,9,0.28,6,1,1,0,1,0,Youssouf Fofana,MF
2021-2022,22,Monaco,fr FRA,1. Ligue 1,3rd,24.3,53,2.18,43,0,4,1,2,3,8,0.33,7,0,1,0,0,0,Youssouf Fofana,MF
2022-2023,23,Monaco,fr FRA,1. Ligue 1,6th,34.3,78,2.27,68,0,6,0,2,2,11,0.32,9,0,0,0,1,1,Youssouf Fofana,MF
2023-2024,24,Monaco,fr FRA,1. Ligue 1,2nd,30.0,100,3.34,79,3,2,11,2,3,10,0.33,6,0,0,4,0,0,Youssouf Fofana,MF
2024-2025,25,Milan,it ITA,1. Serie A,8th,14.6,31,2.12,30,0,0,0,0,1,4,0.27,4,0,0,0,0,0,Youssouf Fofana,MF
2017-2018,19,Zwolle,nl NED,1. Eredivisie,9th,0.0,,,,,,,,,,,,,,,,,Tijjani Reijnders,MF
2017-2018,19,Jong AZ,nl NED,2. Eerste Divisie,16th,29.3,,,,,,,,,,,,,,,,,Tijjani Reijnders,MF
2018-2019,20,Jong AZ,nl NED,2. Eerste Divisie,18th,35.8,,,,,,,,,,,,,,,,,Tijjani Reijnders,MF
2019-2020,21,RKC Waalwijk,nl NED,1. Eredivisie,18th,6.1,17,2.81,14,0,1,1,0,1,1,0.17,0,0,0,1,0,0,Tijjani Reijnders,MF
2019-2020,21,AZ Alkmaar,nl NED,1. Eredivisie,2nd,0.5,2,4.39,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Tijjani Reijnders,MF
2019-2020,21,Jong AZ,nl NED,2. Eerste Divisie,14th,16.0,,,,,,,,,,,,,,,,,Tijjani Reijnders,MF
2020-2021,22,Jong AZ,nl NED,2. Eerste Divisie,17th,7.5,,,,,,,,,,,,,,,,,Tijjani Reijnders,MF
