Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,AvgDist,Player,Position,Score
2024-12-29,Sun,Matchweek 18,Home,D,Milan,Roma,Y,GK,90,5,1,4,80.0,0,1.0,0,0,0,0,3,8,37.5,24.0,2.0,25.0,31.5,4,50.0,45.0,12,0,0.0,0,5.0,Mike Maignan,GK,1–1
2024-12-20,Fri,Matchweek 17,Away,W,Milan,Hellas Verona,Y*,GK,90,2,0,2,100.0,1,0.4,0,0,0,0,0,5,0.0,45.0,5.0,4.4,25.4,4,75.0,50.8,12,2,16.7,2,15.0,Mike Maignan,GK,1–0
2024-12-15,Sun,Matchweek 16,Home,D,Milan,Genoa,Y,GK,90,0,0,0,,1,0.0,0,0,0,0,1,3,33.3,27.0,2.0,11.1,23.5,2,0.0,14.5,11,2,18.2,0,8.5,Mike Maignan,GK,0–0
2024-12-06,Fri,Matchweek 15,Away,L,Milan,Atalanta,Y,GK,90,8,2,6,75.0,0,2.0,0,0,0,0,3,6,50.0,52.0,2.0,9.6,24.6,3,33.3,45.7,18,0,0.0,1,15.0,Mike Maignan,GK,1–2
2024-11-30,Sat,Matchweek 14,Home,W,Milan,Empoli,Y,GK,90,0,0,0,,1,0.0,0,0,0,0,10,18,55.6,47.0,3.0,36.2,35.1,3,33.3,39.0,11,1,9.1,0,7.0,Mike Maignan,GK,3–0
2024-12-29,Sun,Matchweek 18,Home,D,Milan,Roma,Y,DM,90,0,1,0,0.0,2,0.0,0,0,46,2,0,3,0.2,0.2,0.5,5.0,1.0,31,36.0,86.1,9,29,6.0,2,1.0,Youssouf Fofana,MF,1–1
2024-12-20,Fri,Matchweek 17,Away,W,Milan,Hellas Verona,Y,DM,90,0,1,0,0.0,3,0.0,0,0,57,1,0,1,0.1,0.1,0.2,4.0,1.0,39,50.0,78.0,6,39,2.0,1,1.0,Youssouf Fofana,MF,1–0
2024-12-15,Sun,Matchweek 16,Home,D,Milan,Genoa,Y,DM,90,0,0,0,0.0,1,0.0,0,0,73,2,1,1,0.0,0.0,0.1,3.0,0.0,56,63.0,88.9,12,51,1.0,2,0.0,Youssouf Fofana,MF,0–0
2024-12-06,Fri,Matchweek 15,Away,L,Milan,Atalanta,Y,DM,90,0,0,0,0.0,0,0.0,0,0,49,2,0,1,0.0,0.0,0.0,0.0,0.0,36,43.0,83.7,4,14,0.0,0,0.0,Youssouf Fofana,MF,1–2
2024-11-30,Sat,Matchweek 14,Home,W,Milan,Empoli,Y,DM,74,0,1,0,0.0,1,0.0,0,0,36,3,0,2,0.0,0.0,0.1,3.0,1.0,27,29.0,93.1,5,16,0.0,0,0.0,Youssouf Fofana,MF,3–0
2024-12-29,Sun,Matchweek 18,Home,D,Milan,Roma,Y,"AM,LM",90,1,0,0,0.0,3,3.0,1,0,33,1,2,0,0.4,0.4,0.1,5.0,0.0,18,23.0,78.3,1,18,2.0,0,0.0,Tijjani Reijnders,MF,1–1
2024-12-20,Fri,Matchweek 17,Away,W,Milan,Hellas Verona,Y,AM,90,1,0,0,0.0,2,1.0,0,0,56,0,1,0,0.2,0.2,0.1,2.0,0.0,37,45.0,82.2,5,28,3.0,5,3.0,Tijjani Reijnders,MF,1–0
2024-12-15,Sun,Matchweek 16,Home,D,Milan,Genoa,Y,DM,90,0,0,0,0.0,3,0.0,0,0,70,1,0,0,0.1,0.1,0.4,6.0,0.0,46,58.0,79.3,9,47,5.0,4,3.0,Tijjani Reijnders,MF,0–0
2024-12-06,Fri,Matchweek 15,Away,L,Milan,Atalanta,Y,DM,90,0,0,0,0.0,1,0.0,0,0,43,0,1,2,0.1,0.1,0.0,1.0,0.0,26,34.0,76.5,4,20,2.0,1,1.0,Tijjani Reijnders,MF,1–2
2024-11-30,Sat,Matchweek 14,Home,W,Milan,Empoli,Y,"DM,LM",90,2,0,0,0.0,3,2.0,0,0,51,3,2,0,0.2,0.2,0.0,2.0,0.0,40,43.0,93.0,6,32,2.0,2,1.0,Tijjani Reijnders,MF,3–0
2024-12-29,Sun,Matchweek 18,Home,D,Milan,Roma,Y,RB,90,0,0,0,0.0,2,0.0,0,0,82,1,0,2,0.1,0.1,0.1,4.0,0.0,58,68.0,85.3,12,43,1.0,0,0.0,Emerson,DF,1–1
2024-12-20,Fri,Matchweek 17,Away,W,Milan,Hellas Verona,Y,RB,87,0,0,0,0.0,1,0.0,1,0,74,1,1,2,0.0,0.0,0.0,4.0,0.0,58,63.0,92.1,5,43,1.0,0,0.0,Emerson,DF,1–0
2024-12-15,Sun,Matchweek 16,Home,D,Milan,Genoa,Y,RB,90,0,0,0,0.0,2,2.0,0,0,96,3,1,0,0.1,0.1,0.1,5.0,0.0,72,79.0,91.1,7,63,5.0,1,0.0,Emerson,DF,0–0
2024-12-06,Fri,Matchweek 15,Away,L,Milan,Atalanta,Y,RB,90,0,0,0,0.0,0,0.0,0,0,85,3,3,1,0.0,0.0,0.0,1.0,0.0,63,71.0,88.7,2,30,0.0,2,1.0,Emerson,DF,1–2
2024-11-30,Sat,Matchweek 14,Home,W,Milan,Empoli,Y,RB,90,0,0,0,0.0,2,0.0,0,0,74,1,2,0,0.0,0.0,0.1,4.0,1.0,54,60.0,90.0,6,36,0.0,2,0.0,Emerson,DF,3–0
2024-12-20,Fri,Matchweek 17,Away,W,Milan,Hellas Verona,Y,LW,31,0,0,0,0.0,1,0.0,0,0,22,0,0,0,0.0,0.0,0.0,1.0,0.0,10,15.0,66.7,3,17,1.0,5,2.0,Rafael Leão,FW,1–0
2024-12-15,Sun,Matchweek 16,Home,D,Milan,Genoa,Y*,LW,90,0,0,0,0.0,2,0.0,0,0,48,0,0,2,0.0,0.0,0.2,9.0,0.0,26,30.0,86.7,1,33,6.0,8,3.0,Rafael Leão,FW,0–0
2024-12-06,Fri,Matchweek 15,Away,L,Milan,Atalanta,Y,LW,90,0,1,0,0.0,0,0.0,0,0,29,0,0,0,0.0,0.0,0.4,2.0,1.0,18,27.0,66.7,4,12,2.0,4,3.0,Rafael Leão,FW,1–2
2024-11-30,Sat,Matchweek 14,Home,W,Milan,Empoli,Y,LW,83,0,0,0,0.0,2,1.0,0,0,50,0,0,1,0.1,0.1,0.1,8.0,1.0,28,35.0,80.0,6,37,1.0,6,2.0,Rafael Leão,FW,3–0
2024-11-23,Sat,Matchweek 13,Home,D,Milan,Juventus,Y,LW,90,0,0,0,0.0,0,0.0,1,0,43,1,0,0,0.0,0.0,0.1,2.0,0.0,26,31.0,83.9,2,30,3.0,8,3.0,Rafael Leão,FW,0–0
2024-12-06,Fri,Matchweek 15,Away,L,Milan,Atalanta,Y,AM,37,0,0,0,0.0,1,1.0,0,0,20,1,0,3,0.1,0.1,0.0,0.0,0.0,12,13.0,92.3,2,7,0.0,1,1.0,Christian Pulisic,"MF,FW",1–2
