Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Player,Position
2015-2016,20,Lille,fr FRA,1. Ligue 1,5th,3.2,0,0,,0,,,,,,,,,,,,,Mike Maignan,GK
2016-2017,21,Lille,fr FRA,1. Ligue 1,11th,6.3,0,0,0,0,1,0,0,0,0,0,0,0,,,,,Mike Maignan,GK
2017-2018,22,Lille,fr FRA,1. Ligue 1,17th,33.7,0,1,0,0,9,0,0,0,1,0,0,0,69,12,4,75.0,Mike Maignan,GK
2018-2019,23,Lille,fr FRA,1. Ligue 1,2nd,38.0,1,0,0,0,10,0,0,0,0,0,0,0,44,9,0,100.0,Mike Maignan,GK
2019-2020,24,Lille,fr FRA,1. Ligue 1,4th,28.0,0,0,0,0,6,0,0,2,0,0,0,0,29,2,0,100.0,Mike Maignan,GK
2020-2021,25,Lille,fr FRA,1. Ligue 1,1st,38.0,1,0,0,1,8,0,0,0,0,0,0,0,62,10,1,90.9,Mike Maignan,GK
2021-2022,26,Milan,it ITA,1. Serie A,1st,32.0,1,0,0,0,8,0,0,1,1,0,0,0,51,6,2,75.0,Mike Maignan,GK
2022-2023,27,Milan,it ITA,1. Serie A,4th,22.0,0,0,0,0,3,0,0,1,0,0,0,0,32,3,0,100.0,Mike Maignan,GK
2023-2024,28,Milan,it ITA,1. Serie A,2nd,29.0,1,1,0,1,5,0,0,1,0,0,0,0,38,7,1,87.5,Mike Maignan,GK
2024-2025,29,Milan,it ITA,1. Serie A,8th,17.0,1,0,0,0,1,0,0,0,0,0,0,0,30,1,0,100.0,Mike Maignan,GK
2018-2019,19,Strasbourg,fr FRA,1. Ligue 1,11th,10.1,0,0,0,17,9,0,6,11,20,0,0,0,65,5,7,41.7,Youssouf Fofana,MF
2019-2020,20,Strasbourg,fr FRA,1. Ligue 1,10th,11.2,0,0,0,11,6,2,8,14,17,0,0,0,56,17,8,68.0,Youssouf Fofana,MF
2019-2020,20,Monaco,fr FRA,1. Ligue 1,9th,6.8,1,0,0,12,7,1,6,8,9,0,0,0,49,8,8,50.0,Youssouf Fofana,MF
2020-2021,21,Monaco,fr FRA,1. Ligue 1,3rd,31.9,10,1,1,47,33,0,37,34,51,0,1,0,236,19,17,52.8,Youssouf Fofana,MF
2021-2022,22,Monaco,fr FRA,1. Ligue 1,3rd,24.3,4,0,0,33,25,0,6,32,43,0,1,0,175,14,10,58.3,Youssouf Fofana,MF
2022-2023,23,Monaco,fr FRA,1. Ligue 1,6th,34.3,4,2,1,50,39,2,7,56,41,0,0,1,265,23,19,54.8,Youssouf Fofana,MF
2023-2024,24,Monaco,fr FRA,1. Ligue 1,2nd,30.0,3,0,0,37,33,1,14,37,39,0,1,1,230,17,16,51.5,Youssouf Fofana,MF
2024-2025,25,Milan,it ITA,1. Serie A,8th,14.6,4,0,0,13,13,0,3,10,16,0,0,0,64,6,9,40.0,Youssouf Fofana,MF
2017-2018,19,Zwolle,nl NED,1. Eredivisie,9th,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Tijjani Reijnders,MF
2017-2018,19,Jong AZ,nl NED,2. Eerste Divisie,16th,29.3,3,0,0,26,0,0,0,0,0,0,0,0,,,,,Tijjani Reijnders,MF
2018-2019,20,Jong AZ,nl NED,2. Eerste Divisie,18th,35.8,4,0,0,,,,,,,,,0,,,,,Tijjani Reijnders,MF
2019-2020,21,RKC Waalwijk,nl NED,1. Eredivisie,18th,6.1,1,0,0,3,3,0,6,13,3,0,0,0,40,2,6,25.0,Tijjani Reijnders,MF
2019-2020,21,AZ Alkmaar,nl NED,1. Eredivisie,2nd,0.5,0,0,0,1,0,0,0,0,0,0,0,0,4,3,0,100.0,Tijjani Reijnders,MF
2019-2020,21,Jong AZ,nl NED,2. Eerste Divisie,14th,16.0,2,0,0,16,12,0,27,24,10,,,0,,,,,Tijjani Reijnders,MF
2020-2021,22,Jong AZ,nl NED,2. Eerste Divisie,17th,7.5,1,0,0,10,11,0,8,12,6,,,0,,,,,Tijjani Reijnders,MF
2020-2021,22,AZ Alkmaar,nl NED,1. Eredivisie,3rd,8.2,0,0,0,6,5,1,8,17,6,0,0,0,56,6,6,50.0,Tijjani Reijnders,MF
2021-2022,23,AZ Alkmaar,nl NED,1. Eredivisie,5th,14.5,1,0,0,12,12,0,21,22,16,0,0,0,102,11,17,39.3,Tijjani Reijnders,MF
2022-2023,24,AZ Alkmaar,nl NED,1. Eredivisie,4th,33.8,4,0,0,30,18,0,72,53,21,0,0,0,217,18,35,34.0,Tijjani Reijnders,MF
2023-2024,25,Milan,it ITA,1. Serie A,2nd,31.3,8,0,0,21,20,1,39,18,25,0,0,0,136,8,18,30.8,Tijjani Reijnders,MF
2024-2025,26,Milan,it ITA,1. Serie A,8th,14.1,2,1,0,14,5,0,22,14,4,1,0,0,51,2,8,20.0,Tijjani Reijnders,MF
2018-2019,19,Betis,es ESP,1. La Liga,10th,3.5,1,0,0,5,14,0,8,7,7,0,0,0,12,3,3,50.0,Emerson,DF
2019-2020,20,Betis,es ESP,1. La Liga,15th,31.5,11,0,0,46,95,1,80,31,46,0,0,0,138,63,36,63.6,Emerson,DF
2020-2021,21,Betis,es ESP,1. La Liga,6th,33.2,9,1,0,57,73,3,90,61,52,1,1,1,165,58,35,62.4,Emerson,DF
2021-2022,22,Barcelona,es ESP,1. La Liga,2nd,1.0,0,0,0,3,3,0,2,2,3,0,0,0,2,0,1,0.0,Emerson,DF
2021-2022,22,Tottenham,eng ENG,1. Premier League,4th,25.4,5,0,0,28,45,2,74,22,47,0,0,0,152,33,42,44.0,Emerson,DF
2022-2023,23,Tottenham,eng ENG,1. Premier League,8th,19.3,2,1,0,21,33,0,46,18,33,0,0,0,102,28,27,50.9,Emerson,DF
2023-2024,24,Tottenham,eng ENG,1. Premier League,5th,12.9,4,0,0,14,38,0,14,20,24,0,0,0,82,15,21,41.7,Emerson,DF
2024-2025,25,Milan,it ITA,1. Serie A,8th,13.5,4,0,0,28,29,0,37,13,20,0,0,0,47,24,13,64.9,Emerson,DF
2017-2018,18,Sporting CP,pt POR,1. Primeira Liga,3rd,1.1,0,0,0,0,4,0,1,0,0,0,0,0,,,,,Rafael Leão,FW
2018-2019,19,Lille,fr FRA,1. Ligue 1,2nd,14.3,3,0,0,25,17,3,10,4,2,1,0,0,25,27,56,32.5,Rafael Leão,FW
2019-2020,20,Milan,it ITA,1. Serie A,6th,15.6,0,0,0,16,15,6,37,0,4,1,0,0,42,19,41,31.7,Rafael Leão,FW
2020-2021,21,Milan,it ITA,1. Serie A,2nd,21.4,5,0,0,28,21,4,32,4,6,1,0,0,62,42,59,41.6,Rafael Leão,FW
2021-2022,22,Milan,it ITA,1. Serie A,1st,28.9,4,0,0,25,45,8,63,12,7,2,0,0,99,28,37,43.1,Rafael Leão,FW
2022-2023,23,Milan,it ITA,1. Serie A,4th,26.9,7,1,1,20,30,10,71,15,7,1,0,0,84,29,29,50.0,Rafael Leão,FW
2023-2024,24,Milan,it ITA,1. Serie A,2nd,27.9,5,0,0,27,52,17,108,9,10,2,1,0,78,24,17,58.5,Rafael Leão,FW
2024-2025,25,Milan,it ITA,1. Serie A,8th,11.5,1,0,0,6,21,3,25,4,6,1,0,0,33,10,6,62.5,Rafael Leão,FW
2015-2016,16,Dortmund,de GER,1. Bundesliga,2nd,4.3,1,0,,5,,,,,,,,,,,,,Christian Pulisic,"MF,FW"
2016-2017,17,Dortmund,de GER,1. Bundesliga,3rd,16.9,1,0,0,19,33,3,27,18,20,2,0,0,,,,,Christian Pulisic,"MF,FW"
2017-2018,18,Dortmund,de GER,1. Bundesliga,4th,25.6,1,0,0,16,34,9,75,16,30,1,0,0,97,16,58,21.6,Christian Pulisic,"MF,FW"
2018-2019,19,Dortmund,de GER,1. Bundesliga,2nd,10.4,2,0,0,9,26,7,39,6,6,0,0,0,37,15,29,34.1,Christian Pulisic,"MF,FW"
2019-2020,20,Chelsea,eng ENG,1. Premier League,4th,19.1,0,0,0,14,30,3,35,6,11,2,0,0,79,20,45,30.8,Christian Pulisic,"MF,FW"
2020-2021,21,Chelsea,eng ENG,1. Premier League,4th,19.3,2,0,0,13,33,4,35,12,11,0,0,0,60,19,42,31.1,Christian Pulisic,"MF,FW"
2021-2022,22,Chelsea,eng ENG,1. Premier League,3rd,14.3,2,0,0,15,31,4,14,5,7,0,0,0,53,12,28,30.0,Christian Pulisic,"MF,FW"
2022-2023,23,Chelsea,eng ENG,1. Premier League,12th,9.1,1,0,0,10,15,0,18,4,6,0,0,0,31,5,18,21.7,Christian Pulisic,"MF,FW"
2023-2024,24,Milan,it ITA,1. Serie A,2nd,28.9,2,0,0,19,45,4,101,10,26,1,0,0,100,16,26,38.1,Christian Pulisic,"MF,FW"
2024-2025,25,Milan,it ITA,1. Serie A,8th,10.9,0,0,0,8,15,0,60,0,12,0,0,0,42,3,11,21.4,Christian Pulisic,"MF,FW"
2016-2017,18,Alavés,es ESP,1. La Liga,9th,30.3,12,1,0,26,55,2,85,43,56,1,0,0,,,,,Theo Hernández,DF
2017-2018,19,Real Madrid,es ESP,1. La Liga,3rd,10.7,1,0,0,11,15,1,30,17,15,1,0,0,68,10,4,71.4,Theo Hernández,DF
2018-2019,20,Real Sociedad,es ESP,1. La Liga,9th,22.0,5,1,0,29,70,4,58,33,33,0,0,0,126,22,16,57.9,Theo Hernández,DF
2019-2020,21,Milan,it ITA,1. Serie A,6th,31.3,10,0,0,33,68,8,83,43,39,1,1,1,185,43,22,66.2,Theo Hernández,DF
2020-2021,22,Milan,it ITA,1. Serie A,2nd,32.6,9,0,0,39,81,6,76,34,29,2,0,0,211,50,25,66.7,Theo Hernández,DF
2021-2022,23,Milan,it ITA,1. Serie A,1st,30.1,7,2,1,34,74,8,126,23,35,0,0,0,219,25,14,64.1,Theo Hernández,DF
2022-2023,24,Milan,it ITA,1. Serie A,4th,30.8,7,0,0,22,57,2,92,21,24,0,0,1,190,37,15,71.2,Theo Hernández,DF
2023-2024,25,Milan,it ITA,1. Serie A,2nd,31.0,11,1,0,38,50,2,68,23,17,1,1,0,172,29,18,61.7,Theo Hernández,DF
2024-2025,26,Milan,it ITA,1. Serie A,8th,12.0,2,1,0,6,21,0,45,12,10,0,1,0,55,13,3,81.3,Theo Hernández,DF
2017-2018,15,Schalke U17,de GER,Jr. U17 Bundesliga,10th,18.1,1,0,0,,,,,,,,,1,,,,,Malick Thiaw,DF
2018-2019,16,Schalke U19,de GER,Jr. U19 Bundesliga,6th,24.1,0,0,0,,,,,,,,,0,,,,,Malick Thiaw,DF
2019-2020,17,Schalke U19,de GER,Jr. U19 Bundesliga,16th,18.8,3,0,0,,,,,,,,,0,,,,,Malick Thiaw,DF
2019-2020,17,Schalke 04,de GER,1. Bundesliga,12th,0.8,0,0,0,1,0,0,0,2,0,0,0,0,1,1,5,16.7,Malick Thiaw,DF
2020-2021,18,Schalke 04,de GER,1. Bundesliga,18th,16.1,5,1,1,26,7,2,2,33,27,0,0,1,86,36,33,52.2,Malick Thiaw,DF
2021-2022,19,Schalke 04,de GER,2. 2. Bundesliga,1st,28.3,3,0,0,38,11,2,6,51,46,0,0,0,173,82,55,59.9,Malick Thiaw,DF
2022-2023,20,Schalke 04,de GER,1. Bundesliga,17th,3.0,2,0,0,3,0,0,0,9,1,0,0,0,11,10,5,66.7,Malick Thiaw,DF
2022-2023,20,Milan,it ITA,1. Serie A,4th,15.1,5,0,0,14,7,1,2,12,26,0,0,0,93,52,26,66.7,Malick Thiaw,DF
2023-2024,21,Milan,it ITA,1. Serie A,2nd,18.0,5,1,0,31,7,0,0,13,17,0,1,1,76,37,21,63.8,Malick Thiaw,DF
2024-2025,22,Milan,it ITA,1. Serie A,8th,11.0,0,0,0,12,1,0,2,9,9,0,0,1,32,28,17,62.2,Malick Thiaw,DF
2010-2011,17,Real Madrid,es ESP,1. La Liga,2nd,0.0,0,0,,0,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2011-2012,18,Real Madrid,es ESP,1. La Liga,1st,0.1,0,0,,0,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2012-2013,19,Real Madrid B,es ESP,2. La Liga 2,8th,17.9,6,0,,,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2012-2013,19,Real Madrid,es ESP,1. La Liga,2nd,4.6,3,0,,16,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2013-2014,20,Real Madrid,es ESP,1. La Liga,3rd,6.6,2,0,,13,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2014-2015,21,Juventus,it ITA,1. Serie A,1st,14.8,6,1,,31,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2015-2016,22,Juventus,it ITA,1. Serie A,1st,16.0,6,1,,43,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2016-2017,23,Real Madrid,es ESP,1. La Liga,1st,14.8,8,0,0,31,34,21,18,3,13,0,0,0,,,,,Álvaro Morata,"FW,MF"
2017-2018,24,Chelsea,eng ENG,1. Premier League,5th,22.9,7,0,0,41,44,29,19,6,8,0,0,0,58,54,58,48.2,Álvaro Morata,"FW,MF"
2018-2019,25,Chelsea,eng ENG,1. Premier League,3rd,10.5,3,0,0,19,16,20,3,0,5,0,0,0,18,18,27,40.0,Álvaro Morata,"FW,MF"
2018-2019,25,Atlético Madrid,es ESP,1. La Liga,2nd,12.0,5,0,0,29,19,14,7,5,14,0,0,0,33,58,46,55.8,Álvaro Morata,"FW,MF"
2019-2020,26,Atlético Madrid,es ESP,1. La Liga,3rd,23.3,6,1,1,54,59,37,11,5,8,1,0,0,68,127,98,56.4,Álvaro Morata,"FW,MF"
2020-2021,27,Juventus,it ITA,1. Serie A,4th,22.4,3,1,0,37,44,19,18,5,12,1,0,0,55,33,34,49.3,Álvaro Morata,"FW,MF"
2021-2022,28,Juventus,it ITA,1. Serie A,4th,25.6,5,0,0,48,77,20,20,5,9,2,1,0,88,36,33,52.2,Álvaro Morata,"FW,MF"
2022-2023,29,Atlético Madrid,es ESP,1. La Liga,3rd,21.1,4,0,0,39,56,26,4,0,11,0,0,0,57,53,38,58.2,Álvaro Morata,"FW,MF"
2023-2024,30,Atlético Madrid,es ESP,1. La Liga,4th,21.2,4,1,1,33,35,33,10,1,10,2,0,0,54,44,32,57.9,Álvaro Morata,"FW,MF"
2024-2025,31,Milan,it ITA,1. Serie A,8th,10.1,4,0,0,23,16,7,8,5,6,0,0,0,27,12,18,40.0,Álvaro Morata,"FW,MF"
2019-2020,19,Milan,it ITA,1. Serie A,6th,7.6,1,0,0,11,3,0,0,9,5,0,1,0,40,23,8,74.2,Matteo Gabbia,DF
2020-2021,20,Milan,it ITA,1. Serie A,2nd,6.2,2,0,0,5,5,0,0,3,5,0,0,0,33,17,10,63.0,Matteo Gabbia,DF
2021-2022,21,Milan,it ITA,1. Serie A,1st,6.0,3,0,0,7,2,0,0,8,3,0,0,0,25,13,8,61.9,Matteo Gabbia,DF
2022-2023,22,Milan,it ITA,1. Serie A,4th,6.8,2,0,0,8,1,0,2,5,10,0,0,0,37,15,4,78.9,Matteo Gabbia,DF
