Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2015-2016,20,Lille,fr FRA,1. Ligue 1,5th,3.2,,,,,,,,,,,,,,,,Mike Maignan,GK
2016-2017,21,Lille,fr FRA,1. Ligue 1,11th,6.3,,,,,,,0,,,,,,,,,Mike Maignan,GK
2017-2018,22,Lille,fr FRA,1. Ligue 1,17th,33.7,1155,789,365,79,0,7,0,0,0,0,0,0,909,1,1,Mike Maignan,GK
2018-2019,23,Lille,fr FRA,1. Ligue 1,2nd,38.0,1116,717,396,123,0,1,0,0,0,0,0,0,716,3,0,Mike Maignan,GK
2019-2020,24,Lille,fr FRA,1. Ligue 1,4th,28.0,765,484,279,79,0,1,0,0,0,0,0,0,493,2,1,Mike Maignan,GK
2020-2021,25,Lille,fr FRA,1. Ligue 1,1st,38.0,1071,760,306,66,0,1,0,0,0,0,0,0,779,5,0,Mike Maignan,GK
2021-2022,26,Milan,it ITA,1. Serie A,1st,32.0,1154,940,213,64,0,3,0,0,0,0,0,0,913,1,0,Mike Maignan,GK
2022-2023,27,Milan,it ITA,1. Serie A,4th,22.0,814,698,112,27,0,0,0,0,0,0,0,0,674,4,0,Mike Maignan,GK
2023-2024,28,Milan,it ITA,1. Serie A,2nd,29.0,1228,1027,190,43,0,2,0,0,0,0,0,0,1033,11,2,Mike Maignan,GK
2024-2025,29,Milan,it ITA,1. Serie A,8th,17.0,713,609,102,33,0,1,0,0,0,0,0,0,620,2,0,Mike Maignan,GK
2018-2019,19,Strasbourg,fr FRA,1. Ligue 1,11th,10.1,355,340,12,5,2,3,6,7,0,0,0,0,271,3,8,Youssouf Fofana,MF
2019-2020,20,Strasbourg,fr FRA,1. Ligue 1,10th,11.2,439,438,0,0,1,3,8,0,0,0,0,0,362,1,8,Youssouf Fofana,MF
2019-2020,20,Monaco,fr FRA,1. Ligue 1,9th,6.8,361,354,6,2,2,5,6,4,0,0,0,0,303,1,6,Youssouf Fofana,MF
2020-2021,21,Monaco,fr FRA,1. Ligue 1,3rd,31.9,1703,1643,54,36,3,20,37,2,16,5,10,0,1435,6,14,Youssouf Fofana,MF
2021-2022,22,Monaco,fr FRA,1. Ligue 1,3rd,24.3,1187,1152,23,21,19,16,6,1,1,0,0,0,895,12,20,Youssouf Fofana,MF
2022-2023,23,Monaco,fr FRA,1. Ligue 1,6th,34.3,1738,1683,44,30,11,13,7,3,0,0,0,0,1419,11,21,Youssouf Fofana,MF
2023-2024,24,Monaco,fr FRA,1. Ligue 1,2nd,30.0,1789,1693,83,77,13,4,14,6,0,0,0,0,1453,13,30,Youssouf Fofana,MF
2024-2025,25,Milan,it ITA,1. Serie A,8th,14.6,773,745,27,25,4,4,3,2,0,0,0,0,678,1,5,Youssouf Fofana,MF
2017-2018,19,Zwolle,nl NED,1. Eredivisie,9th,0.0,,,,,,,0,,,,,,,,,Tijjani Reijnders,MF
2017-2018,19,Jong AZ,nl NED,2. Eerste Divisie,16th,29.3,,,,,,,0,,,,,,,,,Tijjani Reijnders,MF
2018-2019,20,Jong AZ,nl NED,2. Eerste Divisie,18th,35.8,,,,,,,,,,,,,,,,Tijjani Reijnders,MF
2019-2020,21,RKC Waalwijk,nl NED,1. Eredivisie,18th,6.1,318,310,7,2,3,2,6,4,1,0,0,1,267,1,7,Tijjani Reijnders,MF
2019-2020,21,AZ Alkmaar,nl NED,1. Eredivisie,2nd,0.5,38,38,0,0,0,0,0,0,0,0,0,0,35,0,0,Tijjani Reijnders,MF
2019-2020,21,Jong AZ,nl NED,2. Eerste Divisie,14th,16.0,,,,,,,27,,,,,,,,,Tijjani Reijnders,MF
2020-2021,22,Jong AZ,nl NED,2. Eerste Divisie,17th,7.5,,,,,,,8,,,,,,,,,Tijjani Reijnders,MF
2020-2021,22,AZ Alkmaar,nl NED,1. Eredivisie,3rd,8.2,464,452,12,5,2,1,8,4,3,1,1,0,392,0,12,Tijjani Reijnders,MF
2021-2022,23,AZ Alkmaar,nl NED,1. Eredivisie,5th,14.5,952,928,24,8,2,2,21,8,8,3,4,0,831,0,14,Tijjani Reijnders,MF
2022-2023,24,AZ Alkmaar,nl NED,1. Eredivisie,4th,33.8,1997,1887,104,49,9,6,72,11,44,13,22,0,1730,6,25,Tijjani Reijnders,MF
2023-2024,25,Milan,it ITA,1. Serie A,2nd,31.3,1746,1669,73,33,7,2,39,14,23,11,7,0,1575,4,22,Tijjani Reijnders,MF
2024-2025,26,Milan,it ITA,1. Serie A,8th,14.1,638,595,41,22,7,1,22,2,16,10,2,0,558,2,4,Tijjani Reijnders,MF
2018-2019,19,Betis,es ESP,1. La Liga,10th,3.5,191,149,41,5,0,0,8,36,0,0,0,0,155,1,6,Emerson,DF
2019-2020,20,Betis,es ESP,1. La Liga,15th,31.5,1615,1300,311,45,3,12,80,266,0,0,0,0,1265,4,54,Emerson,DF
2020-2021,21,Betis,es ESP,1. La Liga,6th,33.2,1936,1573,357,46,0,4,90,311,0,0,0,0,1533,6,52,Emerson,DF
2021-2022,22,Barcelona,es ESP,1. La Liga,2nd,1.0,68,54,14,0,0,0,2,14,0,0,0,0,57,0,3,Emerson,DF
2021-2022,22,Tottenham,eng ENG,1. Premier League,4th,25.4,1450,1194,254,16,1,2,74,238,0,0,0,0,1170,2,47,Emerson,DF
2022-2023,23,Tottenham,eng ENG,1. Premier League,8th,19.3,1060,884,170,23,2,6,46,146,1,0,0,0,848,6,37,Emerson,DF
2023-2024,24,Tottenham,eng ENG,1. Premier League,5th,12.9,1038,915,122,45,1,2,14,75,0,0,0,0,937,1,23,Emerson,DF
2024-2025,25,Milan,it ITA,1. Serie A,8th,13.5,822,716,103,25,0,3,37,78,0,0,0,0,720,3,21,Emerson,DF
2017-2018,18,Sporting CP,pt POR,1. Primeira Liga,3rd,1.1,,,,,,,1,,,,,,,,,Rafael Leão,FW
2018-2019,19,Lille,fr FRA,1. Ligue 1,2nd,14.3,252,228,24,0,1,1,10,1,0,0,0,0,177,0,12,Rafael Leão,FW
2019-2020,20,Milan,it ITA,1. Serie A,6th,15.6,465,457,7,0,0,2,37,3,0,0,0,0,349,1,11,Rafael Leão,FW
2020-2021,21,Milan,it ITA,1. Serie A,2nd,21.4,507,472,29,1,1,2,32,9,0,0,0,0,362,6,12,Rafael Leão,FW
2021-2022,22,Milan,it ITA,1. Serie A,1st,28.9,787,759,21,3,4,9,63,14,2,0,0,0,555,7,38,Rafael Leão,FW
2022-2023,23,Milan,it ITA,1. Serie A,4th,26.9,845,802,39,3,5,17,71,28,7,0,0,0,595,4,29,Rafael Leão,FW
2023-2024,24,Milan,it ITA,1. Serie A,2nd,27.9,1032,984,42,5,7,8,108,25,10,0,0,0,760,6,27,Rafael Leão,FW
2024-2025,25,Milan,it ITA,1. Serie A,8th,11.5,402,385,17,1,6,2,25,9,7,0,0,0,309,0,12,Rafael Leão,FW
2015-2016,16,Dortmund,de GER,1. Bundesliga,2nd,4.3,,,,,,,,,,,,,,,,Christian Pulisic,"MF,FW"
2016-2017,17,Dortmund,de GER,1. Bundesliga,3rd,16.9,,,,,,,27,,,,,,,,,Christian Pulisic,"MF,FW"
2017-2018,18,Dortmund,de GER,1. Bundesliga,4th,25.6,903,862,34,1,0,4,75,29,2,0,0,0,675,7,50,Christian Pulisic,"MF,FW"
2018-2019,19,Dortmund,de GER,1. Bundesliga,2nd,10.4,531,493,34,4,1,0,39,5,25,3,16,1,397,4,25,Christian Pulisic,"MF,FW"
2019-2020,20,Chelsea,eng ENG,1. Premier League,4th,19.1,706,697,7,2,4,1,35,1,4,3,0,0,539,2,23,Christian Pulisic,"MF,FW"
2020-2021,21,Chelsea,eng ENG,1. Premier League,4th,19.3,705,693,11,2,1,1,35,7,1,0,1,0,561,1,16,Christian Pulisic,"MF,FW"
2021-2022,22,Chelsea,eng ENG,1. Premier League,3rd,14.3,464,445,17,0,2,0,14,11,0,0,0,0,362,2,20,Christian Pulisic,"MF,FW"
2022-2023,23,Chelsea,eng ENG,1. Premier League,12th,9.1,301,294,4,0,1,0,18,4,0,0,0,0,238,3,8,Christian Pulisic,"MF,FW"
2023-2024,24,Milan,it ITA,1. Serie A,2nd,28.9,1074,1035,36,3,3,2,101,12,21,5,13,0,832,3,48,Christian Pulisic,"MF,FW"
2024-2025,25,Milan,it ITA,1. Serie A,8th,10.9,445,395,48,12,7,1,60,4,32,25,3,0,345,2,9,Christian Pulisic,"MF,FW"
2016-2017,18,Alavés,es ESP,1. La Liga,9th,30.3,,,,,,,85,,,,,,,,,Theo Hernández,DF
2017-2018,19,Real Madrid,es ESP,1. La Liga,3rd,10.7,642,574,65,7,1,3,30,58,0,0,0,0,541,3,16,Theo Hernández,DF
2018-2019,20,Real Sociedad,es ESP,1. La Liga,9th,22.0,1167,951,213,16,2,12,58,197,0,0,0,0,937,3,34,Theo Hernández,DF
2019-2020,21,Milan,it ITA,1. Serie A,6th,31.3,1995,1683,311,44,2,22,83,267,0,0,0,0,1645,1,51,Theo Hernández,DF
2020-2021,22,Milan,it ITA,1. Serie A,2nd,32.6,1891,1611,271,41,1,13,76,222,8,0,8,0,1527,9,44,Theo Hernández,DF
2021-2022,23,Milan,it ITA,1. Serie A,1st,30.1,1741,1383,354,71,4,18,126,241,42,2,38,0,1404,4,34,Theo Hernández,DF
2022-2023,24,Milan,it ITA,1. Serie A,4th,30.8,1751,1403,344,50,1,24,92,272,22,2,18,0,1391,4,42,Theo Hernández,DF
2023-2024,25,Milan,it ITA,1. Serie A,2nd,31.0,1994,1738,252,80,6,17,68,146,18,4,7,0,1717,4,45,Theo Hernández,DF
2024-2025,26,Milan,it ITA,1. Serie A,8th,12.0,652,527,124,36,2,4,45,65,23,19,0,0,555,1,12,Theo Hernández,DF
2017-2018,15,Schalke U17,de GER,Jr. U17 Bundesliga,10th,18.1,,,,,,,,,,,,,,,,Malick Thiaw,DF
2018-2019,16,Schalke U19,de GER,Jr. U19 Bundesliga,6th,24.1,,,,,,,,,,,,,,,,Malick Thiaw,DF
2019-2020,17,Schalke U19,de GER,Jr. U19 Bundesliga,16th,18.8,,,,,,,,,,,,,,,,Malick Thiaw,DF
2019-2020,17,Schalke 04,de GER,1. Bundesliga,12th,0.8,36,36,0,0,0,1,0,0,0,0,0,0,27,0,0,Malick Thiaw,DF
2020-2021,18,Schalke 04,de GER,1. Bundesliga,18th,16.1,764,713,49,20,0,5,2,29,0,0,0,0,613,2,10,Malick Thiaw,DF
2021-2022,19,Schalke 04,de GER,2. 2. Bundesliga,1st,28.3,1652,1600,52,46,1,19,6,6,0,0,0,0,1380,0,13,Malick Thiaw,DF
2022-2023,20,Schalke 04,de GER,1. Bundesliga,17th,3.0,123,121,2,2,0,1,0,0,0,0,0,0,108,0,0,Malick Thiaw,DF
2022-2023,20,Milan,it ITA,1. Serie A,4th,15.1,1056,1037,19,12,0,4,2,5,0,0,0,0,932,0,5,Malick Thiaw,DF
2023-2024,21,Milan,it ITA,1. Serie A,2nd,18.0,1184,1153,30,15,0,2,0,4,0,0,0,0,1084,1,7,Malick Thiaw,DF
2024-2025,22,Milan,it ITA,1. Serie A,8th,11.0,727,695,28,13,1,5,2,1,0,0,0,0,682,4,0,Malick Thiaw,DF
2010-2011,17,Real Madrid,es ESP,1. La Liga,2nd,0.0,,,,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2011-2012,18,Real Madrid,es ESP,1. La Liga,1st,0.1,,,,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2012-2013,19,Real Madrid B,es ESP,2. La Liga 2,8th,17.9,,,,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2012-2013,19,Real Madrid,es ESP,1. La Liga,2nd,4.6,,,,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2013-2014,20,Real Madrid,es ESP,1. La Liga,3rd,6.6,,,,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2014-2015,21,Juventus,it ITA,1. Serie A,1st,14.8,,,,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2015-2016,22,Juventus,it ITA,1. Serie A,1st,16.0,,,,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2016-2017,23,Real Madrid,es ESP,1. La Liga,1st,14.8,,,,,,,18,,,,,,,,,Álvaro Morata,"FW,MF"
2017-2018,24,Chelsea,eng ENG,1. Premier League,5th,22.9,600,555,40,1,3,6,19,0,0,0,0,0,423,5,21,Álvaro Morata,"FW,MF"
2018-2019,25,Chelsea,eng ENG,1. Premier League,3rd,10.5,233,226,6,0,1,3,3,0,0,0,0,0,176,1,7,Álvaro Morata,"FW,MF"
2018-2019,25,Atlético Madrid,es ESP,1. La Liga,2nd,12.0,266,256,7,0,1,1,7,0,0,0,0,0,152,3,10,Álvaro Morata,"FW,MF"
2019-2020,26,Atlético Madrid,es ESP,1. La Liga,3rd,23.3,512,497,11,2,3,2,11,0,0,0,0,0,321,4,14,Álvaro Morata,"FW,MF"
2020-2021,27,Juventus,it ITA,1. Serie A,4th,22.4,601,556,38,2,3,6,18,1,0,0,0,0,445,7,15,Álvaro Morata,"FW,MF"
2021-2022,28,Juventus,it ITA,1. Serie A,4th,25.6,659,641,17,3,6,8,20,3,0,0,0,0,489,1,20,Álvaro Morata,"FW,MF"
2022-2023,29,Atlético Madrid,es ESP,1. La Liga,3rd,21.1,422,405,15,0,3,6,4,2,0,0,0,0,270,2,7,Álvaro Morata,"FW,MF"
