Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player,Position
2015-2016,20,Lille,fr FRA,1. Ligue 1,5th,3.2,,,,,,,,,,,,,,,0,,,,,,,,,Mike Maignan,GK
2016-2017,21,Lille,fr FRA,1. Ligue 1,11th,6.3,,,,,,,,,,,,,,,0,,,,,,,,,Mike Maignan,GK
2017-2018,22,Lille,fr FRA,1. Ligue 1,17th,33.7,909,1155,78.7,24726,18430,132,133,99.2,498,503,99.0,272,510,53.3,0,0.0,0.0,0.0,0,9,0,0,0,Mike Maignan,GK
2018-2019,23,Lille,fr FRA,1. Ligue 1,2nd,38.0,716,1116,64.2,21901,17507,92,93,98.9,340,344,98.8,281,673,41.8,0,0.0,0.0,0.0,1,10,1,0,0,Mike Maignan,GK
2019-2020,24,Lille,fr FRA,1. Ligue 1,4th,28.0,493,765,64.4,15376,12804,71,73,97.3,215,216,99.5,205,471,43.5,0,0.0,0.0,0.0,0,13,0,0,0,Mike Maignan,GK
2020-2021,25,Lille,fr FRA,1. Ligue 1,1st,38.0,779,1071,72.7,20474,15076,167,168,99.4,376,378,99.5,225,507,44.4,0,0.1,0.1,-0.1,1,10,3,0,4,Mike Maignan,GK
2021-2022,26,Milan,it ITA,1. Serie A,1st,32.0,913,1154,79.1,24884,17336,172,172,100.0,429,431,99.5,305,543,56.2,1,0.4,0.1,+0.6,2,36,2,0,1,Mike Maignan,GK
2022-2023,27,Milan,it ITA,1. Serie A,4th,22.0,674,814,82.8,16900,10659,133,134,99.3,354,360,98.3,185,314,58.9,1,0.0,0.0,+1.0,1,17,0,0,1,Mike Maignan,GK
2023-2024,28,Milan,it ITA,1. Serie A,2nd,29.0,1033,1228,84.1,25589,17105,217,218,99.5,562,567,99.1,249,425,58.6,1,0.3,0.1,+0.7,3,18,1,0,0,Mike Maignan,GK
2024-2025,29,Milan,it ITA,1. Serie A,8th,17.0,620,713,87.0,15013,9669,113,115,98.3,363,364,99.7,142,230,61.7,0,0.7,0.0,-0.7,3,7,0,0,3,Mike Maignan,GK
2018-2019,19,Strasbourg,fr FRA,1. Ligue 1,11th,10.1,271,355,76.3,4511,989,129,157,82.2,107,125,85.6,25,46,54.3,1,0.6,0.2,+0.4,6,23,5,1,27,Youssouf Fofana,MF
2019-2020,20,Strasbourg,fr FRA,1. Ligue 1,10th,11.2,362,439,82.5,6140,1583,166,189,87.8,144,165,87.3,36,48,75.0,0,0.4,0.4,-0.4,8,29,4,1,56,Youssouf Fofana,MF
2019-2020,20,Monaco,fr FRA,1. Ligue 1,9th,6.8,303,361,83.9,5368,1550,137,155,88.4,127,139,91.4,31,45,68.9,2,0.6,0.6,+1.4,5,38,5,1,47,Youssouf Fofana,MF
2020-2021,21,Monaco,fr FRA,1. Ligue 1,3rd,31.9,1435,1703,84.3,25931,6942,632,704,89.8,625,700,89.3,153,242,63.2,3,2.4,2.4,+0.6,28,150,29,6,187,Youssouf Fofana,MF
2021-2022,22,Monaco,fr FRA,1. Ligue 1,3rd,24.3,895,1187,75.4,15117,4697,424,517,82.0,369,439,84.1,76,162,46.9,4,2.6,2.3,+1.4,20,142,23,2,146,Youssouf Fofana,MF
2022-2023,23,Monaco,fr FRA,1. Ligue 1,6th,34.3,1419,1738,81.6,24636,7618,617,748,82.5,602,688,87.5,146,211,69.2,2,4.4,3.0,-2.4,32,185,34,0,238,Youssouf Fofana,MF
2023-2024,24,Monaco,fr FRA,1. Ligue 1,2nd,30.0,1453,1789,81.2,23800,9039,690,796,86.7,601,706,85.1,106,180,58.9,4,3.4,4.7,+0.6,40,194,43,2,249,Youssouf Fofana,MF
2024-2025,25,Milan,it ITA,1. Serie A,8th,14.6,678,773,87.7,11774,3804,289,327,88.4,332,356,93.3,48,71,67.6,4,2.0,1.3,+2.0,12,80,9,0,98,Youssouf Fofana,MF
2017-2018,19,Zwolle,nl NED,1. Eredivisie,9th,0.0,,,,,,,,,,,,,,,0,,,,,,,,,Tijjani Reijnders,MF
