Season,Age,Squad,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Player,Position
2014-2015,19,Paris S-G,fr FRA,1. Ligue 1,1st,0,,,,,0,,0,0,,6,,,,,,,,,,,,Mike Maignan,GK
2015-2016,20,Lille,fr FRA,1. Ligue 1,5th,4,289,72,8.5,3.2,3,,3,1,,8,1.00,2,3,-1,-0.31,-0.69,,,,,,Mike Maignan,GK
2016-2017,21,Lille,fr FRA,1. Ligue 1,11th,7,566,81,16.5,6.3,6,,6,1,,31,1.29,9,7,+2,+0.32,+0.60,,,,,,Mike Maignan,GK
2017-2018,22,Lille,fr FRA,1. Ligue 1,17th,34,3032,89,88.7,33.7,34,89,33,0,,2,1.09,37,53,-16,-0.47,+1.84,31.6,49.0,-17.4,-0.52,+0.44,Mike Maignan,GK
2018-2019,23,Lille,fr FRA,1. Ligue 1,2nd,38,3420,90,100.0,38.0,38,90,38,0,,0,1.97,68,33,+35,+0.92,,59.5,42.1,+17.4,+0.46,,Mike Maignan,GK
2019-2020,24,Lille,fr FRA,1. Ligue 1,4th,28,2520,90,100.0,28.0,28,90,28,0,,0,1.75,35,27,+8,+0.29,,40.3,31.4,+8.8,+0.32,,Mike Maignan,GK
2020-2021,25,Lille,fr FRA,1. Ligue 1,1st,38,3420,90,100.0,38.0,38,90,38,0,,0,2.18,64,23,+41,+1.08,,48.5,29.8,+18.7,+0.49,,Mike Maignan,GK
2021-2022,26,Milan,it ITA,1. Serie A,1st,32,2880,90,84.2,32.0,32,90,32,0,,0,2.28,55,21,+34,+1.06,+0.40,51.4,27.7,+23.8,+0.74,+0.74,Mike Maignan,GK
2022-2023,27,Milan,it ITA,1. Serie A,4th,22,1978,90,57.8,22.0,22,90,21,0,,0,1.82,37,21,+16,+0.73,+0.42,34.3,22.1,+12.2,+0.56,+0.21,Mike Maignan,GK
2023-2024,28,Milan,it ITA,1. Serie A,2nd,29,2609,90,76.3,29.0,29,90,28,0,,2,2.14,57,34,+23,+0.79,+0.35,48.7,34.7,+14.0,+0.48,-0.27,Mike Maignan,GK
2024-2025,29,Milan,it ITA,1. Serie A,8th,17,1530,90,100.0,17.0,17,90,17,0,,0,1.59,26,17,+9,+0.53,,28.1,17.4,+10.8,+0.63,,Mike Maignan,GK
2018-2019,19,Strasbourg,fr FRA,1. Ligue 1,11th,17,912,54,26.7,10.1,10,83,7,7,11,10,1.35,19,14,+5,+0.49,+0.31,12.7,18.0,-5.4,-0.53,-0.36,Youssouf Fofana,MF
2019-2020,20,Strasbourg,fr FRA,1. Ligue 1,10th,13,1008,78,41.5,11.2,12,83,9,1,16,0,1.69,17,13,+4,+0.36,+0.61,15.2,12.0,+3.2,+0.29,+0.36,Youssouf Fofana,MF
2019-2020,20,Monaco,fr FRA,1. Ligue 1,9th,7,610,87,24.2,6.8,7,87,5,0,,0,1.57,8,7,+1,+0.15,+0.19,9.3,9.1,+0.2,+0.04,-0.24,Youssouf Fofana,MF
2020-2021,21,Monaco,fr FRA,1. Ligue 1,3rd,35,2873,82,84.0,31.9,35,82,24,0,,1,2.09,65,32,+33,+1.03,+0.87,58.8,27.7,+31.0,+0.97,+0.47,Youssouf Fofana,MF
2021-2022,22,Monaco,fr FRA,1. Ligue 1,3rd,33,2190,66,64.0,24.3,23,85,19,10,24,2,1.94,44,27,+17,+0.70,+0.11,37.5,30.0,+7.5,+0.31,-0.54,Youssouf Fofana,MF
2022-2023,23,Monaco,fr FRA,1. Ligue 1,6th,36,3086,86,90.2,34.3,35,87,32,1,45,0,1.78,65,48,+17,+0.50,+1.84,56.5,45.3,+11.2,+0.33,+0.95,Youssouf Fofana,MF
2023-2024,24,Monaco,fr FRA,1. Ligue 1,2nd,32,2697,84,88.1,30.0,31,87,24,1,13,0,2.00,56,33,+23,+0.77,+0.02,47.4,36.7,+10.7,+0.36,+0.15,Youssouf Fofana,MF
2024-2025,25,Milan,it ITA,1. Serie A,8th,16,1318,82,86.1,14.6,15,86,12,1,24,0,1.63,23,14,+9,+0.61,+0.61,22.8,15.1,+7.7,+0.53,-0.76,Youssouf Fofana,MF
2017-2018,19,Zwolle,nl NED,1. Eredivisie,9th,1,1,1,0.0,0.0,0,,0,1,,2,3.00,0,0,0,0.00,+0.35,,,,,,Tijjani Reijnders,MF
2017-2018,19,AZ Alkmaar,nl NED,1. Eredivisie,3rd,0,,,,,0,,0,0,,1,,,,,,,,,,,,Tijjani Reijnders,MF
2017-2018,19,Jong AZ,nl NED,2. Eerste Divisie,16th,32,2637,82,77.1,29.3,31,,25,1,,1,1.10,42,57,-15,-0.51,-0.74,,,,,,Tijjani Reijnders,MF
2018-2019,20,AZ Alkmaar,nl NED,1. Eredivisie,4th,0,,,,,0,,0,0,,2,,,,,,,,,,,,Tijjani Reijnders,MF
2018-2019,20,Jong AZ,nl NED,2. Eerste Divisie,18th,36,3222,90,94.2,35.8,36,90,35,0,,0,0.89,45,64,-19,-0.53,+0.38,,,,,,Tijjani Reijnders,MF
2019-2020,21,RKC Waalwijk,nl NED,1. Eredivisie,18th,8,545,68,23.3,6.1,5,91,5,3,31,0,0.50,5,13,-8,-1.32,-0.07,5.9,12.7,-6.8,-1.13,-0.34,Tijjani Reijnders,MF
2019-2020,21,AZ Alkmaar,nl NED,1. Eredivisie,2nd,3,41,14,1.8,0.5,0,,0,3,13,15,3.00,1,0,+1,+2.20,+0.73,1.2,0.3,+1.0,+2.10,+0.89,Tijjani Reijnders,MF
2019-2020,21,Jong AZ,nl NED,2. Eerste Divisie,14th,16,1440,90,55.2,16.0,16,90,16,0,,0,0.75,23,31,-8,-0.50,+0.12,,,,,,Tijjani Reijnders,MF
2020-2021,22,Jong AZ,nl NED,2. Eerste Divisie,17th,8,675,84,19.7,7.5,8,84,7,0,,0,1.25,17,19,-2,-0.27,+0.85,,,,,,Tijjani Reijnders,MF
2020-2021,22,AZ Alkmaar,nl NED,1. Eredivisie,3rd,22,734,33,24.0,8.2,6,87,4,16,13,11,2.36,22,11,+11,+1.35,+0.46,17.7,10.2,+7.5,+0.92,-0.07,Tijjani Reijnders,MF
2021-2022,23,AZ Alkmaar,nl NED,1. Eredivisie,5th,33,1305,40,42.6,14.5,11,78,6,22,20,0,1.75,32,21,+11,+0.76,+0.30,28.1,18.4,+9.7,+0.67,+0.35,Tijjani Reijnders,MF
2022-2023,24,AZ Alkmaar,nl NED,1. Eredivisie,4th,34,3046,90,99.5,33.8,34,90,32,0,,0,1.97,68,34,+34,+1.00,+7.43,55.3,38.5,+16.8,+0.50,+1.74,Tijjani Reijnders,MF
2023-2024,25,Milan,it ITA,1. Serie A,2nd,36,2820,78,82.5,31.3,33,82,21,3,36,1,1.97,67,38,+29,+0.93,+1.23,56.6,36.6,+20.0,+0.64,+0.51,Tijjani Reijnders,MF
2024-2025,26,Milan,it ITA,1. Serie A,8th,16,1271,79,83.1,14.1,15,83,12,1,32,0,1.69,25,14,+11,+0.78,+1.47,24.8,15.3,+9.5,+0.67,+0.23,Tijjani Reijnders,MF
2018-2019,19,Betis,es ESP,1. La Liga,10th,6,317,53,9.3,3.5,4,74,2,2,12,6,1.17,5,8,-3,-0.85,-0.71,3.6,6.4,-2.8,-0.78,-0.80,Emerson,DF
2019-2020,20,Betis,es ESP,1. La Liga,15th,33,2839,86,83.0,31.5,32,88,29,1,21,1,1.12,39,49,-10,-0.32,-0.01,40.1,46.0,-5.8,-0.19,-0.51,Emerson,DF
2020-2021,21,Betis,es ESP,1. La Liga,6th,34,2991,88,87.5,33.2,34,88,32,0,,0,1.71,49,39,+10,+0.30,+2.40,46.5,37.9,+8.6,+0.26,+1.59,Emerson,DF
2021-2022,22,Barcelona,es ESP,1. La Liga,2nd,3,91,30,2.7,1.0,1,62,0,2,15,0,2.33,3,3,0,0.00,-0.81,1.8,1.0,+0.8,+0.84,+0.08,Emerson,DF
2021-2022,22,Tottenham,eng ENG,1. Premier League,4th,31,2286,74,66.8,25.4,26,85,17,5,16,3,1.81,44,26,+18,+0.71,-0.16,41.2,24.2,+17.0,+0.67,+0.28,Emerson,DF
2022-2023,23,Tottenham,eng ENG,1. Premier League,8th,26,1735,67,50.7,19.3,20,82,12,6,15,2,1.73,34,26,+8,+0.41,+0.47,27.7,21.1,+6.6,+0.34,+0.29,Emerson,DF
2023-2024,24,Tottenham,eng ENG,1. Premier League,5th,22,1161,53,33.9,12.9,11,86,8,11,19,16,1.64,22,31,-9,-0.70,-1.57,18.5,28.3,-9.8,-0.76,-1.34,Emerson,DF
2024-2025,25,Milan,it ITA,1. Serie A,8th,15,1214,81,79.3,13.5,14,85,9,1,24,1,1.53,21,13,+8,+0.59,+0.31,20.7,13.6,+7.2,+0.53,-0.49,Emerson,DF
2017-2018,18,Sporting CP,pt POR,1. Primeira Liga,3rd,3,103,34,3.4,1.1,0,,0,3,,1,2.00,4,1,+3,+2.62,+1.53,,,,,,Rafael Leão,FW
2018-2019,19,Lille,fr FRA,1. Ligue 1,2nd,24,1287,54,37.6,14.3,16,70,0,8,21,3,1.83,20,7,+13,+0.91,-0.02,22.3,12.7,+9.6,+0.67,+0.34,Rafael Leão,FW
2019-2020,20,Milan,it ITA,1. Serie A,6th,31,1404,45,41.1,15.6,12,75,5,19,26,7,1.52,30,21,+9,+0.58,+0.22,26.8,21.3,+5.5,+0.35,-0.19,Rafael Leão,FW
2020-2021,21,Milan,it ITA,1. Serie A,2nd,30,1924,64,56.3,21.4,22,78,7,8,27,1,1.90,37,24,+13,+0.61,-0.60,37.7,27.2,+10.5,+0.49,-0.31,Rafael Leão,FW
2021-2022,22,Milan,it ITA,1. Serie A,1st,34,2605,77,76.2,28.9,31,80,13,3,42,1,2.32,54,20,+34,+1.17,+0.73,46.3,24.1,+22.3,+0.77,+0.60,Rafael Leão,FW
2022-2023,23,Milan,it ITA,1. Serie A,4th,35,2421,69,70.8,26.9,28,79,13,7,31,0,2.00,53,31,+22,+0.82,+0.91,44.5,27.9,+16.6,+0.62,+0.51,Rafael Leão,FW
2023-2024,24,Milan,it ITA,1. Serie A,2nd,34,2512,74,73.5,27.9,29,80,15,5,37,0,1.94,56,31,+25,+0.90,+0.70,51.7,31.1,+20.6,+0.74,+0.72,Rafael Leão,FW
2024-2025,25,Milan,it ITA,1. Serie A,8th,15,1034,69,67.6,11.5,12,80,6,3,26,1,1.53,20,10,+10,+0.87,+1.05,19.9,11.1,+8.8,+0.76,+0.40,Rafael Leão,FW
2015-2016,16,Dortmund,de GER,1. Bundesliga,2nd,9,389,43,12.7,4.3,4,,1,5,,2,2.22,11,2,+9,+2.08,+0.77,,,,,,Christian Pulisic,"MF,FW"
2016-2017,17,Dortmund,de GER,1. Bundesliga,3rd,29,1525,53,49.8,16.9,15,,10,14,,5,1.97,39,20,+19,+1.12,+0.36,,,,,,Christian Pulisic,"MF,FW"
2017-2018,18,Dortmund,de GER,1. Bundesliga,4th,32,2302,72,75.2,25.6,27,,14,5,,0,1.69,49,38,+11,+0.43,-0.28,48.9,31.5,+17.3,+0.68,-0.10,Christian Pulisic,"MF,FW"
2018-2019,19,Dortmund,de GER,1. Bundesliga,2nd,20,932,47,30.5,10.4,9,87,6,11,14,4,2.30,28,13,+15,+1.45,+0.52,19.9,11.8,+8.1,+0.78,+0.22,Christian Pulisic,"MF,FW"
2019-2020,20,Chelsea,eng ENG,1. Premier League,4th,25,1722,69,50.4,19.1,19,82,8,6,27,4,1.68,38,28,+10,+0.52,+0.26,36.0,20.8,+15.1,+0.79,-0.03,Christian Pulisic,"MF,FW"
2020-2021,21,Chelsea,eng ENG,1. Premier League,4th,27,1738,64,50.8,19.3,18,84,12,9,25,2,1.63,25,21,+4,+0.21,-0.76,31.9,17.9,+13.9,+0.72,-0.25,Christian Pulisic,"MF,FW"
2021-2022,22,Chelsea,eng ENG,1. Premier League,3rd,22,1290,59,37.7,14.3,13,85,9,9,20,5,1.77,27,10,+17,+1.19,+0.09,23.4,10.8,+12.5,+0.87,+0.13,Christian Pulisic,"MF,FW"
2022-2023,23,Chelsea,eng ENG,1. Premier League,12th,24,821,34,24.0,9.1,8,64,0,16,19,5,1.13,12,11,+1,+0.11,+0.46,11.0,14.1,-3.0,-0.33,-0.33,Christian Pulisic,"MF,FW"
2023-2024,24,Milan,it ITA,1. Serie A,2nd,36,2602,72,76.1,28.9,32,77,11,4,34,0,2.06,62,31,+31,+1.07,+1.51,50.7,29.6,+21.1,+0.73,+0.77,Christian Pulisic,"MF,FW"
2024-2025,25,Milan,it ITA,1. Serie A,8th,14,981,70,64.1,10.9,12,78,3,2,25,0,1.57,21,12,+9,+0.83,+0.83,21.5,12.0,+9.5,+0.87,+0.66,Christian Pulisic,"MF,FW"
2015-2016,17,Atlético Madrid,es ESP,1. La Liga,3rd,0,,,,,0,,0,0,,1,,,,,,,,,,,,Theo Hernández,DF
2016-2017,18,Alavés,es ESP,1. La Liga,9th,32,2725,85,79.7,30.3,30,89,27,2,26,1,1.44,30,33,-3,-0.10,-0.23,,,,,,Theo Hernández,DF
2017-2018,19,Real Madrid,es ESP,1. La Liga,3rd,13,963,74,28.2,10.7,10,87,8,3,30,21,2.62,30,11,+19,+1.78,+0.64,25.4,11.8,+13.7,+1.28,+0.23,Theo Hernández,DF
2018-2019,20,Real Sociedad,es ESP,1. La Liga,9th,24,1976,82,57.8,22.0,22,88,19,2,15,3,1.17,26,30,-4,-0.18,-0.37,27.0,27.8,-0.8,-0.04,-0.16,Theo Hernández,DF
2019-2020,21,Milan,it ITA,1. Serie A,6th,33,2817,85,82.4,31.3,32,87,29,1,19,1,1.79,58,38,+20,+0.64,+1.09,55.7,37.0,+18.7,+0.60,+0.76,Theo Hernández,DF
2020-2021,22,Milan,it ITA,1. Serie A,2nd,33,2933,89,85.8,32.6,33,89,31,0,,1,2.09,63,37,+26,+0.80,-0.50,62.6,38.9,+23.7,+0.73,+0.72,Theo Hernández,DF
2021-2022,23,Milan,it ITA,1. Serie A,1st,32,2711,85,79.3,30.1,30,88,26,2,39,0,2.28,58,22,+36,+1.20,+0.94,51.0,26.5,+24.5,+0.81,+0.91,Theo Hernández,DF
2022-2023,24,Milan,it ITA,1. Serie A,4th,32,2771,87,81.0,30.8,32,87,27,0,,2,2.00,56,31,+25,+0.81,+1.37,48.9,30.5,+18.4,+0.60,+0.69,Theo Hernández,DF
2023-2024,25,Milan,it ITA,1. Serie A,2nd,32,2791,87,81.6,31.0,31,89,26,1,23,0,2.13,70,42,+28,+0.90,+1.05,56.7,36.7,+20.0,+0.64,+0.53,Theo Hernández,DF
2024-2025,26,Milan,it ITA,1. Serie A,8th,14,1084,77,70.8,12.0,11,88,9,3,37,1,1.64,24,12,+12,+1.00,+1.60,22.5,13.2,+9.2,+0.77,+0.46,Theo Hernández,DF
2017-2018,15,Schalke U17,de GER,Jr. U17 Bundesliga,10th,23,1626,71,69.5,18.1,21,73,10,2,49,0,2.13,37,16,+21,+1.16,-0.22,,,,,,Malick Thiaw,DF
2018-2019,16,Schalke U19,de GER,Jr. U19 Bundesliga,6th,25,2167,87,92.6,24.1,24,90,24,1,6,0,2.11,45,23,+22,+0.91,+2.47,,,,,,Malick Thiaw,DF
2019-2020,17,Schalke U19,de GER,Jr. U19 Bundesliga,16th,19,1693,89,94.1,18.8,19,89,18,0,,0,1.80,26,15,+11,+0.58,-1.10,,,,,,Malick Thiaw,DF
2019-2020,17,Schalke 04,de GER,1. Bundesliga,12th,4,76,19,2.5,0.8,0,,0,4,19,5,0.25,1,3,-2,-2.37,-1.83,0.5,1.4,-0.9,-1.01,-0.62,Malick Thiaw,DF
2020-2021,18,Schalke 04,de GER,1. Bundesliga,18th,19,1452,76,47.5,16.1,15,89,14,4,31,9,0.53,5,40,-35,-2.17,-0.71,10.9,30.2,-19.3,-1.19,-0.01,Malick Thiaw,DF
2021-2022,19,Schalke 04,de GER,2. 2. Bundesliga,1st,31,2546,82,83.2,28.3,28,87,24,3,37,3,1.87,60,35,+25,+0.88,+0.36,53.0,34.3,+18.6,+0.66,-0.56,Malick Thiaw,DF
2022-2023,20,Schalke 04,de GER,1. Bundesliga,17th,3,270,90,8.8,3.0,3,90,3,0,,1,0.67,3,8,-5,-1.67,-0.67,4.3,3.7,+0.7,+0.22,+0.81,Malick Thiaw,DF
2022-2023,20,Milan,it ITA,1. Serie A,4th,20,1362,68,39.8,15.1,15,83,11,5,24,13,1.95,21,12,+9,+0.59,+0.07,24.7,13.8,+11.0,+0.72,+0.43,Malick Thiaw,DF
2023-2024,21,Milan,it ITA,1. Serie A,2nd,21,1619,77,47.3,18.0,19,84,15,2,10,3,1.81,31,24,+7,+0.39,-0.61,27.4,20.5,+6.9,+0.38,-0.31,Malick Thiaw,DF
2024-2025,22,Milan,it ITA,1. Serie A,8th,11,990,90,64.7,11.0,11,90,11,0,,4,1.55,13,10,+3,+0.27,-0.73,16.9,10.6,+6.2,+0.56,-0.19,Malick Thiaw,DF
2010-2011,17,Real Madrid,es ESP,1. La Liga,2nd,1,3,3,0.1,0.0,0,,,1,,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2011-2012,18,Real Madrid,es ESP,1. La Liga,1st,1,10,10,0.3,0.1,0,,,1,,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2012-2013,19,Real Madrid B,es ESP,2. La Liga 2,8th,18,1615,90,42.7,17.9,18,,,0,,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2012-2013,19,Real Madrid,es ESP,1. La Liga,2nd,12,418,35,12.2,4.6,5,,2,7,,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2013-2014,20,Real Madrid,es ESP,1. La Liga,3rd,23,594,26,17.4,6.6,3,,2,20,,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2014-2015,21,Juventus,it ITA,1. Serie A,1st,29,1333,46,39.0,14.8,11,,7,18,,6,2.34,31,11,+20,+1.35,+0.14,,,,,,Álvaro Morata,"FW,MF"
2015-2016,22,Juventus,it ITA,1. Serie A,1st,34,1441,42,42.1,16.0,16,,3,18,,0,2.56,35,10,+25,+1.56,+0.20,,,,,,Álvaro Morata,"FW,MF"
2016-2017,23,Real Madrid,es ESP,1. La Liga,1st,26,1334,51,39.0,14.8,14,79,5,12,19,8,2.69,45,18,+27,+1.82,+0.18,,,,,,Álvaro Morata,"FW,MF"
2017-2018,24,Chelsea,eng ENG,1. Premier League,5th,31,2061,66,60.3,22.9,24,,12,7,,0,1.94,38,19,+19,+0.83,+0.50,34.8,19.2,+15.7,+0.68,+0.36,Álvaro Morata,"FW,MF"
2018-2019,25,Chelsea,eng ENG,1. Premier League,3rd,16,941,59,27.5,10.5,11,76,4,5,21,1,2.00,15,11,+4,+0.38,-0.34,15.5,10.1,+5.4,+0.52,-0.09,Álvaro Morata,"FW,MF"
2018-2019,25,Atlético Madrid,es ESP,1. La Liga,2nd,15,1083,72,31.7,12.0,13,79,5,2,30,1,1.87,16,13,+3,+0.25,-0.64,14.4,13.0,+1.4,+0.11,-0.04,Álvaro Morata,"FW,MF"
2019-2020,26,Atlético Madrid,es ESP,1. La Liga,3rd,34,2098,62,61.3,23.3,25,77,11,9,20,0,1.85,30,14,+16,+0.69,+0.14,40.5,17.7,+22.7,+0.98,+0.87,Álvaro Morata,"FW,MF"
2020-2021,27,Juventus,it ITA,1. Serie A,4th,32,2014,63,58.9,22.4,23,79,10,9,22,1,1.94,44,23,+21,+0.94,-0.21,45.6,23.5,+22.1,+0.99,+0.16,Álvaro Morata,"FW,MF"
2021-2022,28,Juventus,it ITA,1. Serie A,4th,35,2302,66,67.3,25.6,26,79,7,9,28,1,1.83,37,20,+17,+0.66,+0.42,36.5,25.6,+10.9,+0.43,+0.23,Álvaro Morata,"FW,MF"
2022-2023,29,Atlético Madrid,es ESP,1. La Liga,3rd,36,1900,53,55.6,21.1,23,68,3,13,25,1,2.03,40,10,+30,+1.42,+1.01,34.2,19.5,+14.7,+0.70,+0.34,Álvaro Morata,"FW,MF"
2023-2024,30,Atlético Madrid,es ESP,1. La Liga,4th,32,1904,60,55.7,21.2,21,74,5,11,32,2,1.91,40,25,+15,+0.71,0.00,34.1,25.1,+9.0,+0.42,-0.41,Álvaro Morata,"FW,MF"
2024-2025,31,Milan,it ITA,1. Serie A,8th,13,908,70,59.3,10.1,10,81,4,3,34,0,1.69,14,8,+6,+0.59,+0.16,14.1,9.0,+5.1,+0.50,-0.32,Álvaro Morata,"FW,MF"
2016-2017,16,Milan,it ITA,1. Serie A,6th,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matteo Gabbia,DF
2017-2018,17,Milan,it ITA,1. Serie A,6th,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matteo Gabbia,DF
2019-2020,19,Milan,it ITA,1. Serie A,6th,9,680,76,19.9,7.6,6,87,5,3,52,28,2.00,16,8,+8,+1.06,+0.76,14.4,9.6,+4.8,+0.63,+0.21,Matteo Gabbia,DF
2020-2021,20,Milan,it ITA,1. Serie A,2nd,8,557,70,16.3,6.2,7,78,6,1,13,16,2.13,12,4,+8,+1.29,+0.51,15.2,5.7,+9.5,+1.53,+1.08,Matteo Gabbia,DF
2021-2022,21,Milan,it ITA,1. Serie A,1st,8,537,67,15.7,6.0,6,82,4,2,23,28,2.00,13,7,+6,+1.01,+0.01,12.4,4.8,+7.6,+1.28,+0.78,Matteo Gabbia,DF
2022-2023,22,Milan,it ITA,1. Serie A,4th,12,613,51,17.9,6.8,6,87,5,6,16,24,1.92,11,14,-3,-0.44,-1.21,10.3,10.4,-0.1,-0.02,-0.59,Matteo Gabbia,DF
2023-2024,23,Villarreal,es ESP,1. La Liga,8th,7,477,68,13.9,5.3,6,77,3,1,13,8,1.43,8,10,-2,-0.38,-0.44,6.2,9.2,-3.0,-0.57,-0.56,Matteo Gabbia,DF
2023-2024,23,Milan,it ITA,1. Serie A,2nd,18,1275,71,37.3,14.2,14,82,10,4,33,1,2.00,32,19,+13,+0.92,+0.33,27.3,15.7,+11.6,+0.82,+0.44,Matteo Gabbia,DF
2024-2025,24,Milan,it ITA,1. Serie A,8th,10,877,88,57.3,9.7,10,88,8,0,,3,1.80,16,6,+10,+1.03,+1.16,14.0,8.1,+5.9,+0.60,-0.07,Matteo Gabbia,DF
2018-2019,19,Villarreal,es ESP,1. La Liga,14th,26,1706,66,49.9,19.0,19,82,8,7,22,2,1.19,28,26,+2,+0.11,+0.37,24.4,28.1,-3.7,-0.20,-0.33,Samuel Chukwueze,FW
2019-2020,20,Villarreal,es ESP,1. La Liga,5th,37,2048,55,59.9,22.8,20,79,10,17,27,0,1.54,36,35,+1,+0.04,-0.81,39.7,29.1,+10.6,+0.47,+0.03,Samuel Chukwueze,FW
2020-2021,21,Villarreal,es ESP,1. La Liga,7th,28,1365,49,39.9,15.2,13,76,3,15,25,1,1.61,21,19,+2,+0.13,-0.48,24.4,17.6,+6.9,+0.45,+0.14,Samuel Chukwueze,FW
2021-2022,22,Villarreal,es ESP,1. La Liga,7th,27,1333,49,39.0,14.8,12,78,3,15,27,0,1.63,26,14,+12,+0.81,+0.21,25.2,21.2,+4.0,+0.27,-0.39,Samuel Chukwueze,FW
2022-2023,23,Villarreal,es ESP,1. La Liga,5th,37,2339,63,68.4,26.0,27,77,9,10,25,1,1.73,41,33,+8,+0.31,-0.61,42.0,34.9,+7.2,+0.28,-0.11,Samuel Chukwueze,FW
2023-2024,24,Milan,it ITA,1. Serie A,2nd,24,1017,42,29.7,11.3,12,67,2,12,18,3,2.08,25,17,+8,+0.71,0.00,22.0,15.4,+6.6,+0.58,+0.05,Samuel Chukwueze,FW
2024-2025,25,Milan,it ITA,1. Serie A,8th,17,736,43,48.1,8.2,9,73,1,8,10,0,1.59,8,8,0,0.00,-1.02,12.9,8.2,+4.6,+0.57,-0.13,Samuel Chukwueze,FW
2018-2019,17,Partizan,rs SRB,1. SuperLiga,3rd,11,989,90,29.7,11.0,11,90,10,0,,0,1.45,18,15,+3,+0.27,-0.77,,,,,,Strahinja Pavlović,DF
2019-2020,18,Partizan,rs SRB,1. SuperLiga,2nd,26,2304,89,85.3,25.6,26,89,24,0,,1,2.12,60,22,+38,+1.48,+0.12,,,,,,Strahinja Pavlović,DF
2020-2021,19,Cercle Brugge,be BEL,1. First Division A,16th,11,965,88,31.5,10.7,11,88,10,0,,0,1.55,13,11,+2,+0.19,+0.75,14.1,12.4,+1.6,+0.15,+0.26,Strahinja Pavlović,DF
2020-2021,19,Monaco,fr FRA,1. Ligue 1,3rd,1,1,1,0.0,0.0,0,,0,1,1,5,3.00,0,0,0,0.00,-0.89,0.0,0.0,0.0,-4.47,-5.37,Strahinja Pavlović,DF
2021-2022,20,Monaco,fr FRA,1. Ligue 1,3rd,7,451,64,13.2,5.0,5,87,4,2,7,10,1.57,7,7,0,0.00,-0.76,5.7,6.5,-0.8,-0.17,-0.77,Strahinja Pavlović,DF
2021-2022,20,Basel,ch SUI,1. Super Lg,2nd,10,586,59,18.1,6.5,7,78,5,3,14,4,1.40,7,8,-1,-0.15,-1.17,,,,,,Strahinja Pavlović,DF
2022-2023,21,RB Salzburg,at AUT,1. Bundesliga,1st,24,2027,84,70.4,22.5,23,88,20,1,8,3,2.50,46,16,+30,+1.33,-0.25,,,,,,Strahinja Pavlović,DF
2023-2024,22,RB Salzburg,at AUT,1. Bundesliga,2nd,26,2287,88,79.4,25.4,26,88,25,0,,1,2.27,68,21,+47,+1.85,+2.15,,,,,,Strahinja Pavlović,DF
2024-2025,23,Milan,it ITA,1. Serie A,8th,10,654,65,42.7,7.3,7,90,7,3,8,7,1.80,12,9,+3,+0.41,-0.20,14.7,8.6,+6.0,+0.83,+0.35,Strahinja Pavlović,DF
2014-2015,18,Chelsea,eng ENG,1. Premier League,1st,3,132,44,3.9,1.5,2,,0,1,,6,0.67,1,4,-3,-2.05,-3.25,,,,,,Ruben Loftus-Cheek,MF
2015-2016,19,Chelsea,eng ENG,1. Premier League,10th,13,412,32,12.0,4.6,4,,2,9,,17,1.38,10,8,+2,+0.44,+0.32,,,,,,Ruben Loftus-Cheek,MF
2016-2017,20,Chelsea,eng ENG,1. Premier League,1st,6,35,6,1.0,0.4,0,,0,6,,9,2.00,1,0,+1,+2.57,+1.22,,,,,,Ruben Loftus-Cheek,MF
2017-2018,21,Crystal Palace,eng ENG,1. Premier League,11th,24,1874,78,54.8,20.8,21,,17,3,,0,1.33,28,30,-2,-0.10,+0.37,29.9,26.7,+3.2,+0.16,+0.04,Ruben Loftus-Cheek,MF
2018-2019,22,Chelsea,eng ENG,1. Premier League,3rd,24,998,42,29.2,11.1,6,85,3,18,27,2,1.83,22,9,+13,+1.17,+0.76,19.6,9.2,+10.4,+0.94,+0.51,Ruben Loftus-Cheek,MF
