Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,Position
2015-2016,20,Lille,fr FRA,1. Ligue 1,5th,3.2,,,,,,,,,,,,,,,,,,,,,,,Mike Maignan,GK
2016-2017,21,Lille,fr FRA,1. Ligue 1,11th,6.3,,,,,,,,,,,,,,,,,,,,,,,Mike Maignan,GK
2017-2018,22,Lille,fr FRA,1. Ligue 1,17th,33.7,1233,1053,1226,7,0,0,1233,10,9,90.0,1,10.0,541,3338,2377,0,1,1,2,1,489,0,Mike Maignan,GK
2018-2019,23,Lille,fr FRA,1. Ligue 1,2nd,38.0,1202,1030,1196,7,0,0,1202,1,1,100.0,0,0.0,524,3256,2283,0,0,0,1,0,413,0,Mike Maignan,GK
2019-2020,24,Lille,fr FRA,1. Ligue 1,4th,28.0,811,691,807,5,1,1,811,0,0,,0,,355,2255,1634,0,0,0,1,0,264,0,Mike Maignan,GK
2020-2021,25,Lille,fr FRA,1. Ligue 1,1st,38.0,1131,964,1108,23,0,0,1131,1,1,100.0,0,0.0,613,3134,1866,0,1,0,1,0,462,0,Mike Maignan,GK
2021-2022,26,Milan,it ITA,1. Serie A,1st,32.0,1207,867,1195,13,0,0,1207,0,0,,0,,798,4871,3506,0,0,0,2,1,660,0,Mike Maignan,GK
2022-2023,27,Milan,it ITA,1. Serie A,4th,22.0,853,639,838,15,0,0,853,0,0,,0,,618,3323,2132,0,0,0,0,0,525,0,Mike Maignan,GK
2023-2024,28,Milan,it ITA,1. Serie A,2nd,29.0,1285,960,1281,5,0,0,1285,1,1,100.0,0,0.0,873,4782,3225,0,0,0,1,0,732,0,Mike Maignan,GK
2024-2025,29,Milan,it ITA,1. Serie A,8th,17.0,743,430,731,12,0,0,743,0,0,,0,,489,2544,1767,0,0,0,1,0,464,0,Mike Maignan,GK
2018-2019,19,Strasbourg,fr FRA,1. Ligue 1,11th,10.1,469,11,95,281,104,9,469,25,16,64.0,9,36.0,288,1683,957,21,27,3,29,9,304,21,Youssouf Fofana,MF
2019-2020,20,Strasbourg,fr FRA,1. Ligue 1,10th,11.2,560,8,97,326,146,15,560,17,9,52.9,8,47.1,333,1979,1140,28,30,4,22,13,390,43,Youssouf Fofana,MF
2019-2020,20,Monaco,fr FRA,1. Ligue 1,9th,6.8,444,18,100,296,57,5,444,19,6,31.6,13,68.4,260,1585,970,18,10,2,10,10,308,20,Youssouf Fofana,MF
2020-2021,21,Monaco,fr FRA,1. Ligue 1,3rd,31.9,2028,47,385,1327,345,12,2028,61,32,52.5,29,47.5,1101,5869,2967,57,52,4,45,26,1410,36,Youssouf Fofana,MF
2021-2022,22,Monaco,fr FRA,1. Ligue 1,3rd,24.3,1455,47,239,973,263,17,1455,62,40,64.5,22,35.5,918,4891,2497,44,41,5,38,33,1001,47,Youssouf Fofana,MF
2022-2023,23,Monaco,fr FRA,1. Ligue 1,6th,34.3,2116,59,352,1340,454,37,2116,91,46,50.5,40,44.0,1600,9328,4753,81,90,9,48,41,1416,71,Youssouf Fofana,MF
2023-2024,24,Monaco,fr FRA,1. Ligue 1,2nd,30.0,2113,66,357,1329,458,49,2113,67,39,58.2,26,38.8,1614,9082,4247,53,83,8,49,33,1465,86,Youssouf Fofana,MF
2024-2025,25,Milan,it ITA,1. Serie A,8th,14.6,882,22,172,605,118,8,882,15,6,40.0,9,60.0,528,3146,1743,22,22,1,14,11,662,16,Youssouf Fofana,MF
2017-2018,19,Zwolle,nl NED,1. Eredivisie,9th,0.0,,,,,,,,,,,,,,,,,,,,,,,Tijjani Reijnders,MF
2017-2018,19,Jong AZ,nl NED,2. Eerste Divisie,16th,29.3,,,,,,,,,,,,,,,,,,,,,,,Tijjani Reijnders,MF
2018-2019,20,Jong AZ,nl NED,2. Eerste Divisie,18th,35.8,,,,,,,,,,,,,,,,,,,,,,,Tijjani Reijnders,MF
