Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Player,Position
2015-2016,20,Lille,fr FRA,1. Ligue 1,5th,3.2,0,,0,,,0.00,,,,,0,0,,,,,,Mike Maignan,GK
2016-2017,21,Lille,fr FRA,1. Ligue 1,11th,6.3,0,0,0,,0.00,0.00,,,,,0,0,,,,,,Mike Maignan,GK
2017-2018,22,Lille,fr FRA,1. Ligue 1,17th,33.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Mike Maignan,GK
2018-2019,23,Lille,fr FRA,1. Ligue 1,2nd,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Mike Maignan,GK
2019-2020,24,Lille,fr FRA,1. Ligue 1,4th,28.0,0,1,0,0.0,0.04,0.00,0.00,,13.5,0,0,0,0.0,0.0,0.04,0.0,0.0,Mike Maignan,GK
2020-2021,25,Lille,fr FRA,1. Ligue 1,1st,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Mike Maignan,GK
2021-2022,26,Milan,it ITA,1. Serie A,1st,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Mike Maignan,GK
2022-2023,27,Milan,it ITA,1. Serie A,4th,22.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Mike Maignan,GK
2023-2024,28,Milan,it ITA,1. Serie A,2nd,29.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Mike Maignan,GK
2024-2025,29,Milan,it ITA,1. Serie A,8th,17.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Mike Maignan,GK
2018-2019,19,Strasbourg,fr FRA,1. Ligue 1,11th,10.1,2,12,3,25.0,1.18,0.30,0.17,0.67,24.4,0,0,0,1.2,1.2,0.10,+0.8,+0.8,Youssouf Fofana,MF
2019-2020,20,Strasbourg,fr FRA,1. Ligue 1,10th,11.2,1,14,4,28.6,1.25,0.36,0.07,0.25,21.4,0,0,0,0.8,0.8,0.06,+0.2,+0.2,Youssouf Fofana,MF
2019-2020,20,Monaco,fr FRA,1. Ligue 1,9th,6.8,0,7,2,28.6,1.03,0.30,0.00,0.00,26.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Youssouf Fofana,MF
2020-2021,21,Monaco,fr FRA,1. Ligue 1,3rd,31.9,0,36,4,11.1,1.13,0.13,0.00,0.00,25.5,1,0,0,1.5,1.5,0.04,-1.5,-1.5,Youssouf Fofana,MF
2021-2022,22,Monaco,fr FRA,1. Ligue 1,3rd,24.3,0,30,6,20.0,1.23,0.25,0.00,0.00,26.4,2,0,0,1.1,1.1,0.04,-1.1,-1.1,Youssouf Fofana,MF
2022-2023,23,Monaco,fr FRA,1. Ligue 1,6th,34.3,2,42,10,23.8,1.22,0.29,0.05,0.20,22.9,1,0,0,2.8,2.8,0.07,-0.8,-0.8,Youssouf Fofana,MF
2023-2024,24,Monaco,fr FRA,1. Ligue 1,2nd,30.0,4,52,13,25.0,1.74,0.43,0.08,0.31,19.6,0,0,0,5.0,5.0,0.10,-1.0,-1.0,Youssouf Fofana,MF
2024-2025,25,Milan,it ITA,1. Serie A,8th,14.6,1,17,2,11.8,1.16,0.14,0.06,0.50,26.6,0,0,0,0.6,0.6,0.03,+0.4,+0.4,Youssouf Fofana,MF
2017-2018,19,Zwolle,nl NED,1. Eredivisie,9th,0.0,0,0,0,,0.00,0.00,,,,,0,0,,,,,,Tijjani Reijnders,MF
2017-2018,19,Jong AZ,nl NED,2. Eerste Divisie,16th,29.3,6,0,16,,0.00,0.55,,0.38,,,0,0,,,,,,Tijjani Reijnders,MF
2018-2019,20,Jong AZ,nl NED,2. Eerste Divisie,18th,35.8,8,,,,,,,,,,0,0,,,,,,Tijjani Reijnders,MF
2019-2020,21,RKC Waalwijk,nl NED,1. Eredivisie,18th,6.1,0,14,2,14.3,2.31,0.33,0.00,0.00,22.5,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Tijjani Reijnders,MF
