Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Player,Position
2014-2015,19,Paris S-G,fr FRA,1. Ligue 1,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mike Maignan,GK
2015-2016,20,Lille,fr FRA,1. Ligue 1,5th,4,3,289,3.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Mike Maignan,GK
2016-2017,21,Lille,fr FRA,1. Ligue 1,11th,7,6,566,6.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Mike Maignan,GK
2017-2018,22,Lille,fr FRA,1. Ligue 1,17th,34,34,3032,33.7,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Mike Maignan,GK
2018-2019,23,Lille,fr FRA,1. Ligue 1,2nd,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Mike Maignan,GK
2019-2020,24,Lille,fr FRA,1. Ligue 1,4th,28,28,2520,28.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Mike Maignan,GK
2020-2021,25,Lille,fr FRA,1. Ligue 1,1st,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Mike Maignan,GK
2021-2022,26,Milan,it ITA,1. Serie A,1st,32,32,2880,32.0,0,1,1,0,0,0,1,0,0.0,0.0,0.4,0.4,0,1,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01,Mike Maignan,GK
2022-2023,27,Milan,it ITA,1. Serie A,4th,22,22,1978,22.0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.05,0.05,0.00,0.05,0.00,0.00,0.00,0.00,0.00,Mike Maignan,GK
2023-2024,28,Milan,it ITA,1. Serie A,2nd,29,29,2609,29.0,0,1,1,0,0,0,1,1,0.0,0.0,0.3,0.3,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01,Mike Maignan,GK
2024-2025,29,Milan,it ITA,1. Serie A,8th,17,17,1530,17.0,0,0,0,0,0,0,1,0,0.0,0.0,0.7,0.7,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Mike Maignan,GK
2018-2019,19,Strasbourg,fr FRA,1. Ligue 1,11th,17,10,912,10.1,2,1,3,2,0,0,0,0,1.2,1.2,0.6,1.8,21,27,21,0.20,0.10,0.30,0.20,0.30,0.12,0.06,0.17,0.12,0.17,Youssouf Fofana,MF
2019-2020,20,Strasbourg,fr FRA,1. Ligue 1,10th,13,12,1008,11.2,1,0,1,1,0,0,0,0,0.8,0.8,0.4,1.2,28,56,43,0.09,0.00,0.09,0.09,0.09,0.07,0.04,0.11,0.07,0.11,Youssouf Fofana,MF
2019-2020,20,Monaco,fr FRA,1. Ligue 1,9th,7,7,610,6.8,0,2,2,0,0,0,1,0,0.3,0.3,0.6,0.9,18,47,20,0.00,0.30,0.30,0.00,0.30,0.04,0.09,0.13,0.04,0.13,Youssouf Fofana,MF
2020-2021,21,Monaco,fr FRA,1. Ligue 1,3rd,35,35,2873,31.9,0,3,3,0,0,0,10,1,1.5,1.5,2.4,3.9,57,187,36,0.00,0.09,0.09,0.00,0.09,0.05,0.07,0.12,0.05,0.12,Youssouf Fofana,MF
2021-2022,22,Monaco,fr FRA,1. Ligue 1,3rd,33,23,2190,24.3,0,4,4,0,0,0,4,0,1.1,1.1,2.6,3.7,44,146,47,0.00,0.16,0.16,0.00,0.16,0.05,0.11,0.15,0.05,0.15,Youssouf Fofana,MF
