Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Player,Position
2021-2022,22,Galatasaray,tr TUR,1. Süper Lig,13th,6,6,540,6.0,9,1.50,22,15,68.2,3,2,1,0,0.0,2,2,0,0,0.0,Matches,Iñaki Peña,GK
2022-2023,23,Barcelona,es ESP,1. La Liga,1st,2,0,73,0.8,2,2.47,4,2,50.0,0,0,0,0,,0,0,0,0,,Matches,Iñaki Peña,GK
2023-2024,24,Barcelona,es ESP,1. La Liga,2nd,10,10,900,10.0,17,1.70,39,22,56.4,6,2,2,2,20.0,0,0,0,0,,Matches,Iñaki Peña,GK
2024-2025,25,Barcelona,es ESP,1. La Liga,3rd,14,13,1216,13.5,17,1.26,48,31,68.8,6,2,5,3,23.1,2,2,0,0,0.0,Matches,Iñaki Peña,GK
7 Seasons,7 Seasons,2 Clubs,,2 Leagues,,32,29,2729,30.3,45,1.48,113,70,63.7,15,6,8,5,17.2,4,4,0,0,0.0,,Iñaki Peña,GK
,,,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Iñaki Peña,GK
Barcelona (7 Seasons),Barcelona (7 Seasons),Barcelona (7 Seasons),,1 League,,26,23,2189,24.3,36,1.48,91,55,62.6,12,4,7,5,21.7,2,2,0,0,0.0,,Iñaki Peña,GK
Galatasaray (1 Season),Galatasaray (1 Season),Galatasaray (1 Season),,1 League,,6,6,540,6.0,9,1.50,22,15,68.2,3,2,1,0,0.0,2,2,0,0,0.0,,Iñaki Peña,GK
,,,,,,,,,,,,,,,,,,,,,,,,,,Iñaki Peña,GK
La Liga (7 Seasons),La Liga (7 Seasons),La Liga (7 Seasons),,,,26,23,2189,24.3,36,1.48,91,55,62.6,12,4,7,5,21.7,2,2,0,0,0.0,,Iñaki Peña,GK
Süper Lig (1 Season),Süper Lig (1 Season),Süper Lig (1 Season),,,,6,6,540,6.0,9,1.50,22,15,68.2,3,2,1,0,0.0,2,2,0,0,0.0,,Iñaki Peña,GK
2010-2011,18,Gladbach,de GER,1. Bundesliga,16th,6,6,540,6.0,3,0.50,22,19,86.4,4,1,1,3,50.0,,,,,,Matches,Marc-André ter Stegen,GK
2011-2012,19,Gladbach,de GER,1. Bundesliga,4th,34,34,3060,34.0,24,0.71,127,103,81.1,17,9,8,15,44.1,,,,,,Matches,Marc-André ter Stegen,GK
2012-2013,20,Gladbach,de GER,1. Bundesliga,8th,34,34,3046,33.8,47,1.39,169,122,72.2,12,11,11,9,26.5,,,,,,Matches,Marc-André ter Stegen,GK
2013-2014,21,Gladbach,de GER,1. Bundesliga,6th,34,34,3060,34.0,43,1.26,185,142,76.8,16,7,11,9,26.5,,,,,,Matches,Marc-André ter Stegen,GK
2015-2016,23,Barcelona,es ESP,1. La Liga,1st,7,6,542,6.0,7,1.16,21,14,66.7,5,0,1,3,50.0,0,0,0,0,,Matches,Marc-André ter Stegen,GK
2016-2017,24,Barcelona,es ESP,1. La Liga,2nd,36,36,3240,36.0,33,0.92,154,121,78.6,27,6,3,13,36.1,0,0,0,0,,Matches,Marc-André ter Stegen,GK
