Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Player
2011-2012,20,Real Sociedad,es ESP,1. La Liga,12th,24.4,9,2,,44,,,,,,,,,,,,,Matches,Iñigo Martínez
2012-2013,21,Real Sociedad,es ESP,1. La Liga,4th,34.0,9,0,,27,,,,,,,,,,,,,Matches,Iñigo Martínez
2013-2014,22,Real Sociedad,es ESP,1. La Liga,7th,34.7,11,0,,34,,,,,,,,,,,,,Matches,Iñigo Martínez
2014-2015,23,Real Sociedad,es ESP,1. La Liga,12th,33.6,6,0,,31,,,,,,,,,,,,,Matches,Iñigo Martínez
2015-2016,24,Real Sociedad,es ESP,1. La Liga,9th,30.0,7,0,0,33,27,2,4,93,44,0,1,0,,,,,Matches,Iñigo Martínez
2016-2017,25,Real Sociedad,es ESP,1. La Liga,6th,33.3,10,1,1,47,37,2,14,60,30,1,3,1,,,,,Matches,Iñigo Martínez
2017-2018,26,Real Sociedad,es ESP,1. La Liga,12th,11.7,0,0,0,10,17,3,13,23,9,0,1,0,83,29,21,58.0,Matches,Iñigo Martínez
2017-2018,26,Athletic Club,es ESP,1. La Liga,16th,16.0,6,0,0,20,18,0,6,30,20,0,0,0,104,40,32,55.6,Matches,Iñigo Martínez
2018-2019,27,Athletic Club,es ESP,1. La Liga,8th,32.2,12,0,0,38,55,0,16,69,26,2,2,0,183,91,69,56.9,Matches,Iñigo Martínez
2019-2020,28,Athletic Club,es ESP,1. La Liga,11th,33.0,10,0,0,30,36,3,19,39,30,0,1,1,210,112,54,67.5,Matches,Iñigo Martínez
2020-2021,29,Athletic Club,es ESP,1. La Liga,10th,28.0,9,1,0,30,35,4,10,28,15,0,0,0,159,69,46,60.0,Matches,Iñigo Martínez
2021-2022,30,Athletic Club,es ESP,1. La Liga,8th,26.0,9,2,1,33,27,2,11,39,13,0,1,0,175,69,46,60.0,Matches,Iñigo Martínez
