Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Player
2011-2012,20,Real Sociedad,es ESP,1. La Liga,12th,24.4,,,,,,,,,,,,,,,,Matches,Iñigo Martínez
2012-2013,21,Real Sociedad,es ESP,1. La Liga,4th,34.0,,,,,,,,,,,,,,,,Matches,Iñigo Martínez
2013-2014,22,Real Sociedad,es ESP,1. La Liga,7th,34.7,,,,,,,,,,,,,,,,Matches,Iñigo Martínez
2014-2015,23,Real Sociedad,es ESP,1. La Liga,12th,33.6,,,,,,,,,,,,,,,,Matches,Iñigo Martínez
2015-2016,24,Real Sociedad,es ESP,1. La Liga,9th,30.0,,,,,,,4,,,,,,,,,Matches,Iñigo Martínez
2016-2017,25,Real Sociedad,es ESP,1. La Liga,6th,33.3,,,,,,,14,,,,,,,,,Matches,Iñigo Martínez
2017-2018,26,Real Sociedad,es ESP,1. La Liga,12th,11.7,780,688,85,52,2,18,13,33,0,0,0,0,611,7,13,Matches,Iñigo Martínez
2017-2018,26,Athletic Club,es ESP,1. La Liga,16th,16.0,780,708,58,40,2,24,6,18,0,0,0,0,595,14,11,Matches,Iñigo Martínez
2018-2019,27,Athletic Club,es ESP,1. La Liga,8th,32.2,1472,1342,127,113,5,66,16,14,0,0,0,0,1138,3,11,Matches,Iñigo Martínez
2019-2020,28,Athletic Club,es ESP,1. La Liga,11th,33.0,1580,1443,125,86,0,54,19,39,0,0,0,0,1200,12,23,Matches,Iñigo Martínez
2020-2021,29,Athletic Club,es ESP,1. La Liga,10th,28.0,1472,1377,88,79,1,37,10,9,0,0,0,0,1208,7,9,Matches,Iñigo Martínez
2021-2022,30,Athletic Club,es ESP,1. La Liga,8th,26.0,1213,1123,85,81,0,42,11,4,0,0,0,0,952,5,12,Matches,Iñigo Martínez
2022-2023,31,Athletic Club,es ESP,1. La Liga,8th,14.9,773,725,46,35,0,26,5,2,0,0,0,0,627,2,7,Matches,Iñigo Martínez
2023-2024,32,Barcelona,es ESP,1. La Liga,2nd,14.4,1132,1092,37,22,3,22,3,8,0,0,0,0,1001,3,4,Matches,Iñigo Martínez
2024-2025,33,Barcelona,es ESP,1. La Liga,1st,15.8,1457,1375,80,67,1,27,1,2,0,0,0,0,1320,2,9,Matches,Iñigo Martínez
14 Seasons,14 Seasons,3 Clubs,,1 League,,382.0,10659,9873,731,575,14,316,102,129,0,0,0,0,8652,55,99,,Iñigo Martínez
