Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Player
2011-2012,20,Real Sociedad,es ESP,1. La Liga,12th,24.4,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Iñigo Martínez
2012-2013,21,Real Sociedad,es ESP,1. La Liga,4th,34.0,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Iñigo Martínez
2013-2014,22,Real Sociedad,es ESP,1. La Liga,7th,34.7,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Iñigo Martínez
2014-2015,23,Real Sociedad,es ESP,1. La Liga,12th,33.6,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Iñigo Martínez
2015-2016,24,Real Sociedad,es ESP,1. La Liga,9th,30.0,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Iñigo Martínez
2016-2017,25,Real Sociedad,es ESP,1. La Liga,6th,33.3,,,,,,,,,,,,,,,2,,,,,,,,,Matches,Iñigo Martínez
2017-2018,26,Real Sociedad,es ESP,1. La Liga,12th,11.7,611,780,78.3,12085,4509,231,253,91.3,281,329,85.4,90,165,54.5,1,0.9,1.3,+0.1,7,73,7,4,84,Matches,Iñigo Martínez
2017-2018,26,Athletic Club,es ESP,1. La Liga,16th,16.0,595,780,76.3,13872,5769,154,178,86.5,309,357,86.6,125,210,59.5,0,0.3,0.7,-0.3,2,81,7,0,71,Matches,Iñigo Martínez
2018-2019,27,Athletic Club,es ESP,1. La Liga,8th,32.2,1138,1472,77.3,25411,9410,366,410,89.3,531,614,86.5,230,411,56.0,0,0.6,1.1,-0.6,7,95,10,2,116,Matches,Iñigo Martínez
2019-2020,28,Athletic Club,es ESP,1. La Liga,11th,33.0,1200,1580,75.9,26737,10432,365,415,88.0,576,689,83.6,245,412,59.5,1,1.0,1.0,0.0,10,117,9,4,132,Matches,Iñigo Martínez
2020-2021,29,Athletic Club,es ESP,1. La Liga,10th,28.0,1208,1472,82.1,25726,9659,350,384,91.1,624,694,89.9,216,342,63.2,0,0.5,1.0,-0.5,6,117,5,0,125,Matches,Iñigo Martínez
2021-2022,30,Athletic Club,es ESP,1. La Liga,8th,26.0,952,1213,78.5,20507,8335,296,342,86.5,485,549,88.3,163,288,56.6,0,0.5,0.7,-0.5,4,60,6,2,78,Matches,Iñigo Martínez
2022-2023,31,Athletic Club,es ESP,1. La Liga,8th,14.9,627,773,81.1,13236,5012,203,234,86.8,305,344,88.7,109,172,63.4,0,0.3,0.2,-0.3,5,52,2,0,60,Matches,Iñigo Martínez
2023-2024,32,Barcelona,es ESP,1. La Liga,2nd,14.4,1001,1132,88.4,18676,6217,403,432,93.3,464,496,93.5,118,173,68.2,0,0.0,0.5,0.0,1,99,5,1,97,Matches,Iñigo Martínez
2024-2025,33,Barcelona,es ESP,1. La Liga,1st,15.8,1320,1457,90.6,25337,8383,479,511,93.7,700,739,94.7,132,181,72.9,1,1.6,0.8,-0.6,11,109,4,1,125,Matches,Iñigo Martínez
14 Seasons,14 Seasons,3 Clubs,,1 League,,382.0,8652,10659,81.2,181587,67726,2847,3159,90.1,4275,4811,88.9,1428,2354,60.7,5,5.8,7.1,-0.8,53,803,55,14,888,,Iñigo Martínez
,,,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Iñigo Martínez
