Season,Age,Squad,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,Player
2011-2012,20,Real Sociedad,es ESP,1. La Liga,12th,26,2200,85,64.3,24.4,26,,23,0,,,,,,,,,,,,,,Matches,Iñigo Martínez
2012-2013,21,Real Sociedad,es ESP,1. La Liga,4th,34,3060,90,89.5,34.0,34,,34,0,,,,,,,,,,,,,,Matches,Iñigo Martínez
2013-2014,22,Real Sociedad,es ESP,1. La Liga,7th,35,3120,89,91.2,34.7,35,,34,0,,,,,,,,,,,,,,Matches,Iñigo Martínez
2014-2015,23,Real Sociedad,es ESP,1. La Liga,12th,34,3026,89,88.5,33.6,34,,33,0,,0,1.24,41,47,-6,-0.18,+0.05,,,,,,Matches,Iñigo Martínez
2015-2016,24,Real Sociedad,es ESP,1. La Liga,9th,30,2700,90,78.9,30.0,30,90,30,0,,1,1.20,36,39,-3,-0.10,-0.10,,,,,,Matches,Iñigo Martínez
2016-2017,25,Real Sociedad,es ESP,1. La Liga,6th,34,2997,88,87.6,33.3,34,88,32,0,,0,1.62,51,46,+5,+0.15,-0.06,,,,,,Matches,Iñigo Martínez
2017-2018,26,Real Sociedad,es ESP,1. La Liga,12th,12,1055,88,30.8,11.7,12,88,11,0,,0,1.08,16,19,-3,-0.26,-0.64,17.0,16.5,+0.5,+0.05,-0.05,Matches,Iñigo Martínez
2017-2018,26,Athletic Club,es ESP,1. La Liga,16th,16,1440,90,42.1,16.0,16,90,16,0,,0,1.00,17,25,-8,-0.50,-0.50,18.4,19.6,-1.2,-0.08,-0.10,Matches,Iñigo Martínez
2018-2019,27,Athletic Club,es ESP,1. La Liga,8th,33,2902,88,84.9,32.2,33,88,32,0,,1,1.30,33,40,-7,-0.22,-0.74,34.9,39.4,-4.4,-0.14,-0.52,Matches,Iñigo Martínez
2019-2020,28,Athletic Club,es ESP,1. La Liga,11th,33,2970,90,86.8,33.0,33,90,33,0,,2,1.42,38,32,+6,+0.18,+0.78,38.5,41.5,-3.0,-0.09,+0.78,Matches,Iñigo Martínez
2020-2021,29,Athletic Club,es ESP,1. La Liga,10th,28,2519,90,73.7,28.0,28,90,27,0,,3,1.11,33,34,-1,-0.04,-0.54,31.9,27.0,+4.9,+0.17,+0.13,Matches,Iñigo Martínez
2021-2022,30,Athletic Club,es ESP,1. La Liga,8th,27,2341,87,68.5,26.0,26,88,23,1,45,0,1.70,28,18,+10,+0.38,+0.63,31.2,25.0,+6.2,+0.24,-0.18,Matches,Iñigo Martínez
