Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Player
2011-2012,20,Real Sociedad,es ESP,1. La Liga,12th,24.4,3,,6,,,0.25,,0.50,,,0,0,,,,,,Matches,Iñigo Martínez
2012-2013,21,Real Sociedad,es ESP,1. La Liga,4th,34.0,4,,8,,,0.24,,0.50,,,0,0,,,,,,Matches,Iñigo Martínez
2013-2014,22,Real Sociedad,es ESP,1. La Liga,7th,34.7,2,,5,,,0.14,,0.40,,,0,0,,,,,,Matches,Iñigo Martínez
2014-2015,23,Real Sociedad,es ESP,1. La Liga,12th,33.6,3,,5,,,0.15,,0.60,,,0,0,,,,,,Matches,Iñigo Martínez
2015-2016,24,Real Sociedad,es ESP,1. La Liga,9th,30.0,1,16,4,25.0,0.53,0.13,0.06,0.25,,,0,0,,,,,,Matches,Iñigo Martínez
2016-2017,25,Real Sociedad,es ESP,1. La Liga,6th,33.3,3,41,13,31.7,1.23,0.39,0.07,0.23,,,0,0,,,,,,Matches,Iñigo Martínez
2017-2018,26,Real Sociedad,es ESP,1. La Liga,12th,11.7,1,11,3,27.3,0.94,0.26,0.09,0.33,16.4,1,0,0,1.0,1.0,0.09,0.0,0.0,Matches,Iñigo Martínez
2017-2018,26,Athletic Club,es ESP,1. La Liga,16th,16.0,0,8,2,25.0,0.50,0.12,0.00,0.00,11.1,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches,Iñigo Martínez
2018-2019,27,Athletic Club,es ESP,1. La Liga,8th,32.2,0,25,4,16.0,0.78,0.12,0.00,0.00,18.1,2,0,0,2.1,2.1,0.08,-2.1,-2.1,Matches,Iñigo Martínez
2019-2020,28,Athletic Club,es ESP,1. La Liga,11th,33.0,1,27,4,14.8,0.82,0.12,0.04,0.25,15.5,4,0,0,2.3,2.3,0.09,-1.3,-1.3,Matches,Iñigo Martínez
2020-2021,29,Athletic Club,es ESP,1. La Liga,10th,28.0,1,18,7,38.9,0.64,0.25,0.06,0.14,19.3,1,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches,Iñigo Martínez
2021-2022,30,Athletic Club,es ESP,1. La Liga,8th,26.0,3,27,8,29.6,1.04,0.31,0.11,0.38,13.4,3,0,0,2.0,2.0,0.07,+1.0,+1.0,Matches,Iñigo Martínez
2022-2023,31,Athletic Club,es ESP,1. La Liga,8th,14.9,1,10,2,20.0,0.67,0.13,0.10,0.50,15.1,3,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches,Iñigo Martínez
2023-2024,32,Barcelona,es ESP,1. La Liga,2nd,14.4,0,8,1,12.5,0.56,0.07,0.00,0.00,11.6,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,Iñigo Martínez
2024-2025,33,Barcelona,es ESP,1. La Liga,1st,15.8,0,7,1,14.3,0.44,0.06,0.00,0.00,15.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,Iñigo Martínez
14 Seasons,14 Seasons,3 Clubs,,1 League,,382.0,23,198,73,24.7,0.78,0.19,0.06,0.32,15.6,14,0,0,10.7,10.7,0.08,-3.7,-3.7,,Iñigo Martínez
,,,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Iñigo Martínez
Real Sociedad (7 Seasons),Real Sociedad (7 Seasons),Real Sociedad (7 Seasons),,1 League,,201.8,17,68,44,29.4,0.91,0.22,0.07,0.39,16.4,1,0,0,1.0,1.0,0.09,0.0,0.0,,Iñigo Martínez
Athletic Club (6 Seasons),Athletic Club (6 Seasons),Athletic Club (6 Seasons),,1 League,,150.1,6,115,27,23.5,0.77,0.18,0.05,0.22,15.8,13,0,0,9.0,9.0,0.08,-3.0,-3.0,,Iñigo Martínez
