Season,Age,Squad,Country,Comp,LgRank,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Player,Position
2010-2011,20,Kaiserslautern,de GER,1. Bundesliga,7th,9.0,9,,,,,,,,,,,,,,,,,,,,,,,,,Kevin Trapp,GK
2011-2012,21,Kaiserslautern,de GER,1. Bundesliga,18th,23.0,32,,,,,,,,,,,,,,,,,,,,,,,,,Kevin Trapp,GK
2012-2013,22,Eint Frankfurt,de GER,1. Bundesliga,6th,26.0,37,,,,,,,,,,,,,,,,,,,,,,,,,Kevin Trapp,GK
2013-2014,23,Eint Frankfurt,de GER,1. Bundesliga,13th,33.8,57,,,,,,,,,,,,,,,,,,,,,,,,,Kevin Trapp,GK
2014-2015,24,Eint Frankfurt,de GER,1. Bundesliga,9th,22.0,35,,,,,,,,,,,,,,,,,,,,,,,,,Kevin Trapp,GK
2015-2016,25,Paris S-G,fr FRA,1. Ligue 1,1st,34.5,19,,,,,,,,,,,,,,,,,,,,,,,,,Kevin Trapp,GK
2016-2017,26,Paris S-G,fr FRA,1. Ligue 1,2nd,23.6,13,1,,,,,,,,,,,,,,,,,,,,,,,,Kevin Trapp,GK
2017-2018,27,Paris S-G,fr FRA,1. Ligue 1,1st,4.0,4,2,0,0,0,4.9,0.17,+0.9,+0.23,4,8,50.0,71,20,11.3,22.3,21,0.0,23.5,66,4,6.1,5,1.25,15.8,Kevin Trapp,GK
2018-2019,28,Eint Frankfurt,de GER,1. Bundesliga,7th,32.6,48,1,1,5,1,43.4,0.28,-3.6,-0.11,330,705,46.8,982,104,53.1,38.3,222,82.9,56.6,441,19,4.3,37,1.13,15.4,Kevin Trapp,GK
2019-2020,29,Eint Frankfurt,de GER,1. Bundesliga,9th,22.0,38,1,1,3,2,32.1,0.30,-3.9,-0.18,153,359,42.6,792,89,36.7,33.2,145,46.9,39.7,261,15,5.7,32,1.45,16.1,Kevin Trapp,GK
2020-2021,30,Eint Frankfurt,de GER,1. Bundesliga,5th,33.0,52,4,1,5,2,44.6,0.27,-5.4,-0.16,222,574,38.7,1088,163,41.2,34.4,265,47.5,41.6,459,14,3.1,51,1.55,15.7,Kevin Trapp,GK
2021-2022,31,Eint Frankfurt,de GER,1. Bundesliga,11th,32.0,46,4,0,3,1,50.8,0.30,+5.8,+0.18,157,539,29.1,1001,146,41.8,34.6,250,48.4,42.6,426,19,4.5,43,1.34,16.4,Kevin Trapp,GK
2022-2023,32,Eint Frankfurt,de GER,1. Bundesliga,7th,33.0,51,2,1,7,1,42.3,0.32,-7.7,-0.23,80,326,24.5,664,128,39.2,34.8,219,30.1,34.1,401,17,4.2,24,0.73,14.4,Kevin Trapp,GK
2023-2024,33,Eint Frankfurt,de GER,1. Bundesliga,6th,32.0,48,9,0,4,0,48.3,0.28,+0.3,+0.01,102,361,28.3,949,137,28.9,29.8,212,41.0,36.2,452,16,3.5,30,0.94,15.2,Kevin Trapp,GK
2024-2025,34,Eint Frankfurt,de GER,1. Bundesliga,3rd,10.5,14,0,0,3,0,15.4,0.26,+1.4,+0.13,35,114,30.7,320,52,28.1,28.6,59,40.7,36.5,167,6,3.6,9,0.86,14.1,Kevin Trapp,GK
2024-2025,21,Eint Frankfurt,de GER,1. Bundesliga,3rd,4.5,9,1,0,3,1,8.0,0.24,0.0,0.00,12,49,24.5,145,23,29.0,30.9,16,43.8,38.8,77,9,11.7,8,1.78,13.6,Kauã Santos,GK
2013-2014,24,Hoffenheim,de GER,1. Bundesliga,9th,11.0,17,,,,,,,,,,,,,,,,,,,,,,,,,Jens Grahl,GK
2015-2016,26,Hoffenheim,de GER,1. Bundesliga,15th,1.0,4,,,,,,,,,,,,,,,,,,,,,,,,,Jens Grahl,GK
2021-2022,32,Eint Frankfurt,de GER,1. Bundesliga,11th,1.0,2,0,0,0,0,0.7,0.16,-1.3,-1.35,1,4,25.0,18,5,0.0,21.9,11,36.4,36.8,10,1,10.0,0,0.00,10.8,Jens Grahl,GK
2023-2024,34,Eint Frankfurt,de GER,1. Bundesliga,6th,2.0,2,0,0,0,0,1.4,0.15,-0.6,-0.31,4,29,13.8,77,15,31.2,34.4,15,33.3,37.9,33,4,12.1,4,2.00,15.7,Jens Grahl,GK
