Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2016-2017,20,Kaiserslautern,de GER,2. 2. Bundesliga,13th,23.5,,0,,,,,,,,,,,0,,,,Robin Koch,DF
2017-2018,21,Kaiserslautern,de GER,2. 2. Bundesliga,18th,3.0,5,5,3,2,0,3,5,60.0,2,2,1,1,8,13,12,0,Robin Koch,DF
2017-2018,21,Freiburg,de GER,1. Bundesliga,15th,21.3,34,24,21,13,0,10,18,55.6,8,27,11,16,35,69,67,0,Robin Koch,DF
2018-2019,22,Freiburg,de GER,1. Bundesliga,13th,21.1,25,14,17,7,1,7,24,29.2,17,31,18,13,32,57,77,4,Robin Koch,DF
2019-2020,23,Freiburg,de GER,1. Bundesliga,8th,30.1,34,20,20,13,1,11,26,42.3,15,30,22,8,45,79,94,4,Robin Koch,DF
2020-2021,24,Leeds United,eng ENG,Jr. PL2 — Div. 2,1st,1.2,,,,,,,,,,,,,,,,,Robin Koch,DF
2020-2021,24,Leeds United,eng ENG,1. Premier League,9th,12.6,27,16,17,10,0,10,19,52.6,9,18,12,6,27,54,34,2,Robin Koch,DF
2021-2022,25,Leeds United,eng ENG,1. Premier League,17th,17.5,21,13,9,10,2,9,34,26.5,25,26,10,16,20,41,44,0,Robin Koch,DF
2022-2023,26,Leeds United,eng ENG,1. Premier League,19th,35.3,53,30,32,16,5,24,56,42.9,32,44,21,23,43,96,152,1,Robin Koch,DF
2023-2024,27,Eint Frankfurt,de GER,1. Bundesliga,6th,30.4,38,23,26,12,0,17,27,63.0,10,33,24,9,32,70,136,2,Robin Koch,DF
2024-2025,28,Eint Frankfurt,de GER,1. Bundesliga,3rd,14.8,10,4,6,3,1,3,11,27.3,8,29,18,11,13,23,74,3,Robin Koch,DF
2017-2018,18,Wolfsburg U19,de GER,Jr. U19 Bundesliga,11th,2.4,,,,,,,,,,,,,,,,,Omar Marmoush,"FW,MF"
