Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Player,Position
2010-2011,20,Kaiserslautern,de GER,1. Bundesliga,7th,9,9,810,9.0,9,1.00,39,30,76.9,7,0,2,3,33.3,,,,,,Kevin Trapp,GK
2011-2012,21,Kaiserslautern,de GER,1. Bundesliga,18th,23,23,2070,23.0,32,1.39,117,85,72.6,3,9,11,2,8.7,,,,,,Kevin Trapp,GK
2012-2013,22,Eint Frankfurt,de GER,1. Bundesliga,6th,26,26,2340,26.0,37,1.42,134,97,72.4,11,6,9,6,23.1,,,,,,Kevin Trapp,GK
2013-2014,23,Eint Frankfurt,de GER,1. Bundesliga,13th,34,34,3046,33.8,57,1.68,188,131,69.7,9,9,16,9,26.5,,,,,,Kevin Trapp,GK
2014-2015,24,Eint Frankfurt,de GER,1. Bundesliga,9th,22,22,1979,22.0,35,1.59,122,87,71.3,6,7,8,4,18.2,,,,,,Kevin Trapp,GK
2015-2016,25,Paris S-G,fr FRA,1. Ligue 1,1st,35,35,3105,34.5,19,0.55,101,82,81.2,27,6,2,18,51.4,,,,,,Kevin Trapp,GK
2016-2017,26,Paris S-G,fr FRA,1. Ligue 1,2nd,24,24,2123,23.6,13,0.55,55,42,78.2,18,4,2,15,62.5,2,1,1,0,50.0,Kevin Trapp,GK
2017-2018,27,Paris S-G,fr FRA,1. Ligue 1,1st,4,4,360,4.0,4,1.00,17,13,88.2,3,0,1,1,25.0,2,2,0,0,0.0,Kevin Trapp,GK
2018-2019,28,Eint Frankfurt,de GER,1. Bundesliga,7th,33,33,2938,32.6,48,1.47,158,111,70.3,14,9,10,8,24.2,1,1,0,0,0.0,Kevin Trapp,GK
2019-2020,29,Eint Frankfurt,de GER,1. Bundesliga,9th,22,22,1980,22.0,38,1.73,105,69,64.8,11,3,8,4,18.2,1,1,0,0,0.0,Kevin Trapp,GK
2020-2021,30,Eint Frankfurt,de GER,1. Bundesliga,5th,33,33,2970,33.0,52,1.58,150,99,68.0,15,12,6,4,12.1,6,4,1,1,20.0,Kevin Trapp,GK
2021-2022,31,Eint Frankfurt,de GER,1. Bundesliga,11th,32,32,2880,32.0,46,1.44,157,112,73.2,10,11,11,5,15.6,4,4,0,0,0.0,Kevin Trapp,GK
2022-2023,32,Eint Frankfurt,de GER,1. Bundesliga,7th,33,33,2970,33.0,51,1.55,130,80,62.3,13,10,10,6,18.2,2,2,0,0,0.0,Kevin Trapp,GK
2023-2024,33,Eint Frankfurt,de GER,1. Bundesliga,6th,32,32,2880,32.0,48,1.50,137,87,71.5,10,13,9,7,21.9,11,9,2,0,18.2,Kevin Trapp,GK
2024-2025,34,Eint Frankfurt,de GER,1. Bundesliga,3rd,11,11,945,10.5,14,1.33,55,39,74.5,6,2,3,2,18.2,2,0,2,0,100.0,Kevin Trapp,GK
2024-2025,21,Eint Frankfurt,de GER,1. Bundesliga,3rd,5,4,405,4.5,9,2.00,30,22,73.3,2,1,1,1,25.0,1,1,0,0,0.0,Kauã Santos,GK
2013-2014,24,Hoffenheim,de GER,1. Bundesliga,9th,11,11,990,11.0,17,1.55,64,47,73.4,5,3,3,2,18.2,,,,,,Jens Grahl,GK
2015-2016,26,Hoffenheim,de GER,1. Bundesliga,15th,1,1,90,1.0,4,4.00,8,4,50.0,0,0,1,0,0.0,,,,,,Jens Grahl,GK
2021-2022,32,Eint Frankfurt,de GER,1. Bundesliga,11th,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Jens Grahl,GK
2023-2024,34,Eint Frankfurt,de GER,1. Bundesliga,6th,2,2,180,2.0,2,1.00,9,7,77.8,1,1,0,0,0.0,0,0,0,0,,Jens Grahl,GK
2023-2024,16,Frankfurt U17,de GER,Jr. U17 Bundesliga,4th,4,4,360,4.0,,,,,,3,1,0,0,0.0,1,1,0,0,0.0,Amil Siljević,GK
2023-2024,16,Frankfurt U19,de GER,Jr. U19 Bundesliga,15th,3,3,270,3.0,,,,,,0,1,2,0,0.0,0,0,0,0,,Amil Siljević,GK
2024-2025,17,Frankfurt U19,de GER,Jr. U19 DFB Youth League,12th,8,8,720,8.0,7,0.87,,,,7,0,1,5,62.5,0,0,0,0,,Amil Siljević,GK
