Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2016-2017,20,Kaiserslautern,de GER,2. 2. Bundesliga,13th,23.5,,,,,,,,,,,,,,,,,Robin Koch,DF
2017-2018,21,Kaiserslautern,de GER,2. 2. Bundesliga,18th,3.0,2,0.67,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Robin Koch,DF
2017-2018,21,Freiburg,de GER,1. Bundesliga,15th,21.3,14,0.66,13,0,0,1,0,0,4,0.19,3,0,0,1,0,0,Robin Koch,DF
2018-2019,22,Freiburg,de GER,1. Bundesliga,13th,21.1,17,0.80,14,0,1,0,2,0,2,0.09,2,0,0,0,0,0,Robin Koch,DF
2019-2020,23,Freiburg,de GER,1. Bundesliga,8th,30.1,39,1.30,33,0,1,4,1,0,0,0.00,0,0,0,0,0,0,Robin Koch,DF
2020-2021,24,Leeds United,eng ENG,Jr. PL2 — Div. 2,1st,1.2,,,,,,,,,,,,,,,,,Robin Koch,DF
2020-2021,24,Leeds United,eng ENG,1. Premier League,9th,12.6,11,0.87,11,0,0,0,0,0,2,0.16,2,0,0,0,0,0,Robin Koch,DF
2021-2022,25,Leeds United,eng ENG,1. Premier League,17th,17.5,24,1.37,21,1,0,1,1,0,2,0.11,2,0,0,0,0,0,Robin Koch,DF
2022-2023,26,Leeds United,eng ENG,1. Premier League,19th,35.3,15,0.43,11,2,0,2,0,0,2,0.06,2,0,0,0,0,0,Robin Koch,DF
2023-2024,27,Eint Frankfurt,de GER,1. Bundesliga,6th,30.4,18,0.59,15,0,0,3,0,0,3,0.10,3,0,0,0,0,0,Robin Koch,DF
2024-2025,28,Eint Frankfurt,de GER,1. Bundesliga,3rd,14.8,9,0.61,7,0,0,2,0,0,2,0.14,2,0,0,0,0,0,Robin Koch,DF
2017-2018,18,Wolfsburg U19,de GER,Jr. U19 Bundesliga,11th,2.4,,,,,,,,,,,,,,,,,Omar Marmoush,"FW,MF"
2019-2020,20,Wolfsburg,de GER,1. Bundesliga,7th,0.9,1,1.11,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Omar Marmoush,"FW,MF"
2020-2021,21,St. Pauli,de GER,2. 2. Bundesliga,10th,17.0,60,3.53,29,0,10,8,12,1,8,0.47,3,0,2,1,2,0,Omar Marmoush,"FW,MF"
2020-2021,21,Wolfsburg,de GER,1. Bundesliga,4th,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Omar Marmoush,"FW,MF"
2021-2022,22,Stuttgart,de GER,1. Bundesliga,15th,17.5,70,4.01,34,17,9,8,2,0,10,0.57,3,3,1,2,1,0,Omar Marmoush,"FW,MF"
2021-2022,22,Wolfsburg,de GER,1. Bundesliga,12th,0.3,1,3.75,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Omar Marmoush,"FW,MF"
2022-2023,23,Wolfsburg,de GER,1. Bundesliga,8th,16.4,43,2.62,26,1,9,3,4,0,5,0.30,3,0,2,0,0,0,Omar Marmoush,"FW,MF"
2023-2024,24,Eint Frankfurt,de GER,1. Bundesliga,6th,25.6,75,2.93,40,5,10,6,12,2,12,0.47,5,1,2,2,2,0,Omar Marmoush,"FW,MF"
2024-2025,25,Eint Frankfurt,de GER,1. Bundesliga,3rd,14.1,81,5.73,35,18,12,8,7,1,18,1.27,6,2,6,2,2,0,Omar Marmoush,"FW,MF"
2020-2021,20,Oostende,be BEL,1. First Division A,6th,28.6,19,0.66,17,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Arthur Theate,DF
2021-2022,21,Oostende,be BEL,1. First Division A,13th,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Arthur Theate,DF
2021-2022,21,Bologna,it ITA,1. Serie A,13th,26.9,24,0.89,23,0,0,1,0,0,4,0.15,4,0,0,0,0,0,Arthur Theate,DF
2022-2023,22,Rennes,fr FRA,1. Ligue 1,4th,34.7,23,0.66,22,0,0,0,0,1,2,0.06,2,0,0,0,0,0,Arthur Theate,DF
