Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Player,Position,Score
2024-12-21,Sat,Bundesliga,Matchweek 15,Home,L,Eint Frankfurt,Mainz 05,Y*,CB,90.0,0,0.0,0.0,0.0,3.0,2.0,0,0,93,2.0,1.0,1.0,0.2,0.2,0.1,2.0,0.0,71.0,79.0,89.9,2.0,52.0,3.0,0.0,0,Robin Koch,DF,1–3
2024-12-15,Sun,Bundesliga,Matchweek 14,Away,L,Eint Frankfurt,RB Leipzig,Y,CB,90.0,0,0.0,0.0,0.0,0.0,0.0,0,0,85,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,76.0,79.0,96.2,2.0,62.0,0.0,0.0,0,Robin Koch,DF,1–2
2024-12-07,Sat,Bundesliga,Matchweek 13,Home,D,Eint Frankfurt,Augsburg,Y,CB,90.0,0,0.0,0.0,0.0,0.0,0.0,1,0,96,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,78.0,88.0,88.6,6.0,62.0,2.0,0.0,0,Robin Koch,DF,2–2
2024-12-01,Sun,Bundesliga,Matchweek 12,Away,W,Eint Frankfurt,Heidenheim,Y,CB,90.0,0,0.0,0.0,0.0,0.0,0.0,0,0,65,0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,54.0,54.0,100.0,5.0,33.0,0.0,0.0,0,Robin Koch,DF,4–0
2024-11-23,Sat,Bundesliga,Matchweek 11,Home,W,Eint Frankfurt,Werder Bremen,Y,CB,90.0,0,0.0,0.0,0.0,0.0,0.0,0,0,70,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,53.0,59.0,89.8,0.0,34.0,0.0,0.0,0,Robin Koch,DF,1–0
2024-12-21,Sat,Bundesliga,Matchweek 15,Home,L,Eint Frankfurt,Mainz 05,Y,FW,90.0,0,0.0,0.0,0.0,5.0,0.0,0,0,36,1.0,1.0,0.0,0.4,0.4,0.0,2.0,0.0,13.0,23.0,56.5,2.0,17.0,4.0,2.0,1,Omar Marmoush,"FW,MF",1–3
2024-12-15,Sun,Bundesliga,Matchweek 14,Away,L,Eint Frankfurt,RB Leipzig,Y,FW,90.0,0,0.0,0.0,0.0,3.0,1.0,0,0,45,1.0,0.0,0.0,0.1,0.1,0.2,7.0,0.0,24.0,38.0,63.2,3.0,27.0,2.0,4.0,4,Omar Marmoush,"FW,MF",1–2
2024-12-07,Sat,Bundesliga,Matchweek 13,Home,D,Eint Frankfurt,Augsburg,Y,FW,90.0,0,0.0,0.0,0.0,3.0,0.0,0,0,42,2.0,0.0,0.0,0.2,0.2,0.1,6.0,0.0,21.0,33.0,63.6,3.0,26.0,3.0,2.0,2,Omar Marmoush,"FW,MF",2–2
2024-12-01,Sun,Bundesliga,Matchweek 12,Away,W,Eint Frankfurt,Heidenheim,Y,FW,90.0,2,0.0,0.0,0.0,7.0,4.0,0,0,65,0.0,0.0,0.0,1.1,1.1,0.0,5.0,1.0,32.0,49.0,65.3,2.0,45.0,8.0,6.0,3,Omar Marmoush,"FW,MF",4–0
2024-11-23,Sat,Bundesliga,Matchweek 11,Home,W,Eint Frankfurt,Werder Bremen,Y,FW,80.0,0,0.0,0.0,0.0,5.0,2.0,1,0,47,0.0,0.0,0.0,0.2,0.2,0.1,6.0,0.0,24.0,28.0,85.7,4.0,31.0,6.0,10.0,4,Omar Marmoush,"FW,MF",1–0
2024-12-21,Sat,Bundesliga,Matchweek 15,Home,L,Eint Frankfurt,Mainz 05,Y,CB,90.0,0,0.0,0.0,0.0,4.0,1.0,0,0,105,0.0,4.0,2.0,0.1,0.1,0.0,3.0,0.0,73.0,90.0,81.1,13.0,51.0,3.0,1.0,0,Arthur Theate,DF,1–3
2024-12-15,Sun,Bundesliga,Matchweek 14,Away,L,Eint Frankfurt,RB Leipzig,Y,CB,90.0,0,0.0,0.0,0.0,3.0,0.0,0,0,105,0.0,1.0,2.0,0.1,0.1,0.1,2.0,1.0,80.0,89.0,89.9,8.0,79.0,4.0,0.0,0,Arthur Theate,DF,1–2
2024-12-07,Sat,Bundesliga,Matchweek 13,Home,D,Eint Frankfurt,Augsburg,Y,CB,90.0,0,0.0,0.0,0.0,1.0,0.0,0,0,98,3.0,1.0,1.0,0.1,0.1,0.0,0.0,0.0,77.0,90.0,85.6,5.0,75.0,2.0,0.0,0,Arthur Theate,DF,2–2
2024-12-01,Sun,Bundesliga,Matchweek 12,Away,W,Eint Frankfurt,Heidenheim,Y,LB,90.0,0,0.0,0.0,0.0,1.0,0.0,1,0,94,3.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,59.0,74.0,79.7,5.0,45.0,3.0,0.0,0,Arthur Theate,DF,4–0
2024-11-23,Sat,Bundesliga,Matchweek 11,Home,W,Eint Frankfurt,Werder Bremen,Y,CB,90.0,0,0.0,0.0,0.0,2.0,1.0,0,0,88,2.0,1.0,2.0,0.1,0.1,0.2,1.0,0.0,59.0,75.0,78.7,9.0,60.0,2.0,0.0,0,Arthur Theate,DF,1–0
2024-12-07,Sat,Bundesliga,Matchweek 13,Home,D,Eint Frankfurt,Augsburg,Y,DM,90.0,0,0.0,0.0,0.0,0.0,0.0,0,0,76,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,57.0,68.0,83.8,6.0,49.0,1.0,3.0,3,Tuta,"DF,MF",2–2
2024-12-01,Sun,Bundesliga,Matchweek 12,Away,W,Eint Frankfurt,Heidenheim,Y,CB,67.0,0,0.0,0.0,0.0,0.0,0.0,1,0,44,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,36.0,88.9,2.0,30.0,0.0,0.0,0,Tuta,"DF,MF",4–0
2024-11-23,Sat,Bundesliga,Matchweek 11,Home,W,Eint Frankfurt,Werder Bremen,Y,CM,90.0,0,0.0,0.0,0.0,2.0,0.0,0,0,58,2.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,40.0,45.0,88.9,4.0,29.0,0.0,2.0,1,Tuta,"DF,MF",1–0
2024-11-10,Sun,Bundesliga,Matchweek 10,Away,W,Eint Frankfurt,Stuttgart,Y,CB,90.0,0,0.0,0.0,0.0,0.0,0.0,1,0,70,6.0,1.0,3.0,0.0,0.0,0.2,1.0,0.0,42.0,50.0,84.0,0.0,32.0,0.0,0.0,0,Tuta,"DF,MF",3–2
2024-11-02,Sat,Bundesliga,Matchweek 9,Home,W,Eint Frankfurt,Bochum,Y,CB,80.0,0,0.0,0.0,0.0,1.0,0.0,0,0,80,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,67.0,95.5,2.0,46.0,0.0,0.0,0,Tuta,"DF,MF",7–2
2024-12-21,Sat,Bundesliga,Matchweek 15,Home,L,Eint Frankfurt,Mainz 05,Y,FW,60.0,0,0.0,0.0,0.0,2.0,1.0,0,0,21,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,13.0,16.0,81.3,1.0,11.0,2.0,3.0,2,Hugo Ekitike,FW,1–3
2024-12-15,Sun,Bundesliga,Matchweek 14,Away,L,Eint Frankfurt,RB Leipzig,Y,AM,74.0,0,0.0,0.0,0.0,3.0,0.0,0,0,20,1.0,0.0,1.0,0.1,0.1,0.2,2.0,0.0,9.0,12.0,75.0,1.0,9.0,0.0,2.0,1,Hugo Ekitike,FW,1–2
2024-12-07,Sat,Bundesliga,Matchweek 13,Home,D,Eint Frankfurt,Augsburg,Y,FW,89.0,1,0.0,0.0,0.0,2.0,1.0,0,0,36,3.0,1.0,0.0,0.9,0.9,0.2,4.0,0.0,19.0,27.0,70.4,0.0,30.0,3.0,3.0,2,Hugo Ekitike,FW,2–2
2024-12-01,Sun,Bundesliga,Matchweek 12,Away,W,Eint Frankfurt,Heidenheim,N,LM,18.0,1,0.0,0.0,0.0,3.0,2.0,0,0,14,0.0,0.0,0.0,1.2,1.2,0.1,2.0,0.0,4.0,9.0,44.4,0.0,10.0,1.0,1.0,1,Hugo Ekitike,FW,4–0
2024-11-23,Sat,Bundesliga,Matchweek 11,Home,W,Eint Frankfurt,Werder Bremen,Y,FW,88.0,0,1.0,0.0,0.0,4.0,1.0,0,0,30,0.0,0.0,0.0,0.5,0.5,0.4,5.0,1.0,19.0,22.0,86.4,2.0,18.0,2.0,4.0,4,Hugo Ekitike,FW,1–0
2024-12-21,Sat,Bundesliga,Matchweek 15,Home,L,Eint Frankfurt,Mainz 05,Y,CB,90.0,1,0.0,0.0,0.0,4.0,1.0,0,0,98,3.0,1.0,2.0,0.3,0.3,0.0,7.0,0.0,62.0,85.0,72.9,10.0,66.0,3.0,1.0,1,Rasmus Kristensen,DF,1–3
2024-12-15,Sun,Bundesliga,Matchweek 14,Away,L,Eint Frankfurt,RB Leipzig,Y,CB,90.0,0,0.0,0.0,0.0,1.0,0.0,0,0,97,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,76.0,90.0,84.4,16.0,69.0,5.0,2.0,2,Rasmus Kristensen,DF,1–2
2024-12-07,Sat,Bundesliga,Matchweek 13,Home,D,Eint Frankfurt,Augsburg,Y,RB,90.0,0,0.0,0.0,0.0,0.0,0.0,0,0,94,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,71.0,84.0,84.5,17.0,69.0,6.0,0.0,0,Rasmus Kristensen,DF,2–2
2024-12-01,Sun,Bundesliga,Matchweek 12,Away,W,Eint Frankfurt,Heidenheim,Y,"RB,CB",90.0,0,0.0,0.0,0.0,0.0,0.0,0,0,80,0.0,3.0,2.0,0.0,0.0,0.1,2.0,0.0,58.0,70.0,82.9,9.0,51.0,5.0,1.0,1,Rasmus Kristensen,DF,4–0
2024-10-27,Sun,Bundesliga,Matchweek 8,Away,D,Eint Frankfurt,Union Berlin,Y,WB,37.0,0,0.0,0.0,0.0,0.0,0.0,0,0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,29.0,65.5,2.0,10.0,0.0,0.0,0,Rasmus Kristensen,DF,1–1
2024-12-21,Sat,Bundesliga,Matchweek 15,Home,L,Eint Frankfurt,Mainz 05,N,CM,45.0,0,0.0,0.0,0.0,1.0,0.0,0,0,40,1.0,0.0,0.0,0.2,0.2,0.2,3.0,0.0,35.0,38.0,92.1,7.0,27.0,2.0,1.0,1,Hugo Larsson,MF,1–3
2024-12-15,Sun,Bundesliga,Matchweek 14,Away,L,Eint Frankfurt,RB Leipzig,Y,CM,90.0,0,0.0,0.0,0.0,1.0,1.0,0,0,53,1.0,1.0,0.0,0.2,0.2,0.0,3.0,0.0,46.0,50.0,92.0,3.0,35.0,1.0,0.0,0,Hugo Larsson,MF,1–2
2024-12-01,Sun,Bundesliga,Matchweek 12,Away,W,Eint Frankfurt,Heidenheim,Y,CM,78.0,0,0.0,0.0,0.0,0.0,0.0,0,0,59,3.0,3.0,2.0,0.0,0.0,0.1,2.0,0.0,46.0,48.0,95.8,6.0,35.0,0.0,1.0,1,Hugo Larsson,MF,4–0
2024-11-23,Sat,Bundesliga,Matchweek 11,Home,W,Eint Frankfurt,Werder Bremen,N,RM,10.0,0,0.0,0.0,0.0,0.0,0.0,0,0,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,0.0,4.0,0.0,1.0,1,Hugo Larsson,MF,1–0
2024-11-10,Sun,Bundesliga,Matchweek 10,Away,W,Eint Frankfurt,Stuttgart,Y,CM,55.0,0,0.0,0.0,0.0,0.0,0.0,0,0,39,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,35.0,91.4,4.0,21.0,0.0,0.0,0,Hugo Larsson,MF,3–2
2024-12-15,Sun,Bundesliga,Matchweek 14,Away,L,Eint Frankfurt,RB Leipzig,Y*,GK,90.0,9,2.0,7.0,77.8,0.0,2.4,0,0,0,0.0,0.0,2.0,0.0,24.0,7.0,4.2,19.8,4.0,25.0,32.3,9.0,0.0,0.0,0.0,18.5,Kevin Trapp,GK,1–2
2024-12-07,Sat,Bundesliga,Matchweek 13,Home,D,Eint Frankfurt,Augsburg,Y*,GK,90.0,3,2.0,1.0,33.3,0.0,0.4,0,0,0,0.0,1.0,1.0,100.0,16.0,2.0,6.3,20.1,3.0,0.0,25.7,6.0,0.0,0.0,4.0,22.8,Kevin Trapp,GK,2–2
2024-12-01,Sun,Bundesliga,Matchweek 12,Away,W,Eint Frankfurt,Heidenheim,Y*,GK,90.0,1,0.0,1.0,100.0,1.0,0.4,0,0,0,0.0,3.0,12.0,25.0,23.0,3.0,43.5,34.6,2.0,100.0,74.0,15.0,1.0,6.7,1.0,12.2,Kevin Trapp,GK,4–0
2024-11-23,Sat,Bundesliga,Matchweek 11,Home,W,Eint Frankfurt,Werder Bremen,Y*,GK,90.0,1,0.0,1.0,100.0,1.0,0.1,0,0,0,0.0,5.0,13.0,38.5,30.0,5.0,36.7,31.2,7.0,28.6,33.6,17.0,2.0,11.8,1.0,17.7,Kevin Trapp,GK,1–0
2024-11-10,Sun,Bundesliga,Matchweek 10,Away,W,Eint Frankfurt,Stuttgart,Y*,GK,90.0,10,2.0,7.0,80.0,0.0,2.5,1,0,1,0.0,2.0,14.0,14.3,39.0,6.0,30.8,31.3,5.0,40.0,37.8,20.0,1.0,5.0,1.0,17.0,Kevin Trapp,GK,3–2
2024-12-21,Sat,Bundesliga,Matchweek 15,Home,L,Eint Frankfurt,Mainz 05,Y,CM,45.0,0,0.0,0.0,0.0,1.0,0.0,0,0,49,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,42.0,44.0,95.5,6.0,31.0,0.0,0.0,0,Ellyes Skhiri,MF,1–3
2024-12-01,Sun,Bundesliga,Matchweek 12,Away,W,Eint Frankfurt,Heidenheim,Y,CM,90.0,0,0.0,0.0,0.0,1.0,0.0,0,0,71,2.0,2.0,2.0,0.1,0.1,0.1,4.0,1.0,60.0,64.0,93.8,8.0,47.0,1.0,1.0,1,Ellyes Skhiri,MF,4–0
2024-11-23,Sat,Bundesliga,Matchweek 11,Home,W,Eint Frankfurt,Werder Bremen,Y,CM,90.0,0,0.0,0.0,0.0,1.0,0.0,1,0,67,0.0,0.0,1.0,0.0,0.0,0.2,4.0,0.0,55.0,61.0,90.2,9.0,43.0,1.0,1.0,1,Ellyes Skhiri,MF,1–0
2024-11-10,Sun,Bundesliga,Matchweek 10,Away,W,Eint Frankfurt,Stuttgart,Y,CM,90.0,0,0.0,0.0,0.0,0.0,0.0,0,0,48,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,33.0,37.0,89.2,2.0,20.0,0.0,0.0,0,Ellyes Skhiri,MF,3–2
2024-11-02,Sat,Bundesliga,Matchweek 9,Home,W,Eint Frankfurt,Bochum,Y,CM,72.0,0,1.0,0.0,0.0,0.0,0.0,0,0,53,0.0,0.0,1.0,0.0,0.0,0.1,3.0,1.0,41.0,48.0,85.4,5.0,27.0,0.0,0.0,0,Ellyes Skhiri,MF,7–2
2024-12-21,Sat,Bundesliga,Matchweek 15,Home,L,Eint Frankfurt,Mainz 05,N,WB,31.0,0,0.0,0.0,0.0,3.0,0.0,0,0,21,2.0,0.0,0.0,0.1,0.1,0.1,2.0,0.0,11.0,15.0,73.3,3.0,16.0,0.0,1.0,1,Ansgar Knauff,"MF,DF",1–3
2024-12-15,Sun,Bundesliga,Matchweek 14,Away,L,Eint Frankfurt,RB Leipzig,Y,WB,74.0,0,0.0,0.0,0.0,1.0,0.0,1,0,44,3.0,2.0,0.0,0.1,0.1,0.0,3.0,0.0,25.0,35.0,71.4,1.0,23.0,0.0,1.0,0,Ansgar Knauff,"MF,DF",1–2
2024-12-07,Sat,Bundesliga,Matchweek 13,Home,D,Eint Frankfurt,Augsburg,Y,AM,71.0,0,1.0,0.0,0.0,3.0,1.0,0,0,59,2.0,1.0,2.0,0.2,0.2,0.8,5.0,1.0,30.0,43.0,69.8,4.0,41.0,10.0,1.0,1,Ansgar Knauff,"MF,DF",2–2
2024-12-01,Sun,Bundesliga,Matchweek 12,Away,W,Eint Frankfurt,Heidenheim,N,RM,23.0,0,1.0,0.0,0.0,0.0,0.0,0,0,14,1.0,0.0,0.0,0.0,0.0,1.1,2.0,1.0,4.0,9.0,44.4,1.0,10.0,2.0,1.0,0,Ansgar Knauff,"MF,DF",4–0
2024-11-23,Sat,Bundesliga,Matchweek 11,Home,W,Eint Frankfurt,Werder Bremen,Y,LM,64.0,0,0.0,0.0,0.0,0.0,0.0,0,0,29,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,16.0,23.0,69.6,2.0,19.0,2.0,3.0,0,Ansgar Knauff,"MF,DF",1–0
