Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Player,Position
2016-2017,20,Kaiserslautern,de GER,2. 2. Bundesliga,13th,23.5,3,0,0,30,0,0,0,0,0,0,0,0,,,,,Robin Koch,DF
2017-2018,21,Kaiserslautern,de GER,2. 2. Bundesliga,18th,3.0,0,0,0,0,2,0,0,8,5,0,0,0,6,9,11,45.0,Robin Koch,DF
2017-2018,21,Freiburg,de GER,1. Bundesliga,15th,21.3,3,0,0,31,16,0,1,35,24,0,0,0,106,78,58,57.4,Robin Koch,DF
2018-2019,22,Freiburg,de GER,1. Bundesliga,13th,21.1,3,0,0,19,18,2,0,32,14,0,1,0,93,64,50,56.1,Robin Koch,DF
2019-2020,23,Freiburg,de GER,1. Bundesliga,8th,30.1,3,0,0,27,20,0,4,45,20,0,1,0,139,114,62,64.8,Robin Koch,DF
2020-2021,24,Leeds United,eng ENG,Jr. PL2 — Div. 2,1st,1.2,1,0,0,,,,,,,,,0,,,,,Robin Koch,DF
2020-2021,24,Leeds United,eng ENG,1. Premier League,9th,12.6,1,0,0,17,8,0,1,27,16,0,2,0,76,37,29,56.1,Robin Koch,DF
2021-2022,25,Leeds United,eng ENG,1. Premier League,17th,17.5,3,0,0,22,10,0,4,20,13,0,0,0,104,45,44,50.6,Robin Koch,DF
2022-2023,26,Leeds United,eng ENG,1. Premier League,19th,35.3,7,0,0,35,17,1,1,43,30,0,0,1,193,111,69,61.7,Robin Koch,DF
2023-2024,27,Eint Frankfurt,de GER,1. Bundesliga,6th,30.4,10,0,0,20,13,0,4,32,23,0,2,0,138,80,50,61.5,Robin Koch,DF
2024-2025,28,Eint Frankfurt,de GER,1. Bundesliga,3rd,14.8,2,0,0,13,5,1,1,13,4,0,1,0,57,40,24,62.5,Robin Koch,DF
2017-2018,18,Wolfsburg U19,de GER,Jr. U19 Bundesliga,11th,2.4,1,0,0,,,,,,,,,0,,,,,Omar Marmoush,"FW,MF"
2019-2020,20,Wolfsburg,de GER,1. Bundesliga,7th,0.9,0,0,0,2,0,0,1,1,1,0,0,0,9,0,1,0.0,Omar Marmoush,"FW,MF"
2020-2021,21,St. Pauli,de GER,2. 2. Bundesliga,10th,17.0,2,0,0,35,39,10,22,8,12,1,0,0,56,42,49,46.2,Omar Marmoush,"FW,MF"
2020-2021,21,Wolfsburg,de GER,1. Bundesliga,4th,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Omar Marmoush,"FW,MF"
2021-2022,22,Stuttgart,de GER,1. Bundesliga,15th,17.5,3,0,0,33,57,7,44,7,17,0,0,0,81,28,31,47.5,Omar Marmoush,"FW,MF"
2021-2022,22,Wolfsburg,de GER,1. Bundesliga,12th,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Omar Marmoush,"FW,MF"
2022-2023,23,Wolfsburg,de GER,1. Bundesliga,8th,16.4,2,0,0,29,32,13,25,7,10,0,0,0,74,43,45,48.9,Omar Marmoush,"FW,MF"
2023-2024,24,Eint Frankfurt,de GER,1. Bundesliga,6th,25.6,7,0,0,28,74,12,33,11,11,2,1,0,90,27,29,48.2,Omar Marmoush,"FW,MF"
2024-2025,25,Eint Frankfurt,de GER,1. Bundesliga,3rd,14.1,2,0,0,6,50,7,69,2,7,1,0,0,43,6,12,33.3,Omar Marmoush,"FW,MF"
2020-2021,20,Oostende,be BEL,1. First Division A,6th,28.6,5,0,0,34,17,1,14,54,34,0,0,0,208,84,67,55.6,Arthur Theate,DF
2021-2022,21,Oostende,be BEL,1. First Division A,13th,3.0,2,1,1,5,4,0,3,5,4,0,0,0,15,7,4,63.6,Arthur Theate,DF
2021-2022,21,Bologna,it ITA,1. Serie A,13th,26.9,6,0,0,26,10,1,18,42,19,0,1,0,181,39,39,50.0,Arthur Theate,DF
2022-2023,22,Rennes,fr FRA,1. Ligue 1,4th,34.7,5,0,0,24,13,0,1,30,19,0,1,1,182,70,38,64.8,Arthur Theate,DF
2023-2024,23,Rennes,fr FRA,1. Ligue 1,10th,25.5,4,0,0,16,17,0,11,31,17,0,0,0,134,41,22,65.1,Arthur Theate,DF
2024-2025,24,Eint Frankfurt,de GER,1. Bundesliga,3rd,13.6,5,1,1,7,9,0,6,21,11,0,0,0,63,21,16,56.8,Arthur Theate,DF
2019-2020,20,Kortrijk,be BEL,1. First Division A,11th,14.0,4,0,0,23,8,0,4,24,16,0,0,0,99,19,24,44.2,Tuta,"DF,MF"
2020-2021,21,Eint Frankfurt,de GER,1. Bundesliga,5th,16.2,5,0,0,30,13,0,9,29,20,0,2,1,134,32,31,50.8,Tuta,"DF,MF"
2021-2022,22,Eint Frankfurt,de GER,1. Bundesliga,11th,24.3,4,1,1,37,12,1,5,41,28,0,0,0,213,54,46,54.0,Tuta,"DF,MF"
2022-2023,23,Eint Frankfurt,de GER,1. Bundesliga,7th,30.2,8,0,0,33,18,1,7,49,35,0,0,0,240,51,61,45.5,Tuta,"DF,MF"
2023-2024,24,Eint Frankfurt,de GER,1. Bundesliga,6th,28.9,3,2,1,29,17,0,11,36,33,0,0,0,171,52,43,54.7,Tuta,"DF,MF"
2024-2025,25,Eint Frankfurt,de GER,1. Bundesliga,3rd,12.5,4,0,0,18,5,0,1,21,16,0,0,0,62,19,19,50.0,Tuta,"DF,MF"
