Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2016-2017,20,Kaiserslautern,de GER,2. 2. Bundesliga,13th,23.5,,,,,,,0,,,,,,,,,Robin Koch,DF
2017-2018,21,Kaiserslautern,de GER,2. 2. Bundesliga,18th,3.0,146,135,11,10,0,2,0,1,0,0,0,0,121,0,2,Robin Koch,DF
2017-2018,21,Freiburg,de GER,1. Bundesliga,15th,21.3,977,963,13,13,0,5,1,0,0,0,0,0,758,1,18,Robin Koch,DF
2018-2019,22,Freiburg,de GER,1. Bundesliga,13th,21.1,892,865,24,16,0,13,0,5,0,0,0,0,731,3,11,Robin Koch,DF
2019-2020,23,Freiburg,de GER,1. Bundesliga,8th,30.1,1517,1479,35,33,4,19,4,2,0,0,0,0,1266,3,18,Robin Koch,DF
2020-2021,24,Leeds United,eng ENG,Jr. PL2 — Div. 2,1st,1.2,,,,,,,,,,,,,,,,Robin Koch,DF
2020-2021,24,Leeds United,eng ENG,1. Premier League,9th,12.6,773,755,16,15,0,8,1,1,0,0,0,0,664,2,2,Robin Koch,DF
2021-2022,25,Leeds United,eng ENG,1. Premier League,17th,17.5,718,693,24,9,0,5,4,15,0,0,0,0,555,1,10,Robin Koch,DF
2022-2023,26,Leeds United,eng ENG,1. Premier League,19th,35.3,1594,1544,46,46,2,5,1,0,0,0,0,0,1229,4,25,Robin Koch,DF
2023-2024,27,Eint Frankfurt,de GER,1. Bundesliga,6th,30.4,2161,2097,63,48,2,2,4,2,0,0,0,0,1902,1,12,Robin Koch,DF
2024-2025,28,Eint Frankfurt,de GER,1. Bundesliga,3rd,14.8,932,879,52,29,0,4,1,2,0,0,0,0,848,1,7,Robin Koch,DF
2017-2018,18,Wolfsburg U19,de GER,Jr. U19 Bundesliga,11th,2.4,,,,,,,,,,,,,,,,Omar Marmoush,"FW,MF"
2019-2020,20,Wolfsburg,de GER,1. Bundesliga,7th,0.9,17,17,0,0,0,0,1,0,0,0,0,0,10,0,1,Omar Marmoush,"FW,MF"
2020-2021,21,St. Pauli,de GER,2. 2. Bundesliga,10th,17.0,412,401,11,1,1,6,22,6,0,0,0,0,292,0,13,Omar Marmoush,"FW,MF"
2020-2021,21,Wolfsburg,de GER,1. Bundesliga,4th,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Omar Marmoush,"FW,MF"
2021-2022,22,Stuttgart,de GER,1. Bundesliga,15th,17.5,451,384,64,13,3,2,44,12,27,2,19,1,309,3,19,Omar Marmoush,"FW,MF"
2021-2022,22,Wolfsburg,de GER,1. Bundesliga,12th,0.3,9,8,1,0,0,0,0,1,0,0,0,0,6,0,0,Omar Marmoush,"FW,MF"
2022-2023,23,Wolfsburg,de GER,1. Bundesliga,8th,16.4,458,444,13,1,1,7,25,0,5,5,0,0,299,1,21,Omar Marmoush,"FW,MF"
2023-2024,24,Eint Frankfurt,de GER,1. Bundesliga,6th,25.6,574,494,78,7,7,5,33,5,16,5,10,0,407,2,27,Omar Marmoush,"FW,MF"
