Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player,Position
2016-2017,20,Kaiserslautern,de GER,2. 2. Bundesliga,13th,23.5,,,,,,,,,,,,,,,0,,,,,,,,,Robin Koch,DF
2017-2018,21,Kaiserslautern,de GER,2. 2. Bundesliga,18th,3.0,121,146,82.9,2642,915,20,24,83.3,84,92,91.3,16,26,61.5,0,0.1,0.0,-0.1,1,2,0,0,3,Robin Koch,DF
2017-2018,21,Freiburg,de GER,1. Bundesliga,15th,21.3,758,977,77.6,15376,5209,222,280,79.3,424,485,87.4,101,182,55.5,1,1.0,0.9,0.0,6,53,2,0,36,Robin Koch,DF
2018-2019,22,Freiburg,de GER,1. Bundesliga,13th,21.1,731,892,82.0,14780,4947,217,260,83.5,404,455,88.8,97,138,70.3,0,0.4,0.4,-0.4,5,38,4,0,55,Robin Koch,DF
2019-2020,23,Freiburg,de GER,1. Bundesliga,8th,30.1,1266,1517,83.5,28152,10004,285,338,84.3,750,839,89.4,215,289,74.4,0,1.1,1.6,-1.1,12,80,14,3,103,Robin Koch,DF
2020-2021,24,Leeds United,eng ENG,Jr. PL2 — Div. 2,1st,1.2,,,,,,,,,,,,,,,0,,,,,,,,,Robin Koch,DF
2020-2021,24,Leeds United,eng ENG,1. Premier League,9th,12.6,664,773,85.9,13042,4385,191,218,87.6,398,428,93.0,64,104,61.5,0,0.1,0.1,-0.1,4,35,3,0,49,Robin Koch,DF
2021-2022,25,Leeds United,eng ENG,1. Premier League,17th,17.5,555,718,77.3,10037,3504,224,279,80.3,268,326,82.2,45,73,61.6,0,0.4,0.3,-0.4,5,47,6,0,52,Robin Koch,DF
2022-2023,26,Leeds United,eng ENG,1. Premier League,19th,35.3,1229,1594,77.1,23945,10673,409,485,84.3,665,772,86.1,141,285,49.5,0,0.4,0.5,-0.4,6,121,7,0,114,Robin Koch,DF
2023-2024,27,Eint Frankfurt,de GER,1. Bundesliga,6th,30.4,1902,2161,88.0,36596,12775,590,638,92.5,1145,1225,93.5,158,262,60.3,0,0.2,0.6,-0.2,4,97,4,0,116,Robin Koch,DF
2024-2025,28,Eint Frankfurt,de GER,1. Bundesliga,3rd,14.8,848,932,91.0,16267,5729,295,316,93.4,460,485,94.8,89,117,76.1,0,0.1,0.2,-0.1,4,56,2,0,49,Robin Koch,DF
2017-2018,18,Wolfsburg U19,de GER,Jr. U19 Bundesliga,11th,2.4,,,,,,,,,,,,,,,,,,,,,,,,Omar Marmoush,"FW,MF"
2019-2020,20,Wolfsburg,de GER,1. Bundesliga,7th,0.9,10,17,58.8,103,22,8,10,80.0,1,4,25.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,2,Omar Marmoush,"FW,MF"
2020-2021,21,St. Pauli,de GER,2. 2. Bundesliga,10th,17.0,292,412,70.9,4040,897,179,239,74.9,71,98,72.4,19,30,63.3,2,2.1,1.4,-0.1,17,21,11,1,38,Omar Marmoush,"FW,MF"
2020-2021,21,Wolfsburg,de GER,1. Bundesliga,4th,0.0,1,1,100.0,9,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Omar Marmoush,"FW,MF"
2021-2022,22,Stuttgart,de GER,1. Bundesliga,15th,17.5,309,451,68.5,4764,1246,162,211,76.8,97,133,72.9,25,46,54.3,5,2.0,2.0,+3.0,32,24,8,2,33,Omar Marmoush,"FW,MF"
2021-2022,22,Wolfsburg,de GER,1. Bundesliga,12th,0.3,6,9,66.7,59,30,4,4,100.0,1,2,50.0,0,0,,0,0.2,0.1,-0.2,1,2,0,0,2,Omar Marmoush,"FW,MF"
2022-2023,23,Wolfsburg,de GER,1. Bundesliga,8th,16.4,299,458,65.3,4423,987,161,233,69.1,99,136,72.8,21,36,58.3,1,1.2,1.4,-0.2,11,29,14,1,51,Omar Marmoush,"FW,MF"
2023-2024,24,Eint Frankfurt,de GER,1. Bundesliga,6th,25.6,407,574,70.9,6183,1361,218,273,79.9,135,180,75.0,32,56,57.1,6,4.4,4.4,+1.6,40,31,21,2,60,Omar Marmoush,"FW,MF"
2024-2025,25,Eint Frankfurt,de GER,1. Bundesliga,3rd,14.1,250,365,68.5,4152,1482,130,162,80.2,72,101,71.3,36,75,48.0,7,5.3,3.4,+1.7,30,24,17,1,38,Omar Marmoush,"FW,MF"
2020-2021,20,Oostende,be BEL,1. First Division A,6th,28.6,885,1250,70.8,19814,7816,224,296,75.7,491,603,81.4,167,321,52.0,0,0.2,0.4,-0.2,6,100,9,2,98,Arthur Theate,DF
2021-2022,21,Oostende,be BEL,1. First Division A,13th,3.0,74,112,66.1,1686,785,16,24,66.7,40,52,76.9,18,35,51.4,0,0.0,0.0,0.0,0,8,1,1,5,Arthur Theate,DF
2021-2022,21,Bologna,it ITA,1. Serie A,13th,26.9,1231,1488,82.7,22337,8079,510,566,90.1,585,665,88.0,121,213,56.8,1,0.6,0.4,+0.4,6,108,9,3,107,Arthur Theate,DF
2022-2023,22,Rennes,fr FRA,1. Ligue 1,4th,34.7,2296,2568,89.4,46250,15551,631,684,92.3,1361,1449,93.9,266,366,72.7,0,0.6,0.8,-0.6,9,216,4,0,248,Arthur Theate,DF
2023-2024,23,Rennes,fr FRA,1. Ligue 1,10th,25.5,1444,1640,88.0,28379,10833,445,479,92.9,821,880,93.3,153,237,64.6,0,0.8,1.3,-0.8,6,129,7,4,151,Arthur Theate,DF
2024-2025,24,Eint Frankfurt,de GER,1. Bundesliga,3rd,13.6,680,822,82.7,12499,4703,267,288,92.7,331,376,88.0,73,136,53.7,0,0.4,0.4,-0.4,6,69,8,1,64,Arthur Theate,DF
2019-2020,20,Kortrijk,be BEL,1. First Division A,11th,14.0,416,571,72.9,9198,4183,109,123,88.6,221,261,84.7,81,165,49.1,0,0.1,0.3,-0.1,3,28,6,0,34,Tuta,"DF,MF"
2020-2021,21,Eint Frankfurt,de GER,1. Bundesliga,5th,16.2,850,1010,84.2,15623,5651,311,350,88.9,467,516,90.5,65,122,53.3,0,0.2,0.7,-0.2,4,56,2,1,87,Tuta,"DF,MF"
2021-2022,22,Eint Frankfurt,de GER,1. Bundesliga,11th,24.3,1089,1397,78.0,21010,7230,379,429,88.3,589,677,87.0,107,237,45.1,0,0.1,0.4,-0.1,4,67,2,1,63,Tuta,"DF,MF"
2022-2023,23,Eint Frankfurt,de GER,1. Bundesliga,7th,30.2,1486,1855,80.1,28536,10513,483,544,88.8,828,945,87.6,161,314,51.3,1,0.8,0.9,+0.2,6,94,6,1,107,Tuta,"DF,MF"
2023-2024,24,Eint Frankfurt,de GER,1. Bundesliga,6th,28.9,1614,1906,84.7,29332,10105,648,706,91.8,830,911,91.1,121,228,53.1,2,2.1,2.0,-0.1,12,118,16,2,138,Tuta,"DF,MF"
2024-2025,25,Eint Frankfurt,de GER,1. Bundesliga,3rd,12.5,587,655,89.6,10279,3628,245,257,95.3,295,311,94.9,34,64,53.1,1,0.3,0.4,+0.7,2,33,8,0,31,Tuta,"DF,MF"
2020-2021,18,Vejle BK,dk DEN,1. Danish Superliga,10th,6.7,,,,,,,,,,,,,,,1,,,,,,,,,Hugo Ekitike,FW
2020-2021,18,Reims,fr FRA,1. Ligue 1,14th,1.0,25,30,83.3,427,47,14,18,77.8,7,8,87.5,3,3,100.0,0,0.1,0.0,-0.1,2,2,0,0,1,Hugo Ekitike,FW
2021-2022,19,Reims,fr FRA,1. Ligue 1,12th,14.1,277,393,70.5,3455,416,187,244,76.6,63,86,73.3,8,16,50.0,3,1.5,1.0,+1.5,16,6,9,1,18,Hugo Ekitike,FW
2022-2023,20,Paris S-G,fr FRA,1. Ligue 1,1st,12.8,271,331,81.9,3321,391,188,221,85.1,54,71,76.1,6,9,66.7,4,1.6,1.6,+2.4,11,13,11,0,23,Hugo Ekitike,FW
2023-2024,21,Paris S-G,fr FRA,1. Ligue 1,1st,0.1,7,8,87.5,60,17,5,5,100.0,0,0,,0,0,,0,0.0,0.0,0.0,1,0,1,0,1,Hugo Ekitike,FW
2023-2024,21,Eint Frankfurt,de GER,1. Bundesliga,6th,8.0,131,193,67.9,1934,348,77,110,70.0,38,49,77.6,11,13,84.6,2,1.7,1.5,+0.3,12,13,3,1,9,Hugo Ekitike,FW
2024-2025,22,Eint Frankfurt,de GER,1. Bundesliga,3rd,11.2,199,264,75.4,2640,539,131,157,83.4,46,60,76.7,10,19,52.6,3,2.9,2.4,+0.1,19,6,14,4,14,Hugo Ekitike,FW
2015-2016,18,Midtjylland,dk DEN,1. Danish Superliga,3rd,10.1,,,,,,,,,,,,,,,2,,,,,,,,,Rasmus Kristensen,DF
2016-2017,19,Midtjylland,dk DEN,1. Danish Superliga,4th,32.3,,,,,,,,,,,,,,,3,,,,,,,,,Rasmus Kristensen,DF
2017-2018,20,Midtjylland,dk DEN,1. Danish Superliga,1st,16.8,,,,,,,,,,,,,,,2,,,,,,,,,Rasmus Kristensen,DF
2017-2018,20,Jong Ajax,nl NED,2. Eerste Divisie,1st,2.0,,,,,,,,,,,,,,,0,,,,,,,,,Rasmus Kristensen,DF
2017-2018,20,Ajax,nl NED,1. Eredivisie,2nd,5.4,,,,,,,,,,,,,,,0,,,,,,,,,Rasmus Kristensen,DF
2018-2019,21,Ajax,nl NED,1. Eredivisie,1st,6.9,285,366,77.9,3960,1116,171,195,87.7,85,115,73.9,15,29,51.7,2,1.3,1.3,+0.7,7,14,10,3,22,Rasmus Kristensen,DF
2019-2020,22,RB Salzburg,at AUT,1. Bundesliga,1st,10.6,,,,,,,,,,,,,,,1,,,,,,,,,Rasmus Kristensen,DF
2020-2021,23,RB Salzburg,at AUT,1. Bundesliga,1st,25.9,,,,,,,,,,,,,,,2,,,,,,,,,Rasmus Kristensen,DF
2021-2022,24,RB Salzburg,at AUT,1. Bundesliga,1st,28.1,,,,,,,,,,,,,,,4,,,,,,,,,Rasmus Kristensen,DF
