Season,Age,Squad,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Player,Position
2016-2017,20,Kaiserslautern,de GER,2. 2. Bundesliga,13th,24,2115,88,69.1,23.5,23,,23,1,,3,1.33,19,17,+2,+0.09,+0.66,,,,,,Robin Koch,DF
2017-2018,21,Kaiserslautern,de GER,2. 2. Bundesliga,18th,3,270,90,8.8,3.0,3,,3,0,,0,0.33,1,6,-5,-1.67,-1.41,2.2,3.3,-1.1,-0.38,+0.19,Robin Koch,DF
2017-2018,21,Freiburg,de GER,1. Bundesliga,15th,26,1919,74,62.7,21.3,21,,20,5,,5,1.12,21,33,-12,-0.56,+0.38,23.4,26.5,-3.1,-0.15,+0.13,Robin Koch,DF
2018-2019,22,Freiburg,de GER,1. Bundesliga,13th,24,1901,79,62.1,21.1,21,90,21,3,3,4,1.13,31,35,-4,-0.19,+0.66,27.8,35.9,-8.1,-0.38,+0.56,Robin Koch,DF
2019-2020,23,Freiburg,de GER,1. Bundesliga,8th,32,2705,85,88.4,30.1,31,87,27,1,17,0,1.50,42,43,-1,-0.03,-0.54,40.4,58.6,-18.2,-0.61,-0.70,Robin Koch,DF
2020-2021,24,Leeds United,eng ENG,Jr. PL2 — Div. 2,1st,2,105,53,4.9,1.2,2,53,0,0,,0,3.00,5,1,+4,+3.43,+2.16,,,,,,Robin Koch,DF
2020-2021,24,Leeds United,eng ENG,1. Premier League,9th,17,1132,67,33.1,12.6,13,84,12,4,11,2,1.59,20,21,-1,-0.08,-0.43,20.3,18.9,+1.4,+0.11,+0.25,Robin Koch,DF
2021-2022,25,Leeds United,eng ENG,1. Premier League,17th,20,1574,79,46.0,17.5,17,85,15,3,42,1,1.05,21,40,-19,-1.09,-0.21,20.7,30.0,-9.4,-0.54,+0.15,Robin Koch,DF
2022-2023,26,Leeds United,eng ENG,1. Premier League,19th,36,3175,88,92.8,35.3,36,88,33,0,,1,0.86,46,74,-28,-0.79,-0.06,44.9,63.6,-18.7,-0.53,-0.13,Robin Koch,DF
2023-2024,27,Eint Frankfurt,de GER,1. Bundesliga,6th,31,2738,88,89.5,30.4,31,88,29,0,,0,1.45,45,43,+2,+0.07,+0.35,41.3,44.6,-3.3,-0.11,+0.62,Robin Koch,DF
2024-2025,28,Eint Frankfurt,de GER,1. Bundesliga,3rd,15,1332,89,98.7,14.8,15,89,14,0,,0,1.80,35,23,+12,+0.81,+0.81,29.0,22.3,+6.7,+0.46,+2.11,Robin Koch,DF
2017-2018,18,Wolfsburg U19,de GER,Jr. U19 Bundesliga,11th,3,215,72,9.2,2.4,3,72,1,0,,0,2.33,6,3,+3,+1.26,-0.10,,,,,,Omar Marmoush,"FW,MF"
2019-2020,20,Wolfsburg,de GER,1. Bundesliga,7th,5,81,16,2.6,0.9,0,,0,5,16,4,1.40,0,3,-3,-3.33,-3.48,0.4,2.1,-1.7,-1.88,-2.23,Omar Marmoush,"FW,MF"
2020-2021,21,St. Pauli,de GER,2. 2. Bundesliga,10th,21,1530,73,50.0,17.0,19,78,3,2,25,0,1.86,31,24,+7,+0.41,+1.12,26.8,24.7,+2.1,+0.12,+0.41,Omar Marmoush,"FW,MF"
2020-2021,21,Wolfsburg,de GER,1. Bundesliga,4th,1,1,1,0.0,0.0,0,,0,1,1,6,1.00,0,0,0,0.00,-0.71,0.1,0.0,+0.1,+8.10,+7.90,Omar Marmoush,"FW,MF"
2021-2022,22,Stuttgart,de GER,1. Bundesliga,15th,21,1571,75,51.3,17.5,19,78,5,2,43,0,1.33,23,26,-3,-0.17,+0.73,20.2,25.3,-5.1,-0.29,+0.02,Omar Marmoush,"FW,MF"
2021-2022,22,Wolfsburg,de GER,1. Bundesliga,12th,2,24,12,0.8,0.3,0,,0,2,12,1,3.00,0,0,0,0.00,+0.33,0.3,0.3,0.0,+0.15,+0.14,Omar Marmoush,"FW,MF"
2022-2023,23,Wolfsburg,de GER,1. Bundesliga,8th,33,1476,45,48.2,16.4,15,69,1,18,24,1,1.45,24,24,0,0.00,-0.51,24.4,23.4,+1.0,+0.06,+0.12,Omar Marmoush,"FW,MF"
2023-2024,24,Eint Frankfurt,de GER,1. Bundesliga,6th,29,2301,79,75.2,25.6,27,83,15,2,26,0,1.38,43,41,+2,+0.08,+0.20,37.2,37.3,-0.2,-0.01,+0.67,Omar Marmoush,"FW,MF"
2024-2025,25,Eint Frankfurt,de GER,1. Bundesliga,3rd,15,1273,85,94.3,14.1,15,85,9,0,,0,1.80,35,21,+14,+0.99,+3.33,27.9,21.1,+6.8,+0.48,+0.92,Omar Marmoush,"FW,MF"
2020-2021,20,Oostende,be BEL,1. First Division A,6th,29,2574,89,84.1,28.6,29,89,27,0,,1,1.49,41,34,+7,+0.24,+0.24,49.3,36.4,+12.9,+0.45,-0.06,Arthur Theate,DF
2021-2022,21,Oostende,be BEL,1. First Division A,13th,3,269,90,8.8,3.0,3,90,2,0,,1,2.00,4,3,+1,+0.33,+1.24,2.9,4.3,-1.4,-0.48,+0.08,Arthur Theate,DF
2021-2022,21,Bologna,it ITA,1. Serie A,13th,31,2424,78,70.9,26.9,28,84,22,3,24,3,1.03,29,36,-7,-0.26,+0.10,29.0,37.9,-8.9,-0.33,-0.43,Arthur Theate,DF
2022-2023,22,Rennes,fr FRA,1. Ligue 1,4th,35,3127,89,91.4,34.7,35,89,33,0,,1,1.69,59,38,+21,+0.60,-2.16,55.4,41.3,+14.1,+0.41,-0.57,Arthur Theate,DF
2023-2024,23,Rennes,fr FRA,1. Ligue 1,10th,28,2296,82,75.0,25.5,27,85,23,1,2,3,1.46,44,35,+9,+0.35,+0.59,42.6,31.8,+10.9,+0.43,+0.31,Arthur Theate,DF
2024-2025,24,Eint Frankfurt,de GER,1. Bundesliga,3rd,14,1223,87,90.6,13.6,14,87,12,0,,0,1.71,28,19,+9,+0.66,-1.46,24.8,20.3,+4.5,+0.33,-1.00,Arthur Theate,DF
2018-2019,19,Eint Frankfurt,de GER,1. Bundesliga,7th,0,,,,,0,,0,0,,2,,,,,,,,,,,,Tuta,"DF,MF"
2019-2020,20,Kortrijk,be BEL,1. First Division A,11th,14,1260,90,48.3,14.0,14,90,14,0,,4,1.36,17,16,+1,+0.07,+0.40,23.3,22.8,+0.6,+0.04,+0.69,Tuta,"DF,MF"
2020-2021,21,Eint Frankfurt,de GER,1. Bundesliga,5th,19,1459,77,47.7,16.2,16,88,14,3,17,11,1.89,36,29,+7,+0.43,-0.07,26.2,23.8,+2.5,+0.15,-0.36,Tuta,"DF,MF"
2021-2022,22,Eint Frankfurt,de GER,1. Bundesliga,11th,26,2183,84,71.3,24.3,26,84,19,0,,4,1.31,36,37,-1,-0.04,+0.27,30.5,34.5,-3.9,-0.16,-0.01,Tuta,"DF,MF"
2022-2023,23,Eint Frankfurt,de GER,1. Bundesliga,7th,31,2718,88,88.8,30.2,30,90,29,1,27,0,1.48,53,45,+8,+0.26,+0.79,44.9,36.0,+8.8,+0.29,+0.35,Tuta,"DF,MF"
2023-2024,24,Eint Frankfurt,de GER,1. Bundesliga,6th,30,2600,87,85.0,28.9,30,87,22,0,,1,1.40,43,42,+1,+0.03,+0.03,38.0,44.9,-6.9,-0.24,-0.43,Tuta,"DF,MF"
2024-2025,25,Eint Frankfurt,de GER,1. Bundesliga,3rd,13,1124,86,83.3,12.5,13,86,9,0,,0,2.08,32,18,+14,+1.12,+1.92,23.0,18.5,+4.5,+0.36,-0.42,Tuta,"DF,MF"
2020-2021,18,Vejle BK,dk DEN,1. Danish Superliga,10th,11,605,55,21.0,6.7,7,74,1,4,22,2,1.27,12,8,+4,+0.60,+1.07,,,,,,Hugo Ekitike,FW
2020-2021,18,Reims,fr FRA,1. Ligue 1,14th,2,88,44,2.6,1.0,0,,0,2,44,4,1.50,0,3,-3,-3.07,-2.93,0.7,2.7,-2.1,-2.10,-1.44,Hugo Ekitike,FW
2021-2022,19,Reims,fr FRA,1. Ligue 1,12th,24,1273,53,37.2,14.1,15,69,5,9,27,0,1.21,21,14,+7,+0.49,+0.83,15.3,14.8,+0.5,+0.04,+0.43,Hugo Ekitike,FW
2022-2023,20,Paris S-G,fr FRA,1. Ligue 1,1st,25,1155,46,33.8,12.8,12,71,0,13,24,12,2.16,31,18,+13,+1.01,-0.42,25.5,16.0,+9.5,+0.74,-0.07,Hugo Ekitike,FW
2023-2024,21,Paris S-G,fr FRA,1. Ligue 1,1st,1,9,9,0.3,0.1,0,,0,1,9,2,1.00,0,0,0,0.00,-1.42,0.1,0.0,+0.1,+1.09,+0.24,Hugo Ekitike,FW
