Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Player,Position
2016-2017,20,Kaiserslautern,de GER,2. 2. Bundesliga,13th,23.5,0,0,3,,0.00,0.13,,0.00,,,0,0,,,,,,Robin Koch,DF
2017-2018,21,Kaiserslautern,de GER,2. 2. Bundesliga,18th,3.0,0,2,1,50.0,0.67,0.33,0.00,0.00,10.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Robin Koch,DF
2017-2018,21,Freiburg,de GER,1. Bundesliga,15th,21.3,2,13,5,38.5,0.61,0.23,0.15,0.40,15.9,0,0,0,0.9,0.9,0.07,+1.1,+1.1,Robin Koch,DF
2018-2019,22,Freiburg,de GER,1. Bundesliga,13th,21.1,1,11,2,18.2,0.52,0.09,0.09,0.50,17.3,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Robin Koch,DF
2019-2020,23,Freiburg,de GER,1. Bundesliga,8th,30.1,1,35,10,28.6,1.16,0.33,0.03,0.10,12.2,0,0,0,4.0,4.0,0.11,-3.0,-3.0,Robin Koch,DF
2020-2021,24,Leeds United,eng ENG,Jr. PL2 — Div. 2,1st,1.2,0,,,,,,,,,,0,0,,,,,,Robin Koch,DF
2020-2021,24,Leeds United,eng ENG,1. Premier League,9th,12.6,0,9,1,11.1,0.72,0.08,0.00,0.00,12.3,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Robin Koch,DF
2021-2022,25,Leeds United,eng ENG,1. Premier League,17th,17.5,0,13,1,7.7,0.74,0.06,0.00,0.00,16.1,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Robin Koch,DF
2022-2023,26,Leeds United,eng ENG,1. Premier League,19th,35.3,0,17,4,23.5,0.48,0.11,0.00,0.00,11.1,0,0,0,1.5,1.5,0.09,-1.5,-1.5,Robin Koch,DF
2023-2024,27,Eint Frankfurt,de GER,1. Bundesliga,6th,30.4,2,24,5,20.8,0.79,0.16,0.08,0.40,11.3,0,0,0,3.1,3.1,0.13,-1.1,-1.1,Robin Koch,DF
2024-2025,28,Eint Frankfurt,de GER,1. Bundesliga,3rd,14.8,0,6,2,33.3,0.41,0.14,0.00,0.00,16.7,1,0,0,0.4,0.4,0.06,-0.4,-0.4,Robin Koch,DF
2017-2018,18,Wolfsburg U19,de GER,Jr. U19 Bundesliga,11th,2.4,3,,,,,,,,,,0,0,,,,,,Omar Marmoush,"FW,MF"
2019-2020,20,Wolfsburg,de GER,1. Bundesliga,7th,0.9,0,1,1,100.0,1.11,1.11,0.00,0.00,10.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Omar Marmoush,"FW,MF"
2020-2021,21,St. Pauli,de GER,2. 2. Bundesliga,10th,17.0,7,47,15,31.9,2.76,0.88,0.13,0.40,18.5,3,1,1,5.4,4.6,0.10,+1.6,+1.4,Omar Marmoush,"FW,MF"
