Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Player,Position
2016-2017,20,Kaiserslautern,de GER,2. 2. Bundesliga,13th,24,23,2115,23.5,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Robin Koch,DF
2017-2018,21,Kaiserslautern,de GER,2. 2. Bundesliga,18th,3,3,270,3.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,2,3,0,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.08,0.05,0.08,Robin Koch,DF
2017-2018,21,Freiburg,de GER,1. Bundesliga,15th,26,21,1919,21.3,2,1,3,2,0,0,3,0,0.9,0.9,1.0,1.8,13,36,16,0.09,0.05,0.14,0.09,0.14,0.04,0.05,0.09,0.04,0.09,Robin Koch,DF
2018-2019,22,Freiburg,de GER,1. Bundesliga,13th,24,21,1901,21.1,1,0,1,1,0,0,3,0,0.9,0.9,0.4,1.3,5,55,6,0.05,0.00,0.05,0.05,0.05,0.04,0.02,0.06,0.04,0.06,Robin Koch,DF
2019-2020,23,Freiburg,de GER,1. Bundesliga,8th,32,31,2705,30.1,1,0,1,1,0,0,3,0,4.0,4.0,1.1,5.1,16,103,11,0.03,0.00,0.03,0.03,0.03,0.13,0.04,0.17,0.13,0.17,Robin Koch,DF
2020-2021,24,Leeds United,eng ENG,Jr. PL2 — Div. 2,1st,2,2,105,1.2,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Robin Koch,DF
2020-2021,24,Leeds United,eng ENG,1. Premier League,9th,17,13,1132,12.6,0,0,0,0,0,0,1,0,0.7,0.7,0.1,0.8,8,49,3,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Robin Koch,DF
2021-2022,25,Leeds United,eng ENG,1. Premier League,17th,20,17,1574,17.5,0,0,0,0,0,0,3,0,0.8,0.8,0.4,1.2,3,52,14,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.07,0.04,0.07,Robin Koch,DF
2022-2023,26,Leeds United,eng ENG,1. Premier League,19th,36,36,3175,35.3,0,0,0,0,0,0,7,0,1.5,1.5,0.4,1.9,11,114,11,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.06,0.04,0.06,Robin Koch,DF
2023-2024,27,Eint Frankfurt,de GER,1. Bundesliga,6th,31,31,2738,30.4,2,0,2,2,0,0,10,0,3.1,3.1,0.2,3.3,14,116,3,0.07,0.00,0.07,0.07,0.07,0.10,0.01,0.11,0.10,0.11,Robin Koch,DF
2024-2025,28,Eint Frankfurt,de GER,1. Bundesliga,3rd,15,15,1332,14.8,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,6,49,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03,Robin Koch,DF
2017-2018,18,Wolfsburg U19,de GER,Jr. U19 Bundesliga,11th,3,3,215,2.4,3,,,3,0,0,1,0,,,,,,,,1.26,,,1.26,,,,,,,Omar Marmoush,"FW,MF"
2019-2020,20,Wolfsburg,de GER,1. Bundesliga,7th,5,0,81,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,2,4,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Omar Marmoush,"FW,MF"
2020-2021,21,St. Pauli,de GER,2. 2. Bundesliga,10th,21,19,1530,17.0,7,2,9,6,1,1,2,0,5.4,4.6,2.1,6.8,47,38,161,0.41,0.12,0.53,0.35,0.47,0.32,0.13,0.44,0.27,0.40,Omar Marmoush,"FW,MF"
2020-2021,21,Wolfsburg,de GER,1. Bundesliga,4th,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Omar Marmoush,"FW,MF"
2021-2022,22,Stuttgart,de GER,1. Bundesliga,15th,21,19,1571,17.5,3,5,8,3,0,1,3,0,5.1,4.3,2.0,6.3,38,33,119,0.17,0.29,0.46,0.17,0.46,0.29,0.11,0.41,0.25,0.36,Omar Marmoush,"FW,MF"
2021-2022,22,Wolfsburg,de GER,1. Bundesliga,12th,2,0,24,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,1,2,0,0.00,0.00,0.00,0.00,0.00,0.22,0.67,0.89,0.22,0.89,Omar Marmoush,"FW,MF"
2022-2023,23,Wolfsburg,de GER,1. Bundesliga,8th,33,15,1476,16.4,5,1,6,5,0,0,2,0,6.1,6.1,1.2,7.3,36,51,160,0.30,0.06,0.37,0.30,0.37,0.37,0.07,0.44,0.37,0.44,Omar Marmoush,"FW,MF"
2023-2024,24,Eint Frankfurt,de GER,1. Bundesliga,6th,29,27,2301,25.6,12,6,18,10,2,2,7,0,11.6,10.1,4.4,14.5,88,60,165,0.47,0.23,0.70,0.39,0.63,0.46,0.17,0.63,0.39,0.57,Omar Marmoush,"FW,MF"
2024-2025,25,Eint Frankfurt,de GER,1. Bundesliga,3rd,15,15,1273,14.1,13,7,20,11,2,2,2,0,7.5,6.0,5.3,11.2,63,38,105,0.92,0.49,1.41,0.78,1.27,0.53,0.37,0.91,0.42,0.80,Omar Marmoush,"FW,MF"
2020-2021,20,Oostende,be BEL,1. First Division A,6th,29,29,2574,28.6,3,0,3,3,0,0,5,0,3.0,3.0,0.2,3.2,38,98,17,0.10,0.00,0.10,0.10,0.10,0.10,0.01,0.11,0.10,0.11,Arthur Theate,DF
2021-2022,21,Oostende,be BEL,1. First Division A,13th,3,3,269,3.0,0,0,0,0,0,0,2,1,0.4,0.4,0.0,0.4,3,5,1,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13,Arthur Theate,DF
2021-2022,21,Bologna,it ITA,1. Serie A,13th,31,28,2424,26.9,2,1,3,2,0,0,6,0,1.5,1.5,0.6,2.1,37,107,17,0.07,0.04,0.11,0.07,0.11,0.05,0.02,0.08,0.05,0.08,Arthur Theate,DF
2022-2023,22,Rennes,fr FRA,1. Ligue 1,4th,35,35,3127,34.7,4,0,4,4,0,0,5,0,4.5,4.5,0.6,5.1,37,248,4,0.12,0.00,0.12,0.12,0.12,0.13,0.02,0.15,0.13,0.15,Arthur Theate,DF
2023-2024,23,Rennes,fr FRA,1. Ligue 1,10th,28,27,2296,25.5,2,0,2,2,0,0,4,0,1.9,1.9,0.8,2.7,33,151,24,0.08,0.00,0.08,0.08,0.08,0.07,0.03,0.11,0.07,0.11,Arthur Theate,DF
2024-2025,24,Eint Frankfurt,de GER,1. Bundesliga,3rd,14,14,1223,13.6,0,0,0,0,0,0,5,1,0.8,0.8,0.4,1.2,23,64,10,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09,Arthur Theate,DF
2018-2019,19,Eint Frankfurt,de GER,1. Bundesliga,7th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuta,"DF,MF"
2019-2020,20,Kortrijk,be BEL,1. First Division A,11th,14,14,1260,14.0,1,0,1,1,0,0,4,0,0.4,0.4,0.1,0.6,10,34,7,0.07,0.00,0.07,0.07,0.07,0.03,0.01,0.04,0.03,0.04,Tuta,"DF,MF"
2020-2021,21,Eint Frankfurt,de GER,1. Bundesliga,5th,19,16,1459,16.2,0,0,0,0,0,0,5,0,0.2,0.2,0.2,0.4,24,87,15,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.03,Tuta,"DF,MF"
2021-2022,22,Eint Frankfurt,de GER,1. Bundesliga,11th,26,26,2183,24.3,4,0,4,4,0,0,4,1,2.2,2.2,0.1,2.4,26,63,9,0.16,0.00,0.16,0.16,0.16,0.09,0.01,0.10,0.09,0.10,Tuta,"DF,MF"
2022-2023,23,Eint Frankfurt,de GER,1. Bundesliga,7th,31,30,2718,30.2,2,1,3,2,0,0,8,0,2.3,2.3,0.8,3.1,23,107,17,0.07,0.03,0.10,0.07,0.10,0.08,0.03,0.10,0.08,0.10,Tuta,"DF,MF"
2023-2024,24,Eint Frankfurt,de GER,1. Bundesliga,6th,30,30,2600,28.9,1,2,3,1,0,0,3,2,1.4,1.4,2.1,3.5,22,138,46,0.03,0.07,0.10,0.03,0.10,0.05,0.07,0.12,0.05,0.12,Tuta,"DF,MF"
2024-2025,25,Eint Frankfurt,de GER,1. Bundesliga,3rd,13,13,1124,12.5,1,1,2,1,0,0,4,0,0.4,0.4,0.3,0.7,4,31,3,0.08,0.08,0.16,0.08,0.16,0.03,0.02,0.05,0.03,0.05,Tuta,"DF,MF"
2020-2021,18,Vejle BK,dk DEN,1. Danish Superliga,10th,11,7,605,6.7,3,1,4,3,0,0,1,0,,,,,,,,0.45,0.15,0.60,0.45,0.60,,,,,,Hugo Ekitike,FW
2020-2021,18,Reims,fr FRA,1. Ligue 1,14th,2,0,88,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,1,9,0.00,0.00,0.00,0.00,0.00,0.18,0.11,0.29,0.18,0.29,Hugo Ekitike,FW
2021-2022,19,Reims,fr FRA,1. Ligue 1,12th,24,15,1273,14.1,10,3,13,9,1,2,1,1,6.5,4.8,1.5,6.3,35,18,87,0.71,0.21,0.92,0.64,0.85,0.46,0.10,0.57,0.34,0.44,Hugo Ekitike,FW
2022-2023,20,Paris S-G,fr FRA,1. Ligue 1,1st,25,12,1155,12.8,3,4,7,3,0,0,0,0,3.7,3.7,1.6,5.3,23,23,84,0.23,0.31,0.55,0.23,0.55,0.29,0.13,0.42,0.29,0.42,Hugo Ekitike,FW
2023-2024,21,Paris S-G,fr FRA,1. Ligue 1,1st,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.30,Hugo Ekitike,FW
2023-2024,21,Eint Frankfurt,de GER,1. Bundesliga,6th,14,7,716,8.0,4,2,6,4,0,0,3,0,2.4,2.4,1.7,4.1,16,9,60,0.50,0.25,0.75,0.50,0.75,0.30,0.21,0.51,0.30,0.51,Hugo Ekitike,FW
2024-2025,22,Eint Frankfurt,de GER,1. Bundesliga,3rd,14,13,1005,11.2,7,3,10,7,0,0,0,0,7.4,7.4,2.9,10.4,31,14,75,0.63,0.27,0.90,0.63,0.90,0.66,0.26,0.93,0.66,0.93,Hugo Ekitike,FW
2015-2016,18,Midtjylland,dk DEN,1. Danish Superliga,3rd,12,9,909,10.1,1,2,3,1,0,0,1,0,,,,,,,,0.10,0.20,0.30,0.10,0.30,,,,,,Rasmus Kristensen,DF
2016-2017,19,Midtjylland,dk DEN,1. Danish Superliga,4th,33,32,2908,32.3,2,3,5,2,0,0,4,2,,,,,,,,0.06,0.09,0.15,0.06,0.15,,,,,,Rasmus Kristensen,DF
2017-2018,20,Midtjylland,dk DEN,1. Danish Superliga,1st,17,17,1512,16.8,3,2,5,3,0,0,0,0,,,,,,,,0.18,0.12,0.30,0.18,0.30,,,,,,Rasmus Kristensen,DF
2017-2018,20,Jong Ajax,nl NED,2. Eerste Divisie,1st,2,2,180,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Rasmus Kristensen,DF
2017-2018,20,Ajax,nl NED,1. Eredivisie,2nd,8,5,483,5.4,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Rasmus Kristensen,DF
2018-2019,21,Ajax,nl NED,1. Eredivisie,1st,12,5,623,6.9,0,2,2,0,0,0,1,0,0.4,0.4,1.3,1.6,17,22,57,0.00,0.29,0.29,0.00,0.29,0.05,0.18,0.23,0.05,0.23,Rasmus Kristensen,DF
2019-2020,22,RB Salzburg,at AUT,1. Bundesliga,1st,12,10,951,10.6,0,1,1,0,0,0,0,0,,,,,,,,0.00,0.09,0.09,0.00,0.09,,,,,,Rasmus Kristensen,DF
2020-2021,23,RB Salzburg,at AUT,1. Bundesliga,1st,31,25,2333,25.9,3,2,5,3,0,0,2,0,,,,,,,,0.12,0.08,0.19,0.12,0.19,,,,,,Rasmus Kristensen,DF
2021-2022,24,RB Salzburg,at AUT,1. Bundesliga,1st,29,29,2528,28.1,7,4,11,7,0,2,1,0,,,,,,,,0.25,0.14,0.39,0.25,0.39,,,,,,Rasmus Kristensen,DF
2022-2023,25,Leeds United,eng ENG,1. Premier League,19th,26,21,1960,21.8,3,1,4,3,0,0,4,0,0.8,0.8,1.0,1.9,15,89,70,0.14,0.05,0.18,0.14,0.18,0.04,0.05,0.09,0.04,0.09,Rasmus Kristensen,DF
2023-2024,26,Roma,it ITA,1. Serie A,6th,29,19,1744,19.4,1,1,2,1,0,0,5,0,0.5,0.5,0.9,1.5,16,40,115,0.05,0.05,0.10,0.05,0.10,0.03,0.05,0.08,0.03,0.08,Rasmus Kristensen,DF
2024-2025,27,Eint Frankfurt,de GER,1. Bundesliga,3rd,12,12,1027,11.4,1,0,1,1,0,0,0,0,0.4,0.4,0.9,1.3,34,88,45,0.09,0.00,0.09,0.09,0.09,0.03,0.08,0.12,0.03,0.12,Rasmus Kristensen,DF
2023-2024,19,Eint Frankfurt,de GER,1. Bundesliga,6th,29,21,1886,21.0,2,1,3,2,0,0,1,0,1.3,1.3,1.4,2.7,26,68,42,0.10,0.05,0.14,0.10,0.14,0.06,0.07,0.13,0.06,0.13,Hugo Larsson,MF
2024-2025,20,Eint Frankfurt,de GER,1. Bundesliga,3rd,14,11,971,10.8,2,0,2,2,0,0,1,0,2.2,2.2,0.5,2.7,6,46,6,0.19,0.00,0.19,0.19,0.19,0.20,0.05,0.25,0.20,0.25,Hugo Larsson,MF
