Season,Age,Squad,Country,Comp,LgRank,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Player,Position
2009-2010,18,Atlético Madrid,es ESP,1. La Liga,9th,19.0,28,,,,,,,,,,,,,,,,,,,,,,,,,David de Gea,GK
2010-2011,19,Atlético Madrid,es ESP,1. La Liga,7th,38.0,53,,,,,,,,,,,,,,,,,,,,,,,,,David de Gea,GK
2011-2012,20,Manchester Utd,eng ENG,1. Premier League,2nd,29.0,29,,,,,,,,,,,,,,,,,,,,,,,,,David de Gea,GK
2012-2013,21,Manchester Utd,eng ENG,1. Premier League,1st,28.0,26,,,,,,,,,,,,,,,,,,,,,,,,,David de Gea,GK
2013-2014,22,Manchester Utd,eng ENG,1. Premier League,7th,37.0,43,,,,,,,,,,,,,,,,,,,,,,,,,David de Gea,GK
2014-2015,23,Manchester Utd,eng ENG,1. Premier League,4th,36.8,36,,,,,,,,,,,,,,,,,,,,,,,,,David de Gea,GK
2015-2016,24,Manchester Utd,eng ENG,1. Premier League,5th,34.0,33,,,,,,,,,,,,,,,,,,,,,,,,,David de Gea,GK
2016-2017,25,Manchester Utd,eng ENG,1. Premier League,6th,35.0,29,4,,,,,,,,,,,,,,,,,,,,,,,,David de Gea,GK
2017-2018,26,Manchester Utd,eng ENG,1. Premier League,2nd,37.0,28,1,1,5,2,38.5,0.28,+12.5,+0.34,232,613,37.8,799,147,48.6,39.6,290,77.6,55.8,483,16,3.3,21,0.57,12.8,David de Gea,GK
2018-2019,27,Manchester Utd,eng ENG,1. Premier League,6th,38.0,54,6,2,7,3,49.9,0.26,-1.1,-0.03,265,620,42.7,769,153,46.6,38.2,332,78.9,54.6,524,9,1.7,25,0.66,13.4,David de Gea,GK
2019-2020,28,Manchester Utd,eng ENG,1. Premier League,3rd,38.0,36,3,1,8,1,34.7,0.25,-0.3,-0.01,83,262,31.7,672,153,28.4,30.6,268,26.5,29.0,489,10,2.0,22,0.58,15.0,David de Gea,GK
2020-2021,29,Manchester Utd,eng ENG,1. Premier League,2nd,25.5,32,4,1,5,2,28.1,0.27,-1.9,-0.08,67,174,38.5,417,88,28.1,29.7,172,33.1,29.1,310,2,0.6,28,1.10,16.8,David de Gea,GK
