Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2017-2018,18,Shakhtar,ua UKR,1. Premier League,1st,1.0,,0,,,,,,,,,,,0,,,,Dodô,DF
2018-2019,19,Vitória,pt POR,1. Primeira Liga,5th,8.4,18,14,13,4,1,5,15,33.3,10,4,1,3,18,36,18,0,Dodô,DF
2019-2020,20,Shakhtar,ua UKR,1. Premier League,1st,20.5,,,,,,,,,,,,,,,,,Dodô,DF
2020-2021,21,Shakhtar,ua UKR,1. Premier League,2nd,22.1,,,,,,,,,,,,,,,,,Dodô,DF
2021-2022,22,Shakhtar,ua UKR,1. Premier League,1st,13.8,,,,,,,,,,,,,,,,,Dodô,DF
2022-2023,23,Fiorentina,it ITA,1. Serie A,8th,25.9,40,22,20,14,6,22,46,47.8,24,26,2,24,25,65,37,0,Dodô,DF
2023-2024,24,Fiorentina,it ITA,1. Serie A,8th,5.8,5,3,1,4,0,2,5,40.0,3,2,0,2,5,10,11,0,Dodô,DF
2024-2025,25,Fiorentina,it ITA,1. Serie A,4th,13.9,14,11,7,4,3,9,18,50.0,9,10,3,7,18,32,28,0,Dodô,DF
2018-2019,19,Foggia,it ITA,2. Serie B,17th,26.0,28,19,18,7,3,14,29,48.3,15,23,13,10,37,65,125,0,Luca Ranieri,DF
2019-2020,20,Fiorentina,it ITA,1. Serie A,10th,2.6,2,2,2,0,0,2,3,66.7,1,1,0,1,2,4,7,0,Luca Ranieri,DF
2019-2020,20,Ascoli,it ITA,2. Serie B,14th,9.5,19,13,14,5,0,9,12,75.0,3,14,10,4,16,35,61,2,Luca Ranieri,DF
2020-2021,21,SPAL,it ITA,2. Serie B,9th,23.5,21,14,12,8,1,11,17,64.7,6,26,12,14,30,51,71,1,Luca Ranieri,DF
2021-2022,22,Salernitana,it ITA,1. Serie A,17th,23.4,38,21,23,11,4,19,33,57.6,14,18,8,10,22,60,67,0,Luca Ranieri,DF
2022-2023,23,Fiorentina,it ITA,1. Serie A,8th,5.6,9,4,6,3,0,6,9,66.7,3,5,3,2,11,20,15,1,Luca Ranieri,DF
2023-2024,24,Fiorentina,it ITA,1. Serie A,8th,22.9,14,10,11,1,2,8,13,61.5,5,25,11,14,29,43,64,0,Luca Ranieri,DF
2024-2025,25,Fiorentina,it ITA,1. Serie A,4th,12.3,10,6,8,1,1,4,8,50.0,4,20,14,6,8,18,48,0,Luca Ranieri,DF
2013-2014,19,Dordrecht,nl NED,2. Eerste Divisie,2nd,12.1,,,,,,,,,,,,,,,,,Robin Gosens,DF
