Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2017-2018,18,Shakhtar,ua UKR,1. Premier League,1st,1.0,,,,,,,,,,,,,,,,,Dodô,DF
2018-2019,19,Vitória,pt POR,1. Primeira Liga,5th,8.4,22,2.62,18,2,2,0,0,0,2,0.24,2,0,0,0,0,0,Dodô,DF
2019-2020,20,Shakhtar,ua UKR,1. Premier League,1st,20.5,,,,,,,,,,,,,,,,,Dodô,DF
2020-2021,21,Shakhtar,ua UKR,1. Premier League,2nd,22.1,,,,,,,,,,,,,,,,,Dodô,DF
2021-2022,22,Shakhtar,ua UKR,1. Premier League,1st,13.8,,,,,,,,,,,,,,,,,Dodô,DF
2022-2023,23,Fiorentina,it ITA,1. Serie A,8th,25.9,65,2.51,58,2,1,2,1,1,5,0.19,5,0,0,0,0,0,Dodô,DF
2023-2024,24,Fiorentina,it ITA,1. Serie A,8th,5.8,15,2.59,13,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Dodô,DF
2024-2025,25,Fiorentina,it ITA,1. Serie A,4th,13.9,35,2.52,27,0,1,2,5,0,3,0.22,1,0,0,0,2,0,Dodô,DF
2018-2019,19,Foggia,it ITA,2. Serie B,17th,26.0,30,1.15,24,1,1,1,3,0,2,0.08,1,0,0,0,1,0,Luca Ranieri,DF
2019-2020,20,Fiorentina,it ITA,1. Serie A,10th,2.6,8,3.12,6,0,2,0,0,0,0,0.00,0,0,0,0,0,0,Luca Ranieri,DF
2019-2020,20,Ascoli,it ITA,2. Serie B,14th,9.5,11,1.16,10,0,0,0,0,1,3,0.32,3,0,0,0,0,0,Luca Ranieri,DF
2020-2021,21,SPAL,it ITA,2. Serie B,9th,23.5,29,1.23,24,0,1,2,2,0,3,0.13,3,0,0,0,0,0,Luca Ranieri,DF
2021-2022,22,Salernitana,it ITA,1. Serie A,17th,23.4,26,1.11,23,2,0,1,0,0,1,0.04,1,0,0,0,0,0,Luca Ranieri,DF
2022-2023,23,Fiorentina,it ITA,1. Serie A,8th,5.6,4,0.71,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Luca Ranieri,DF
2023-2024,24,Fiorentina,it ITA,1. Serie A,8th,22.9,22,0.96,19,1,0,2,0,0,2,0.09,1,1,0,0,0,0,Luca Ranieri,DF
2024-2025,25,Fiorentina,it ITA,1. Serie A,4th,12.3,8,0.65,7,0,0,1,0,0,2,0.16,2,0,0,0,0,0,Luca Ranieri,DF
2013-2014,19,Dordrecht,nl NED,2. Eerste Divisie,2nd,12.1,,,,,,,,,,,,,,,,,Robin Gosens,DF
2014-2015,20,Dordrecht,nl NED,1. Eredivisie,18th,27.1,,,,,,,,,,,,,,,,,Robin Gosens,DF
2015-2016,21,Heracles Almelo,nl NED,1. Eredivisie,6th,21.2,,,,,,,,,,,,,,,,,Robin Gosens,DF
2016-2017,22,Heracles Almelo,nl NED,1. Eredivisie,10th,25.8,,,,,,,,,,,,,,,,,Robin Gosens,DF
2017-2018,23,Atalanta,it ITA,1. Serie A,7th,16.1,38,2.36,30,2,1,0,1,4,2,0.12,1,1,0,0,0,0,Robin Gosens,DF
2018-2019,24,Atalanta,it ITA,1. Serie A,3rd,21.6,51,2.36,39,3,3,3,1,2,6,0.28,4,0,0,0,0,2,Robin Gosens,DF
