Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Player,Position,Score
2024-12-08,Sun,Matchweek 15,Home,W,Fiorentina,Cagliari,Y,RB,90,0,0,0,0.0,2,0.0,1,0,69.0,1.0,0,0.0,0.1,0.1,0.0,1.0,0.0,43.0,56.0,76.8,4.0,35.0,4.0,4.0,3.0,Dodô,DF,1–0
2024-11-24,Sun,Matchweek 13,Away,W,Fiorentina,Como,Y,"RB,RM",80,0,0,0,0.0,0,0.0,0,0,42.0,1.0,2,0.0,0.0,0.0,0.1,1.0,0.0,26.0,36.0,72.2,3.0,24.0,4.0,3.0,2.0,Dodô,DF,2–0
2024-11-10,Sun,Matchweek 12,Home,W,Fiorentina,Hellas Verona,Y,RB,90,0,0,0,0.0,0,0.0,0,0,64.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,57.0,68.4,6.0,34.0,3.0,5.0,3.0,Dodô,DF,3–1
2024-11-03,Sun,Matchweek 11,Away,W,Fiorentina,Torino,Y,RB,90,0,0,0,0.0,2,1.0,0,0,72.0,1.0,1,0.0,0.1,0.1,0.0,1.0,0.0,56.0,65.0,86.2,2.0,61.0,7.0,1.0,0.0,Dodô,DF,1–0
2024-10-31,Thu,Matchweek 10,Away,W,Fiorentina,Genoa,Y,RB,90,0,0,0,0.0,2,1.0,0,0,94.0,0.0,2,2.0,0.1,0.1,0.0,1.0,0.0,61.0,75.0,81.3,2.0,54.0,9.0,4.0,0.0,Dodô,DF,1–0
2024-12-08,Sun,Matchweek 15,Home,W,Fiorentina,Cagliari,Y*,CB,90,0,0,0,0.0,0,0.0,0,0,61.0,1.0,2,2.0,0.0,0.0,0.0,0.0,0.0,42.0,48.0,87.5,1.0,33.0,0.0,0.0,0.0,Luca Ranieri,DF,1–0
2024-11-24,Sun,Matchweek 13,Away,W,Fiorentina,Como,Y*,CB,80,0,0,0,0.0,0,0.0,0,0,77.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,62.0,69.0,89.9,8.0,45.0,0.0,0.0,0.0,Luca Ranieri,DF,2–0
2024-11-10,Sun,Matchweek 12,Home,W,Fiorentina,Hellas Verona,Y*,CB,90,0,0,0,0.0,0,0.0,0,0,77.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,64.0,71.0,90.1,3.0,50.0,1.0,0.0,0.0,Luca Ranieri,DF,3–1
2024-11-03,Sun,Matchweek 11,Away,W,Fiorentina,Torino,Y*,CB,90,0,1,0,0.0,0,0.0,0,0,55.0,3.0,0,1.0,0.0,0.0,0.4,1.0,1.0,42.0,45.0,93.3,1.0,36.0,0.0,0.0,0.0,Luca Ranieri,DF,1–0
2024-10-31,Thu,Matchweek 10,Away,W,Fiorentina,Genoa,Y,CB,90,0,0,0,0.0,0,0.0,0,0,70.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,62.0,66.0,93.9,1.0,42.0,0.0,1.0,1.0,Luca Ranieri,DF,1–0
2024-12-08,Sun,Matchweek 15,Home,W,Fiorentina,Cagliari,Y,"LB,LW",90,0,0,0,0.0,0,0.0,1,0,60.0,6.0,2,0.0,0.0,0.0,0.0,2.0,0.0,37.0,52.0,71.2,2.0,24.0,0.0,0.0,0.0,Robin Gosens,DF,1–0
2024-11-24,Sun,Matchweek 13,Away,W,Fiorentina,Como,Y,"LB,LM",90,0,0,0,0.0,0,0.0,0,0,58.0,1.0,1,0.0,0.0,0.0,0.1,2.0,1.0,34.0,50.0,68.0,3.0,30.0,4.0,0.0,0.0,Robin Gosens,DF,2–0
2024-11-10,Sun,Matchweek 12,Home,W,Fiorentina,Hellas Verona,Y,LB,90,0,0,0,0.0,1,0.0,0,0,61.0,1.0,0,1.0,0.1,0.1,0.1,3.0,1.0,36.0,54.0,66.7,3.0,23.0,0.0,0.0,0.0,Robin Gosens,DF,3–1
2024-11-03,Sun,Matchweek 11,Away,W,Fiorentina,Torino,Y,LB,90,0,0,0,0.0,1,0.0,0,0,77.0,3.0,4,1.0,0.0,0.0,0.0,0.0,0.0,54.0,68.0,79.4,6.0,53.0,0.0,0.0,0.0,Robin Gosens,DF,1–0
2024-10-31,Thu,Matchweek 10,Away,W,Fiorentina,Genoa,Y,LB,90,1,0,0,0.0,1,1.0,0,0,86.0,0.0,0,0.0,0.1,0.1,0.0,2.0,0.0,64.0,77.0,83.1,8.0,45.0,5.0,0.0,0.0,Robin Gosens,DF,1–0
2024-12-08,Sun,Matchweek 15,Home,W,Fiorentina,Cagliari,Y,CB,90,0,0,0,0.0,0,0.0,1,0,50.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,35.0,40.0,87.5,0.0,23.0,0.0,0.0,0.0,Pietro Comuzzo,DF,1–0
2024-11-24,Sun,Matchweek 13,Away,W,Fiorentina,Como,Y,CB,90,0,0,0,0.0,0,0.0,0,0,50.0,1.0,2,0.0,0.0,0.0,0.0,1.0,0.0,35.0,39.0,89.7,1.0,23.0,0.0,0.0,0.0,Pietro Comuzzo,DF,2–0
2024-11-10,Sun,Matchweek 12,Home,W,Fiorentina,Hellas Verona,Y,CB,90,0,0,0,0.0,0,0.0,0,0,87.0,0.0,2,2.0,0.0,0.0,0.1,2.0,0.0,73.0,80.0,91.3,11.0,60.0,1.0,0.0,0.0,Pietro Comuzzo,DF,3–1
2024-11-03,Sun,Matchweek 11,Away,W,Fiorentina,Torino,Y,CB,90,0,0,0,0.0,0,0.0,0,0,48.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,39.0,94.9,1.0,37.0,0.0,0.0,0.0,Pietro Comuzzo,DF,1–0
2024-10-27,Sun,Matchweek 9,Home,W,Fiorentina,Roma,Y,CB,90,0,0,0,0.0,0,0.0,0,0,32.0,3.0,2,5.0,0.0,0.0,0.0,0.0,0.0,16.0,18.0,88.9,0.0,13.0,0.0,0.0,0.0,Pietro Comuzzo,DF,5–1
2024-12-08,Sun,Matchweek 15,Home,W,Fiorentina,Cagliari,N,FW,35,0,0,0,0.0,0,0.0,0,0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,0.0,1.0,0.0,Moise Kean,FW,1–0
2024-11-24,Sun,Matchweek 13,Away,W,Fiorentina,Como,Y,FW,90,1,0,0,0.0,4,1.0,0,0,21.0,0.0,0,0.0,0.5,0.5,0.0,1.0,0.0,3.0,8.0,37.5,0.0,13.0,0.0,2.0,0.0,Moise Kean,FW,2–0
2024-11-10,Sun,Matchweek 12,Home,W,Fiorentina,Hellas Verona,Y,FW,90,3,0,0,0.0,5,4.0,1,0,26.0,1.0,0,1.0,1.3,1.3,0.3,2.0,1.0,5.0,11.0,45.5,2.0,15.0,2.0,3.0,2.0,Moise Kean,FW,3–1
2024-11-03,Sun,Matchweek 11,Away,W,Fiorentina,Torino,Y,FW,84,1,0,0,0.0,1,1.0,0,0,19.0,0.0,0,0.0,0.4,0.4,0.0,1.0,0.0,9.0,11.0,81.8,2.0,16.0,0.0,2.0,0.0,Moise Kean,FW,1–0
2024-10-27,Sun,Matchweek 9,Home,W,Fiorentina,Roma,Y,FW,74,2,0,0,0.0,6,4.0,1,0,27.0,1.0,0,0.0,2.0,2.0,0.0,1.0,1.0,10.0,15.0,66.7,2.0,20.0,6.0,3.0,2.0,Moise Kean,FW,5–1
2024-12-08,Sun,Matchweek 15,Home,W,Fiorentina,Cagliari,N,RW,35,0,0,0,0.0,0,0.0,0,0,10.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,57.1,1.0,4.0,0.0,1.0,1.0,Andrea Colpani,"FW,MF",1–0
2024-11-24,Sun,Matchweek 13,Away,W,Fiorentina,Como,Y,RW,65,0,0,0,0.0,0,0.0,0,0,22.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,75.0,3.0,15.0,0.0,0.0,0.0,Andrea Colpani,"FW,MF",2–0
2024-11-10,Sun,Matchweek 12,Home,W,Fiorentina,Hellas Verona,Y,RW,82,0,0,0,0.0,2,1.0,0,0,32.0,2.0,0,0.0,0.3,0.3,0.0,1.0,0.0,16.0,23.0,69.6,3.0,22.0,0.0,2.0,1.0,Andrea Colpani,"FW,MF",3–1
2024-11-03,Sun,Matchweek 11,Away,W,Fiorentina,Torino,Y,RW,62,0,0,0,0.0,1,1.0,0,0,21.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,16.0,87.5,0.0,14.0,3.0,1.0,1.0,Andrea Colpani,"FW,MF",1–0
2024-10-31,Thu,Matchweek 10,Away,W,Fiorentina,Genoa,Y,RW,73,0,0,0,0.0,3,1.0,0,0,42.0,0.0,0,0.0,0.1,0.1,0.1,3.0,1.0,31.0,34.0,91.2,4.0,19.0,2.0,1.0,1.0,Andrea Colpani,"FW,MF",1–0
2024-12-08,Sun,Matchweek 15,Home,W,Fiorentina,Cagliari,Y,GK,90,1,0,1,100.0,1,0.3,0,0,0.0,0.0,5,23.0,21.7,23.0,0.0,82.6,52.8,5.0,80.0,60.0,19.0,2.0,10.5,1.0,10.0,David de Gea,GK,1–0
2024-11-24,Sun,Matchweek 13,Away,W,Fiorentina,Como,Y,GK,90,4,0,4,100.0,1,0.8,0,0,0.0,0.0,6,13.0,46.2,24.0,4.0,29.2,32.4,11.0,54.5,44.3,15.0,0.0,0.0,0.0,,David de Gea,GK,2–0
2024-11-10,Sun,Matchweek 12,Home,W,Fiorentina,Hellas Verona,Y,GK,90,2,1,1,50.0,0,0.6,0,0,0.0,0.0,7,11.0,63.6,20.0,5.0,40.0,31.0,5.0,60.0,51.2,10.0,0.0,0.0,1.0,13.2,David de Gea,GK,3–1
2024-11-03,Sun,Matchweek 11,Away,W,Fiorentina,Torino,Y,GK,90,1,0,1,100.0,1,0.1,0,0,0.0,0.0,9,21.0,42.9,31.0,4.0,58.1,42.2,8.0,37.5,41.0,8.0,1.0,12.5,0.0,4.0,David de Gea,GK,1–0
2024-10-31,Thu,Matchweek 10,Away,W,Fiorentina,Genoa,Y,GK,90,4,0,4,100.0,1,1.7,0,0,0.0,0.0,6,14.0,42.9,26.0,5.0,38.5,35.9,9.0,44.4,38.3,18.0,0.0,0.0,1.0,17.0,David de Gea,GK,1–0
