Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Player,Position
2017-2018,18,Shakhtar,ua UKR,1. Premier League,1st,1.0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,Dodô,DF
2018-2019,19,Vitória,pt POR,1. Primeira Liga,5th,8.4,2,0,0,14,13,0,27,18,14,0,0,0,49,8,4,66.7,Dodô,DF
2019-2020,20,Shakhtar,ua UKR,1. Premier League,1st,20.5,3,0,0,,,,,,,,,0,,,,,Dodô,DF
2020-2021,21,Shakhtar,ua UKR,1. Premier League,2nd,22.1,4,0,0,,,,,,,,,0,,,,,Dodô,DF
2021-2022,22,Shakhtar,ua UKR,1. Premier League,1st,13.8,1,1,0,,,,,,,,,0,,,,,Dodô,DF
2022-2023,23,Fiorentina,it ITA,1. Serie A,8th,25.9,5,1,1,28,40,0,61,25,22,0,1,0,184,19,13,59.4,Dodô,DF
2023-2024,24,Fiorentina,it ITA,1. Serie A,8th,5.8,0,0,0,7,8,0,19,5,3,0,0,0,34,4,2,66.7,Dodô,DF
2024-2025,25,Fiorentina,it ITA,1. Serie A,4th,13.9,4,0,0,6,24,1,65,18,11,2,0,0,77,5,5,50.0,Dodô,DF
2018-2019,19,Foggia,it ITA,2. Serie B,17th,26.0,7,0,0,10,23,0,35,37,19,2,0,0,140,48,30,61.5,Luca Ranieri,DF
2019-2020,20,Fiorentina,it ITA,1. Serie A,10th,2.6,2,1,1,5,1,0,3,2,2,0,1,0,14,7,5,58.3,Luca Ranieri,DF
2019-2020,20,Ascoli,it ITA,2. Serie B,14th,9.5,4,0,0,8,9,1,2,16,13,0,0,0,38,23,19,54.8,Luca Ranieri,DF
2020-2021,21,SPAL,it ITA,2. Serie B,9th,23.5,3,0,0,20,14,0,21,30,14,0,0,0,127,33,31,51.6,Luca Ranieri,DF
