Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2017-2018,18,Shakhtar,ua UKR,1. Premier League,1st,1.0,,,,,,,0,,,,,,,,,Dodô,DF
2018-2019,19,Vitória,pt POR,1. Primeira Liga,5th,8.4,438,336,102,12,0,3,27,90,0,0,0,0,351,0,13,Dodô,DF
2019-2020,20,Shakhtar,ua UKR,1. Premier League,1st,20.5,,,,,,,,,,,,,,,,Dodô,DF
2020-2021,21,Shakhtar,ua UKR,1. Premier League,2nd,22.1,,,,,,,,,,,,,,,,Dodô,DF
2021-2022,22,Shakhtar,ua UKR,1. Premier League,1st,13.8,,,,,,,,,,,,,,,,Dodô,DF
2022-2023,23,Fiorentina,it ITA,1. Serie A,8th,25.9,1504,1272,229,21,2,8,61,208,0,0,0,0,1222,3,28,Dodô,DF
2023-2024,24,Fiorentina,it ITA,1. Serie A,8th,5.8,347,296,50,4,1,1,19,46,0,0,0,0,278,1,6,Dodô,DF
2024-2025,25,Fiorentina,it ITA,1. Serie A,4th,13.9,744,625,118,11,2,0,65,107,0,0,0,0,580,1,24,Dodô,DF
2018-2019,19,Foggia,it ITA,2. Serie B,17th,26.0,1490,1320,160,64,1,17,35,96,0,0,0,0,1190,10,15,Luca Ranieri,DF
2019-2020,20,Fiorentina,it ITA,1. Serie A,10th,2.6,166,153,13,6,0,0,3,7,0,0,0,0,134,0,1,Luca Ranieri,DF
2019-2020,20,Ascoli,it ITA,2. Serie B,14th,9.5,353,315,33,29,0,2,2,4,0,0,0,0,277,5,4,Luca Ranieri,DF
2020-2021,21,SPAL,it ITA,2. Serie B,9th,23.5,1232,1150,78,53,0,10,21,25,0,0,0,0,969,4,12,Luca Ranieri,DF
2021-2022,22,Salernitana,it ITA,1. Serie A,17th,23.4,993,789,199,27,0,1,66,171,1,0,1,0,698,5,32,Luca Ranieri,DF
2022-2023,23,Fiorentina,it ITA,1. Serie A,8th,5.6,334,322,10,5,0,1,0,5,0,0,0,0,278,2,3,Luca Ranieri,DF
2023-2024,24,Fiorentina,it ITA,1. Serie A,8th,22.9,1362,1289,69,51,0,5,13,16,0,0,0,0,1142,4,8,Luca Ranieri,DF
2024-2025,25,Fiorentina,it ITA,1. Serie A,4th,12.3,678,637,37,32,0,4,1,2,0,0,0,0,604,4,5,Luca Ranieri,DF
