Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player,Position
2017-2018,18,Shakhtar,ua UKR,1. Premier League,1st,1.0,,,,,,,,,,,,,,,0,,,,,,,,,Dodô,DF
2018-2019,19,Vitória,pt POR,1. Primeira Liga,5th,8.4,351,438,80.1,5776,1701,178,202,88.1,126,153,82.4,33,52,63.5,1,1.6,1.5,-0.6,9,14,9,3,26,Dodô,DF
2019-2020,20,Shakhtar,ua UKR,1. Premier League,1st,20.5,,,,,,,,,,,,,,,1,,,,,,,,,Dodô,DF
2020-2021,21,Shakhtar,ua UKR,1. Premier League,2nd,22.1,,,,,,,,,,,,,,,5,,,,,,,,,Dodô,DF
2021-2022,22,Shakhtar,ua UKR,1. Premier League,1st,13.8,,,,,,,,,,,,,,,4,,,,,,,,,Dodô,DF
2022-2023,23,Fiorentina,it ITA,1. Serie A,8th,25.9,1222,1504,81.3,21567,6692,535,596,89.8,548,657,83.4,117,191,61.3,3,2.2,2.0,+0.8,28,93,29,10,141,Dodô,DF
2023-2024,24,Fiorentina,it ITA,1. Serie A,8th,5.8,278,347,80.1,5196,1670,105,120,87.5,141,168,83.9,29,42,69.0,0,0.8,0.6,-0.8,10,25,9,3,39,Dodô,DF
2024-2025,25,Fiorentina,it ITA,1. Serie A,4th,13.9,580,744,78.0,10749,3236,213,246,86.6,313,372,84.1,47,96,49.0,0,1.8,1.8,-1.8,16,41,19,10,62,Dodô,DF
2018-2019,19,Foggia,it ITA,2. Serie B,17th,26.0,1190,1490,79.9,21759,8767,512,568,90.1,531,642,82.7,127,228,55.7,0,0.4,1.0,-0.4,8,110,11,10,117,Luca Ranieri,DF
2019-2020,20,Fiorentina,it ITA,1. Serie A,10th,2.6,134,166,80.7,2571,1185,42,47,89.4,81,90,90.0,11,24,45.8,0,0.3,0.7,-0.3,5,14,1,1,14,Luca Ranieri,DF
2019-2020,20,Ascoli,it ITA,2. Serie B,14th,9.5,277,353,78.5,5096,2246,106,118,89.8,147,172,85.5,23,52,44.2,0,0.1,0.1,-0.1,3,26,1,0,32,Luca Ranieri,DF
2020-2021,21,SPAL,it ITA,2. Serie B,9th,23.5,969,1232,78.7,18756,8383,349,391,89.3,499,593,84.1,111,216,51.4,1,0.5,1.0,+0.5,6,133,13,1,131,Luca Ranieri,DF
2021-2022,22,Salernitana,it ITA,1. Serie A,17th,23.4,698,993,70.3,11546,5442,339,396,85.6,280,401,69.8,58,123,47.2,0,1.0,1.0,-1.0,11,56,17,14,76,Luca Ranieri,DF
2022-2023,23,Fiorentina,it ITA,1. Serie A,8th,5.6,278,334,83.2,5363,1832,96,105,91.4,143,158,90.5,37,62,59.7,0,0.1,0.1,-0.1,2,18,0,0,11,Luca Ranieri,DF
2023-2024,24,Fiorentina,it ITA,1. Serie A,8th,22.9,1142,1362,83.8,23351,8689,350,385,90.9,617,682,90.5,165,265,62.3,1,0.4,0.7,+0.6,7,95,11,2,99,Luca Ranieri,DF
2024-2025,25,Fiorentina,it ITA,1. Serie A,4th,12.3,604,678,89.1,11953,4283,201,209,96.2,323,339,95.3,74,115,64.3,2,1.3,0.8,+0.7,7,29,3,0,27,Luca Ranieri,DF
2013-2014,19,Dordrecht,nl NED,2. Eerste Divisie,2nd,12.1,,,,,,,,,,,,,,,2,,,,,,,,,Robin Gosens,DF
2014-2015,20,Dordrecht,nl NED,1. Eredivisie,18th,27.1,,,,,,,,,,,,,,,0,,,,,,,,,Robin Gosens,DF
2015-2016,21,Heracles Almelo,nl NED,1. Eredivisie,6th,21.2,,,,,,,,,,,,,,,1,,,,,,,,,Robin Gosens,DF
2016-2017,22,Heracles Almelo,nl NED,1. Eredivisie,10th,25.8,,,,,,,,,,,,,,,4,,,,,,,,,Robin Gosens,DF
2017-2018,23,Atalanta,it ITA,1. Serie A,7th,16.1,684,871,78.5,10491,3826,372,416,89.4,261,329,79.3,35,84,41.7,2,1.9,1.2,+0.1,16,58,21,6,87,Robin Gosens,DF
2018-2019,24,Atalanta,it ITA,1. Serie A,3rd,21.6,918,1223,75.1,13944,5894,521,599,87.0,330,450,73.3,46,103,44.7,2,2.7,3.1,-0.7,18,76,31,11,133,Robin Gosens,DF
2019-2020,25,Atalanta,it ITA,1. Serie A,3rd,29.1,1158,1508,76.8,16627,5974,672,779,86.3,352,473,74.4,72,138,52.2,7,3.8,3.3,+3.2,40,85,45,13,125,Robin Gosens,DF
