Season,Age,Squad,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Player,Position
2017-2018,18,Shakhtar,ua UKR,1. Premier League,1st,2,94,47,3.3,1.0,1,,1,1,,4,1.50,1,2,-1,-0.96,-2.51,,,,,,Dodô,DF
2018-2019,19,Vitória,pt POR,1. Primeira Liga,5th,9,755,84,24.7,8.4,8,89,7,1,45,7,1.44,14,10,+4,+0.48,+0.16,13.7,9.6,+4.1,+0.49,+0.17,Dodô,DF
2019-2020,20,Shakhtar,ua UKR,1. Premier League,1st,23,1842,80,64.0,20.5,20,89,19,3,23,2,2.57,54,14,+40,+1.95,+0.74,,,,,,Dodô,DF
2020-2021,21,Shakhtar,ua UKR,1. Premier League,2nd,23,1986,86,88.3,22.1,23,86,21,0,,2,1.96,42,14,+28,+1.27,-1.12,,,,,,Dodô,DF
2021-2022,22,Shakhtar,ua UKR,1. Premier League,1st,14,1242,89,76.7,13.8,14,89,12,0,,2,2.50,35,9,+26,+1.88,-1.21,,,,,,Dodô,DF
2022-2023,23,Fiorentina,it ITA,1. Serie A,8th,33,2331,71,68.2,25.9,28,78,16,5,30,2,1.58,38,28,+10,+0.39,+0.39,38.6,29.3,+9.2,+0.36,+0.16,Dodô,DF
2023-2024,24,Fiorentina,it ITA,1. Serie A,8th,9,523,58,15.3,5.8,7,72,4,2,9,8,1.56,10,14,-4,-0.69,-1.28,6.7,11.3,-4.6,-0.79,-1.04,Dodô,DF
2024-2025,25,Fiorentina,it ITA,1. Serie A,4th,14,1250,89,99.2,13.9,14,89,13,0,,0,2.07,28,10,+18,+1.30,+1.30,19.9,13.0,+7.0,+0.50,-1.04,Dodô,DF
2017-2018,18,Fiorentina,it ITA,1. Serie A,8th,0,,,,,0,,0,0,,3,,,,,,,,,,,,Luca Ranieri,DF
2018-2019,19,Foggia,it ITA,2. Serie B,17th,29,2341,81,72.3,26.0,26,88,22,3,20,6,1.24,29,31,-2,-0.08,+0.22,32.4,36.6,-4.2,-0.16,-0.03,Luca Ranieri,DF
2019-2020,20,Fiorentina,it ITA,1. Serie A,10th,3,232,77,6.8,2.6,2,90,2,1,52,17,0.33,2,4,-2,-0.78,-0.92,3.5,3.2,+0.3,+0.12,0.00,Luca Ranieri,DF
2019-2020,20,Ascoli,it ITA,2. Serie B,14th,10,857,86,25.1,9.5,9,89,7,1,60,2,1.70,14,10,+4,+0.42,+0.84,12.1,13.6,-1.5,-0.15,+0.33,Luca Ranieri,DF
2020-2021,21,SPAL,it ITA,2. Serie B,9th,25,2115,85,61.8,23.5,23,88,17,2,43,6,1.56,25,24,+1,+0.04,-0.03,25.3,30.0,-4.7,-0.20,-0.07,Luca Ranieri,DF
2021-2022,22,Salernitana,it ITA,1. Serie A,17th,27,2103,78,61.5,23.4,25,81,10,2,34,2,0.81,20,47,-27,-1.16,+0.07,17.7,36.0,-18.3,-0.78,-0.07,Luca Ranieri,DF
2021-2022,22,Fiorentina,it ITA,1. Serie A,7th,0,,,,,0,,0,0,,1,,,,,,,,,,,,Luca Ranieri,DF
2022-2023,23,Fiorentina,it ITA,1. Serie A,8th,9,508,56,14.9,5.6,5,89,4,4,16,27,2.00,14,5,+9,+1.59,+1.56,8.6,5.0,+3.6,+0.63,+0.38,Luca Ranieri,DF
2023-2024,24,Fiorentina,it ITA,1. Serie A,8th,26,2065,79,60.4,22.9,23,87,19,3,22,10,1.69,38,28,+10,+0.44,+0.10,32.5,29.9,+2.5,+0.11,+0.04,Luca Ranieri,DF
2024-2025,25,Fiorentina,it ITA,1. Serie A,4th,13,1105,85,87.7,12.3,12,88,10,1,45,0,2.14,27,8,+19,+1.55,+2.13,18.6,10.2,+8.4,+0.68,+1.40,Luca Ranieri,DF
2013-2014,19,Dordrecht,nl NED,2. Eerste Divisie,2nd,16,1085,68,31.7,12.1,11,,,5,,,,,,,,,,,,,,Robin Gosens,DF
2014-2015,20,Dordrecht,nl NED,1. Eredivisie,18th,31,2442,79,79.8,27.1,27,,21,4,,1,0.61,19,58,-39,-1.44,+0.46,,,,,,Robin Gosens,DF
2015-2016,21,Heracles Almelo,nl NED,1. Eredivisie,6th,32,1910,60,62.4,21.2,20,,12,12,,1,1.66,25,25,0,0.00,+0.16,,,,,,Robin Gosens,DF
2016-2017,22,Heracles Almelo,nl NED,1. Eredivisie,10th,28,2324,83,75.9,25.8,27,,23,1,,1,1.43,45,41,+4,+0.15,+0.89,,,,,,Robin Gosens,DF
2017-2018,23,Atalanta,it ITA,1. Serie A,7th,21,1451,69,42.4,16.1,17,,12,4,,17,1.71,25,14,+11,+0.68,+0.36,28.5,14.9,+13.6,+0.84,+0.21,Robin Gosens,DF
2018-2019,24,Atalanta,it ITA,1. Serie A,3rd,28,1942,69,56.8,21.6,23,79,14,5,23,10,1.82,42,23,+19,+0.88,+0.15,39.6,24.9,+14.7,+0.68,-0.31,Robin Gosens,DF
2019-2020,25,Atalanta,it ITA,1. Serie A,3rd,34,2617,77,76.5,29.1,31,82,17,3,20,3,2.06,78,36,+42,+1.44,+0.55,64.5,30.7,+33.8,+1.16,+0.22,Robin Gosens,DF
2020-2021,26,Atalanta,it ITA,1. Serie A,3rd,32,2523,79,73.8,28.0,30,82,12,2,39,0,2.13,71,33,+38,+1.36,+0.85,54.0,28.7,+25.3,+0.90,+0.06,Robin Gosens,DF
2021-2022,27,Atalanta,it ITA,1. Serie A,8th,6,460,77,13.5,5.1,5,84,2,1,41,0,1.83,7,4,+3,+0.59,+0.16,8.6,7.0,+1.6,+0.30,-0.17,Robin Gosens,DF
2021-2022,27,Inter,it ITA,1. Serie A,2nd,7,169,24,4.9,1.9,0,,0,7,24,4,2.43,3,1,+2,+1.07,-0.32,6.7,2.9,+3.7,+1.99,+0.92,Robin Gosens,DF
2022-2023,28,Inter,it ITA,1. Serie A,3rd,32,1184,37,34.6,13.2,11,73,2,21,18,3,1.88,17,15,+2,+0.15,-0.93,23.0,13.1,+9.9,+0.75,-0.12,Robin Gosens,DF
2023-2024,29,Union Berlin,de GER,1. Bundesliga,15th,30,2283,76,74.6,25.4,27,82,10,3,20,0,1.00,27,45,-18,-0.71,+0.10,31.5,34.7,-3.2,-0.13,+0.71,Robin Gosens,DF
2024-2025,30,Union Berlin,de GER,1. Bundesliga,12th,1,90,90,7.7,1.0,1,90,1,0,,0,1.00,1,1,0,0.00,+0.17,0.6,1.2,-0.5,-0.54,-0.30,Robin Gosens,DF
2024-2025,30,Fiorentina,it ITA,1. Serie A,4th,12,1052,88,83.5,11.7,12,88,10,0,,0,2.23,26,9,+17,+1.45,+1.02,18.2,10.8,+7.4,+0.63,+0.76,Robin Gosens,DF
2023-2024,18,Fiorentina,it ITA,1. Serie A,8th,4,43,11,1.3,0.5,0,,0,4,11.0,28,3.0,2,0,2,4.19,3.84,1.8,0.6,1.2,2.55,2.49,Pietro Comuzzo,DF
2024-2025,19,Fiorentina,it ITA,1. Serie A,4th,12,1037,86,82.3,11.5,12,86.0,9,0,,2,2.15,23,7,16,1.39,0.58,16.9,10.3,6.5,0.57,0.33,Pietro Comuzzo,DF
2016-2017,16,Juventus,it ITA,1. Serie A,1st,3,21,7,0.6,0.2,0,,0,3,,10,3.00,2,0,+2,+8.57,+7.30,,,,,,Moise Kean,FW
2017-2018,17,Hellas Verona,it ITA,1. Serie A,19th,19,1131,60,33.1,12.6,12,,4,7,,2,0.79,13,24,-11,-0.88,+0.58,11.8,25.1,-13.2,-1.06,-0.12,Moise Kean,FW
2017-2018,17,Juventus,it ITA,1. Serie A,1st,0,,,,,0,,0,0,,1,,,,,,,,,,,,Moise Kean,FW
2018-2019,18,Juventus,it ITA,1. Serie A,1st,13,541,42,15.8,6.0,5,83,3,8,16,19,1.85,11,5,+6,+1.00,-0.06,9.3,4.6,+4.8,+0.80,+0.17,Moise Kean,FW
2019-2020,19,Everton,eng ENG,1. Premier League,12th,29,852,29,24.9,9.5,6,73,1,23,18,7,1.03,12,15,-3,-0.32,0.00,15.7,13.5,+2.2,+0.23,+0.22,Moise Kean,FW
2020-2021,20,Paris S-G,fr FRA,1. Ligue 1,2nd,26,1698,65,49.6,18.9,22,76,6,4,6,4,2.23,37,16,+21,+1.11,-0.82,35.2,20.4,+14.8,+0.78,-0.50,Moise Kean,FW
2020-2021,20,Everton,eng ENG,1. Premier League,10th,2,15,8,0.4,0.2,0,,0,2,8,1,3.00,0,0,0,0.00,+0.03,0.1,0.0,+0.1,+0.70,+0.82,Moise Kean,FW
2021-2022,21,Everton,eng ENG,1. Premier League,16th,1,1,1,0.0,0.0,0,,0,1,1,0,1.00,0,0,0,0.00,+0.61,0.1,0.3,-0.3,-23.15,-22.79,Moise Kean,FW
2021-2022,21,Juventus,it ITA,1. Serie A,4th,32,1098,34,32.1,12.2,12,66,1,20,15,0,2.03,19,14,+5,+0.41,-0.17,16.2,14.1,+2.1,+0.17,-0.26,Moise Kean,FW
2022-2023,22,Juventus,it ITA,1. Serie A,7th,28,995,36,29.1,11.1,11,64,0,17,17,2,1.89,11,8,+3,+0.27,-0.47,14.2,10.8,+3.4,+0.31,-0.07,Moise Kean,FW
2023-2024,23,Juventus,it ITA,1. Serie A,3rd,19,654,34,19.1,7.3,8,66,0,11,11,4,1.95,6,4,+2,+0.28,-0.41,9.0,5.3,+3.6,+0.50,-0.18,Moise Kean,FW
2024-2025,24,Fiorentina,it ITA,1. Serie A,4th,13,1036,80,82.2,11.5,12,83,8,1,35,0,2.00,23,10,+13,+1.13,-0.88,17.3,11.7,+5.7,+0.49,-0.09,Moise Kean,FW
2017-2018,18,Atalanta,it ITA,1. Serie A,7th,0,,,,,0,,0,0,,2,,,,,,,,,,,,Andrea Colpani,"FW,MF"
2018-2019,19,Atalanta,it ITA,1. Serie A,3rd,0,,,,,0,,0,0,,6,,,,,,,,,,,,Andrea Colpani,"FW,MF"
2019-2020,20,Trapani,it ITA,2. Serie B,18th,34,1757,52,51.4,19.5,24,62,1,10,27,3,1.18,22,28,-6,-0.31,+0.02,25.3,29.9,-4.6,-0.24,-0.04,Andrea Colpani,"FW,MF"
2020-2021,21,Monza,it ITA,2. Serie B,3rd,23,924,40,27.0,10.3,11,63,0,12,19,15,1.60,9,8,+1,+0.10,-0.52,15.4,9.2,+6.2,+0.61,+0.08,Andrea Colpani,"FW,MF"
2021-2022,22,Monza,it ITA,2. Serie B,4th,33,1677,51,49.0,18.6,21,66,1,12,24,4,1.86,28,17,+11,+0.59,+0.02,25.8,20.6,+5.2,+0.28,-0.22,Andrea Colpani,"FW,MF"
2022-2023,23,Monza,it ITA,1. Serie A,11th,27,948,35,27.7,10.5,10,61,0,17,20,8,1.22,16,12,+4,+0.38,+0.67,13.5,14.2,-0.7,-0.07,+0.10,Andrea Colpani,"FW,MF"
2023-2024,24,Monza,it ITA,1. Serie A,12th,38,2657,70,77.7,29.5,36,72,6,2,33,0,1.18,28,40,-12,-0.41,-0.41,29.4,43.5,-14.1,-0.48,-0.16,Andrea Colpani,"FW,MF"
2024-2025,25,Fiorentina,it ITA,1. Serie A,4th,14,960,69,76.2,10.7,12,74,2,2,36,0,2.07,22,10,+12,+1.13,-0.68,15.4,10.4,+5.0,+0.47,-0.16,Andrea Colpani,"FW,MF"
2009-2010,18,Atlético Madrid,es ESP,1. La Liga,9th,19,1710,90,50.0,19.0,19,,19,0,,,,,,,,,,,,,,David de Gea,GK
2010-2011,19,Atlético Madrid,es ESP,1. La Liga,7th,38,3420,90,100.0,38.0,38,,38,0,,,,,,,,,,,,,,David de Gea,GK
2011-2012,20,Manchester Utd,eng ENG,1. Premier League,2nd,29,2610,90,76.3,29.0,29,,29,0,,,,,,,,,,,,,,David de Gea,GK
2012-2013,21,Manchester Utd,eng ENG,1. Premier League,1st,28,2520,90,73.7,28.0,28,,28,0,,,,,,,,,,,,,,David de Gea,GK
2013-2014,22,Manchester Utd,eng ENG,1. Premier League,7th,37,3330,90,97.4,37.0,37,,37,0,,,,,,,,,,,,,,David de Gea,GK
2014-2015,23,Manchester Utd,eng ENG,1. Premier League,4th,37,3313,90,96.9,36.8,37,,36,0,,0,1.86,62,36,+26,+0.71,+1.55,,,,,,David de Gea,GK
2015-2016,24,Manchester Utd,eng ENG,1. Premier League,5th,34,3060,90,89.5,34.0,34,,34,0,,0,1.74,46,33,+13,+0.38,+0.13,,,,,,David de Gea,GK
2016-2017,25,Manchester Utd,eng ENG,1. Premier League,6th,35,3150,90,92.1,35.0,35,,35,0,,0,1.77,49,29,+20,+0.57,-1.10,,,,,,David de Gea,GK
2017-2018,26,Manchester Utd,eng ENG,1. Premier League,2nd,37,3330,90,97.4,37.0,37,,37,0,,0,2.11,67,28,+39,+1.05,+0.05,55.3,40.1,+15.2,+0.41,+0.62,David de Gea,GK
2018-2019,27,Manchester Utd,eng ENG,1. Premier League,6th,38,3420,90,100.0,38.0,38,90,38,0,,0,1.74,65,54,+11,+0.29,,61.4,50.6,+10.8,+0.29,,David de Gea,GK
2019-2020,28,Manchester Utd,eng ENG,1. Premier League,3rd,38,3420,90,100.0,38.0,38,90,38,0,,0,1.74,66,36,+30,+0.79,,62.2,37.7,+24.5,+0.64,,David de Gea,GK
