Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,Position
2017-2018,18,Shakhtar,ua UKR,1. Premier League,1st,1.0,,,,,,,,,,,,,,,,,,,,,,,Dodô,DF
2018-2019,19,Vitória,pt POR,1. Primeira Liga,5th,8.4,529,21,135,240,163,16,529,30,17,56.7,13,43.3,272,2078,1233,39,33,11,7,9,301,51,Dodô,DF
2019-2020,20,Shakhtar,ua UKR,1. Premier League,1st,20.5,,,,,,,,,,,,,,,,,,,,,,,Dodô,DF
2020-2021,21,Shakhtar,ua UKR,1. Premier League,2nd,22.1,,,,,,,,,,,,,,,,,,,,,,,Dodô,DF
2021-2022,22,Shakhtar,ua UKR,1. Premier League,1st,13.8,,,,,,,,,,,,,,,,,,,,,,,Dodô,DF
2022-2023,23,Fiorentina,it ITA,1. Serie A,8th,25.9,1719,52,464,813,462,24,1719,62,34,54.8,21,33.9,1028,6650,3625,72,58,7,35,15,1083,104,Dodô,DF
2023-2024,24,Fiorentina,it ITA,1. Serie A,8th,5.8,391,20,97,201,97,7,391,18,10,55.6,5,27.8,244,1563,857,20,10,4,9,1,251,21,Dodô,DF
2024-2025,25,Fiorentina,it ITA,1. Serie A,4th,13.9,889,43,235,385,283,31,889,56,26,46.4,23,41.1,534,3905,2323,73,42,14,25,10,556,82,Dodô,DF
2018-2019,19,Foggia,it ITA,2. Serie B,17th,26.0,1763,139,696,914,171,20,1763,19,9,47.4,10,52.6,885,4681,3070,51,30,2,18,10,1074,44,Luca Ranieri,DF
2019-2020,20,Fiorentina,it ITA,1. Serie A,10th,2.6,185,9,64,98,23,4,185,5,4,80.0,1,20.0,109,571,413,5,2,1,1,0,119,3,Luca Ranieri,DF
2019-2020,20,Ascoli,it ITA,2. Serie B,14th,9.5,476,86,229,224,31,5,476,7,5,71.4,2,28.6,224,1691,1068,18,6,1,4,0,230,4,Luca Ranieri,DF
2020-2021,21,SPAL,it ITA,2. Serie B,9th,23.5,1416,113,619,685,123,12,1416,13,8,61.5,5,38.5,842,4096,2670,36,21,1,5,2,883,16,Luca Ranieri,DF
2021-2022,22,Salernitana,it ITA,1. Serie A,17th,23.4,1214,94,374,575,275,22,1214,36,17,47.2,19,52.8,564,2654,1488,37,22,1,21,10,644,69,Luca Ranieri,DF
2022-2023,23,Fiorentina,it ITA,1. Serie A,8th,5.6,381,33,192,179,15,3,381,2,1,50.0,1,50.0,208,944,485,4,2,0,4,1,258,0,Luca Ranieri,DF
2023-2024,24,Fiorentina,it ITA,1. Serie A,8th,22.9,1538,120,683,775,89,16,1538,13,4,30.8,8,61.5,937,4601,2808,17,22,0,13,0,1013,5,Luca Ranieri,DF
2024-2025,25,Fiorentina,it ITA,1. Serie A,4th,12.3,785,92,389,381,18,5,785,8,3,37.5,5,62.5,466,2321,1176,5,4,0,3,0,531,2,Luca Ranieri,DF
