Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Player,Position
2017-2018,18,Shakhtar,ua UKR,1. Premier League,1st,1.0,0,0,0,,0.00,0.00,,,,,0,0,,,,,,Dodô,DF
2018-2019,19,Vitória,pt POR,1. Primeira Liga,5th,8.4,1,4,1,25.0,0.48,0.12,0.25,1.00,18.7,0,0,0,0.5,0.5,0.12,+0.5,+0.5,Dodô,DF
2019-2020,20,Shakhtar,ua UKR,1. Premier League,1st,20.5,1,,,,,,,,,,0,0,,,,,,Dodô,DF
2020-2021,21,Shakhtar,ua UKR,1. Premier League,2nd,22.1,2,,,,,,,,,,0,0,,,,,,Dodô,DF
2021-2022,22,Shakhtar,ua UKR,1. Premier League,1st,13.8,0,,,,,,,,,,0,0,,,,,,Dodô,DF
2022-2023,23,Fiorentina,it ITA,1. Serie A,8th,25.9,1,11,4,36.4,0.42,0.15,0.09,0.25,20.5,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Dodô,DF
2023-2024,24,Fiorentina,it ITA,1. Serie A,8th,5.8,0,2,1,50.0,0.34,0.17,0.00,0.00,19.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Dodô,DF
2024-2025,25,Fiorentina,it ITA,1. Serie A,4th,13.9,0,11,2,18.2,0.79,0.14,0.00,0.00,17.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Dodô,DF
2018-2019,19,Foggia,it ITA,2. Serie B,17th,26.0,0,12,1,8.3,0.46,0.04,0.00,0.00,17.5,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Luca Ranieri,DF
2019-2020,20,Fiorentina,it ITA,1. Serie A,10th,2.6,0,3,0,0.0,1.16,0.00,0.00,,19.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Luca Ranieri,DF
2019-2020,20,Ascoli,it ITA,2. Serie B,14th,9.5,0,3,0,0.0,0.32,0.00,0.00,,10.5,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Luca Ranieri,DF
2020-2021,21,SPAL,it ITA,2. Serie B,9th,23.5,0,6,4,66.7,0.26,0.17,0.00,0.00,10.8,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Luca Ranieri,DF
