Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2014-2015,20,Perugia,it ITA,2. Serie B,6th,23.7,,,,,,,,,,,,,,,,,Ivan Provedel,GK
2015-2016,21,Modena,it ITA,2. Serie B,21st,20.1,,,,,,,,,,,,,,,,,Ivan Provedel,GK
2016-2017,22,Pro Vercelli,it ITA,2. Serie B,17th,39.6,,,,,,,,,,,,,,,,,Ivan Provedel,GK
2017-2018,23,Empoli,it ITA,2. Serie B,1st,23.0,,0,,,,,,,,,,,0,,,,Ivan Provedel,GK
2018-2019,24,Empoli,it ITA,1. Serie A,18th,16.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,Ivan Provedel,GK
2019-2020,25,Juve Stabia,it ITA,2. Serie B,19th,18.0,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,7,1,Ivan Provedel,GK
2020-2021,26,Spezia,it ITA,1. Serie A,15th,29.0,2,0,2,0,0,2,6,33.3,4,0,0,0,2,4,20,1,Ivan Provedel,GK
2021-2022,27,Spezia,it ITA,1. Serie A,16th,30.7,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,10,2,Ivan Provedel,GK
2022-2023,28,Lazio,it ITA,1. Serie A,2nd,37.9,1,0,1,0,0,0,0,,0,0,0,0,0,1,15,1,Ivan Provedel,GK
2023-2024,29,Lazio,it ITA,1. Serie A,7th,30.0,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,12,1,Ivan Provedel,GK
2024-2025,30,Lazio,it ITA,1. Serie A,4th,18.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,8,3,Ivan Provedel,GK
2016-2017,17,Lorient,fr FRA,1. Ligue 1,18th,4.7,,8,,,,,,,,,,,12,,,,Mattéo Guendouzi,MF
2017-2018,18,Lorient,fr FRA,2. Ligue 2,7th,15.8,15,15,2,8,5,3,13,23.1,10,17,5,12,22,37,21,0,Mattéo Guendouzi,MF
2018-2019,19,Arsenal,eng ENG,1. Premier League,5th,23.9,44,26,18,23,3,17,47,36.2,30,28,5,23,30,74,24,3,Mattéo Guendouzi,MF
2019-2020,20,Arsenal,eng ENG,1. Premier League,8th,19.4,31,16,14,13,4,14,43,32.6,29,21,7,14,29,60,38,2,Mattéo Guendouzi,MF
2020-2021,21,Hertha BSC,de GER,1. Bundesliga,14th,20.2,24,13,10,12,2,9,25,36.0,16,15,4,11,21,45,24,1,Mattéo Guendouzi,MF
2021-2022,22,Marseille,fr FRA,1. Ligue 1,2nd,35.0,45,30,10,26,9,13,47,27.7,34,15,1,14,16,61,18,0,Mattéo Guendouzi,MF
2022-2023,23,Marseille,fr FRA,1. Ligue 1,3rd,23.4,39,18,9,21,9,14,38,36.8,24,12,5,7,21,60,18,0,Mattéo Guendouzi,MF
2023-2024,24,Marseille,fr FRA,1. Ligue 1,8th,0.2,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Mattéo Guendouzi,MF
2023-2024,24,Lazio,it ITA,1. Serie A,7th,26.3,34,15,11,18,5,21,49,42.9,28,24,6,18,21,55,24,1,Mattéo Guendouzi,MF
2024-2025,25,Lazio,it ITA,1. Serie A,4th,17.5,19,10,4,11,4,9,24,37.5,15,15,5,10,17,36,23,0,Mattéo Guendouzi,MF
2022-2023,23,Girona,es ESP,1. La Liga,10th,28.9,12,5,2,7,3,0,18,0.0,18,22,2,20,6,18,26,0,Valentín Castellanos,FW
2023-2024,24,Lazio,it ITA,1. Serie A,7th,18.7,22,10,1,12,9,6,20,30.0,14,22,2,20,2,24,18,0,Valentín Castellanos,FW
2024-2025,25,Lazio,it ITA,1. Serie A,4th,14.7,5,3,0,2,3,1,8,12.5,7,10,1,9,3,8,10,0,Valentín Castellanos,FW
2021-2022,20,Real Madrid,es ESP,1. La Liga,1st,0.3,1,0,1,0,0,0,1,0.0,1,0,0,0,1,2,1,0,Mario Gila,DF
2022-2023,21,Lazio,it ITA,1. Serie A,2nd,1.0,3,1,3,0,0,0,1,0.0,1,0,0,0,3,6,3,0,Mario Gila,DF
2023-2024,22,Lazio,it ITA,1. Serie A,7th,20.1,32,14,23,8,1,19,34,55.9,15,27,14,13,20,52,69,0,Mario Gila,DF
2024-2025,23,Lazio,it ITA,1. Serie A,4th,14.2,31,24,18,11,2,20,28,71.4,8,11,8,3,17,48,54,2,Mario Gila,DF
2015-2016,20,Hellas Verona,it ITA,1. Serie A,20th,0.6,,,,,,,,,,,,,,,,,Mattia Zaccagni,"FW,MF"
2016-2017,21,Hellas Verona,it ITA,2. Serie B,2nd,15.1,,,,,,,,,,,,,,,,,Mattia Zaccagni,"FW,MF"
2017-2018,22,Hellas Verona,it ITA,1. Serie A,19th,1.7,7,5,4,0,3,2,3,66.7,1,0,0,0,5,12,0,0,Mattia Zaccagni,"FW,MF"
2018-2019,23,Hellas Verona,it ITA,2. Serie B,5th,21.3,27,18,10,15,2,4,14,28.6,10,35,8,27,22,49,22,0,Mattia Zaccagni,"FW,MF"
2019-2020,24,Hellas Verona,it ITA,1. Serie A,9th,23.5,20,11,10,5,5,3,15,20.0,12,14,3,11,20,40,21,0,Mattia Zaccagni,"FW,MF"
2020-2021,25,Hellas Verona,it ITA,1. Serie A,10th,29.0,27,13,8,11,8,8,25,32.0,17,28,4,24,27,54,13,1,Mattia Zaccagni,"FW,MF"
