Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Player,Position
2014-2015,20,Perugia,it ITA,2. Serie B,6th,24,23,2132,23.7,23,0.97,80,57,71.3,6,11,4,9,39.1,,,,,,Ivan Provedel,GK
2015-2016,21,Modena,it ITA,2. Serie B,21st,21,21,1812,20.1,23,1.14,75,52,69.3,7,4,10,7,33.3,,,,,,Ivan Provedel,GK
2016-2017,22,Pro Vercelli,it ITA,2. Serie B,17th,40,40,3565,39.6,40,1.01,162,122,75.3,10,19,11,15,37.5,,,,,,Ivan Provedel,GK
2017-2018,23,Empoli,it ITA,2. Serie B,1st,23,23,2070,23.0,33,1.43,112,79,72.3,11,7,5,3,13.0,3,2,1,0,33.3,Ivan Provedel,GK
2018-2019,24,Empoli,it ITA,1. Serie A,18th,16,16,1440,16.0,36,2.25,104,69,68.3,4,4,8,0,0.0,4,3,0,1,0.0,Ivan Provedel,GK
2019-2020,25,Juve Stabia,it ITA,2. Serie B,19th,18,18,1620,18.0,35,1.94,97,62,72.2,3,5,10,0,0.0,8,8,0,0,0.0,Ivan Provedel,GK
2020-2021,26,Spezia,it ITA,1. Serie A,15th,29,29,2610,29.0,55,1.90,131,75,62.6,6,10,13,4,13.8,7,6,1,0,14.3,Ivan Provedel,GK
2021-2022,27,Spezia,it ITA,1. Serie A,16th,31,31,2761,30.7,52,1.70,165,116,73.9,9,5,17,7,22.6,11,9,0,2,0.0,Ivan Provedel,GK
2022-2023,28,Lazio,it ITA,1. Serie A,2nd,38,37,3413,37.9,30,0.79,128,99,77.3,21,8,8,21,56.8,2,1,0,1,0.0,Ivan Provedel,GK
2023-2024,29,Lazio,it ITA,1. Serie A,7th,30,30,2699,30.0,33,1.10,119,86,73.9,12,6,12,9,30.0,3,2,0,1,0.0,Ivan Provedel,GK
2024-2025,30,Lazio,it ITA,1. Serie A,4th,18,18,1620,18.0,27,1.50,58,32,58.6,11,2,6,4,22.2,3,3,0,0,0.0,Ivan Provedel,GK
2017-2018,15,Atromitos,gr GRE,1. Super League,4th,1,0,15,0.2,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Christos Mandas,GK
2018-2019,16,Atromitos,gr GRE,1. Super League,4th,1,1,90,1.0,0,0.00,,,,1,0,0,1,100.0,0,0,0,0,,Christos Mandas,GK
2019-2020,17,Atromitos,gr GRE,1. Super League,8th,12,12,1080,12.0,,,,,,5,3,4,3,25.0,0,0,0,0,,Christos Mandas,GK
2020-2021,18,Atromitos,gr GRE,1. Super League,8th,14,12,1182,13.1,,,,,,2,5,5,3,25.0,4,2,2,0,50.0,Christos Mandas,GK
2021-2022,19,OFI Crete,gr GRE,1. Super League,8th,1,1,90,1.0,,,,,,0,0,1,0,0.0,0,0,0,0,,Christos Mandas,GK
2022-2023,20,OFI Crete,gr GRE,1. Super League,6th,26,26,2340,26.0,,,,,,8,10,8,8,30.8,3,2,1,0,33.3,Christos Mandas,GK
2023-2024,21,OFI Crete,gr GRE,1. Super League,10th,2,2,180,2.0,,,,,,1,0,1,0,0.0,0,0,0,0,,Christos Mandas,GK
2023-2024,21,Lazio,it ITA,1. Serie A,7th,9,8,721,8.0,6,0.75,29,23,79.3,6,1,1,4,50.0,0,0,0,0,,Christos Mandas,GK
