Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2014-2015,20,Perugia,it ITA,2. Serie B,6th,23.7,,,,,,,,,,,,,,,,,Ivan Provedel,GK
2015-2016,21,Modena,it ITA,2. Serie B,21st,20.1,,,,,,,,,,,,,,,,,Ivan Provedel,GK
2016-2017,22,Pro Vercelli,it ITA,2. Serie B,17th,39.6,,,,,,,,,,,,,,,,,Ivan Provedel,GK
2017-2018,23,Empoli,it ITA,2. Serie B,1st,23.0,,,,,,,,,,,,,,,,,Ivan Provedel,GK
2018-2019,24,Empoli,it ITA,1. Serie A,18th,16.0,4,0.25,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Ivan Provedel,GK
2019-2020,25,Juve Stabia,it ITA,2. Serie B,19th,18.0,7,0.39,5,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Ivan Provedel,GK
2020-2021,26,Spezia,it ITA,1. Serie A,15th,29.0,1,0.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Ivan Provedel,GK
2021-2022,27,Spezia,it ITA,1. Serie A,16th,30.7,2,0.07,2,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Ivan Provedel,GK
2022-2023,28,Lazio,it ITA,1. Serie A,2nd,37.9,7,0.18,7,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Ivan Provedel,GK
2023-2024,29,Lazio,it ITA,1. Serie A,7th,30.0,3,0.10,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Ivan Provedel,GK
2024-2025,30,Lazio,it ITA,1. Serie A,4th,18.0,4,0.21,2,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Ivan Provedel,GK
2016-2017,17,Lorient,fr FRA,1. Ligue 1,18th,4.7,,,,,,,,,,,,,,,,,Mattéo Guendouzi,MF
2017-2018,18,Lorient,fr FRA,2. Ligue 2,7th,15.8,51,3.23,38,2,3,2,5,1,3,0.19,3,0,0,0,0,0,Mattéo Guendouzi,MF
2018-2019,19,Arsenal,eng ENG,1. Premier League,5th,23.9,60,2.51,52,0,5,1,0,2,1,0.04,1,0,0,0,0,0,Mattéo Guendouzi,MF
2019-2020,20,Arsenal,eng ENG,1. Premier League,8th,19.4,40,2.06,31,0,1,3,4,1,2,0.10,1,0,0,0,1,0,Mattéo Guendouzi,MF
2020-2021,21,Hertha BSC,de GER,1. Bundesliga,14th,20.2,44,2.18,32,3,2,2,5,0,4,0.20,1,0,1,0,2,0,Mattéo Guendouzi,MF
2021-2022,22,Marseille,fr FRA,1. Ligue 1,2nd,35.0,111,3.17,85,3,9,6,7,1,12,0.34,10,0,0,0,2,0,Mattéo Guendouzi,MF
2022-2023,23,Marseille,fr FRA,1. Ligue 1,3rd,23.4,67,2.86,55,1,4,2,2,3,9,0.38,7,0,0,0,1,1,Mattéo Guendouzi,MF
2023-2024,24,Marseille,fr FRA,1. Ligue 1,8th,0.2,2,9.47,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Mattéo Guendouzi,MF
2023-2024,24,Lazio,it ITA,1. Serie A,7th,26.3,52,1.98,45,0,0,2,3,2,5,0.19,5,0,0,0,0,0,Mattéo Guendouzi,MF
2024-2025,25,Lazio,it ITA,1. Serie A,4th,17.5,59,3.19,51,3,2,2,1,0,2,0.11,2,0,0,0,0,0,Mattéo Guendouzi,MF
2022-2023,23,Girona,es ESP,1. La Liga,10th,28.9,41,1.42,29,0,4,4,4,0,5,0.17,3,0,0,2,0,0,Valentín Castellanos,FW
2023-2024,24,Lazio,it ITA,1. Serie A,7th,18.7,48,2.57,37,0,2,4,5,0,11,0.59,8,0,1,2,0,0,Valentín Castellanos,FW
2024-2025,25,Lazio,it ITA,1. Serie A,4th,14.7,48,3.08,22,0,5,17,3,1,7,0.45,2,0,1,2,1,1,Valentín Castellanos,FW
2021-2022,20,Real Madrid,es ESP,1. La Liga,1st,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Mario Gila,DF
2022-2023,21,Lazio,it ITA,1. Serie A,2nd,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Mario Gila,DF
2023-2024,22,Lazio,it ITA,1. Serie A,7th,20.1,14,0.70,13,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Mario Gila,DF
2024-2025,23,Lazio,it ITA,1. Serie A,4th,14.2,14,0.92,13,0,0,1,0,0,1,0.07,1,0,0,0,0,0,Mario Gila,DF
2015-2016,20,Hellas Verona,it ITA,1. Serie A,20th,0.6,,,,,,,,,,,,,,,,,Mattia Zaccagni,"FW,MF"
2016-2017,21,Hellas Verona,it ITA,2. Serie B,2nd,15.1,,,,,,,,,,,,,,,,,Mattia Zaccagni,"FW,MF"
2017-2018,22,Hellas Verona,it ITA,1. Serie A,19th,1.7,3,1.79,0,0,0,1,1,1,0,0.00,0,0,0,0,0,0,Mattia Zaccagni,"FW,MF"
2018-2019,23,Hellas Verona,it ITA,2. Serie B,5th,21.3,73,3.42,47,6,9,0,10,1,5,0.23,2,0,1,0,2,0,Mattia Zaccagni,"FW,MF"
2019-2020,24,Hellas Verona,it ITA,1. Serie A,9th,23.5,74,3.15,58,1,5,5,5,0,11,0.47,8,0,0,0,3,0,Mattia Zaccagni,"FW,MF"
2020-2021,25,Hellas Verona,it ITA,1. Serie A,10th,29.0,88,3.09,63,3,3,4,14,1,12,0.42,11,0,0,0,1,0,Mattia Zaccagni,"FW,MF"
