Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Player,Position
2014-2015,20,Perugia,it ITA,2. Serie B,6th,23.7,0,1,,,,,,,,,,,,,,,Ivan Provedel,GK
2015-2016,21,Modena,it ITA,2. Serie B,21st,20.1,1,1,,,,,,,,,,,,,,,Ivan Provedel,GK
2016-2017,22,Pro Vercelli,it ITA,2. Serie B,17th,39.6,0,1,,,,,,,,,,,,,,,Ivan Provedel,GK
2017-2018,23,Empoli,it ITA,2. Serie B,1st,23.0,1,0,0,,0,0,0,0,0,0,0,0,,,,,Ivan Provedel,GK
2018-2019,24,Empoli,it ITA,1. Serie A,18th,16.0,0,0,0,1,4,0,0,0,0,0,1,0,15,1,0,100.0,Ivan Provedel,GK
2019-2020,25,Juve Stabia,it ITA,2. Serie B,19th,18.0,0,0,0,0,1,0,0,1,1,0,0,0,50,5,2,71.4,Ivan Provedel,GK
2020-2021,26,Spezia,it ITA,1. Serie A,15th,29.0,1,0,0,0,9,0,0,2,0,0,0,0,60,5,1,83.3,Ivan Provedel,GK
2021-2022,27,Spezia,it ITA,1. Serie A,16th,30.7,2,0,0,2,4,0,0,2,0,0,2,1,50,6,0,100.0,Ivan Provedel,GK
2022-2023,28,Lazio,it ITA,1. Serie A,2nd,37.9,1,0,0,0,5,0,0,0,0,0,0,0,78,3,1,75.0,Ivan Provedel,GK
2023-2024,29,Lazio,it ITA,1. Serie A,7th,30.0,0,0,0,0,7,0,0,0,0,0,0,0,36,3,0,100.0,Ivan Provedel,GK
2024-2025,30,Lazio,it ITA,1. Serie A,4th,18.0,0,0,0,0,3,0,0,0,0,0,0,0,35,7,0,100.0,Ivan Provedel,GK
2016-2017,17,Lorient,fr FRA,1. Ligue 1,18th,4.7,2,0,0,9,6,0,2,12,8,0,0,0,,,,,Mattéo Guendouzi,MF
2017-2018,18,Lorient,fr FRA,2. Ligue 2,7th,15.8,3,1,0,17,56,0,4,22,15,0,0,0,90,8,11,42.1,Mattéo Guendouzi,MF
2018-2019,19,Arsenal,eng ENG,1. Premier League,5th,23.9,9,0,0,24,62,0,15,30,26,0,0,0,167,18,24,42.9,Mattéo Guendouzi,MF
2019-2020,20,Arsenal,eng ENG,1. Premier League,8th,19.4,6,0,0,17,49,0,6,29,16,1,0,0,117,12,16,42.9,Mattéo Guendouzi,MF
2020-2021,21,Hertha BSC,de GER,1. Bundesliga,14th,20.2,5,0,0,23,47,0,10,21,13,2,0,0,121,14,15,48.3,Mattéo Guendouzi,MF
2021-2022,22,Marseille,fr FRA,1. Ligue 1,2nd,35.0,6,0,0,28,67,0,49,16,30,2,0,0,178,23,30,43.4,Mattéo Guendouzi,MF
2022-2023,23,Marseille,fr FRA,1. Ligue 1,3rd,23.4,3,0,0,25,37,1,24,21,18,0,0,1,147,23,29,44.2,Mattéo Guendouzi,MF
2023-2024,24,Marseille,fr FRA,1. Ligue 1,8th,0.2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0.0,Mattéo Guendouzi,MF
2023-2024,24,Lazio,it ITA,1. Serie A,7th,26.3,3,1,0,26,34,0,42,21,15,0,1,0,120,12,25,32.4,Mattéo Guendouzi,MF
2024-2025,25,Lazio,it ITA,1. Serie A,4th,17.5,3,0,0,17,19,0,10,17,10,0,1,0,78,9,9,50.0,Mattéo Guendouzi,MF
2022-2023,23,Girona,es ESP,1. La Liga,10th,28.9,11,0,0,43,46,31,10,6,5,0,0,0,56,51,70,42.1,Valentín Castellanos,FW
2023-2024,24,Lazio,it ITA,1. Serie A,7th,18.7,2,0,0,34,31,20,15,2,10,0,0,0,51,71,64,52.6,Valentín Castellanos,FW
2024-2025,25,Lazio,it ITA,1. Serie A,4th,14.7,6,1,0,30,25,11,18,3,3,1,0,0,32,46,37,55.4,Valentín Castellanos,FW
2021-2022,20,Real Madrid,es ESP,1. La Liga,1st,0.3,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,,Mario Gila,DF
2022-2023,21,Lazio,it ITA,1. Serie A,2nd,1.0,0,0,0,1,1,0,0,3,1,0,0,0,6,0,3,0.0,Mario Gila,DF
2023-2024,22,Lazio,it ITA,1. Serie A,7th,20.1,4,1,1,21,23,1,8,20,14,0,0,0,109,29,43,40.3,Mario Gila,DF
2024-2025,23,Lazio,it ITA,1. Serie A,4th,14.2,5,0,0,15,16,0,0,17,24,0,0,1,78,33,38,46.5,Mario Gila,DF
2015-2016,20,Hellas Verona,it ITA,1. Serie A,20th,0.6,0,0,,1,,,,,,,,,,,,,Mattia Zaccagni,"FW,MF"
2016-2017,21,Hellas Verona,it ITA,2. Serie B,2nd,15.1,5,1,,,,,,,,,,,,,,,Mattia Zaccagni,"FW,MF"
2017-2018,22,Hellas Verona,it ITA,1. Serie A,19th,1.7,1,0,0,4,5,1,3,5,5,0,0,0,9,3,2,60.0,Mattia Zaccagni,"FW,MF"
2018-2019,23,Hellas Verona,it ITA,2. Serie B,5th,21.3,4,0,0,33,78,3,64,22,18,2,0,0,115,18,25,41.9,Mattia Zaccagni,"FW,MF"
2019-2020,24,Hellas Verona,it ITA,1. Serie A,9th,23.5,5,0,0,33,80,11,46,20,11,3,0,0,93,30,45,40.0,Mattia Zaccagni,"FW,MF"
