Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2014-2015,20,Perugia,it ITA,2. Serie B,6th,23.7,,,,,,,,,,,,,,,,Ivan Provedel,GK
2015-2016,21,Modena,it ITA,2. Serie B,21st,20.1,,,,,,,,,,,,,,,,Ivan Provedel,GK
2016-2017,22,Pro Vercelli,it ITA,2. Serie B,17th,39.6,,,,,,,,,,,,,,,,Ivan Provedel,GK
2017-2018,23,Empoli,it ITA,2. Serie B,1st,23.0,,,,,,,0,,,,,,,,,Ivan Provedel,GK
2018-2019,24,Empoli,it ITA,1. Serie A,18th,16.0,485,293,191,68,0,2,0,0,0,0,0,0,358,1,1,Ivan Provedel,GK
2019-2020,25,Juve Stabia,it ITA,2. Serie B,19th,18.0,833,574,255,88,0,5,0,1,0,0,0,0,635,4,1,Ivan Provedel,GK
2020-2021,26,Spezia,it ITA,1. Serie A,15th,29.0,1404,1146,255,98,0,8,0,0,0,0,0,0,1042,3,0,Ivan Provedel,GK
2021-2022,27,Spezia,it ITA,1. Serie A,16th,30.7,1199,837,349,120,1,5,0,0,0,0,0,0,736,13,0,Ivan Provedel,GK
2022-2023,28,Lazio,it ITA,1. Serie A,2nd,37.9,1323,1037,282,84,0,9,0,0,0,0,0,0,1061,4,0,Ivan Provedel,GK
2023-2024,29,Lazio,it ITA,1. Serie A,7th,30.0,1022,790,227,51,0,3,0,0,0,0,0,0,835,5,0,Ivan Provedel,GK
2024-2025,30,Lazio,it ITA,1. Serie A,4th,18.0,707,588,116,42,0,3,0,0,0,0,0,0,546,3,1,Ivan Provedel,GK
2016-2017,17,Lorient,fr FRA,1. Ligue 1,18th,4.7,,,,,,,2,,,,,,,,,Mattéo Guendouzi,MF
2017-2018,18,Lorient,fr FRA,2. Ligue 2,7th,15.8,1011,974,34,29,1,16,4,3,2,0,0,0,900,3,17,Mattéo Guendouzi,MF
2018-2019,19,Arsenal,eng ENG,1. Premier League,5th,23.9,1625,1578,41,33,9,12,15,6,2,0,0,0,1409,6,33,Mattéo Guendouzi,MF
2019-2020,20,Arsenal,eng ENG,1. Premier League,8th,19.4,1170,1133,33,23,7,8,6,8,1,0,0,0,1027,4,20,Mattéo Guendouzi,MF
2020-2021,21,Hertha BSC,de GER,1. Bundesliga,14th,20.2,1004,951,47,36,1,6,10,6,5,0,2,0,859,6,14,Mattéo Guendouzi,MF
2021-2022,22,Marseille,fr FRA,1. Ligue 1,2nd,35.0,2178,2084,83,38,6,15,49,24,14,4,3,0,1882,11,47,Mattéo Guendouzi,MF
2022-2023,23,Marseille,fr FRA,1. Ligue 1,3rd,23.4,1267,1220,44,27,5,6,24,8,4,0,0,0,1094,3,25,Mattéo Guendouzi,MF
2023-2024,24,Marseille,fr FRA,1. Ligue 1,8th,0.2,12,10,2,1,0,0,1,0,1,0,0,0,9,0,1,Mattéo Guendouzi,MF
2023-2024,24,Lazio,it ITA,1. Serie A,7th,26.3,1119,1081,33,16,5,3,42,17,0,0,0,0,926,5,27,Mattéo Guendouzi,MF
2024-2025,25,Lazio,it ITA,1. Serie A,4th,17.5,1080,1023,54,29,5,14,10,19,4,0,0,0,966,3,10,Mattéo Guendouzi,MF
2022-2023,23,Girona,es ESP,1. La Liga,10th,28.9,397,352,41,0,4,1,10,1,0,0,0,0,244,4,19,Valentín Castellanos,FW
2023-2024,24,Lazio,it ITA,1. Serie A,7th,18.7,452,417,33,0,0,1,15,0,0,0,0,0,272,2,13,Valentín Castellanos,FW
2024-2025,25,Lazio,it ITA,1. Serie A,4th,14.7,305,278,26,0,5,0,18,2,0,0,0,0,188,1,14,Valentín Castellanos,FW
2021-2022,20,Real Madrid,es ESP,1. La Liga,1st,0.3,22,21,1,0,0,0,0,0,0,0,0,0,19,0,0,Mario Gila,DF
2022-2023,21,Lazio,it ITA,1. Serie A,2nd,1.0,61,56,5,3,0,0,0,2,0,0,0,0,56,0,0,Mario Gila,DF
2023-2024,22,Lazio,it ITA,1. Serie A,7th,20.1,1294,1209,81,45,4,16,8,18,0,0,0,0,1161,4,7,Mario Gila,DF
2024-2025,23,Lazio,it ITA,1. Serie A,4th,14.2,986,949,36,22,4,9,0,0,0,0,0,0,904,1,2,Mario Gila,DF
2015-2016,20,Hellas Verona,it ITA,1. Serie A,20th,0.6,,,,,,,,,,,,,,,,Mattia Zaccagni,"FW,MF"
2016-2017,21,Hellas Verona,it ITA,2. Serie B,2nd,15.1,,,,,,,,,,,,,,,,Mattia Zaccagni,"FW,MF"
2017-2018,22,Hellas Verona,it ITA,1. Serie A,19th,1.7,61,59,2,1,0,0,3,0,0,0,0,0,44,0,3,Mattia Zaccagni,"FW,MF"
2018-2019,23,Hellas Verona,it ITA,2. Serie B,5th,21.3,1067,985,77,27,1,6,64,10,29,6,19,3,822,5,37,Mattia Zaccagni,"FW,MF"
2019-2020,24,Hellas Verona,it ITA,1. Serie A,9th,23.5,782,744,32,8,1,4,46,9,4,0,4,0,556,6,24,Mattia Zaccagni,"FW,MF"
2020-2021,25,Hellas Verona,it ITA,1. Serie A,10th,29.0,943,914,23,11,2,14,83,12,0,0,0,0,648,6,31,Mattia Zaccagni,"FW,MF"
2021-2022,26,Hellas Verona,it ITA,1. Serie A,9th,2.0,70,57,13,2,1,0,10,0,9,4,2,0,56,0,2,Mattia Zaccagni,"FW,MF"
2021-2022,26,Lazio,it ITA,1. Serie A,5th,20.8,740,716,23,4,1,7,41,16,3,0,0,0,592,1,20,Mattia Zaccagni,"FW,MF"
