Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player,Position
2014-2015,20,Perugia,it ITA,2. Serie B,6th,23.7,,,,,,,,,,,,,,,0,,,,,,,,,Ivan Provedel,GK
2015-2016,21,Modena,it ITA,2. Serie B,21st,20.1,,,,,,,,,,,,,,,0,,,,,,,,,Ivan Provedel,GK
2016-2017,22,Pro Vercelli,it ITA,2. Serie B,17th,39.6,,,,,,,,,,,,,,,0,,,,,,,,,Ivan Provedel,GK
2017-2018,23,Empoli,it ITA,2. Serie B,1st,23.0,,,,,,,,,,,,,,,0,,,,,,,,,Ivan Provedel,GK
2018-2019,24,Empoli,it ITA,1. Serie A,18th,16.0,358,485,73.8,10639,7942,36,36,100.0,178,183,97.3,143,263,54.4,0,0.1,0.0,-0.1,3,7,0,0,0,Ivan Provedel,GK
2019-2020,25,Juve Stabia,it ITA,2. Serie B,19th,18.0,635,833,76.2,17680,12762,101,101,100.0,299,309,96.8,228,411,55.5,0,0.9,0.1,-0.9,4,12,1,0,0,Ivan Provedel,GK
2020-2021,26,Spezia,it ITA,1. Serie A,15th,29.0,1042,1404,74.2,29950,19305,138,140,98.6,469,482,97.3,430,774,55.6,0,0.0,0.0,0.0,0,17,0,0,0,Ivan Provedel,GK
2021-2022,27,Spezia,it ITA,1. Serie A,16th,30.7,736,1199,61.4,23789,17852,95,96,99.0,291,301,96.7,349,788,44.3,0,0.0,0.1,0.0,0,25,1,0,2,Ivan Provedel,GK
2022-2023,28,Lazio,it ITA,1. Serie A,2nd,37.9,1061,1323,80.2,28575,20681,236,237,99.6,410,421,97.4,408,654,62.4,0,0.0,0.1,0.0,1,21,1,0,0,Ivan Provedel,GK
2023-2024,29,Lazio,it ITA,1. Serie A,7th,30.0,835,1022,81.7,22233,15095,166,166,100.0,350,353,99.2,316,494,64.0,0,0.0,0.0,0.0,0,9,1,0,3,Ivan Provedel,GK
2024-2025,30,Lazio,it ITA,1. Serie A,4th,18.0,546,707,77.2,15655,10905,79,79,100.0,263,265,99.2,203,358,56.7,0,0.0,0.1,0.0,1,16,1,0,1,Ivan Provedel,GK
2016-2017,17,Lorient,fr FRA,1. Ligue 1,18th,4.7,,,,,,,,,,,,,,,0,,,,,,,,,Mattéo Guendouzi,MF
2017-2018,18,Lorient,fr FRA,2. Ligue 2,7th,15.8,900,1011,89.0,16527,4218,393,418,94.0,392,416,94.2,106,139,76.3,1,1.1,0.6,-0.1,13,101,12,0,134,Mattéo Guendouzi,MF
2018-2019,19,Arsenal,eng ENG,1. Premier League,5th,23.9,1409,1625,86.7,24166,6699,647,707,91.5,590,648,91.0,129,170,75.9,0,1.8,2.4,-1.8,17,142,23,1,200,Mattéo Guendouzi,MF
2019-2020,20,Arsenal,eng ENG,1. Premier League,8th,19.4,1027,1170,87.8,18529,5467,430,467,92.1,448,483,92.8,120,144,83.3,1,1.1,1.6,-0.1,12,141,20,1,160,Mattéo Guendouzi,MF
2020-2021,21,Hertha BSC,de GER,1. Bundesliga,14th,20.2,859,1004,85.6,15970,4495,334,368,90.8,402,437,92.0,107,143,74.8,1,1.6,1.3,-0.6,17,85,19,0,125,Mattéo Guendouzi,MF
2021-2022,22,Marseille,fr FRA,1. Ligue 1,2nd,35.0,1882,2178,86.4,31940,8136,893,966,92.4,750,836,89.7,177,227,78.0,6,3.6,3.5,+2.4,35,214,53,4,286,Mattéo Guendouzi,MF
2022-2023,23,Marseille,fr FRA,1. Ligue 1,3rd,23.4,1094,1267,86.3,18942,5287,493,554,89.0,451,501,90.0,111,140,79.3,4,2.1,2.4,+1.9,20,143,33,4,170,Mattéo Guendouzi,MF
2023-2024,24,Marseille,fr FRA,1. Ligue 1,8th,0.2,9,12,75.0,127,53,5,5,100.0,4,4,100.0,0,2,0.0,0,0.0,0.0,0.0,0,2,0,0,1,Mattéo Guendouzi,MF
2023-2024,24,Lazio,it ITA,1. Serie A,7th,26.3,926,1119,82.8,15130,3632,467,509,91.7,363,432,84.0,71,107,66.4,3,2.3,2.4,+0.7,23,105,29,8,119,Mattéo Guendouzi,MF
2024-2025,25,Lazio,it ITA,1. Serie A,4th,17.5,966,1080,89.4,17986,4795,373,391,95.4,486,517,94.0,95,130,73.1,1,2.2,1.6,-1.2,22,160,10,2,174,Mattéo Guendouzi,MF
2022-2023,23,Girona,es ESP,1. La Liga,10th,28.9,244,397,61.5,3345,704,144,200,72.0,74,125,59.2,12,17,70.6,0,1.7,2.3,-1.7,15,17,16,1,34,Valentín Castellanos,FW
2023-2024,24,Lazio,it ITA,1. Serie A,7th,18.7,272,452,60.2,3651,962,162,237,68.4,74,124,59.7,16,25,64.0,3,1.7,1.1,+1.3,19,27,15,1,47,Valentín Castellanos,FW
2024-2025,25,Lazio,it ITA,1. Serie A,4th,14.7,188,305,61.6,2596,664,104,152,68.4,66,98,67.3,5,14,35.7,1,1.2,1.0,-0.2,15,27,8,1,37,Valentín Castellanos,FW
2021-2022,20,Real Madrid,es ESP,1. La Liga,1st,0.3,19,22,86.4,283,104,11,11,100.0,8,9,88.9,0,2,0.0,0,0.0,0.0,0.0,0,1,0,0,1,Mario Gila,DF
2022-2023,21,Lazio,it ITA,1. Serie A,2nd,1.0,56,61,91.8,953,330,25,27,92.6,24,26,92.3,6,7,85.7,0,0.0,0.0,0.0,0,1,0,0,6,Mario Gila,DF
2023-2024,22,Lazio,it ITA,1. Serie A,7th,20.1,1161,1294,89.7,21517,7790,454,483,94.0,545,583,93.5,135,181,74.6,0,0.5,0.8,-0.5,7,70,10,3,93,Mario Gila,DF
2024-2025,23,Lazio,it ITA,1. Serie A,4th,14.2,904,986,91.7,17294,5729,300,316,94.9,501,524,95.6,91,123,74.0,0,0.3,0.5,-0.3,6,79,4,0,88,Mario Gila,DF
2015-2016,20,Hellas Verona,it ITA,1. Serie A,20th,0.6,,,,,,,,,,,,,,,0,,,,,,,,,Mattia Zaccagni,"FW,MF"
2016-2017,21,Hellas Verona,it ITA,2. Serie B,2nd,15.1,,,,,,,,,,,,,,,2,,,,,,,,,Mattia Zaccagni,"FW,MF"
2017-2018,22,Hellas Verona,it ITA,1. Serie A,19th,1.7,44,61,72.1,645,260,28,36,77.8,13,15,86.7,3,8,37.5,0,0.0,0.0,0.0,0,6,1,0,6,Mattia Zaccagni,"FW,MF"
2018-2019,23,Hellas Verona,it ITA,2. Serie B,5th,21.3,822,1067,77.0,12890,3434,480,556,86.3,245,312,78.5,74,123,60.2,1,3.3,2.8,-2.3,31,82,29,1,117,Mattia Zaccagni,"FW,MF"
2019-2020,24,Hellas Verona,it ITA,1. Serie A,9th,23.5,556,782,71.1,7623,2172,316,396,79.8,152,198,76.8,32,66,48.5,5,4.1,2.8,+0.9,33,52,24,2,89,Mattia Zaccagni,"FW,MF"
2020-2021,25,Hellas Verona,it ITA,1. Serie A,10th,29.0,648,943,68.7,9785,2666,378,472,80.1,182,276,65.9,52,83,62.7,5,5.7,3.9,-0.7,38,44,46,9,112,Mattia Zaccagni,"FW,MF"
2021-2022,26,Hellas Verona,it ITA,1. Serie A,9th,2.0,56,70,80.0,892,354,31,35,88.6,19,25,76.0,4,6,66.7,0,1.1,1.3,-1.1,5,3,6,1,10,Mattia Zaccagni,"FW,MF"
2021-2022,26,Lazio,it ITA,1. Serie A,5th,20.8,592,740,80.0,8031,1714,373,426,87.6,161,201,80.1,22,46,47.8,5,2.9,2.9,+2.1,27,24,21,0,55,Mattia Zaccagni,"FW,MF"
2022-2023,27,Lazio,it ITA,1. Serie A,2nd,30.8,841,1047,80.3,10898,2314,563,630,89.4,212,261,81.2,25,57,43.9,6,4.5,3.2,+1.5,35,44,27,5,76,Mattia Zaccagni,"FW,MF"
2023-2024,28,Lazio,it ITA,1. Serie A,7th,21.7,711,899,79.1,10281,2132,428,471,90.9,208,266,78.2,43,84,51.2,1,2.9,3.3,-1.9,29,36,26,5,55,Mattia Zaccagni,"FW,MF"
2024-2025,29,Lazio,it ITA,1. Serie A,4th,14.0,414,549,75.4,6687,1933,216,238,90.8,149,197,75.6,35,75,46.7,2,1.3,1.7,+0.7,22,27,14,1,62,Mattia Zaccagni,"FW,MF"
