Season,Age,Squad,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Player,Position
2014-2015,20,Perugia,it ITA,2. Serie B,6th,24,2132,89,56.4,23.7,23,,22,1,,2,1.25,25,27,-2,-0.08,-0.69,,,,,,Ivan Provedel,GK
2015-2016,21,Modena,it ITA,2. Serie B,21st,21,1812,86,47.9,20.1,21,,20,0,,18,1.19,20,21,-1,-0.05,+0.73,,,,,,Ivan Provedel,GK
2016-2017,22,Pro Vercelli,it ITA,2. Serie B,17th,40,3565,89,94.3,39.6,40,,39,0,,,,,,,,,,,,,,Ivan Provedel,GK
2017-2018,23,Empoli,it ITA,2. Serie B,1st,23,2070,90,54.8,23.0,23,,23,0,,0,1.74,48,33,+15,+0.65,-0.61,,,,,,Ivan Provedel,GK
2018-2019,24,Empoli,it ITA,1. Serie A,18th,16,1440,90,42.1,16.0,16,90,16,0,,22,1.00,24,36,-12,-0.75,-0.43,21.1,26.3,-5.3,-0.33,-0.06,Ivan Provedel,GK
2019-2020,25,Juve Stabia,it ITA,2. Serie B,19th,18,1620,90,47.4,18.0,18,90,18,0,,0,0.78,25,35,-10,-0.56,-0.26,25.7,35.9,-10.2,-0.57,-0.28,Ivan Provedel,GK
2019-2020,25,Empoli,it ITA,2. Serie B,7th,0,,,,,0,,0,0,,19,,,,,,,,,,,,Ivan Provedel,GK
2020-2021,26,Empoli,it ITA,2. Serie B,1st,0,,,,,0,,,0,,2,,,,,,,,,,,,Ivan Provedel,GK
2020-2021,26,Spezia,it ITA,1. Serie A,15th,29,2610,90,76.3,29.0,29,90,29,0,,2,0.97,38,55,-17,-0.59,-0.25,35.0,48.2,-13.2,-0.45,+0.14,Ivan Provedel,GK
2021-2022,27,Spezia,it ITA,1. Serie A,16th,31,2761,89,80.7,30.7,31,89,30,0,,7,1.03,33,52,-19,-0.62,+0.88,31.7,52.4,-20.6,-0.67,-0.17,Ivan Provedel,GK
2022-2023,28,Lazio,it ITA,1. Serie A,2nd,38,3413,90,99.8,37.9,37,90,37,1,83,0,1.95,60,30,+30,+0.79,+0.79,51.1,41.3,+9.8,+0.26,-0.45,Ivan Provedel,GK
2023-2024,29,Lazio,it ITA,1. Serie A,7th,30,2699,90,78.9,30.0,30,90,29,0,,2,1.40,35,33,+2,+0.07,-0.93,35.0,34.0,+1.0,+0.03,-0.41,Ivan Provedel,GK
2024-2025,30,Lazio,it ITA,1. Serie A,4th,18,1620,90,94.7,18.0,18,90,18,0,,0,1.84,33,27,+6,+0.33,+0.33,29.9,20.1,+9.8,+0.52,,Ivan Provedel,GK
2016-2017,17,Lorient,fr FRA,1. Ligue 1,18th,8,420,53,12.3,4.7,4,,3,4,,4,0.63,6,12,-6,-1.29,-0.69,,,,,,Mattéo Guendouzi,MF
2017-2018,18,Lorient,fr FRA,2. Ligue 2,7th,18,1424,79,41.6,15.8,17,,10,1,,4,1.83,24,13,+11,+0.70,+0.51,24.7,11.7,+13.0,+0.82,+0.37,Mattéo Guendouzi,MF
2018-2019,19,Arsenal,eng ENG,1. Premier League,5th,33,2149,65,62.8,23.9,23,84,19,10,22,4,1.73,47,32,+15,+0.63,+0.13,38.1,32.9,+5.2,+0.22,+0.17,Mattéo Guendouzi,MF
2019-2020,20,Arsenal,eng ENG,1. Premier League,8th,24,1748,73,51.1,19.4,19,87,15,5,21,5,1.29,24,31,-7,-0.36,-1.17,23.9,28.7,-4.8,-0.25,-0.06,Mattéo Guendouzi,MF
2020-2021,21,Hertha BSC,de GER,1. Bundesliga,14th,24,1818,76,59.4,20.2,19,87,16,5,35,0,1.13,27,29,-2,-0.10,+0.55,28.7,25.8,+2.8,+0.14,+0.75,Mattéo Guendouzi,MF
2021-2022,22,Marseille,fr FRA,1. Ligue 1,2nd,38,3152,83,92.2,35.0,35,88,30,3,21,0,1.87,61,36,+25,+0.71,+0.71,54.3,36.5,+17.8,+0.51,+0.04,Mattéo Guendouzi,MF
2022-2023,23,Marseille,fr FRA,1. Ligue 1,3rd,33,2108,64,61.6,23.4,25,77,12,8,23,3,1.94,36,24,+12,+0.51,-0.52,38.1,27.9,+10.2,+0.43,-0.43,Mattéo Guendouzi,MF
2023-2024,24,Marseille,fr FRA,1. Ligue 1,8th,2,19,10,0.6,0.2,0,,0,2,10,1,3.00,0,0,0,0.00,-0.33,1.2,0.2,+1.0,+4.52,+3.97,Mattéo Guendouzi,MF
2023-2024,24,Lazio,it ITA,1. Serie A,7th,33,2367,72,69.2,26.3,27,83,17,6,22,0,1.67,34,28,+6,+0.23,-0.11,32.2,30.7,+1.5,+0.06,-0.20,Mattéo Guendouzi,MF
