Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,Position
2014-2015,20,Perugia,it ITA,2. Serie B,6th,23.7,,,,,,,,,,,,,,,,,,,,,,,Ivan Provedel,GK
2015-2016,21,Modena,it ITA,2. Serie B,21st,20.1,,,,,,,,,,,,,,,,,,,,,,,Ivan Provedel,GK
2016-2017,22,Pro Vercelli,it ITA,2. Serie B,17th,39.6,,,,,,,,,,,,,,,,,,,,,,,Ivan Provedel,GK
2017-2018,23,Empoli,it ITA,2. Serie B,1st,23.0,,,,,,,,,,,,,,,,,,,,,,,Ivan Provedel,GK
2018-2019,24,Empoli,it ITA,1. Serie A,18th,16.0,530,501,529,1,0,0,530,0,0,,0,,239,1670,1267,0,0,0,1,0,153,0,Ivan Provedel,GK
2019-2020,25,Juve Stabia,it ITA,2. Serie B,19th,18.0,889,683,878,11,2,2,889,2,1,50.0,1,50.0,462,2639,1881,0,0,0,1,0,392,0,Ivan Provedel,GK
2020-2021,26,Spezia,it ITA,1. Serie A,15th,29.0,1491,1185,1482,9,0,0,1491,1,1,100.0,0,0.0,944,4169,2180,0,0,0,3,0,906,0,Ivan Provedel,GK
2021-2022,27,Spezia,it ITA,1. Serie A,16th,30.7,1281,1031,1266,16,0,0,1281,0,0,,0,,716,3740,2345,0,0,0,1,0,568,0,Ivan Provedel,GK
2022-2023,28,Lazio,it ITA,1. Serie A,2nd,37.9,1405,1206,1397,9,0,0,1405,1,1,100.0,0,0.0,845,4576,2732,0,0,0,1,0,748,0,Ivan Provedel,GK
2023-2024,29,Lazio,it ITA,1. Serie A,7th,30.0,1092,925,1075,17,0,0,1092,2,1,50.0,1,50.0,614,3186,1775,0,0,0,1,0,603,0,Ivan Provedel,GK
2024-2025,30,Lazio,it ITA,1. Serie A,4th,18.0,736,549,717,20,0,0,736,0,0,,0,,470,2596,1588,0,0,0,0,0,455,0,Ivan Provedel,GK
2016-2017,17,Lorient,fr FRA,1. Ligue 1,18th,4.7,,,,,,,,,,,,,,,,,,,,,,,Mattéo Guendouzi,MF
2017-2018,18,Lorient,fr FRA,2. Ligue 2,7th,15.8,1166,26,158,818,206,19,1166,26,18,69.2,8,30.8,977,5388,2702,39,34,3,27,20,958,48,Mattéo Guendouzi,MF
2018-2019,19,Arsenal,eng ENG,1. Premier League,5th,23.9,1836,42,337,1152,362,14,1836,32,23,71.9,9,28.1,1223,8161,4177,71,49,5,30,31,1389,50,Mattéo Guendouzi,MF
2019-2020,20,Arsenal,eng ENG,1. Premier League,8th,19.4,1385,70,351,785,270,18,1385,43,24,55.8,19,44.2,864,5825,3157,50,38,10,20,21,1013,27,Mattéo Guendouzi,MF
2020-2021,21,Hertha BSC,de GER,1. Bundesliga,14th,20.2,1185,36,208,752,239,28,1185,39,23,59.0,16,41.0,782,4879,2363,40,22,8,29,27,861,61,Mattéo Guendouzi,MF
2021-2022,22,Marseille,fr FRA,1. Ligue 1,2nd,35.0,2463,33,301,1478,707,81,2463,51,30,58.8,21,41.2,1897,10370,5250,100,82,19,59,44,2025,175,Mattéo Guendouzi,MF
2022-2023,23,Marseille,fr FRA,1. Ligue 1,3rd,23.4,1441,32,193,817,455,63,1440,29,14,48.3,11,37.9,1165,7373,3862,50,61,9,25,14,1074,100,Mattéo Guendouzi,MF
2023-2024,24,Marseille,fr FRA,1. Ligue 1,8th,0.2,16,0,3,6,8,2,16,0,0,,0,,12,159,98,2,2,0,0,1,11,1,Mattéo Guendouzi,MF
2023-2024,24,Lazio,it ITA,1. Serie A,7th,26.3,1323,39,246,754,337,44,1323,22,7,31.8,13,59.1,722,4140,1958,46,33,4,25,13,975,79,Mattéo Guendouzi,MF
2024-2025,25,Lazio,it ITA,1. Serie A,4th,17.5,1205,35,171,786,263,17,1205,13,11,84.6,2,15.4,775,5004,2888,53,39,6,12,12,926,34,Mattéo Guendouzi,MF
2022-2023,23,Girona,es ESP,1. La Liga,10th,28.9,672,28,65,278,343,123,671,43,14,32.6,21,48.8,361,1903,923,30,27,11,46,22,478,128,Valentín Castellanos,FW
2023-2024,24,Lazio,it ITA,1. Serie A,7th,18.7,679,16,47,325,316,106,679,38,11,28.9,25,65.8,305,1337,466,15,13,7,54,22,490,132,Valentín Castellanos,FW
2024-2025,25,Lazio,it ITA,1. Serie A,4th,14.7,473,7,20,203,255,101,470,23,12,52.2,10,43.5,244,1248,562,20,12,14,31,20,361,96,Valentín Castellanos,FW
2021-2022,20,Real Madrid,es ESP,1. La Liga,1st,0.3,24,4,18,6,0,0,24,1,1,100.0,0,0.0,11,56,30,0,0,0,0,0,14,0,Mario Gila,DF
2022-2023,21,Lazio,it ITA,1. Serie A,2nd,1.0,71,6,36,33,2,0,71,0,0,,0,,42,247,99,1,1,0,1,1,46,2,Mario Gila,DF
2023-2024,22,Lazio,it ITA,1. Serie A,7th,20.1,1486,149,602,797,103,10,1486,15,9,60.0,4,26.7,875,4688,2725,21,26,0,11,6,1035,12,Mario Gila,DF
2024-2025,23,Lazio,it ITA,1. Serie A,4th,14.2,1125,112,457,617,59,13,1125,5,2,40.0,2,40.0,688,3963,2243,21,17,0,8,3,795,4,Mario Gila,DF
2015-2016,20,Hellas Verona,it ITA,1. Serie A,20th,0.6,,,,,,,,,,,,,,,,,,,,,,,Mattia Zaccagni,"FW,MF"
