Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Player,Position
2014-2015,20,Perugia,it ITA,2. Serie B,6th,23.7,0,,0,,,0.00,,,,,0,0,,,,,,Ivan Provedel,GK
2015-2016,21,Modena,it ITA,2. Serie B,21st,20.1,0,,0,,,0.00,,,,,0,0,,,,,,Ivan Provedel,GK
2016-2017,22,Pro Vercelli,it ITA,2. Serie B,17th,39.6,0,,0,,,0.00,,,,,0,0,,,,,,Ivan Provedel,GK
2017-2018,23,Empoli,it ITA,2. Serie B,1st,23.0,0,0,0,,0.00,0.00,,,,,0,0,,,,,,Ivan Provedel,GK
2018-2019,24,Empoli,it ITA,1. Serie A,18th,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Ivan Provedel,GK
2019-2020,25,Juve Stabia,it ITA,2. Serie B,19th,18.0,1,1,1,100.0,0.06,0.06,1.00,1.00,4.0,0,0,0,0.7,0.7,0.65,+0.3,+0.3,Ivan Provedel,GK
2020-2021,26,Spezia,it ITA,1. Serie A,15th,29.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Ivan Provedel,GK
2021-2022,27,Spezia,it ITA,1. Serie A,16th,30.7,0,1,1,100.0,0.03,0.03,0.00,0.00,68.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Ivan Provedel,GK
2022-2023,28,Lazio,it ITA,1. Serie A,2nd,37.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Ivan Provedel,GK
2023-2024,29,Lazio,it ITA,1. Serie A,7th,30.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Ivan Provedel,GK
2024-2025,30,Lazio,it ITA,1. Serie A,4th,18.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Ivan Provedel,GK
2016-2017,17,Lorient,fr FRA,1. Ligue 1,18th,4.7,0,6,2,33.3,1.29,0.43,0.00,0.00,,,0,0,,,,,,Mattéo Guendouzi,MF
