Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Player,Position
2014-2015,20,Perugia,it ITA,2. Serie B,6th,24,23,2132,23.7,0,0,0,0,0,0,0,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Ivan Provedel,GK
2015-2016,21,Modena,it ITA,2. Serie B,21st,21,21,1812,20.1,0,0,0,0,0,0,1,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Ivan Provedel,GK
2016-2017,22,Pro Vercelli,it ITA,2. Serie B,17th,40,40,3565,39.6,0,0,0,0,0,0,0,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Ivan Provedel,GK
2017-2018,23,Empoli,it ITA,2. Serie B,1st,23,23,2070,23.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Ivan Provedel,GK
2018-2019,24,Empoli,it ITA,1. Serie A,18th,16,16,1440,16.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Ivan Provedel,GK
2019-2020,25,Juve Stabia,it ITA,2. Serie B,19th,18,18,1620,18.0,1,0,1,1,0,0,0,0,0.7,0.7,0.9,1.6,0,0,0,0.06,0.00,0.06,0.06,0.06,0.04,0.05,0.09,0.04,0.09,Ivan Provedel,GK
2019-2020,25,Empoli,it ITA,2. Serie B,7th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ivan Provedel,GK
2020-2021,26,Empoli,it ITA,2. Serie B,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ivan Provedel,GK
2020-2021,26,Spezia,it ITA,1. Serie A,15th,29,29,2610,29.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Ivan Provedel,GK
2021-2022,27,Spezia,it ITA,1. Serie A,16th,31,31,2761,30.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Ivan Provedel,GK
2022-2023,28,Lazio,it ITA,1. Serie A,2nd,38,37,3413,37.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Ivan Provedel,GK
2023-2024,29,Lazio,it ITA,1. Serie A,7th,30,30,2699,30.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Ivan Provedel,GK
2024-2025,30,Lazio,it ITA,1. Serie A,4th,18,18,1620,18.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Ivan Provedel,GK
2016-2017,17,Lorient,fr FRA,1. Ligue 1,18th,8,4,420,4.7,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Mattéo Guendouzi,MF
2017-2018,18,Lorient,fr FRA,2. Ligue 2,7th,18,17,1424,15.8,0,1,1,0,0,0,3,1,1.3,1.3,1.1,2.4,39,134,48,0.00,0.06,0.06,0.00,0.06,0.08,0.07,0.15,0.08,0.15,Mattéo Guendouzi,MF
2018-2019,19,Arsenal,eng ENG,1. Premier League,5th,33,23,2149,23.9,0,0,0,0,0,0,9,0,0.6,0.6,1.8,2.4,71,200,50,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.10,0.02,0.10,Mattéo Guendouzi,MF
2019-2020,20,Arsenal,eng ENG,1. Premier League,8th,24,19,1748,19.4,0,1,1,0,0,0,6,0,0.8,0.8,1.1,1.9,50,160,27,0.00,0.05,0.05,0.00,0.05,0.04,0.06,0.10,0.04,0.10,Mattéo Guendouzi,MF
