Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2010-2011,19,Groningen,nl NED,1. Eredivisie,5th,0.4,,,,,,,,,,,,,,,,,Virgil van Dijk,DF
2011-2012,20,Groningen,nl NED,1. Eredivisie,14th,21.8,,,,,,,,,,,,,,,,,Virgil van Dijk,DF
2012-2013,21,Groningen,nl NED,1. Eredivisie,7th,30.9,,,,,,,,,,,,,,,,,Virgil van Dijk,DF
2013-2014,22,Celtic,sct SCO,1. Premiership,1st,34.1,,,,,,,,,,,,,,,,,Virgil van Dijk,DF
2014-2015,23,Celtic,sct SCO,1. Premiership,1st,35.0,,,,,,,,,,,,,,,,,Virgil van Dijk,DF
2015-2016,24,Celtic,sct SCO,1. Premiership,1st,5.0,,,,,,,,,,,,,,,,,Virgil van Dijk,DF
2015-2016,24,Southampton,eng ENG,1. Premier League,6th,34.0,,,,,,,,,,,,,,,,,Virgil van Dijk,DF
2016-2017,25,Southampton,eng ENG,1. Premier League,8th,20.6,,,,,,,,,,,,,,,,,Virgil van Dijk,DF
2017-2018,26,Southampton,eng ENG,1. Premier League,17th,11.0,9,0.81,8,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Virgil van Dijk,DF
2017-2018,26,Southampton,eng ENG,Jr. PL2 — Div. 2,6th,2.0,,,,,,,,,,,,,,,,,Virgil van Dijk,DF
2017-2018,26,Liverpool,eng ENG,1. Premier League,4th,14.0,13,0.93,11,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Virgil van Dijk,DF
2018-2019,27,Liverpool,eng ENG,1. Premier League,2nd,37.6,31,0.82,26,0,1,3,0,1,7,0.19,5,0,0,2,0,0,Virgil van Dijk,DF
2019-2020,28,Liverpool,eng ENG,1. Premier League,1st,38.0,35,0.92,28,0,0,5,1,1,7,0.18,5,0,0,1,1,0,Virgil van Dijk,DF
2020-2021,29,Liverpool,eng ENG,1. Premier League,3rd,4.1,2,0.49,2,0,0,0,0,0,1,0.24,1,0,0,0,0,0,Virgil van Dijk,DF
2021-2022,30,Liverpool,eng ENG,1. Premier League,2nd,34.0,31,0.91,22,1,0,6,0,2,6,0.18,4,0,0,2,0,0,Virgil van Dijk,DF
2022-2023,31,Liverpool,eng ENG,1. Premier League,5th,31.5,22,0.70,17,0,0,4,0,1,3,0.10,2,0,0,1,0,0,Virgil van Dijk,DF
2023-2024,32,Liverpool,eng ENG,1. Premier League,3rd,35.3,59,1.67,54,0,0,5,0,0,4,0.11,4,0,0,0,0,0,Virgil van Dijk,DF
2024-2025,33,Liverpool,eng ENG,1. Premier League,1st,19.0,20,1.05,15,0,1,1,1,2,3,0.16,3,0,0,0,0,0,Virgil van Dijk,DF
2012-2013,20,Basel,ch SUI,1. Super Lg,1st,16.0,,,,,,,,,,,,,,,,,Mohamed Salah,FW
2013-2014,21,Basel,ch SUI,1. Super Lg,1st,12.8,,,,,,,,,,,,,,,,,Mohamed Salah,FW
2013-2014,21,Chelsea,eng ENG,1. Premier League,3rd,5.6,,,,,,,,,,,,,,,,,Mohamed Salah,FW
2014-2015,22,Chelsea,eng ENG,1. Premier League,1st,0.4,,,,,,,,,,,,,,,,,Mohamed Salah,FW
2014-2015,22,Fiorentina,it ITA,1. Serie A,4th,10.1,,,,,,,,,,,,,,,,,Mohamed Salah,FW
2015-2016,23,Roma,it ITA,1. Serie A,3rd,30.3,,,,,,,,,,,,,,,,,Mohamed Salah,FW
2016-2017,24,Roma,it ITA,1. Serie A,2nd,27.5,,,,,,,,,,,,,,,,,Mohamed Salah,FW
2017-2018,25,Liverpool,eng ENG,1. Premier League,4th,32.3,161,4.98,103,12,27,9,9,1,33,1.02,16,1,14,1,1,0,Mohamed Salah,FW
2018-2019,26,Liverpool,eng ENG,1. Premier League,2nd,36.1,160,4.43,104,4,26,12,14,0,21,0.58,8,1,4,3,5,0,Mohamed Salah,FW
2019-2020,27,Liverpool,eng ENG,1. Premier League,1st,32.0,136,4.26,94,6,17,13,5,1,15,0.47,9,2,2,1,1,0,Mohamed Salah,FW
2020-2021,28,Liverpool,eng ENG,1. Premier League,3rd,34.2,134,3.92,104,1,7,13,7,2,16,0.47,12,0,0,2,2,0,Mohamed Salah,FW
2021-2022,29,Liverpool,eng ENG,1. Premier League,2nd,30.7,141,4.59,104,0,17,18,2,0,25,0.81,17,0,5,2,1,0,Mohamed Salah,FW
2022-2023,30,Liverpool,eng ENG,1. Premier League,5th,36.6,140,3.83,106,2,12,12,6,2,24,0.66,17,1,0,2,3,1,Mohamed Salah,FW
2023-2024,31,Liverpool,eng ENG,1. Premier League,3rd,28.2,139,4.94,103,2,7,21,5,1,20,0.71,14,0,2,3,1,0,Mohamed Salah,FW
2024-2025,32,Liverpool,eng ENG,1. Premier League,1st,18.6,86,4.63,57,1,13,9,4,2,16,0.86,13,0,2,1,0,0,Mohamed Salah,FW
2018-2019,16,Ajax,nl NED,1. Eredivisie,1st,0.1,1,11.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Ryan Gravenberch,MF
2018-2019,16,Jong Ajax,nl NED,2. Eerste Divisie,11th,25.7,,,,,,,,,,,,,,,,,Ryan Gravenberch,MF
2019-2020,17,Jong Ajax,nl NED,2. Eerste Divisie,4th,16.5,,,,,,,,,,,,,,,,,Ryan Gravenberch,MF
2019-2020,17,Ajax,nl NED,1. Eredivisie,1st,5.3,31,5.80,22,5,3,0,1,0,2,0.37,1,0,1,0,0,0,Ryan Gravenberch,MF
2020-2021,18,Ajax,nl NED,1. Eredivisie,1st,29.0,112,3.86,91,8,3,5,4,1,15,0.52,10,2,1,1,1,0,Ryan Gravenberch,MF
2021-2022,19,Ajax,nl NED,1. Eredivisie,1st,24.5,118,4.82,83,15,11,6,2,1,20,0.82,15,3,0,2,0,0,Ryan Gravenberch,MF
2022-2023,20,Bayern Munich,de GER,1. Bundesliga,1st,6.4,25,3.91,22,0,0,3,0,0,1,0.16,1,0,0,0,0,0,Ryan Gravenberch,MF
2023-2024,21,Bayern Munich,de GER,1. Bundesliga,3rd,0.1,3,27.00,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Ryan Gravenberch,MF
2023-2024,21,Liverpool,eng ENG,1. Premier League,3rd,12.5,44,3.54,36,0,2,6,0,0,0,0.00,0,0,0,0,0,0,Ryan Gravenberch,MF
2024-2025,22,Liverpool,eng ENG,1. Premier League,1st,18.3,36,1.97,32,0,2,1,0,1,6,0.33,6,0,0,0,0,0,Ryan Gravenberch,MF
2016-2017,17,Liverpool,eng ENG,Jr. PL2 — Div. 1,3rd,11.9,,,,,,,,,,,,,,,,,Trent Alexander-Arnold,DF
2016-2017,17,Liverpool,eng ENG,1. Premier League,4th,1.9,,,,,,,,,,,,,,,,,Trent Alexander-Arnold,DF
2017-2018,18,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,1.0,,,,,,,,,,,,,,,,,Trent Alexander-Arnold,DF
2017-2018,18,Liverpool,eng ENG,1. Premier League,4th,17.5,42,2.40,29,7,2,2,0,2,3,0.17,2,0,1,0,0,0,Trent Alexander-Arnold,DF
2018-2019,19,Liverpool,eng ENG,1. Premier League,2nd,27.4,96,3.51,62,24,6,2,1,1,18,0.66,13,5,0,0,0,0,Trent Alexander-Arnold,DF
2019-2020,20,Liverpool,eng ENG,1. Premier League,1st,35.3,155,4.39,93,51,3,6,1,1,24,0.68,15,7,0,2,0,0,Trent Alexander-Arnold,DF
2020-2021,21,Liverpool,eng ENG,1. Premier League,3rd,33.7,131,3.89,84,34,6,7,0,0,13,0.39,8,2,1,2,0,0,Trent Alexander-Arnold,DF
2021-2022,22,Liverpool,eng ENG,1. Premier League,2nd,31.7,160,5.05,96,53,3,7,1,0,18,0.57,13,4,0,1,0,0,Trent Alexander-Arnold,DF
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,32.5,124,3.82,81,34,3,5,1,0,17,0.52,14,2,1,0,0,0,Trent Alexander-Arnold,DF
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,23.9,126,5.27,80,33,5,6,0,2,7,0.29,4,3,0,0,0,0,Trent Alexander-Arnold,DF
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,15.5,60,3.87,48,10,1,1,0,0,8,0.52,7,1,0,0,0,0,Trent Alexander-Arnold,DF
2013-2014,19,Dundee United,sct SCO,1. Premiership,4th,36.0,,,,,,,,,,,,,,,,,Andrew Robertson,DF
2014-2015,20,Hull City,eng ENG,1. Premier League,18th,17.0,,,,,,,,,,,,,,,,,Andrew Robertson,DF
2015-2016,21,Hull City,eng ENG,2. Championship,4th,39.6,,,,,,,,,,,,,,,,,Andrew Robertson,DF
2016-2017,22,Hull City,eng ENG,1. Premier League,18th,30.4,,,,,,,,,,,,,,,,,Andrew Robertson,DF
2017-2018,23,Liverpool,eng ENG,1. Premier League,4th,21.6,52,2.41,47,3,1,0,1,0,8,0.37,8,0,0,0,0,0,Andrew Robertson,DF
2018-2019,24,Liverpool,eng ENG,1. Premier League,2nd,35.7,94,2.63,87,1,3,1,2,0,18,0.50,17,0,1,0,0,0,Andrew Robertson,DF
2019-2020,25,Liverpool,eng ENG,1. Premier League,1st,34.6,130,3.76,106,15,4,3,0,2,22,0.64,18,2,2,0,0,0,Andrew Robertson,DF
2020-2021,26,Liverpool,eng ENG,1. Premier League,3rd,37.6,123,3.27,94,23,4,1,0,1,15,0.40,11,2,1,1,0,0,Andrew Robertson,DF
2021-2022,27,Liverpool,eng ENG,1. Premier League,2nd,28.2,112,3.97,81,24,1,2,3,1,17,0.60,14,3,0,0,0,0,Andrew Robertson,DF
2022-2023,28,Liverpool,eng ENG,1. Premier League,5th,28.7,95,3.31,59,27,1,4,1,3,13,0.45,9,4,0,0,0,0,Andrew Robertson,DF
2023-2024,29,Liverpool,eng ENG,1. Premier League,3rd,18.8,97,5.16,62,33,1,0,1,0,5,0.27,3,2,0,0,0,0,Andrew Robertson,DF
2024-2025,30,Liverpool,eng ENG,1. Premier League,1st,15.3,43,2.80,36,6,0,0,0,1,1,0.07,1,0,0,0,0,0,Andrew Robertson,DF
