Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Player,Position
2010-2011,19,Groningen,nl NED,1. Eredivisie,5th,0.4,0,0,,1,,,,,,,,,,,,,Virgil van Dijk,DF
2011-2012,20,Groningen,nl NED,1. Eredivisie,14th,21.8,6,0,,32,,,,,,,,,,,,,Virgil van Dijk,DF
2012-2013,21,Groningen,nl NED,1. Eredivisie,7th,30.9,5,1,,39,,,,,,,,,,,,,Virgil van Dijk,DF
2013-2014,22,Celtic,sct SCO,1. Premiership,1st,34.1,2,1,,31,,,,,,,,,,,,,Virgil van Dijk,DF
2014-2015,23,Celtic,sct SCO,1. Premiership,1st,35.0,3,0,,,,,,,,,,,,,,,Virgil van Dijk,DF
2015-2016,24,Celtic,sct SCO,1. Premiership,1st,5.0,0,0,,4,,,,,,,,,,,,,Virgil van Dijk,DF
2015-2016,24,Southampton,eng ENG,1. Premier League,6th,34.0,2,0,,28,,,,,,,,,,,,,Virgil van Dijk,DF
2016-2017,25,Southampton,eng ENG,1. Premier League,8th,20.6,4,2,1,18,17,0,1,54,30,0,0,0,,,,,Virgil van Dijk,DF
2017-2018,26,Southampton,eng ENG,1. Premier League,17th,11.0,0,0,0,6,10,0,1,29,7,0,1,0,71,60,21,74.1,Virgil van Dijk,DF
2017-2018,26,Southampton,eng ENG,Jr. PL2 — Div. 2,6th,2.0,0,0,0,,,,,,,,,0,,,,,Virgil van Dijk,DF
2017-2018,26,Liverpool,eng ENG,1. Premier League,4th,14.0,1,0,0,8,11,0,0,18,8,0,1,0,69,77,29,72.6,Virgil van Dijk,DF
2018-2019,27,Liverpool,eng ENG,1. Premier League,2nd,37.6,1,0,0,12,22,1,0,40,28,0,1,0,193,175,62,73.8,Virgil van Dijk,DF
2019-2020,28,Liverpool,eng ENG,1. Premier League,1st,38.0,1,0,0,16,25,1,0,40,12,0,0,0,220,188,56,77.0,Virgil van Dijk,DF
2020-2021,29,Liverpool,eng ENG,1. Premier League,3rd,4.1,1,0,0,4,2,1,0,5,2,0,0,0,19,12,6,66.7,Virgil van Dijk,DF
2021-2022,30,Liverpool,eng ENG,1. Premier League,2nd,34.0,3,0,0,9,8,0,0,31,10,0,0,0,204,117,34,77.5,Virgil van Dijk,DF
2022-2023,31,Liverpool,eng ENG,1. Premier League,5th,31.5,3,0,0,13,3,3,1,31,14,0,1,0,168,98,34,74.2,Virgil van Dijk,DF
2023-2024,32,Liverpool,eng ENG,1. Premier League,3rd,35.3,3,1,0,23,13,1,0,39,23,0,0,0,170,140,32,81.4,Virgil van Dijk,DF
2024-2025,33,Liverpool,eng ENG,1. Premier League,1st,19.0,1,0,0,8,5,0,0,34,11,0,0,0,62,56,21,72.7,Virgil van Dijk,DF
2012-2013,20,Basel,ch SUI,1. Super Lg,1st,16.0,0,0,,,,,,,,,,,,,,,Mohamed Salah,FW
2013-2014,21,Basel,ch SUI,1. Super Lg,1st,12.8,1,0,,,,,,,,,,,,,,,Mohamed Salah,FW
2013-2014,21,Chelsea,eng ENG,1. Premier League,3rd,5.6,1,0,,3,,,,,,,,,,,,,Mohamed Salah,FW
2014-2015,22,Chelsea,eng ENG,1. Premier League,1st,0.4,0,0,,1,,,,,,,,,,,,,Mohamed Salah,FW
2014-2015,22,Fiorentina,it ITA,1. Serie A,4th,10.1,0,0,,11,,,,,,,,,,,,,Mohamed Salah,FW
2015-2016,23,Roma,it ITA,1. Serie A,3rd,30.3,2,1,,22,,,,,,,,,,,,,Mohamed Salah,FW
2016-2017,24,Roma,it ITA,1. Serie A,2nd,27.5,2,0,0,27,26,25,79,13,24,3,0,0,,,,,Mohamed Salah,FW
2017-2018,25,Liverpool,eng ENG,1. Premier League,4th,32.3,1,0,0,16,29,17,86,5,6,1,0,0,122,13,35,27.1,Mohamed Salah,FW
2018-2019,26,Liverpool,eng ENG,1. Premier League,2nd,36.1,1,0,0,25,32,27,57,5,9,5,0,0,121,10,60,14.3,Mohamed Salah,FW
2019-2020,27,Liverpool,eng ENG,1. Premier League,1st,32.0,1,0,0,17,18,20,45,8,6,1,0,0,85,15,45,25.0,Mohamed Salah,FW
2020-2021,28,Liverpool,eng ENG,1. Premier League,3rd,34.2,0,0,0,22,22,13,29,1,9,2,0,0,93,18,42,30.0,Mohamed Salah,FW
2021-2022,29,Liverpool,eng ENG,1. Premier League,2nd,30.7,1,0,0,12,23,12,41,6,8,2,0,0,86,7,33,17.5,Mohamed Salah,FW
2022-2023,30,Liverpool,eng ENG,1. Premier League,5th,36.6,2,0,0,20,33,22,38,6,12,0,0,0,100,8,30,21.1,Mohamed Salah,FW
2023-2024,31,Liverpool,eng ENG,1. Premier League,3rd,28.2,2,0,0,12,26,17,41,2,11,1,0,0,84,6,14,30.0,Mohamed Salah,FW
2024-2025,32,Liverpool,eng ENG,1. Premier League,1st,18.6,1,0,0,12,25,6,36,4,6,0,0,0,49,2,4,33.3,Mohamed Salah,FW
2018-2019,16,Ajax,nl NED,1. Eredivisie,1st,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Ryan Gravenberch,MF
2018-2019,16,Jong Ajax,nl NED,2. Eerste Divisie,11th,25.7,3,0,0,,,,,,,,,0,,,,,Ryan Gravenberch,MF
2019-2020,17,Jong Ajax,nl NED,2. Eerste Divisie,4th,16.5,3,0,0,30,23,0,6,22,15,,,0,,,,,Ryan Gravenberch,MF
2019-2020,17,Ajax,nl NED,1. Eredivisie,1st,5.3,1,0,0,11,4,0,6,6,3,0,0,0,17,7,10,41.2,Ryan Gravenberch,MF
2020-2021,18,Ajax,nl NED,1. Eredivisie,1st,29.0,3,0,0,36,27,0,49,45,27,0,0,0,185,38,19,66.7,Ryan Gravenberch,MF
2021-2022,19,Ajax,nl NED,1. Eredivisie,1st,24.5,4,0,0,26,24,1,40,19,25,0,0,0,144,35,19,64.8,Ryan Gravenberch,MF
2022-2023,20,Bayern Munich,de GER,1. Bundesliga,1st,6.4,1,0,0,9,7,0,6,9,8,0,0,0,57,4,6,40.0,Ryan Gravenberch,MF
2023-2024,21,Bayern Munich,de GER,1. Bundesliga,3rd,0.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Ryan Gravenberch,MF
2023-2024,21,Liverpool,eng ENG,1. Premier League,3rd,12.5,0,0,0,20,15,0,4,14,12,0,0,0,74,10,14,41.7,Ryan Gravenberch,MF
2024-2025,22,Liverpool,eng ENG,1. Premier League,1st,18.3,4,0,0,30,31,0,3,36,18,0,0,0,96,16,5,76.2,Ryan Gravenberch,MF
2016-2017,17,Liverpool,eng ENG,Jr. PL2 — Div. 1,3rd,11.9,3,0,0,,,,,,,,,0,,,,,Trent Alexander-Arnold,DF
2016-2017,17,Liverpool,eng ENG,1. Premier League,4th,1.9,0,0,0,1,2,0,6,2,2,0,0,0,,,,,Trent Alexander-Arnold,DF
2017-2018,18,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,1.0,0,0,0,,,,,,,,,0,,,,,Trent Alexander-Arnold,DF
2017-2018,18,Liverpool,eng ENG,1. Premier League,4th,17.5,3,0,0,12,1,3,102,28,25,0,0,0,133,5,17,22.7,Trent Alexander-Arnold,DF
2018-2019,19,Liverpool,eng ENG,1. Premier League,2nd,27.4,3,0,0,14,7,4,201,35,39,0,0,0,169,9,23,28.1,Trent Alexander-Arnold,DF
2019-2020,20,Liverpool,eng ENG,1. Premier League,1st,35.3,5,0,0,22,9,3,382,45,34,0,0,0,221,15,30,33.3,Trent Alexander-Arnold,DF
2020-2021,21,Liverpool,eng ENG,1. Premier League,3rd,33.7,2,0,0,21,9,5,297,49,33,0,1,0,258,8,23,25.8,Trent Alexander-Arnold,DF
2021-2022,22,Liverpool,eng ENG,1. Premier League,2nd,31.7,2,0,0,12,7,11,273,43,23,0,0,0,235,15,13,53.6,Trent Alexander-Arnold,DF
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,32.5,5,0,0,22,6,5,252,43,40,0,0,0,239,20,13,60.6,Trent Alexander-Arnold,DF
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,23.9,6,0,0,9,9,2,168,31,26,0,0,0,176,8,6,57.1,Trent Alexander-Arnold,DF
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,15.5,4,0,0,8,6,1,102,19,32,0,0,0,84,2,8,20.0,Trent Alexander-Arnold,DF
2013-2014,19,Dundee United,sct SCO,1. Premiership,4th,36.0,6,0,,29,,,,,,,,,,,,,Andrew Robertson,DF
2014-2015,20,Hull City,eng ENG,1. Premier League,18th,17.0,7,0,,11,,,,,,,,,,,,,Andrew Robertson,DF
2015-2016,21,Hull City,eng ENG,2. Championship,4th,39.6,3,0,,16,,,,,,,,,,,,,Andrew Robertson,DF
2016-2017,22,Hull City,eng ENG,1. Premier League,18th,30.4,5,0,0,18,10,1,120,56,36,0,2,0,,,,,Andrew Robertson,DF
2017-2018,23,Liverpool,eng ENG,1. Premier League,4th,21.6,2,0,0,15,4,5,88,26,17,0,0,0,140,15,9,62.5,Andrew Robertson,DF
2018-2019,24,Liverpool,eng ENG,1. Premier League,2nd,35.7,4,0,0,18,16,1,135,29,49,0,0,0,223,24,28,46.2,Andrew Robertson,DF
2019-2020,25,Liverpool,eng ENG,1. Premier League,1st,34.6,2,0,0,18,13,2,210,38,31,0,0,0,210,33,34,49.3,Andrew Robertson,DF
2020-2021,26,Liverpool,eng ENG,1. Premier League,3rd,37.6,2,0,0,23,10,8,294,21,34,0,1,0,229,29,26,52.7,Andrew Robertson,DF
