Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2010-2011,19,Groningen,nl NED,1. Eredivisie,5th,0.4,,,,,,,,,,,,,,,,Virgil van Dijk,DF
2011-2012,20,Groningen,nl NED,1. Eredivisie,14th,21.8,,,,,,,,,,,,,,,,Virgil van Dijk,DF
2012-2013,21,Groningen,nl NED,1. Eredivisie,7th,30.9,,,,,,,,,,,,,,,,Virgil van Dijk,DF
2013-2014,22,Celtic,sct SCO,1. Premiership,1st,34.1,,,,,,,,,,,,,,,,Virgil van Dijk,DF
2014-2015,23,Celtic,sct SCO,1. Premiership,1st,35.0,,,,,,,,,,,,,,,,Virgil van Dijk,DF
2015-2016,24,Celtic,sct SCO,1. Premiership,1st,5.0,,,,,,,,,,,,,,,,Virgil van Dijk,DF
2015-2016,24,Southampton,eng ENG,1. Premier League,6th,34.0,,,,,,,,,,,,,,,,Virgil van Dijk,DF
2016-2017,25,Southampton,eng ENG,1. Premier League,8th,20.6,,,,,,,1,,,,,,,,,Virgil van Dijk,DF
2017-2018,26,Southampton,eng ENG,1. Premier League,17th,11.0,638,615,20,19,1,13,1,1,0,0,0,0,544,3,1,Virgil van Dijk,DF
2017-2018,26,Southampton,eng ENG,Jr. PL2 — Div. 2,6th,2.0,,,,,,,,,,,,,,,,Virgil van Dijk,DF
2017-2018,26,Liverpool,eng ENG,1. Premier League,4th,14.0,1140,1119,20,18,2,8,0,2,0,0,0,0,1023,1,2,Virgil van Dijk,DF
2018-2019,27,Liverpool,eng ENG,1. Premier League,2nd,37.6,3049,2976,67,61,0,26,0,6,0,0,0,0,2730,6,8,Virgil van Dijk,DF
2019-2020,28,Liverpool,eng ENG,1. Premier League,1st,38.0,3276,3169,106,88,7,39,0,16,0,0,0,0,2919,1,6,Virgil van Dijk,DF
2020-2021,29,Liverpool,eng ENG,1. Premier League,3rd,4.1,342,338,3,3,0,4,0,0,0,0,0,0,307,1,0,Virgil van Dijk,DF
2021-2022,30,Liverpool,eng ENG,1. Premier League,2nd,34.0,2655,2575,78,71,6,18,0,7,0,0,0,0,2376,2,5,Virgil van Dijk,DF
2022-2023,31,Liverpool,eng ENG,1. Premier League,5th,31.5,2592,2492,99,73,1,31,1,9,0,0,0,0,2345,1,9,Virgil van Dijk,DF
2023-2024,32,Liverpool,eng ENG,1. Premier League,3rd,35.3,2887,2712,173,80,0,21,0,13,0,0,0,0,2640,2,6,Virgil van Dijk,DF
2024-2025,33,Liverpool,eng ENG,1. Premier League,1st,19.0,1465,1358,106,35,0,12,0,4,0,0,0,0,1342,1,4,Virgil van Dijk,DF
2012-2013,20,Basel,ch SUI,1. Super Lg,1st,16.0,,,,,,,,,,,,,,,,Mohamed Salah,FW
2013-2014,21,Basel,ch SUI,1. Super Lg,1st,12.8,,,,,,,,,,,,,,,,Mohamed Salah,FW
2013-2014,21,Chelsea,eng ENG,1. Premier League,3rd,5.6,,,,,,,,,,,,,,,,Mohamed Salah,FW
2014-2015,22,Chelsea,eng ENG,1. Premier League,1st,0.4,,,,,,,,,,,,,,,,Mohamed Salah,FW
2014-2015,22,Fiorentina,it ITA,1. Serie A,4th,10.1,,,,,,,,,,,,,,,,Mohamed Salah,FW
2015-2016,23,Roma,it ITA,1. Serie A,3rd,30.3,,,,,,,,,,,,,,,,Mohamed Salah,FW
2016-2017,24,Roma,it ITA,1. Serie A,2nd,27.5,,,,,,,79,,,,,,,,,Mohamed Salah,FW
2017-2018,25,Liverpool,eng ENG,1. Premier League,4th,32.3,1055,955,96,12,8,4,86,19,62,43,9,0,772,4,32,Mohamed Salah,FW
2018-2019,26,Liverpool,eng ENG,1. Premier League,2nd,36.1,1152,1064,85,12,19,4,57,13,35,14,15,0,846,3,40,Mohamed Salah,FW
2019-2020,27,Liverpool,eng ENG,1. Premier League,1st,32.0,1035,971,62,4,13,1,45,9,27,5,14,0,767,2,26,Mohamed Salah,FW
2020-2021,28,Liverpool,eng ENG,1. Premier League,3rd,34.2,1302,1266,32,3,10,4,29,6,0,0,0,0,1067,4,40,Mohamed Salah,FW
2021-2022,29,Liverpool,eng ENG,1. Premier League,2nd,30.7,1136,1112,15,1,18,3,41,7,1,1,0,0,875,9,38,Mohamed Salah,FW
2022-2023,30,Liverpool,eng ENG,1. Premier League,5th,36.6,1185,1146,29,4,14,3,38,17,0,0,0,0,902,10,40,Mohamed Salah,FW
2023-2024,31,Liverpool,eng ENG,1. Premier League,3rd,28.2,1010,968,28,4,18,3,41,20,0,0,0,0,737,14,42,Mohamed Salah,FW
2024-2025,32,Liverpool,eng ENG,1. Premier League,1st,18.6,584,566,14,5,9,2,36,9,0,0,0,0,412,4,22,Mohamed Salah,FW
2018-2019,16,Ajax,nl NED,1. Eredivisie,1st,0.1,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,Ryan Gravenberch,MF
2018-2019,16,Jong Ajax,nl NED,2. Eerste Divisie,11th,25.7,,,,,,,,,,,,,,,,Ryan Gravenberch,MF
2019-2020,17,Jong Ajax,nl NED,2. Eerste Divisie,4th,16.5,,,,,,,6,,,,,,,,,Ryan Gravenberch,MF
2019-2020,17,Ajax,nl NED,1. Eredivisie,1st,5.3,373,360,13,3,0,0,6,2,8,0,2,1,319,0,2,Ryan Gravenberch,MF
2020-2021,18,Ajax,nl NED,1. Eredivisie,1st,29.0,2262,2155,103,42,4,10,49,20,40,15,17,0,1946,4,26,Ryan Gravenberch,MF
2021-2022,19,Ajax,nl NED,1. Eredivisie,1st,24.5,1526,1455,67,24,5,6,40,7,36,10,5,0,1284,4,21,Ryan Gravenberch,MF
2022-2023,20,Bayern Munich,de GER,1. Bundesliga,1st,6.4,373,365,6,1,0,3,6,2,3,1,2,0,326,2,9,Ryan Gravenberch,MF
2023-2024,21,Bayern Munich,de GER,1. Bundesliga,3rd,0.1,7,7,0,0,0,0,0,0,0,0,0,0,5,0,1,Ryan Gravenberch,MF
2023-2024,21,Liverpool,eng ENG,1. Premier League,3rd,12.5,504,492,9,3,4,2,4,4,0,0,0,0,415,3,14,Ryan Gravenberch,MF
2024-2025,22,Liverpool,eng ENG,1. Premier League,1st,18.3,1095,1079,16,11,5,2,3,5,0,0,0,0,985,0,9,Ryan Gravenberch,MF
2016-2017,17,Liverpool,eng ENG,Jr. PL2 — Div. 1,3rd,11.9,,,,,,,,,,,,,,,,Trent Alexander-Arnold,DF
2016-2017,17,Liverpool,eng ENG,1. Premier League,4th,1.9,,,,,,,6,,,,,,,,,Trent Alexander-Arnold,DF
2017-2018,18,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,1.0,,,,,,,,,,,,,,,,Trent Alexander-Arnold,DF
2017-2018,18,Liverpool,eng ENG,1. Premier League,4th,17.5,1309,1083,222,15,3,11,102,196,11,7,3,1,963,4,39,Trent Alexander-Arnold,DF
2018-2019,19,Liverpool,eng ENG,1. Premier League,2nd,27.4,2236,1774,449,51,3,40,201,324,74,28,31,3,1644,13,51,Trent Alexander-Arnold,DF
2019-2020,20,Liverpool,eng ENG,1. Premier League,1st,35.3,3230,2573,645,87,5,103,382,396,162,45,76,2,2278,12,69,Trent Alexander-Arnold,DF
2020-2021,21,Liverpool,eng ENG,1. Premier League,3rd,33.7,3015,2516,488,56,6,55,297,326,106,16,61,2,2245,11,52,Trent Alexander-Arnold,DF
2021-2022,22,Liverpool,eng ENG,1. Premier League,2nd,31.7,2757,2204,548,93,17,69,273,324,131,29,89,0,2039,5,34,Trent Alexander-Arnold,DF
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,32.5,2912,2393,509,70,26,59,252,341,98,16,74,1,2188,10,37,Trent Alexander-Arnold,DF
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,23.9,2062,1705,346,77,22,32,168,198,71,10,52,0,1553,11,23,Trent Alexander-Arnold,DF
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,15.5,1097,908,182,38,8,19,102,106,38,26,7,1,789,7,20,Trent Alexander-Arnold,DF
2013-2014,19,Dundee United,sct SCO,1. Premiership,4th,36.0,,,,,,,,,,,,,,,,Andrew Robertson,DF
2014-2015,20,Hull City,eng ENG,1. Premier League,18th,17.0,,,,,,,,,,,,,,,,Andrew Robertson,DF
2015-2016,21,Hull City,eng ENG,2. Championship,4th,39.6,,,,,,,,,,,,,,,,Andrew Robertson,DF
2016-2017,22,Hull City,eng ENG,1. Premier League,18th,30.4,,,,,,,120,,,,,,,,,Andrew Robertson,DF
2017-2018,23,Liverpool,eng ENG,1. Premier League,4th,21.6,1681,1497,182,12,3,3,88,170,0,0,0,0,1404,2,42,Andrew Robertson,DF
2018-2019,24,Liverpool,eng ENG,1. Premier League,2nd,35.7,2840,2488,347,40,2,19,135,303,4,0,3,0,2285,5,51,Andrew Robertson,DF
2019-2020,25,Liverpool,eng ENG,1. Premier League,1st,34.6,2996,2606,386,54,2,28,210,290,42,6,26,0,2391,4,49,Andrew Robertson,DF
2020-2021,26,Liverpool,eng ENG,1. Premier League,3rd,37.6,3303,2774,521,81,2,22,294,321,119,22,78,0,2624,8,51,Andrew Robertson,DF
2021-2022,27,Liverpool,eng ENG,1. Premier League,2nd,28.2,2350,1986,356,56,3,10,195,219,81,8,68,0,1885,8,34,Andrew Robertson,DF
2022-2023,28,Liverpool,eng ENG,1. Premier League,5th,28.7,2265,1883,375,65,2,12,195,229,81,23,49,0,1803,7,41,Andrew Robertson,DF
2023-2024,29,Liverpool,eng ENG,1. Premier League,3rd,18.8,1547,1297,240,41,0,7,184,109,90,34,53,0,1248,10,29,Andrew Robertson,DF
2024-2025,30,Liverpool,eng ENG,1. Premier League,1st,15.3,1104,929,173,28,3,4,87,101,44,33,6,0,930,2,17,Andrew Robertson,DF
2017-2018,18,Arg Juniors,ar ARG,1. Liga Argentina,12th,14.6,804,727,69,44,3,15,43,2,23,11,8,0,609,8,15,Alexis Mac Allister,MF
2018-2019,19,Arg Juniors,ar ARG,1. Liga Argentina,26th,17.1,758,635,117,55,4,4,105,8,53,23,27,2,520,6,24,Alexis Mac Allister,MF
2019-2020,20,Boca Juniors,ar ARG,1. Liga Argentina,1st,7.9,328,271,53,19,0,3,47,1,33,6,25,0,230,4,6,Alexis Mac Allister,MF
