Season,Age,Squad,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Player,Position
2010-2011,19,Groningen,nl NED,1. Eredivisie,5th,2,33,17,1.1,0.4,0,,,2,,,,,,,,,,,,,,Virgil van Dijk,DF
2011-2012,20,Groningen,nl NED,1. Eredivisie,14th,23,1964,85,64.2,21.8,21,,21,2,,,,,,,,,,,,,,Virgil van Dijk,DF
2012-2013,21,Groningen,nl NED,1. Eredivisie,7th,32,2780,87,90.8,30.9,32,,30,0,,,,,,,,,,,,,,Virgil van Dijk,DF
2013-2014,22,Celtic,sct SCO,1. Premiership,1st,36,3072,85,89.8,34.1,35,,,1,,,,,,,,,,,,,,Virgil van Dijk,DF
2014-2015,23,Celtic,sct SCO,1. Premiership,1st,35,3150,90,92.1,35.0,35,,35,0,,0,2.57,83,15,+68,+1.94,+2.28,,,,,,Virgil van Dijk,DF
2015-2016,24,Celtic,sct SCO,1. Premiership,1st,5,450,90,13.2,5.0,5,,5,0,,0,2.60,13,5,+8,+1.60,-0.04,,,,,,Virgil van Dijk,DF
2015-2016,24,Southampton,eng ENG,1. Premier League,6th,34,3060,90,89.5,34.0,34,,34,0,,0,1.71,54,36,+18,+0.53,+0.53,,,,,,Virgil van Dijk,DF
2016-2017,25,Southampton,eng ENG,1. Premier League,8th,21,1853,88,54.2,20.6,21,,19,0,,0,1.29,21,23,-2,-0.10,+0.19,,,,,,Virgil van Dijk,DF
2017-2018,26,Southampton,eng ENG,1. Premier League,17th,12,994,83,29.1,11.0,11,,11,1,,2,1.08,13,18,-5,-0.45,+0.07,14.0,12.3,+1.7,+0.15,+0.41,Virgil van Dijk,DF
2017-2018,26,Southampton,eng ENG,Jr. PL2 — Div. 2,6th,2,180,90,10.5,2.0,2,90,2,0,,0,1.50,3,4,-1,-0.50,-0.79,,,,,,Virgil van Dijk,DF
2017-2018,26,Liverpool,eng ENG,1. Premier League,4th,14,1260,90,36.8,14.0,14,,14,0,,1,1.79,27,10,+17,+1.21,+0.01,25.4,10.8,+14.6,+1.04,+0.02,Virgil van Dijk,DF
2018-2019,27,Liverpool,eng ENG,1. Premier League,2nd,38,3384,89,98.9,37.6,38,89,37,0,,0,2.55,89,22,+67,+1.78,+1.78,73.6,28.8,+44.8,+1.19,+0.84,Virgil van Dijk,DF
2019-2020,28,Liverpool,eng ENG,1. Premier League,1st,38,3420,90,100.0,38.0,38,90,38,0,,0,2.61,85,33,+52,+1.37,,68.9,37.7,+31.2,+0.82,,Virgil van Dijk,DF
2020-2021,29,Liverpool,eng ENG,1. Premier League,3rd,5,370,74,10.8,4.1,5,74,4,0,,0,2.00,12,11,+1,+0.24,-0.49,10.0,5.2,+4.8,+1.18,+0.59,Virgil van Dijk,DF
2021-2022,30,Liverpool,eng ENG,1. Premier League,2nd,34,3060,90,89.5,34.0,34,90,34,0,,1,2.41,84,21,+63,+1.85,+0.60,80.9,29.1,+51.8,+1.52,+0.75,Virgil van Dijk,DF
2022-2023,31,Liverpool,eng ENG,1. Premier League,5th,32,2835,89,82.9,31.5,32,89,31,0,,1,1.91,68,36,+32,+1.02,+1.63,59.9,40.5,+19.5,+0.62,+0.42,Virgil van Dijk,DF
