Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,Position
2010-2011,19,Groningen,nl NED,1. Eredivisie,5th,0.4,,,,,,,,,,,,,,,,,,,,,,,Virgil van Dijk,DF
2011-2012,20,Groningen,nl NED,1. Eredivisie,14th,21.8,,,,,,,,,,,,,,,,,,,,,,,Virgil van Dijk,DF
2012-2013,21,Groningen,nl NED,1. Eredivisie,7th,30.9,,,,,,,,,,,,,,,,,,,,,,,Virgil van Dijk,DF
2013-2014,22,Celtic,sct SCO,1. Premiership,1st,34.1,,,,,,,,,,,,,,,,,,,,,,,Virgil van Dijk,DF
2014-2015,23,Celtic,sct SCO,1. Premiership,1st,35.0,,,,,,,,,,,,,,,,,,,,,,,Virgil van Dijk,DF
2015-2016,24,Celtic,sct SCO,1. Premiership,1st,5.0,,,,,,,,,,,,,,,,,,,,,,,Virgil van Dijk,DF
2015-2016,24,Southampton,eng ENG,1. Premier League,6th,34.0,,,,,,,,,,,,,,,,,,,,,,,Virgil van Dijk,DF
2016-2017,25,Southampton,eng ENG,1. Premier League,8th,20.6,,,,,,,,,,,,,,,,,,,,,,,Virgil van Dijk,DF
2017-2018,26,Southampton,eng ENG,1. Premier League,17th,11.0,793,75,348,404,51,23,793,5,5,100.0,0,0.0,483,2481,1465,17,8,1,3,3,483,8,Virgil van Dijk,DF
2017-2018,26,Southampton,eng ENG,Jr. PL2 — Div. 2,6th,2.0,,,,,,,,,,,,,,,,,,,,,,,Virgil van Dijk,DF
2017-2018,26,Liverpool,eng ENG,1. Premier League,4th,14.0,1285,73,459,787,44,17,1285,1,0,0.0,1,100.0,737,3682,2206,11,8,1,2,2,906,6,Virgil van Dijk,DF
2018-2019,27,Liverpool,eng ENG,1. Premier League,2nd,37.6,3418,240,1291,2005,130,66,3418,12,9,75.0,3,25.0,2252,9579,5046,20,21,2,7,1,2421,20,Virgil van Dijk,DF
2019-2020,28,Liverpool,eng ENG,1. Premier League,1st,38.0,3588,315,1365,2126,102,49,3588,4,3,75.0,1,25.0,2484,9365,4594,21,19,3,2,2,2580,14,Virgil van Dijk,DF
2020-2021,29,Liverpool,eng ENG,1. Premier League,3rd,4.1,364,23,123,231,12,5,364,0,0,,0,,282,1153,527,0,1,0,1,0,295,1,Virgil van Dijk,DF
2021-2022,30,Liverpool,eng ENG,1. Premier League,2nd,34.0,2894,300,1296,1514,90,57,2894,8,6,75.0,2,25.0,1717,6530,3379,11,4,0,5,3,2096,4,Virgil van Dijk,DF
2022-2023,31,Liverpool,eng ENG,1. Premier League,5th,31.5,2876,361,1327,1427,128,66,2876,2,2,100.0,0,0.0,1760,6644,3152,10,14,2,7,0,2085,8,Virgil van Dijk,DF
2023-2024,32,Liverpool,eng ENG,1. Premier League,3rd,35.3,3235,384,1339,1757,146,78,3235,5,2,40.0,2,40.0,1981,9779,5235,32,19,0,7,4,2263,7,Virgil van Dijk,DF
2024-2025,33,Liverpool,eng ENG,1. Premier League,1st,19.0,1644,235,707,881,62,26,1644,4,3,75.0,1,25.0,931,4068,2036,4,7,1,3,2,1146,4,Virgil van Dijk,DF
2012-2013,20,Basel,ch SUI,1. Super Lg,1st,16.0,,,,,,,,,,,,,,,,,,,,,,,Mohamed Salah,FW
2013-2014,21,Basel,ch SUI,1. Super Lg,1st,12.8,,,,,,,,,,,,,,,,,,,,,,,Mohamed Salah,FW
2013-2014,21,Chelsea,eng ENG,1. Premier League,3rd,5.6,,,,,,,,,,,,,,,,,,,,,,,Mohamed Salah,FW
2014-2015,22,Chelsea,eng ENG,1. Premier League,1st,0.4,,,,,,,,,,,,,,,,,,,,,,,Mohamed Salah,FW
2014-2015,22,Fiorentina,it ITA,1. Serie A,4th,10.1,,,,,,,,,,,,,,,,,,,,,,,Mohamed Salah,FW
2015-2016,23,Roma,it ITA,1. Serie A,3rd,30.3,,,,,,,,,,,,,,,,,,,,,,,Mohamed Salah,FW
2016-2017,24,Roma,it ITA,1. Serie A,2nd,27.5,,,,,,,,,,,,,,,,,,,,,,,Mohamed Salah,FW
2017-2018,25,Liverpool,eng ENG,1. Premier League,4th,32.3,1438,3,70,418,970,243,1436,126,79,62.7,46,36.5,944,6003,2729,95,52,55,105,95,1116,393,Mohamed Salah,FW
2018-2019,26,Liverpool,eng ENG,1. Premier League,2nd,36.1,1590,5,55,465,1087,272,1587,151,80,53.0,71,47.0,1216,7481,3747,131,91,96,109,119,1272,429,Mohamed Salah,FW
2019-2020,27,Liverpool,eng ENG,1. Premier League,1st,32.0,1368,4,59,385,935,291,1365,83,50,60.2,33,39.8,1037,5484,2722,105,51,72,88,67,1090,347,Mohamed Salah,FW
2020-2021,28,Liverpool,eng ENG,1. Premier League,3rd,34.2,1695,11,65,569,1073,275,1689,84,36,42.9,48,57.1,1185,6086,3034,111,71,72,116,82,1420,396,Mohamed Salah,FW
2021-2022,29,Liverpool,eng ENG,1. Premier League,2nd,30.7,1552,7,55,455,1056,301,1546,124,53,42.7,71,57.3,1030,5898,2909,125,57,97,99,81,1300,451,Mohamed Salah,FW
2022-2023,30,Liverpool,eng ENG,1. Premier League,5th,36.6,1634,4,83,539,1028,301,1630,135,51,37.8,72,53.3,1108,6393,3036,120,66,87,110,79,1305,421,Mohamed Salah,FW
2023-2024,31,Liverpool,eng ENG,1. Premier League,3rd,28.2,1359,4,47,460,866,241,1352,77,27,35.1,49,63.6,977,5309,2614,98,54,66,77,59,1116,341,Mohamed Salah,FW
2024-2025,32,Liverpool,eng ENG,1. Premier League,1st,18.6,791,9,43,239,519,180,786,66,33,50.0,31,47.0,576,3581,1758,79,30,68,54,38,692,224,Mohamed Salah,FW
2018-2019,16,Ajax,nl NED,1. Eredivisie,1st,0.1,6,0,1,1,4,0,6,1,1,100.0,0,0.0,4,14,10,0,1,0,0,0,3,0,Ryan Gravenberch,MF
2018-2019,16,Jong Ajax,nl NED,2. Eerste Divisie,11th,25.7,,,,,,,,,,,,,,,,,,,,,,,Ryan Gravenberch,MF
2019-2020,17,Jong Ajax,nl NED,2. Eerste Divisie,4th,16.5,,,,,,,,,,,,,,,,,,,,,,,Ryan Gravenberch,MF
2019-2020,17,Ajax,nl NED,1. Eredivisie,1st,5.3,447,5,40,271,140,18,447,22,20,90.9,2,9.1,284,1795,993,20,17,5,19,6,330,16,Ryan Gravenberch,MF
2020-2021,18,Ajax,nl NED,1. Eredivisie,1st,29.0,2601,46,301,1566,763,52,2601,81,51,63.0,30,37.0,1683,10092,5415,95,98,14,67,36,1977,97,Ryan Gravenberch,MF
2021-2022,19,Ajax,nl NED,1. Eredivisie,1st,24.5,1872,37,237,927,734,92,1872,95,64,67.4,31,32.6,1233,7542,3924,92,72,27,66,26,1352,148,Ryan Gravenberch,MF
2022-2023,20,Bayern Munich,de GER,1. Bundesliga,1st,6.4,483,12,68,269,155,11,483,19,11,57.9,6,31.6,301,1632,729,11,18,1,21,13,344,31,Ryan Gravenberch,MF
2023-2024,21,Bayern Munich,de GER,1. Bundesliga,3rd,0.1,7,0,0,3,4,2,7,1,1,100.0,0,0.0,3,16,9,0,0,0,0,0,5,3,Ryan Gravenberch,MF
2023-2024,21,Liverpool,eng ENG,1. Premier League,3rd,12.5,696,17,84,347,272,42,696,50,23,46.0,22,44.0,432,2458,1369,39,28,10,46,13,472,71,Ryan Gravenberch,MF
2024-2025,22,Liverpool,eng ENG,1. Premier League,1st,18.3,1295,59,260,770,280,16,1295,40,19,47.5,14,35.0,804,4187,2129,39,42,5,25,11,954,29,Ryan Gravenberch,MF
2016-2017,17,Liverpool,eng ENG,Jr. PL2 — Div. 1,3rd,11.9,,,,,,,,,,,,,,,,,,,,,,,Trent Alexander-Arnold,DF
2016-2017,17,Liverpool,eng ENG,1. Premier League,4th,1.9,,,,,,,,,,,,,,,,,,,,,,,Trent Alexander-Arnold,DF
2017-2018,18,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,1.0,,,,,,,,,,,,,,,,,,,,,,,Trent Alexander-Arnold,DF
2017-2018,18,Liverpool,eng ENG,1. Premier League,4th,17.5,1487,39,374,718,409,28,1487,33,20,60.6,13,39.4,743,3232,1791,39,38,9,18,13,910,126,Trent Alexander-Arnold,DF
2018-2019,19,Liverpool,eng ENG,1. Premier League,2nd,27.4,2514,70,528,1210,798,39,2514,27,14,51.9,13,48.1,1416,5548,3296,70,64,7,41,14,1538,174,Trent Alexander-Arnold,DF
2019-2020,20,Liverpool,eng ENG,1. Premier League,1st,35.3,3582,99,825,1590,1193,54,3582,51,21,41.2,30,58.8,2136,9096,5332,98,113,16,47,12,2281,226,Trent Alexander-Arnold,DF
2020-2021,21,Liverpool,eng ENG,1. Premier League,3rd,33.7,3318,73,699,1494,1151,81,3318,61,32,52.5,29,47.5,1992,9462,5442,98,95,24,31,22,2202,249,Trent Alexander-Arnold,DF
2021-2022,22,Liverpool,eng ENG,1. Premier League,2nd,31.7,3036,71,602,1386,1070,83,3036,39,19,48.7,20,51.3,1504,5687,2824,53,55,14,41,19,1897,201,Trent Alexander-Arnold,DF
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,32.5,3180,89,737,1631,837,44,3180,45,30,66.7,13,28.9,1778,6848,3312,43,39,8,35,21,2042,139,Trent Alexander-Arnold,DF
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,23.9,2296,75,523,1217,582,34,2296,52,28,53.8,21,40.4,1250,5701,2724,45,48,7,27,6,1492,97,Trent Alexander-Arnold,DF
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,15.5,1258,52,346,554,365,23,1258,15,5,33.3,9,60.0,650,3149,1736,36,26,5,15,11,794,57,Trent Alexander-Arnold,DF
2013-2014,19,Dundee United,sct SCO,1. Premiership,4th,36.0,,,,,,,,,,,,,,,,,,,,,,,Andrew Robertson,DF
2014-2015,20,Hull City,eng ENG,1. Premier League,18th,17.0,,,,,,,,,,,,,,,,,,,,,,,Andrew Robertson,DF
2015-2016,21,Hull City,eng ENG,2. Championship,4th,39.6,,,,,,,,,,,,,,,,,,,,,,,Andrew Robertson,DF
