Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Player,Position
2010-2011,19,Groningen,nl NED,1. Eredivisie,5th,0.4,0,,0,,,0.00,,,,,0,0,,,,,,Virgil van Dijk,DF
2011-2012,20,Groningen,nl NED,1. Eredivisie,14th,21.8,3,,22,,,1.01,,0.14,,,0,0,,,,,,Virgil van Dijk,DF
2012-2013,21,Groningen,nl NED,1. Eredivisie,7th,30.9,2,,18,,,0.58,,0.11,,,0,0,,,,,,Virgil van Dijk,DF
2013-2014,22,Celtic,sct SCO,1. Premiership,1st,34.1,5,,7,,,0.21,,0.71,,,0,0,,,,,,Virgil van Dijk,DF
2014-2015,23,Celtic,sct SCO,1. Premiership,1st,35.0,4,,13,,,0.37,,0.31,,,0,0,,,,,,Virgil van Dijk,DF
2015-2016,24,Celtic,sct SCO,1. Premiership,1st,5.0,0,,1,,,0.20,,0.00,,,0,0,,,,,,Virgil van Dijk,DF
2015-2016,24,Southampton,eng ENG,1. Premier League,6th,34.0,3,,10,,,0.29,,0.30,,,0,0,,,,,,Virgil van Dijk,DF
2016-2017,25,Southampton,eng ENG,1. Premier League,8th,20.6,1,17,5,29.4,0.83,0.24,0.06,0.20,,,0,0,,,,,,Virgil van Dijk,DF
2017-2018,26,Southampton,eng ENG,1. Premier League,17th,11.0,0,11,0,0.0,1.00,0.00,0.00,,12.9,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Virgil van Dijk,DF
2017-2018,26,Southampton,eng ENG,Jr. PL2 — Div. 2,6th,2.0,1,,,,,,,,,,0,0,,,,,,Virgil van Dijk,DF
2017-2018,26,Liverpool,eng ENG,1. Premier League,4th,14.0,0,16,6,37.5,1.14,0.43,0.00,0.00,15.7,1,0,0,1.2,1.2,0.07,-1.2,-1.2,Virgil van Dijk,DF
2018-2019,27,Liverpool,eng ENG,1. Premier League,2nd,37.6,4,31,8,25.8,0.82,0.21,0.13,0.50,12.9,1,0,0,3.1,3.1,0.10,+0.9,+0.9,Virgil van Dijk,DF
2019-2020,28,Liverpool,eng ENG,1. Premier League,1st,38.0,5,31,14,45.2,0.82,0.37,0.16,0.36,11.8,0,0,0,2.9,2.9,0.09,+2.1,+2.1,Virgil van Dijk,DF
2020-2021,29,Liverpool,eng ENG,1. Premier League,3rd,4.1,1,4,2,50.0,0.97,0.49,0.25,0.50,14.8,0,0,0,0.2,0.2,0.06,+0.8,+0.8,Virgil van Dijk,DF
2021-2022,30,Liverpool,eng ENG,1. Premier League,2nd,34.0,3,35,14,40.0,1.03,0.41,0.09,0.21,13.3,1,0,0,2.0,2.0,0.06,+1.0,+1.0,Virgil van Dijk,DF
2022-2023,31,Liverpool,eng ENG,1. Premier League,5th,31.5,3,30,9,30.0,0.95,0.29,0.10,0.33,12.8,0,0,0,2.6,2.6,0.09,+0.4,+0.4,Virgil van Dijk,DF
2023-2024,32,Liverpool,eng ENG,1. Premier League,3rd,35.3,2,45,14,31.1,1.27,0.40,0.04,0.14,12.6,1,0,0,2.8,2.8,0.06,-0.8,-0.8,Virgil van Dijk,DF
2024-2025,33,Liverpool,eng ENG,1. Premier League,1st,19.0,1,14,5,35.7,0.74,0.26,0.07,0.20,13.3,1,0,0,1.3,1.3,0.09,-0.3,-0.3,Virgil van Dijk,DF
2012-2013,20,Basel,ch SUI,1. Super Lg,1st,16.0,5,,14,,,0.87,,,,,,,,,,,,Mohamed Salah,FW
2013-2014,21,Basel,ch SUI,1. Super Lg,1st,12.8,4,,14,,,1.10,,0.29,,,0,0,,,,,,Mohamed Salah,FW
2013-2014,21,Chelsea,eng ENG,1. Premier League,3rd,5.6,2,,6,,,1.08,,0.33,,,0,0,,,,,,Mohamed Salah,FW
2014-2015,22,Chelsea,eng ENG,1. Premier League,1st,0.4,0,,0,,,0.00,,,,,0,0,,,,,,Mohamed Salah,FW
2014-2015,22,Fiorentina,it ITA,1. Serie A,4th,10.1,6,,13,,,1.29,,0.46,,,0,0,,,,,,Mohamed Salah,FW
2015-2016,23,Roma,it ITA,1. Serie A,3rd,30.3,14,,32,,,1.06,,0.44,,,0,0,,,,,,Mohamed Salah,FW
2016-2017,24,Roma,it ITA,1. Serie A,2nd,27.5,15,80,34,42.5,2.91,1.24,0.19,0.44,,,0,0,,,,,,Mohamed Salah,FW
2017-2018,25,Liverpool,eng ENG,1. Premier League,4th,32.3,32,142,64,45.1,4.40,1.98,0.22,0.48,15.3,4,1,2,24.1,22.6,0.16,+7.9,+8.4,Mohamed Salah,FW
2018-2019,26,Liverpool,eng ENG,1. Premier League,2nd,36.1,22,134,60,44.8,3.71,1.66,0.14,0.32,16.9,3,3,3,20.2,17.9,0.13,+1.8,+1.1,Mohamed Salah,FW
2019-2020,27,Liverpool,eng ENG,1. Premier League,1st,32.0,19,129,56,43.4,4.04,1.75,0.12,0.29,15.0,4,3,3,19.0,16.6,0.13,0.0,-0.6,Mohamed Salah,FW
2020-2021,28,Liverpool,eng ENG,1. Premier League,3rd,34.2,22,120,46,38.3,3.51,1.35,0.13,0.35,16.4,1,6,6,19.3,14.6,0.12,+2.7,+1.4,Mohamed Salah,FW
2021-2022,29,Liverpool,eng ENG,1. Premier League,2nd,30.7,23,133,49,36.8,4.33,1.60,0.14,0.37,15.8,1,5,6,22.7,17.8,0.13,+0.3,+0.2,Mohamed Salah,FW
2022-2023,30,Liverpool,eng ENG,1. Premier League,5th,36.6,19,121,45,37.2,3.31,1.23,0.14,0.38,15.1,2,2,4,21.6,18.5,0.15,-2.6,-1.5,Mohamed Salah,FW
2023-2024,31,Liverpool,eng ENG,1. Premier League,3rd,28.2,18,107,47,43.9,3.80,1.67,0.12,0.28,15.5,1,5,7,21.2,15.5,0.15,-3.2,-2.5,Mohamed Salah,FW
2024-2025,32,Liverpool,eng ENG,1. Premier League,1st,18.6,18,69,33,47.8,3.71,1.78,0.19,0.39,14.5,1,5,5,16.4,12.5,0.18,+1.6,+0.5,Mohamed Salah,FW
2018-2019,16,Ajax,nl NED,1. Eredivisie,1st,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Ryan Gravenberch,MF
2018-2019,16,Jong Ajax,nl NED,2. Eerste Divisie,11th,25.7,2,,,,,,,,,,0,0,,,,,,Ryan Gravenberch,MF
2019-2020,17,Jong Ajax,nl NED,2. Eerste Divisie,4th,16.5,6,37,15,40.5,2.24,0.91,0.16,0.40,,,0,0,,,,,,Ryan Gravenberch,MF
2019-2020,17,Ajax,nl NED,1. Eredivisie,1st,5.3,2,6,3,50.0,1.12,0.56,0.33,0.67,15.0,0,0,0,0.9,0.9,0.14,+1.1,+1.1,Ryan Gravenberch,MF
2020-2021,18,Ajax,nl NED,1. Eredivisie,1st,29.0,3,47,17,36.2,1.62,0.59,0.06,0.18,23.7,4,0,0,2.4,2.4,0.05,+0.6,+0.6,Ryan Gravenberch,MF
2021-2022,19,Ajax,nl NED,1. Eredivisie,1st,24.5,2,49,16,32.7,2.00,0.65,0.04,0.13,21.8,2,0,0,4.2,4.2,0.09,-2.2,-2.2,Ryan Gravenberch,MF
