Season,Age,Squad,Country,Comp,LgRank,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Player,Position
2012-2013,20,Lierse,be BEL,1. Pro League,14th,30.0,53,,,,,,,,,,,,,,,,,,,,,,,,,Matz Sels,GK
2013-2014,21,Gent,be BEL,1. Pro League,7th,15.0,14,,,,,,,,,,,,,,,,,,,,,,,,,Matz Sels,GK
2014-2015,22,Gent,be BEL,1. Pro League,1st,39.0,38,,,,,,,,,,,,,,,,,,,,,,,,,Matz Sels,GK
2015-2016,23,Gent,be BEL,1. Pro League,3rd,40.0,44,,,,,,,,,,,,,,,,,,,,,,,,,Matz Sels,GK
2016-2017,24,Newcastle Utd,eng ENG,2. Championship,1st,9.0,7,1,,,,,,,,,,,,,,,,,,,,,,,,Matz Sels,GK
2017-2018,25,Anderlecht,be BEL,1. First Division A,3rd,32.0,44,3,0,7,3,46.1,0.29,+5.1,+0.16,205,484,42.4,682,156,46.9,39.7,230,71.3,53.5,482,17,3.5,28,0.88,13.6,Matz Sels,GK
2018-2019,26,Strasbourg,fr FRA,1. Ligue 1,11th,37.0,48,7,3,4,1,45.0,0.25,-2.0,-0.05,256,649,39.4,815,186,48.3,39.3,327,78.0,55.1,566,26,4.6,30,0.81,12.3,Matz Sels,GK
2019-2020,27,Strasbourg,fr FRA,1. Ligue 1,10th,27.0,32,6,0,3,0,33.4,0.26,+1.4,+0.05,199,458,43.4,651,111,49.3,39.6,201,68.2,51.3,335,17,5.1,9,0.33,11.0,Matz Sels,GK
2020-2021,28,Strasbourg,fr FRA,1. Ligue 1,15th,6.0,13,2,1,3,0,9.2,0.29,-3.8,-0.63,38,101,37.6,124,25,51.6,40.1,50,74.0,54.9,85,4,4.7,2,0.33,7.7,Matz Sels,GK
2021-2022,29,Strasbourg,fr FRA,1. Ligue 1,6th,37.0,43,4,0,5,1,35.0,0.24,-7.0,-0.19,164,401,40.9,718,145,39.1,34.3,239,50.2,40.6,476,13,2.7,39,1.05,13.7,Matz Sels,GK
2022-2023,30,Strasbourg,fr FRA,1. Ligue 1,15th,38.0,59,10,1,6,0,56.5,0.27,-2.5,-0.06,159,455,34.9,775,130,44.8,36.9,196,55.1,43.9,504,31,6.2,32,0.84,12.8,Matz Sels,GK
2023-2024,31,Strasbourg,fr FRA,1. Ligue 1,13th,19.0,24,1,0,2,2,20.0,0.31,-2.0,-0.11,88,226,38.9,505,68,37.4,34.5,113,32.7,33.7,257,6,2.3,19,1.00,13.9,Matz Sels,GK
2023-2024,31,Nott'ham Forest,eng ENG,1. Premier League,17th,16.0,27,1,0,9,2,17.2,0.27,-7.8,-0.49,75,179,41.9,283,51,45.9,36.6,93,52.7,41.4,223,11,4.9,4,0.25,9.4,Matz Sels,GK
2024-2025,32,Nott'ham Forest,eng ENG,1. Premier League,3rd,19.0,19,1,1,1,0,19.3,0.26,+0.3,+0.01,128,358,35.8,363,38,69.1,45.0,135,79.3,55.1,328,13,4.0,4,0.21,7.6,Matz Sels,GK
