Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2012-2013,20,Lierse,be BEL,1. Pro League,14th,30.0,,,,,,,,,,,,,,,,,Matz Sels,GK
2013-2014,21,Gent,be BEL,1. Pro League,7th,15.0,,,,,,,,,,,,,,,,,Matz Sels,GK
2014-2015,22,Gent,be BEL,1. Pro League,1st,39.0,,,,,,,,,,,,,,,,,Matz Sels,GK
2015-2016,23,Gent,be BEL,1. Pro League,3rd,40.0,,,,,,,,,,,,,,,,,Matz Sels,GK
2016-2017,24,Newcastle Utd,eng ENG,2. Championship,1st,9.0,,0,,,,,,,,,,,0,,,,Matz Sels,GK
2017-2018,25,Anderlecht,be BEL,1. First Division A,3rd,32.0,1,0,0,1,0,1,1,100.0,0,1,0,1,1,2,16,4,Matz Sels,GK
2018-2019,26,Strasbourg,fr FRA,1. Ligue 1,11th,37.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,24,1,Matz Sels,GK
2019-2020,27,Strasbourg,fr FRA,1. Ligue 1,10th,27.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,6,0,Matz Sels,GK
2020-2021,28,Strasbourg,fr FRA,1. Ligue 1,15th,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matz Sels,GK
2021-2022,29,Strasbourg,fr FRA,1. Ligue 1,6th,37.0,1,1,1,0,0,0,0,,0,0,0,0,1,2,22,0,Matz Sels,GK
2022-2023,30,Strasbourg,fr FRA,1. Ligue 1,15th,38.0,4,3,4,0,0,4,4,100.0,0,0,0,0,4,8,23,0,Matz Sels,GK
2023-2024,31,Strasbourg,fr FRA,1. Ligue 1,13th,19.0,0,0,0,0,0,0,0,,0,2,0,2,0,0,13,1,Matz Sels,GK
2023-2024,31,Nott'ham Forest,eng ENG,1. Premier League,17th,16.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,1,Matz Sels,GK
2024-2025,32,Nott'ham Forest,eng ENG,1. Premier League,3rd,19.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,12,0,Matz Sels,GK
2016-2017,19,Chelsea,eng ENG,1. Premier League,1st,0.3,,0,,,,,,,,,,,0,,,,Ola Aina,DF
2016-2017,19,Chelsea,eng ENG,Jr. PL2 — Div. 1,5th,3.0,,,,,,,,,,,,,,,,,Ola Aina,DF
2017-2018,20,Hull City,eng ENG,2. Championship,18th,42.5,,63,,,,,,,,,,,88,,,,Ola Aina,DF
2018-2019,21,Torino,it ITA,1. Serie A,7th,24.0,54,36,32,20,2,23,48,47.9,25,30,3,27,39,93,59,2,Ola Aina,DF
2019-2020,22,Torino,it ITA,1. Serie A,16th,23.1,45,24,23,18,4,17,37,45.9,20,24,6,18,41,86,61,0,Ola Aina,DF
2020-2021,23,Fulham,eng ENG,1. Premier League,18th,29.6,37,20,22,7,8,21,43,48.8,22,22,6,16,45,82,94,2,Ola Aina,DF
2021-2022,24,Torino,it ITA,1. Serie A,10th,16.0,27,19,11,10,6,15,23,65.2,8,17,3,14,28,55,30,0,Ola Aina,DF
2022-2023,25,Torino,it ITA,1. Serie A,10th,9.7,17,13,5,8,4,9,15,60.0,6,12,2,10,11,28,26,0,Ola Aina,DF
2023-2024,26,Nott'ham Forest,eng ENG,1. Premier League,17th,18.8,47,31,31,12,4,29,41,70.7,12,19,3,16,18,65,51,1,Ola Aina,DF
2024-2025,27,Nott'ham Forest,eng ENG,1. Premier League,3rd,18.3,39,28,29,9,1,25,40,62.5,15,18,5,13,24,63,53,1,Ola Aina,DF
2015-2016,17,Partizan,rs SRB,1. SuperLiga,2nd,3.3,,,,,,,,,,,,,,,,,Nikola Milenković,DF
2016-2017,18,Partizan,rs SRB,1. SuperLiga,1st,32.0,,0,,,,,,,,,,,0,,,,Nikola Milenković,DF
2017-2018,19,Fiorentina,it ITA,1. Serie A,8th,13.9,39,25,20,16,3,16,29,55.2,13,18,8,10,23,62,70,0,Nikola Milenković,DF
2018-2019,20,Fiorentina,it ITA,1. Serie A,16th,33.4,59,40,36,21,2,17,33,51.5,16,39,21,18,48,107,143,0,Nikola Milenković,DF
2019-2020,21,Fiorentina,it ITA,1. Serie A,10th,36.2,46,25,30,16,0,11,31,35.5,20,39,21,18,29,75,129,1,Nikola Milenković,DF
2020-2021,22,Fiorentina,it ITA,1. Serie A,13th,33.7,49,29,33,14,2,21,33,63.6,12,42,33,9,44,93,122,1,Nikola Milenković,DF
2021-2022,23,Fiorentina,it ITA,1. Serie A,7th,32.5,54,32,31,20,3,29,34,85.3,5,30,15,15,39,93,94,0,Nikola Milenković,DF
2022-2023,24,Fiorentina,it ITA,1. Serie A,8th,23.7,40,25,20,17,3,18,27,66.7,9,27,14,13,22,62,72,0,Nikola Milenković,DF
2023-2024,25,Fiorentina,it ITA,1. Serie A,8th,27.9,41,21,24,14,3,22,36,61.1,14,22,14,8,27,68,95,1,Nikola Milenković,DF
2024-2025,26,Nott'ham Forest,eng ENG,1. Premier League,3rd,18.0,21,14,15,6,0,8,10,80.0,2,25,14,11,15,36,74,0,Nikola Milenković,DF
2023-2024,21,Nott'ham Forest,eng ENG,1. Premier League,17th,31.0,50,31,36,13,1,19,33,57.6,14,41,24,17,37,87,188,0,Murillo,DF
2024-2025,22,Nott'ham Forest,eng ENG,1. Premier League,3rd,17.7,25,16,19,5,1,14,26,53.8,12,39,25,14,14,39,112,1,Murillo,DF
2008-2009,16,West Brom,eng ENG,1. Premier League,20th,0.2,,,,,,,,,,,,,,,,,Chris Wood,FW
2009-2010,17,West Brom,eng ENG,2. Championship,2nd,7.9,,,,,,,,,,,,,,,,,Chris Wood,FW
2010-2011,18,West Brom,eng ENG,1. Premier League,11th,0.1,,,,,,,,,,,,,,,,,Chris Wood,FW
2010-2011,18,Barnsley,eng ENG,2. Championship,17th,3.0,,,,,,,,,,,,,,,,,Chris Wood,FW
2010-2011,18,Brighton,eng ENG,3. League One,1st,20.0,,,,,,,,,,,,,,,,,Chris Wood,FW
2011-2012,19,Bristol City,eng ENG,2. Championship,20th,13.0,,,,,,,,,,,,,,,,,Chris Wood,FW
2011-2012,19,Birmingham City,eng ENG,2. Championship,4th,12.8,,,,,,,,,,,,,,,,,Chris Wood,FW
2012-2013,20,Millwall,eng ENG,2. Championship,20th,17.7,,,,,,,,,,,,,,,,,Chris Wood,FW
2012-2013,20,Leicester City,eng ENG,2. Championship,6th,18.1,,,,,,,,,,,,,,,,,Chris Wood,FW
2013-2014,21,Leicester City,eng ENG,2. Championship,1st,10.3,,,,,,,,,,,,,,,,,Chris Wood,FW
2014-2015,22,Leicester City,eng ENG,1. Premier League,14th,1.3,,,,,,,,,,,,,,,,,Chris Wood,FW
2014-2015,22,Ipswich Town,eng ENG,2. Championship,6th,3.0,,,,,,,,,,,,,,,,,Chris Wood,FW
2015-2016,23,Leeds United,eng ENG,2. Championship,13th,32.0,,,,,,,,,,,,,,,,,Chris Wood,FW
2016-2017,24,Leeds United,eng ENG,2. Championship,7th,40.2,,0,,,,,,,,,,,0,,,,Chris Wood,FW
2017-2018,25,Leeds United,eng ENG,2. Championship,13th,3.0,,0,,,,,,,,,,,0,,,,Chris Wood,FW
2017-2018,25,Burnley,eng ENG,1. Premier League,7th,18.0,7,3,2,3,2,3,13,23.1,10,12,4,8,0,7,16,0,Chris Wood,FW
2018-2019,26,Burnley,eng ENG,1. Premier League,15th,28.8,12,8,0,7,5,5,17,29.4,12,17,4,13,3,15,26,0,Chris Wood,FW
2019-2020,27,Burnley,eng ENG,1. Premier League,10th,27.1,7,4,2,4,1,5,15,33.3,10,15,2,13,4,11,18,0,Chris Wood,FW
2020-2021,28,Burnley,eng ENG,1. Premier League,17th,30.5,12,7,2,4,6,5,18,27.8,13,14,3,11,1,13,21,0,Chris Wood,FW
2021-2022,29,Burnley,eng ENG,1. Premier League,18th,15.2,7,5,0,3,4,3,10,30.0,7,13,4,9,0,7,3,0,Chris Wood,FW
2021-2022,29,Newcastle Utd,eng ENG,1. Premier League,11th,14.7,2,0,1,1,0,1,2,50.0,1,5,2,3,2,4,9,0,Chris Wood,FW
2022-2023,30,Newcastle Utd,eng ENG,1. Premier League,4th,5.0,5,4,0,3,2,3,5,60.0,2,2,2,0,1,6,7,0,Chris Wood,FW
2022-2023,30,Nott'ham Forest,eng ENG,1. Premier League,16th,4.1,0,0,0,0,0,0,1,0.0,1,2,1,1,1,1,2,0,Chris Wood,FW
