Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Player,Position
2012-2013,20,Lierse,be BEL,1. Pro League,14th,30,30,2700,30.0,53,1.77,175,122,69.7,5,11,14,5,16.7,,,,,,Matz Sels,GK
2013-2014,21,Gent,be BEL,1. Pro League,7th,15,15,1350,15.0,14,0.93,56,42,75.0,9,3,3,3,20.0,,,,,,Matz Sels,GK
2014-2015,22,Gent,be BEL,1. Pro League,1st,39,39,3510,39.0,38,0.97,141,103,73.0,22,11,6,14,35.9,,,,,,Matz Sels,GK
2015-2016,23,Gent,be BEL,1. Pro League,3rd,40,40,3600,40.0,44,1.10,148,104,70.3,20,12,8,14,35.0,,,,,,Matz Sels,GK
2016-2017,24,Newcastle Utd,eng ENG,2. Championship,1st,9,9,810,9.0,7,0.78,26,19,76.9,5,1,3,4,44.4,1,1,0,0,0.0,Matz Sels,GK
2017-2018,25,Anderlecht,be BEL,1. First Division A,3rd,32,32,2880,32.0,44,1.37,141,97,70.9,14,7,11,9,28.1,6,3,3,0,50.0,Matz Sels,GK
2018-2019,26,Strasbourg,fr FRA,1. Ligue 1,11th,37,37,3330,37.0,48,1.30,148,99,72.3,10,16,11,8,21.6,9,7,2,0,22.2,Matz Sels,GK
2019-2020,27,Strasbourg,fr FRA,1. Ligue 1,10th,27,27,2430,27.0,32,1.19,104,71,75.0,11,5,11,8,29.6,7,6,1,0,14.3,Matz Sels,GK
2020-2021,28,Strasbourg,fr FRA,1. Ligue 1,15th,6,6,540,6.0,13,2.17,26,13,57.7,1,2,3,0,0.0,2,2,0,0,0.0,Matz Sels,GK
2021-2022,29,Strasbourg,fr FRA,1. Ligue 1,6th,37,37,3330,37.0,43,1.16,130,88,70.0,16,12,9,13,35.1,4,4,0,0,0.0,Matz Sels,GK
2022-2023,30,Strasbourg,fr FRA,1. Ligue 1,15th,38,38,3420,38.0,59,1.55,174,115,71.8,9,13,16,6,15.8,11,10,0,1,0.0,Matz Sels,GK
2023-2024,31,Strasbourg,fr FRA,1. Ligue 1,13th,19,19,1710,19.0,24,1.26,62,40,62.9,6,7,6,3,15.8,1,1,0,0,0.0,Matz Sels,GK
2023-2024,31,Nott'ham Forest,eng ENG,1. Premier League,17th,16,16,1440,16.0,27,1.69,61,36,57.4,4,4,8,1,6.3,1,1,0,0,0.0,Matz Sels,GK
2024-2025,32,Nott'ham Forest,eng ENG,1. Premier League,3rd,19,19,1710,19.0,19,1.00,72,53,75.0,11,4,4,8,42.1,1,1,0,0,0.0,Matz Sels,GK
