Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2012-2013,20,Lierse,be BEL,1. Pro League,14th,30.0,,,,,,,,,,,,,,,,,Matz Sels,GK
2013-2014,21,Gent,be BEL,1. Pro League,7th,15.0,,,,,,,,,,,,,,,,,Matz Sels,GK
2014-2015,22,Gent,be BEL,1. Pro League,1st,39.0,,,,,,,,,,,,,,,,,Matz Sels,GK
2015-2016,23,Gent,be BEL,1. Pro League,3rd,40.0,,,,,,,,,,,,,,,,,Matz Sels,GK
2016-2017,24,Newcastle Utd,eng ENG,2. Championship,1st,9.0,,,,,,,,,,,,,,,,,Matz Sels,GK
2017-2018,25,Anderlecht,be BEL,1. First Division A,3rd,32.0,6,0.19,1,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Matz Sels,GK
2018-2019,26,Strasbourg,fr FRA,1. Ligue 1,11th,37.0,4,0.11,1,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matz Sels,GK
2019-2020,27,Strasbourg,fr FRA,1. Ligue 1,10th,27.0,4,0.15,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matz Sels,GK
2020-2021,28,Strasbourg,fr FRA,1. Ligue 1,15th,6.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matz Sels,GK
2021-2022,29,Strasbourg,fr FRA,1. Ligue 1,6th,37.0,4,0.11,1,1,0,2,0,0,0,0.00,0,0,0,0,0,0,Matz Sels,GK
2022-2023,30,Strasbourg,fr FRA,1. Ligue 1,15th,38.0,4,0.11,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matz Sels,GK
2023-2024,31,Strasbourg,fr FRA,1. Ligue 1,13th,19.0,2,0.11,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matz Sels,GK
2023-2024,31,Nott'ham Forest,eng ENG,1. Premier League,17th,16.0,1,0.06,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matz Sels,GK
2024-2025,32,Nott'ham Forest,eng ENG,1. Premier League,3rd,19.0,4,0.21,1,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matz Sels,GK
2016-2017,19,Chelsea,eng ENG,1. Premier League,1st,0.3,,,,,,,,,,,,,,,,,Ola Aina,DF
2016-2017,19,Chelsea,eng ENG,Jr. PL2 — Div. 1,5th,3.0,,,,,,,,,,,,,,,,,Ola Aina,DF
2017-2018,20,Hull City,eng ENG,2. Championship,18th,42.5,,,,,,,,,,,,,,,,,Ola Aina,DF
2018-2019,21,Torino,it ITA,1. Serie A,7th,24.0,57,2.37,37,6,7,1,4,2,5,0.21,3,1,0,0,1,0,Ola Aina,DF
2019-2020,22,Torino,it ITA,1. Serie A,16th,23.1,55,2.38,31,12,4,1,7,0,6,0.26,3,1,0,0,2,0,Ola Aina,DF
2020-2021,23,Fulham,eng ENG,1. Premier League,18th,29.6,27,0.91,23,3,0,0,1,0,4,0.14,4,0,0,0,0,0,Ola Aina,DF
2021-2022,24,Torino,it ITA,1. Serie A,10th,16.0,37,2.32,29,2,3,0,3,0,1,0.06,1,0,0,0,0,0,Ola Aina,DF
2022-2023,25,Torino,it ITA,1. Serie A,10th,9.7,27,2.77,21,2,3,0,1,0,3,0.31,2,0,1,0,0,0,Ola Aina,DF
2023-2024,26,Nott'ham Forest,eng ENG,1. Premier League,17th,18.8,38,2.02,25,5,3,1,3,1,1,0.05,1,0,0,0,0,0,Ola Aina,DF
2024-2025,27,Nott'ham Forest,eng ENG,1. Premier League,3rd,18.3,35,1.92,28,4,1,1,0,1,1,0.05,0,0,0,0,0,1,Ola Aina,DF
2015-2016,17,Partizan,rs SRB,1. SuperLiga,2nd,3.3,,,,,,,,,,,,,,,,,Nikola Milenković,DF
2016-2017,18,Partizan,rs SRB,1. SuperLiga,1st,32.0,,,,,,,,,,,,,,,,,Nikola Milenković,DF
2017-2018,19,Fiorentina,it ITA,1. Serie A,8th,13.9,13,0.93,11,1,0,0,1,0,1,0.07,1,0,0,0,0,0,Nikola Milenković,DF
2018-2019,20,Fiorentina,it ITA,1. Serie A,16th,33.4,23,0.69,18,1,0,2,1,1,1,0.03,1,0,0,0,0,0,Nikola Milenković,DF
2019-2020,21,Fiorentina,it ITA,1. Serie A,10th,36.2,25,0.69,24,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Nikola Milenković,DF
2020-2021,22,Fiorentina,it ITA,1. Serie A,13th,33.7,23,0.68,18,1,1,3,0,0,4,0.12,2,0,0,2,0,0,Nikola Milenković,DF
2021-2022,23,Fiorentina,it ITA,1. Serie A,7th,32.5,17,0.52,14,0,0,3,0,0,1,0.03,1,0,0,0,0,0,Nikola Milenković,DF
2022-2023,24,Fiorentina,it ITA,1. Serie A,8th,23.7,24,1.01,21,0,0,3,0,0,2,0.08,2,0,0,0,0,0,Nikola Milenković,DF
2023-2024,25,Fiorentina,it ITA,1. Serie A,8th,27.9,23,0.82,18,1,0,2,2,0,1,0.04,1,0,0,0,0,0,Nikola Milenković,DF
2024-2025,26,Nott'ham Forest,eng ENG,1. Premier League,3rd,18.0,10,0.56,8,0,0,1,0,1,2,0.11,2,0,0,0,0,0,Nikola Milenković,DF
2023-2024,21,Nott'ham Forest,eng ENG,1. Premier League,17th,31.0,30,0.97,20,1,5,3,1,0,4,0.13,2,1,0,0,1,0,Murillo,DF
2024-2025,22,Nott'ham Forest,eng ENG,1. Premier League,3rd,17.7,23,1.30,17,3,0,2,0,1,1,0.06,1,0,0,0,0,0,Murillo,DF
2008-2009,16,West Brom,eng ENG,1. Premier League,20th,0.2,,,,,,,,,,,,,,,,,Chris Wood,FW
2009-2010,17,West Brom,eng ENG,2. Championship,2nd,7.9,,,,,,,,,,,,,,,,,Chris Wood,FW
2010-2011,18,West Brom,eng ENG,1. Premier League,11th,0.1,,,,,,,,,,,,,,,,,Chris Wood,FW
2010-2011,18,Barnsley,eng ENG,2. Championship,17th,3.0,,,,,,,,,,,,,,,,,Chris Wood,FW
2010-2011,18,Brighton,eng ENG,3. League One,1st,20.0,,,,,,,,,,,,,,,,,Chris Wood,FW
2011-2012,19,Bristol City,eng ENG,2. Championship,20th,13.0,,,,,,,,,,,,,,,,,Chris Wood,FW
2011-2012,19,Birmingham City,eng ENG,2. Championship,4th,12.8,,,,,,,,,,,,,,,,,Chris Wood,FW
2012-2013,20,Millwall,eng ENG,2. Championship,20th,17.7,,,,,,,,,,,,,,,,,Chris Wood,FW
2012-2013,20,Leicester City,eng ENG,2. Championship,6th,18.1,,,,,,,,,,,,,,,,,Chris Wood,FW
2013-2014,21,Leicester City,eng ENG,2. Championship,1st,10.3,,,,,,,,,,,,,,,,,Chris Wood,FW
2014-2015,22,Leicester City,eng ENG,1. Premier League,14th,1.3,,,,,,,,,,,,,,,,,Chris Wood,FW
2014-2015,22,Ipswich Town,eng ENG,2. Championship,6th,3.0,,,,,,,,,,,,,,,,,Chris Wood,FW
2015-2016,23,Leeds United,eng ENG,2. Championship,13th,32.0,,,,,,,,,,,,,,,,,Chris Wood,FW
2016-2017,24,Leeds United,eng ENG,2. Championship,7th,40.2,,,,,,,,,,,,,,,,,Chris Wood,FW
2017-2018,25,Leeds United,eng ENG,2. Championship,13th,3.0,,,,,,,,,,,,,,,,,Chris Wood,FW
2017-2018,25,Burnley,eng ENG,1. Premier League,7th,18.0,29,1.61,21,0,3,2,3,0,3,0.17,1,0,0,2,0,0,Chris Wood,FW
2018-2019,26,Burnley,eng ENG,1. Premier League,15th,28.8,48,1.67,33,1,1,9,4,0,7,0.24,5,0,0,2,0,0,Chris Wood,FW
2019-2020,27,Burnley,eng ENG,1. Premier League,10th,27.1,53,1.96,37,0,3,4,9,0,4,0.15,4,0,0,0,0,0,Chris Wood,FW
2020-2021,28,Burnley,eng ENG,1. Premier League,17th,30.5,60,1.97,50,0,3,5,2,0,10,0.33,6,0,2,1,1,0,Chris Wood,FW
2021-2022,29,Burnley,eng ENG,1. Premier League,18th,15.2,21,1.38,17,0,0,2,2,0,2,0.13,2,0,0,0,0,0,Chris Wood,FW
2021-2022,29,Newcastle Utd,eng ENG,1. Premier League,11th,14.7,25,1.70,18,0,2,2,3,0,2,0.14,1,0,0,0,1,0,Chris Wood,FW
2022-2023,30,Newcastle Utd,eng ENG,1. Premier League,4th,5.0,5,1.01,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Chris Wood,FW
