Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Player,Position
2012-2013,20,Lierse,be BEL,1. Pro League,14th,30.0,0,0,,,,,,,,,,,,,,,Matz Sels,GK
2013-2014,21,Gent,be BEL,1. Pro League,7th,15.0,0,0,,,,,,,,,,,,,,,Matz Sels,GK
2014-2015,22,Gent,be BEL,1. Pro League,1st,39.0,0,0,,,,,,,,,,,,,,,Matz Sels,GK
2015-2016,23,Gent,be BEL,1. Pro League,3rd,40.0,0,0,,0,,,,,,,,,,,,,Matz Sels,GK
2016-2017,24,Newcastle Utd,eng ENG,2. Championship,1st,9.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Matz Sels,GK
2017-2018,25,Anderlecht,be BEL,1. First Division A,3rd,32.0,1,0,0,0,13,0,0,1,0,0,0,0,32,5,1,83.3,Matz Sels,GK
2018-2019,26,Strasbourg,fr FRA,1. Ligue 1,11th,37.0,2,0,0,1,6,0,0,1,0,0,0,0,27,15,0,100.0,Matz Sels,GK
2019-2020,27,Strasbourg,fr FRA,1. Ligue 1,10th,27.0,0,0,0,1,5,0,0,1,0,0,0,0,21,7,1,87.5,Matz Sels,GK
2020-2021,28,Strasbourg,fr FRA,1. Ligue 1,15th,6.0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0,Matz Sels,GK
2021-2022,29,Strasbourg,fr FRA,1. Ligue 1,6th,37.0,1,0,0,1,3,0,0,1,1,0,0,0,44,11,0,100.0,Matz Sels,GK
2022-2023,30,Strasbourg,fr FRA,1. Ligue 1,15th,38.0,2,0,0,0,3,0,0,4,3,0,0,0,29,9,0,100.0,Matz Sels,GK
2023-2024,31,Strasbourg,fr FRA,1. Ligue 1,13th,19.0,2,0,0,0,3,0,0,0,0,0,0,0,13,4,0,100.0,Matz Sels,GK
2023-2024,31,Nott'ham Forest,eng ENG,1. Premier League,17th,16.0,1,0,0,0,3,0,0,0,0,0,0,0,4,3,0,100.0,Matz Sels,GK
2024-2025,32,Nott'ham Forest,eng ENG,1. Premier League,3rd,19.0,2,0,0,0,6,0,0,0,1,0,0,0,7,10,0,100.0,Matz Sels,GK
2016-2017,19,Chelsea,eng ENG,1. Premier League,1st,0.3,0,0,0,0,1,0,0,0,0,0,0,0,,,,,Ola Aina,DF
2016-2017,19,Chelsea,eng ENG,Jr. PL2 — Div. 1,5th,3.0,0,0,0,,,,,,,,,0,,,,,Ola Aina,DF
2017-2018,20,Hull City,eng ENG,2. Championship,18th,42.5,3,0,0,45,57,2,98,88,63,1,0,0,,,,,Ola Aina,DF
2018-2019,21,Torino,it ITA,1. Serie A,7th,24.0,5,1,0,31,38,4,63,39,36,0,0,0,167,41,29,58.6,Ola Aina,DF
2019-2020,22,Torino,it ITA,1. Serie A,16th,23.1,8,0,0,25,36,2,62,41,24,0,0,0,130,28,26,51.9,Ola Aina,DF
2020-2021,23,Fulham,eng ENG,1. Premier League,18th,29.6,3,0,0,32,25,2,52,45,20,0,0,0,147,31,36,46.3,Ola Aina,DF
2021-2022,24,Torino,it ITA,1. Serie A,10th,16.0,4,0,0,18,28,1,34,28,19,0,0,0,101,17,25,40.5,Ola Aina,DF
2022-2023,25,Torino,it ITA,1. Serie A,10th,9.7,5,0,0,16,16,1,35,11,13,0,1,0,62,12,10,54.5,Ola Aina,DF
2023-2024,26,Nott'ham Forest,eng ENG,1. Premier League,17th,18.8,3,0,0,18,25,2,28,18,31,0,1,0,97,16,12,57.1,Ola Aina,DF
2024-2025,27,Nott'ham Forest,eng ENG,1. Premier League,3rd,18.3,2,0,0,13,21,1,30,24,28,0,0,0,109,6,13,31.6,Ola Aina,DF
2015-2016,17,Partizan,rs SRB,1. SuperLiga,2nd,3.3,0,1,,,,,,,,,,,,,,,Nikola Milenković,DF
2016-2017,18,Partizan,rs SRB,1. SuperLiga,1st,32.0,6,0,0,,0,0,0,0,0,0,0,0,,,,,Nikola Milenković,DF
2017-2018,19,Fiorentina,it ITA,1. Serie A,8th,13.9,1,2,1,24,7,0,2,23,25,0,0,0,45,39,14,73.6,Nikola Milenković,DF
2018-2019,20,Fiorentina,it ITA,1. Serie A,16th,33.4,8,1,1,60,19,2,21,48,40,0,0,0,144,107,66,61.8,Nikola Milenković,DF
2019-2020,21,Fiorentina,it ITA,1. Serie A,10th,36.2,9,0,0,61,17,1,3,29,25,0,0,0,151,77,30,72.0,Nikola Milenković,DF
2020-2021,22,Fiorentina,it ITA,1. Serie A,13th,33.7,7,1,0,56,16,0,6,44,29,0,1,0,148,101,30,77.1,Nikola Milenković,DF
2021-2022,23,Fiorentina,it ITA,1. Serie A,7th,32.5,10,1,1,48,21,0,2,39,32,0,1,0,172,98,32,75.4,Nikola Milenković,DF
2022-2023,24,Fiorentina,it ITA,1. Serie A,8th,23.7,4,0,0,39,21,0,0,22,25,0,0,1,127,73,30,70.9,Nikola Milenković,DF
2023-2024,25,Fiorentina,it ITA,1. Serie A,8th,27.9,4,0,0,30,23,0,0,27,21,0,1,0,108,111,28,79.9,Nikola Milenković,DF
2024-2025,26,Nott'ham Forest,eng ENG,1. Premier League,3rd,18.0,2,0,0,9,3,1,0,15,14,0,0,0,41,47,23,67.1,Nikola Milenković,DF
2023-2024,21,Nott'ham Forest,eng ENG,1. Premier League,17th,31.0,5,0,0,38,7,0,4,37,31,0,0,1,146,38,40,48.7,Murillo,DF
2024-2025,22,Nott'ham Forest,eng ENG,1. Premier League,3rd,17.7,4,0,0,13,2,0,4,14,16,0,1,0,60,19,12,61.3,Murillo,DF
2008-2009,16,West Brom,eng ENG,1. Premier League,20th,0.2,0,0,,0,,,,,,,,,,,,,Chris Wood,FW
2009-2010,17,West Brom,eng ENG,2. Championship,2nd,7.9,0,0,,6,,,,,,,,,,,,,Chris Wood,FW
2010-2011,18,West Brom,eng ENG,1. Premier League,11th,0.1,0,0,,0,,,,,,,,,,,,,Chris Wood,FW
2010-2011,18,Barnsley,eng ENG,2. Championship,17th,3.0,0,0,,7,,,,,,,,,,,,,Chris Wood,FW
2010-2011,18,Brighton,eng ENG,3. League One,1st,20.0,1,0,,13,,,,,,,,,,,,,Chris Wood,FW
2011-2012,19,Bristol City,eng ENG,2. Championship,20th,13.0,0,0,,13,,,,,,,,,,,,,Chris Wood,FW
2011-2012,19,Birmingham City,eng ENG,2. Championship,4th,12.8,0,0,,13,,,,,,,,,,,,,Chris Wood,FW
2012-2013,20,Millwall,eng ENG,2. Championship,20th,17.7,1,0,,29,,,,,,,,,,,,,Chris Wood,FW
2012-2013,20,Leicester City,eng ENG,2. Championship,6th,18.1,0,0,,28,,,,,,,,,,,,,Chris Wood,FW
2013-2014,21,Leicester City,eng ENG,2. Championship,1st,10.3,0,0,,12,,,,,,,,,,,,,Chris Wood,FW
2014-2015,22,Leicester City,eng ENG,1. Premier League,14th,1.3,0,0,,5,,,,,,,,,,,,,Chris Wood,FW
2014-2015,22,Ipswich Town,eng ENG,2. Championship,6th,3.0,0,0,,8,,,,,,,,,,,,,Chris Wood,FW
2015-2016,23,Leeds United,eng ENG,2. Championship,13th,32.0,1,0,,37,,,,,,,,,,,,,Chris Wood,FW
2016-2017,24,Leeds United,eng ENG,2. Championship,7th,40.2,2,0,0,64,0,0,0,0,0,0,0,0,,,,,Chris Wood,FW
2017-2018,25,Leeds United,eng ENG,2. Championship,13th,3.0,0,0,0,4,1,5,0,0,0,0,0,0,,,,,Chris Wood,FW
2017-2018,25,Burnley,eng ENG,1. Premier League,7th,18.0,1,0,0,18,16,27,5,0,3,0,0,0,46,83,104,44.4,Chris Wood,FW
2018-2019,26,Burnley,eng ENG,1. Premier League,15th,28.8,2,0,0,26,24,53,12,3,8,0,0,0,89,129,168,43.4,Chris Wood,FW
2019-2020,27,Burnley,eng ENG,1. Premier League,10th,27.1,1,0,0,34,28,35,8,4,4,0,0,1,50,117,183,39.0,Chris Wood,FW
2020-2021,28,Burnley,eng ENG,1. Premier League,17th,30.5,0,0,0,38,22,24,7,1,7,1,0,0,55,153,193,44.2,Chris Wood,FW
2021-2022,29,Burnley,eng ENG,1. Premier League,18th,15.2,1,0,0,14,7,16,5,0,5,0,0,0,23,92,91,50.3,Chris Wood,FW
2021-2022,29,Newcastle Utd,eng ENG,1. Premier League,11th,14.7,0,0,0,19,10,10,2,2,0,1,0,0,23,112,100,52.8,Chris Wood,FW
2022-2023,30,Newcastle Utd,eng ENG,1. Premier League,4th,5.0,0,0,0,4,4,3,0,1,4,0,0,0,17,23,23,50.0,Chris Wood,FW
2022-2023,30,Nott'ham Forest,eng ENG,1. Premier League,16th,4.1,0,0,0,2,3,3,0,1,0,0,0,0,4,19,24,44.2,Chris Wood,FW
2023-2024,31,Nott'ham Forest,eng ENG,1. Premier League,17th,20.1,0,0,0,22,13,7,2,1,4,0,1,0,46,72,96,42.9,Chris Wood,FW
2024-2025,32,Nott'ham Forest,eng ENG,1. Premier League,3rd,16.5,1,0,0,11,11,17,1,4,1,0,0,0,24,50,72,41.0,Chris Wood,FW
2017-2018,16,Chelsea,eng ENG,Jr. PL2 — Div. 1,8th,8.2,0,0,0,,,,,,,,,0,,,,,Callum Hudson-Odoi,"FW,MF"
2017-2018,16,Chelsea,eng ENG,1. Premier League,5th,0.3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,Callum Hudson-Odoi,"FW,MF"
2018-2019,17,Chelsea,eng ENG,Jr. PL2 — Div. 1,6th,5.0,0,0,0,,,,,,,,,0,,,,,Callum Hudson-Odoi,"FW,MF"
2018-2019,17,Chelsea,eng ENG,1. Premier League,3rd,4.4,0,0,0,1,6,3,22,3,6,0,0,0,27,2,2,50.0,Callum Hudson-Odoi,"FW,MF"
2019-2020,18,Chelsea,eng ENG,Jr. PL2 — Div. 1,1st,1.5,0,0,0,,,,,,,,,0,,,,,Callum Hudson-Odoi,"FW,MF"
2019-2020,18,Chelsea,eng ENG,1. Premier League,4th,9.6,1,0,0,11,13,3,63,5,4,0,0,0,32,2,11,15.4,Callum Hudson-Odoi,"FW,MF"
2020-2021,19,Chelsea,eng ENG,1. Premier League,4th,11.8,0,0,0,11,8,5,58,6,15,0,0,0,47,1,9,10.0,Callum Hudson-Odoi,"FW,MF"
2021-2022,20,Chelsea,eng ENG,1. Premier League,3rd,10.7,1,0,0,10,17,4,32,2,10,1,0,0,39,4,8,33.3,Callum Hudson-Odoi,"FW,MF"
2022-2023,21,Leverkusen,de GER,1. Bundesliga,6th,6.7,0,0,0,2,20,2,12,2,3,0,0,0,26,0,5,0.0,Callum Hudson-Odoi,"FW,MF"
2023-2024,22,Nott'ham Forest,eng ENG,1. Premier League,17th,20.6,0,0,0,14,30,9,74,7,8,1,0,0,98,2,7,22.2,Callum Hudson-Odoi,"FW,MF"
2024-2025,23,Nott'ham Forest,eng ENG,1. Premier League,3rd,14.6,1,0,0,7,12,6,47,10,9,1,0,0,45,0,9,0.0,Callum Hudson-Odoi,"FW,MF"
2016-2017,16,Wolves,eng ENG,2. Championship,15th,2.2,0,0,0,5,0,0,0,0,0,0,0,0,,,,,Morgan Gibbs-White,MF
2017-2018,17,Wolves,eng ENG,Jr. PL2 — Div. 2,9th,1.4,0,0,0,,,,,,,,,0,,,,,Morgan Gibbs-White,MF
2017-2018,17,Wolves,eng ENG,2. Championship,1st,2.8,0,0,0,4,5,1,3,2,2,0,0,0,,,,,Morgan Gibbs-White,MF
2018-2019,18,Wolves,eng ENG,1. Premier League,7th,7.4,1,0,0,8,6,2,17,1,3,0,0,0,42,12,18,40.0,Morgan Gibbs-White,MF
2019-2020,19,Wolves,eng ENG,Jr. PL2 — Div. 1,12th,0.4,0,0,0,,,,,,,,,0,,,,,Morgan Gibbs-White,MF
2019-2020,19,Wolves,eng ENG,1. Premier League,7th,1.4,0,0,0,2,1,0,2,2,0,0,0,0,6,4,2,66.7,Morgan Gibbs-White,MF
2020-2021,20,Swansea City,eng ENG,2. Championship,4th,3.5,0,0,0,3,3,1,17,2,1,0,0,0,22,8,13,38.1,Morgan Gibbs-White,MF
2020-2021,20,Wolves,eng ENG,1. Premier League,13th,4.6,1,0,0,5,10,1,11,3,7,0,0,0,27,2,7,22.2,Morgan Gibbs-White,MF
2021-2022,21,Sheffield Utd,eng ENG,2. Championship,5th,31.8,8,1,1,34,46,17,80,11,16,0,0,0,157,54,105,34.0,Morgan Gibbs-White,MF
2021-2022,21,Wolves,eng ENG,1. Premier League,10th,0.1,1,0,0,2,0,0,1,0,0,0,0,0,2,0,2,0.0,Morgan Gibbs-White,MF
2022-2023,22,Wolves,eng ENG,1. Premier League,13th,2.0,1,0,0,3,3,0,8,1,1,0,0,0,14,2,5,28.6,Morgan Gibbs-White,MF
2022-2023,22,Nott'ham Forest,eng ENG,1. Premier League,16th,33.0,5,0,0,32,28,6,161,14,14,0,0,0,147,56,109,33.9,Morgan Gibbs-White,MF
2023-2024,23,Nott'ham Forest,eng ENG,1. Premier League,17th,35.1,9,0,0,37,57,6,182,17,24,0,0,0,179,60,68,46.9,Morgan Gibbs-White,MF
2024-2025,24,Nott'ham Forest,eng ENG,1. Premier League,3rd,12.9,6,1,1,23,16,3,11,10,8,0,0,0,62,18,24,42.9,Morgan Gibbs-White,MF
