Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2012-2013,20,Lierse,be BEL,1. Pro League,14th,30.0,,,,,,,,,,,,,,,,Matz Sels,GK
2013-2014,21,Gent,be BEL,1. Pro League,7th,15.0,,,,,,,,,,,,,,,,Matz Sels,GK
2014-2015,22,Gent,be BEL,1. Pro League,1st,39.0,,,,,,,,,,,,,,,,Matz Sels,GK
2015-2016,23,Gent,be BEL,1. Pro League,3rd,40.0,,,,,,,,,,,,,,,,Matz Sels,GK
2016-2017,24,Newcastle Utd,eng ENG,2. Championship,1st,9.0,,,,,,,0,,,,,,,,,Matz Sels,GK
2017-2018,25,Anderlecht,be BEL,1. First Division A,3rd,32.0,913,575,337,107,0,1,0,0,0,0,0,0,615,1,0,Matz Sels,GK
2018-2019,26,Strasbourg,fr FRA,1. Ligue 1,11th,37.0,1147,722,420,92,0,2,0,1,0,0,0,0,728,5,0,Matz Sels,GK
2019-2020,27,Strasbourg,fr FRA,1. Ligue 1,10th,27.0,854,578,274,73,0,4,0,0,0,0,0,0,580,2,1,Matz Sels,GK
2020-2021,28,Strasbourg,fr FRA,1. Ligue 1,15th,6.0,174,108,66,16,0,1,0,0,0,0,0,0,108,0,0,Matz Sels,GK
2021-2022,29,Strasbourg,fr FRA,1. Ligue 1,6th,37.0,960,659,298,59,0,3,0,0,0,0,0,0,696,3,0,Matz Sels,GK
2022-2023,30,Strasbourg,fr FRA,1. Ligue 1,15th,38.0,973,679,292,95,0,0,0,1,0,0,0,0,636,2,0,Matz Sels,GK
2023-2024,31,Strasbourg,fr FRA,1. Ligue 1,13th,19.0,619,452,166,53,0,0,0,0,0,0,0,0,452,1,0,Matz Sels,GK
2023-2024,31,Nott'ham Forest,eng ENG,1. Premier League,17th,16.0,378,254,122,29,0,0,0,0,0,0,0,0,263,2,0,Matz Sels,GK
2024-2025,32,Nott'ham Forest,eng ENG,1. Premier League,3rd,19.0,504,311,187,52,0,0,0,0,0,0,0,0,259,6,0,Matz Sels,GK
2016-2017,19,Chelsea,eng ENG,1. Premier League,1st,0.3,,,,,,,0,,,,,,,,,Ola Aina,DF
2016-2017,19,Chelsea,eng ENG,Jr. PL2 — Div. 1,5th,3.0,,,,,,,,,,,,,,,,Ola Aina,DF
2017-2018,20,Hull City,eng ENG,2. Championship,18th,42.5,,,,,,,98,,,,,,,,,Ola Aina,DF
2018-2019,21,Torino,it ITA,1. Serie A,7th,24.0,1178,919,257,18,2,7,63,238,1,0,0,0,861,2,44,Ola Aina,DF
2019-2020,22,Torino,it ITA,1. Serie A,16th,23.1,1185,936,243,14,1,5,62,225,4,0,0,0,862,6,27,Ola Aina,DF
2020-2021,23,Fulham,eng ENG,1. Premier League,18th,29.6,1769,1486,282,28,0,13,52,254,0,0,0,0,1352,1,34,Ola Aina,DF
2021-2022,24,Torino,it ITA,1. Serie A,10th,16.0,755,600,151,9,1,0,34,142,0,0,0,0,535,4,30,Ola Aina,DF
2022-2023,25,Torino,it ITA,1. Serie A,10th,9.7,544,432,108,8,0,3,35,97,3,0,0,0,402,4,17,Ola Aina,DF
2023-2024,26,Nott'ham Forest,eng ENG,1. Premier League,17th,18.8,802,649,150,12,2,2,28,138,0,0,0,0,603,3,17,Ola Aina,DF
2024-2025,27,Nott'ham Forest,eng ENG,1. Premier League,3rd,18.3,780,626,152,9,0,3,30,143,0,0,0,0,580,2,20,Ola Aina,DF
2015-2016,17,Partizan,rs SRB,1. SuperLiga,2nd,3.3,,,,,,,,,,,,,,,,Nikola Milenković,DF
2016-2017,18,Partizan,rs SRB,1. SuperLiga,1st,32.0,,,,,,,0,,,,,,,,,Nikola Milenković,DF
2017-2018,19,Fiorentina,it ITA,1. Serie A,8th,13.9,796,710,85,16,0,1,2,69,0,0,0,0,669,1,8,Nikola Milenković,DF
2018-2019,20,Fiorentina,it ITA,1. Serie A,16th,33.4,1841,1619,219,49,1,21,21,170,0,0,0,0,1465,3,26,Nikola Milenković,DF
2019-2020,21,Fiorentina,it ITA,1. Serie A,10th,36.2,1776,1651,123,56,0,23,3,67,0,0,0,0,1542,2,17,Nikola Milenković,DF
2020-2021,22,Fiorentina,it ITA,1. Serie A,13th,33.7,1686,1527,156,63,0,21,6,93,0,0,0,0,1435,3,17,Nikola Milenković,DF
2021-2022,23,Fiorentina,it ITA,1. Serie A,7th,32.5,2098,2019,78,73,0,38,2,5,0,0,0,0,1877,1,12,Nikola Milenković,DF
2022-2023,24,Fiorentina,it ITA,1. Serie A,8th,23.7,1292,1245,43,38,0,10,0,5,0,0,0,0,1107,4,9,Nikola Milenković,DF
2023-2024,25,Fiorentina,it ITA,1. Serie A,8th,27.9,1584,1540,40,36,0,15,0,3,0,0,0,0,1341,4,14,Nikola Milenković,DF
2024-2025,26,Nott'ham Forest,eng ENG,1. Premier League,3rd,18.0,496,471,18,18,0,1,0,0,0,0,0,0,412,7,1,Nikola Milenković,DF
2023-2024,21,Nott'ham Forest,eng ENG,1. Premier League,17th,31.0,1460,1378,73,42,6,18,4,3,0,0,0,0,1123,9,12,Murillo,DF
2024-2025,22,Nott'ham Forest,eng ENG,1. Premier League,3rd,17.7,701,616,81,47,5,9,4,0,0,0,0,0,559,4,4,Murillo,DF
2008-2009,16,West Brom,eng ENG,1. Premier League,20th,0.2,,,,,,,,,,,,,,,,Chris Wood,FW
2009-2010,17,West Brom,eng ENG,2. Championship,2nd,7.9,,,,,,,,,,,,,,,,Chris Wood,FW
2010-2011,18,West Brom,eng ENG,1. Premier League,11th,0.1,,,,,,,,,,,,,,,,Chris Wood,FW
2010-2011,18,Barnsley,eng ENG,2. Championship,17th,3.0,,,,,,,,,,,,,,,,Chris Wood,FW
2010-2011,18,Brighton,eng ENG,3. League One,1st,20.0,,,,,,,,,,,,,,,,Chris Wood,FW
2011-2012,19,Bristol City,eng ENG,2. Championship,20th,13.0,,,,,,,,,,,,,,,,Chris Wood,FW
2011-2012,19,Birmingham City,eng ENG,2. Championship,4th,12.8,,,,,,,,,,,,,,,,Chris Wood,FW
2012-2013,20,Millwall,eng ENG,2. Championship,20th,17.7,,,,,,,,,,,,,,,,Chris Wood,FW
2012-2013,20,Leicester City,eng ENG,2. Championship,6th,18.1,,,,,,,,,,,,,,,,Chris Wood,FW
2013-2014,21,Leicester City,eng ENG,2. Championship,1st,10.3,,,,,,,,,,,,,,,,Chris Wood,FW
2014-2015,22,Leicester City,eng ENG,1. Premier League,14th,1.3,,,,,,,,,,,,,,,,Chris Wood,FW
2014-2015,22,Ipswich Town,eng ENG,2. Championship,6th,3.0,,,,,,,,,,,,,,,,Chris Wood,FW
2015-2016,23,Leeds United,eng ENG,2. Championship,13th,32.0,,,,,,,,,,,,,,,,Chris Wood,FW
2016-2017,24,Leeds United,eng ENG,2. Championship,7th,40.2,,,,,,,0,,,,,,,,,Chris Wood,FW
2017-2018,25,Leeds United,eng ENG,2. Championship,13th,3.0,,,,,,,0,,,,,,,,,Chris Wood,FW
2017-2018,25,Burnley,eng ENG,1. Premier League,7th,18.0,424,417,3,0,1,2,5,0,0,0,0,0,250,4,9,Chris Wood,FW
2018-2019,26,Burnley,eng ENG,1. Premier League,15th,28.8,613,601,10,1,4,2,12,0,0,0,0,0,390,2,16,Chris Wood,FW
2019-2020,27,Burnley,eng ENG,1. Premier League,10th,27.1,474,468,2,0,1,2,8,2,0,0,0,0,290,4,7,Chris Wood,FW
2020-2021,28,Burnley,eng ENG,1. Premier League,17th,30.5,663,659,1,1,0,2,7,0,0,0,0,0,425,3,18,Chris Wood,FW
2021-2022,29,Burnley,eng ENG,1. Premier League,18th,15.2,310,307,2,0,0,2,5,0,1,1,0,0,178,1,12,Chris Wood,FW
2021-2022,29,Newcastle Utd,eng ENG,1. Premier League,11th,14.7,327,322,2,0,1,1,2,0,0,0,0,0,169,3,11,Chris Wood,FW
2022-2023,30,Newcastle Utd,eng ENG,1. Premier League,4th,5.0,106,105,1,0,0,0,0,0,0,0,0,0,66,0,1,Chris Wood,FW
2022-2023,30,Nott'ham Forest,eng ENG,1. Premier League,16th,4.1,71,71,0,0,1,1,0,0,0,0,0,0,43,0,0,Chris Wood,FW
2023-2024,31,Nott'ham Forest,eng ENG,1. Premier League,17th,20.1,433,428,5,0,1,1,2,0,0,0,0,0,278,0,12,Chris Wood,FW
2024-2025,32,Nott'ham Forest,eng ENG,1. Premier League,3rd,16.5,248,246,0,0,0,1,1,0,0,0,0,0,156,2,4,Chris Wood,FW
