Season,Age,Squad,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Player,Position
2012-2013,20,Lierse,be BEL,1. Pro League,14th,30,2700,90,83.3,30.0,30,,,0,,,,,,,,,,,,,,Matz Sels,GK
2013-2014,21,Gent,be BEL,1. Pro League,7th,15,1350,90,41.7,15.0,15,,,0,,,,,,,,,,,,,,Matz Sels,GK
2014-2015,22,Gent,be BEL,1. Pro League,1st,39,3510,90,97.5,39.0,39,,38,0,,1,1.97,69,38,+31,+0.79,+1.79,,,,,,Matz Sels,GK
2015-2016,23,Gent,be BEL,1. Pro League,3rd,40,3600,90,100.0,40.0,40,,40,0,,0,1.80,66,44,+22,+0.55,,,,,,,Matz Sels,GK
2016-2017,24,Newcastle Utd,eng ENG,2. Championship,1st,9,810,90,19.6,9.0,9,,9,0,,19,1.78,17,7,+10,+1.11,+0.17,,,,,,Matz Sels,GK
2017-2018,25,Anderlecht,be BEL,1. First Division A,3rd,32,2880,90,80.0,32.0,32,,32,0,,8,1.53,45,44,+1,+0.03,-0.34,53.0,42.3,+10.7,+0.34,-0.36,Matz Sels,GK
2018-2019,26,Strasbourg,fr FRA,1. Ligue 1,11th,37,3330,90,97.4,37.0,37,90,37,0,,1,1.24,57,48,+9,+0.24,-0.76,40.4,49.5,-9.1,-0.25,+0.53,Matz Sels,GK
2019-2020,27,Strasbourg,fr FRA,1. Ligue 1,10th,27,2430,90,100.0,27.0,27,90,27,0,,0,1.41,32,32,0,0.00,,34.2,32.2,+2.0,+0.07,,Matz Sels,GK
2020-2021,28,Strasbourg,fr FRA,1. Ligue 1,15th,6,540,90,15.8,6.0,6,90,6,0,,2,0.83,9,13,-4,-0.67,-0.51,8.0,7.8,+0.2,+0.03,-0.03,Matz Sels,GK
2021-2022,29,Strasbourg,fr FRA,1. Ligue 1,6th,37,3330,90,97.4,37.0,37,90,37,0,,0,1.62,58,43,+15,+0.41,-1.59,53.0,43.2,+9.8,+0.27,-2.01,Matz Sels,GK
2022-2023,30,Strasbourg,fr FRA,1. Ligue 1,15th,38,3420,90,100.0,38.0,38,90,38,0,,0,1.05,51,59,-8,-0.21,,48.5,55.3,-6.7,-0.18,,Matz Sels,GK
2023-2024,31,Strasbourg,fr FRA,1. Ligue 1,13th,19,1710,90,55.9,19.0,19,90,19,0,,0,1.32,20,24,-4,-0.21,+0.32,21.2,23.3,-2.1,-0.11,0.00,Matz Sels,GK
2023-2024,31,Nott'ham Forest,eng ENG,1. Premier League,17th,16,1440,90,42.1,16.0,16,90,16,0,,0,1.00,22,27,-5,-0.31,+0.28,24.5,20.2,+4.3,+0.27,+0.61,Matz Sels,GK
2024-2025,32,Nott'ham Forest,eng ENG,1. Premier League,3rd,19,1710,90,100.0,19.0,19,90,19,0,,0,1.95,26,19,+7,+0.37,,23.3,19.8,+3.5,+0.19,,Matz Sels,GK
2015-2016,18,Chelsea,eng ENG,1. Premier League,10th,0,,,,,0,,0,0,,1,,,,,,,,,,,,Ola Aina,DF
2016-2017,19,Chelsea,eng ENG,1. Premier League,1st,3,26,9,0.8,0.3,0,,0,3,,8,3.00,2,0,+2,+6.92,+5.60,,,,,,Ola Aina,DF
2016-2017,19,Chelsea,eng ENG,Jr. PL2 — Div. 1,5th,3,270,90,13.6,3.0,3,90,3,0,,0,1.00,7,10,-3,-1.00,-1.58,,,,,,Ola Aina,DF
