Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,Position
2012-2013,20,Lierse,be BEL,1. Pro League,14th,30.0,,,,,,,,,,,,,,,,,,,,,,,Matz Sels,GK
2013-2014,21,Gent,be BEL,1. Pro League,7th,15.0,,,,,,,,,,,,,,,,,,,,,,,Matz Sels,GK
2014-2015,22,Gent,be BEL,1. Pro League,1st,39.0,,,,,,,,,,,,,,,,,,,,,,,Matz Sels,GK
2015-2016,23,Gent,be BEL,1. Pro League,3rd,40.0,,,,,,,,,,,,,,,,,,,,,,,Matz Sels,GK
2016-2017,24,Newcastle Utd,eng ENG,2. Championship,1st,9.0,,,,,,,,,,,,,,,,,,,,,,,Matz Sels,GK
2017-2018,25,Anderlecht,be BEL,1. First Division A,3rd,32.0,994,857,990,4,0,0,994,0,0,,0,,389,2395,1633,0,0,0,1,0,299,0,Matz Sels,GK
2018-2019,26,Strasbourg,fr FRA,1. Ligue 1,11th,37.0,1243,1099,1238,5,0,0,1243,0,0,,0,,561,3099,2130,0,0,0,1,0,450,0,Matz Sels,GK
2019-2020,27,Strasbourg,fr FRA,1. Ligue 1,10th,27.0,906,803,903,3,0,0,906,0,0,,0,,465,2520,1708,0,0,0,0,0,363,0,Matz Sels,GK
2020-2021,28,Strasbourg,fr FRA,1. Ligue 1,15th,6.0,188,165,188,0,0,0,188,0,0,,0,,87,496,237,0,0,0,0,0,66,0,Matz Sels,GK
2021-2022,29,Strasbourg,fr FRA,1. Ligue 1,6th,37.0,1029,905,1024,2,3,3,1029,0,0,,0,,586,2858,1747,0,0,0,1,0,435,0,Matz Sels,GK
2022-2023,30,Strasbourg,fr FRA,1. Ligue 1,15th,38.0,1082,936,1076,8,0,0,1082,0,0,,0,,685,3758,2281,0,0,0,1,0,432,0,Matz Sels,GK
2023-2024,31,Strasbourg,fr FRA,1. Ligue 1,13th,19.0,664,582,657,7,0,0,664,0,0,,0,,452,2379,1252,0,0,0,0,0,345,0,Matz Sels,GK
2023-2024,31,Nott'ham Forest,eng ENG,1. Premier League,17th,16.0,409,334,404,5,0,0,409,0,0,,0,,213,1145,657,0,0,0,0,0,178,0,Matz Sels,GK
2024-2025,32,Nott'ham Forest,eng ENG,1. Premier League,3rd,19.0,550,410,540,10,0,0,550,0,0,,0,,283,1645,853,0,0,0,0,0,224,0,Matz Sels,GK
2016-2017,19,Chelsea,eng ENG,1. Premier League,1st,0.3,,,,,,,,,,,,,,,,,,,,,,,Ola Aina,DF
2016-2017,19,Chelsea,eng ENG,Jr. PL2 — Div. 1,5th,3.0,,,,,,,,,,,,,,,,,,,,,,,Ola Aina,DF
2017-2018,20,Hull City,eng ENG,2. Championship,18th,42.5,,,,,,,,,,,,,,,,,,,,,,,Ola Aina,DF
2018-2019,21,Torino,it ITA,1. Serie A,7th,24.0,1497,63,382,699,444,35,1497,61,30,49.2,31,50.8,658,4369,2412,62,56,6,35,23,761,96,Ola Aina,DF
2019-2020,22,Torino,it ITA,1. Serie A,16th,23.1,1478,70,422,679,399,27,1478,78,47,60.3,31,39.7,718,4943,2913,86,51,8,32,21,817,80,Ola Aina,DF
2020-2021,23,Fulham,eng ENG,1. Premier League,18th,29.6,2052,105,781,957,330,17,2052,33,21,63.6,12,36.4,1070,5595,3024,63,40,5,27,10,1254,50,Ola Aina,DF
2021-2022,24,Torino,it ITA,1. Serie A,10th,16.0,950,48,227,441,294,27,950,40,18,45.0,22,55.0,483,2872,1398,42,34,7,32,10,530,78,Ola Aina,DF
2022-2023,25,Torino,it ITA,1. Serie A,10th,9.7,679,20,146,294,250,13,679,49,23,46.9,20,40.8,361,2268,1112,35,26,4,15,8,390,43,Ola Aina,DF
2023-2024,26,Nott'ham Forest,eng ENG,1. Premier League,17th,18.8,1019,62,340,462,228,13,1019,45,27,60.0,14,31.1,494,3139,1830,53,29,11,24,10,539,38,Ola Aina,DF
2024-2025,27,Nott'ham Forest,eng ENG,1. Premier League,3rd,18.3,981,79,354,407,240,14,981,35,18,51.4,11,31.4,439,2855,1694,38,27,7,25,12,461,33,Ola Aina,DF
2015-2016,17,Partizan,rs SRB,1. SuperLiga,2nd,3.3,,,,,,,,,,,,,,,,,,,,,,,Nikola Milenković,DF
2016-2017,18,Partizan,rs SRB,1. SuperLiga,1st,32.0,,,,,,,,,,,,,,,,,,,,,,,Nikola Milenković,DF
2017-2018,19,Fiorentina,it ITA,1. Serie A,8th,13.9,962,66,386,507,70,9,962,2,2,100.0,0,0.0,470,2101,1330,13,6,0,3,3,567,5,Nikola Milenković,DF
2018-2019,20,Fiorentina,it ITA,1. Serie A,16th,33.4,2207,164,785,1194,242,28,2207,13,11,84.6,2,15.4,1060,4910,2875,38,22,0,20,8,1257,27,Nikola Milenković,DF
2019-2020,21,Fiorentina,it ITA,1. Serie A,10th,36.2,2106,260,1001,997,131,34,2106,9,7,77.8,2,22.2,1184,6949,4503,44,25,1,20,8,1329,7,Nikola Milenković,DF
2020-2021,22,Fiorentina,it ITA,1. Serie A,13th,33.7,2001,214,856,997,164,29,2001,11,8,72.7,3,27.3,973,4946,3011,25,23,1,13,4,1161,16,Nikola Milenković,DF
2021-2022,23,Fiorentina,it ITA,1. Serie A,7th,32.5,2373,227,1171,1137,86,28,2373,2,2,100.0,0,0.0,1412,5908,3240,13,11,1,11,4,1634,8,Nikola Milenković,DF
2022-2023,24,Fiorentina,it ITA,1. Serie A,8th,23.7,1520,143,743,710,74,35,1520,0,0,,0,,816,3547,1782,9,10,0,7,0,902,3,Nikola Milenković,DF
2023-2024,25,Fiorentina,it ITA,1. Serie A,8th,27.9,1810,160,941,803,67,28,1810,3,2,66.7,1,33.3,1004,4636,2412,8,12,1,6,2,1193,10,Nikola Milenković,DF
2024-2025,26,Nott'ham Forest,eng ENG,1. Premier League,3rd,18.0,658,110,339,280,42,34,658,1,1,100.0,0,0.0,280,1146,543,2,1,1,1,2,345,3,Nikola Milenković,DF
2023-2024,21,Nott'ham Forest,eng ENG,1. Premier League,17th,31.0,1850,359,1045,731,94,30,1850,35,20,57.1,15,42.9,985,5473,3400,22,14,3,20,15,1091,7,Murillo,DF
2024-2025,22,Nott'ham Forest,eng ENG,1. Premier League,3rd,17.7,921,219,484,387,58,12,921,17,14,82.4,3,17.6,421,2090,1352,11,15,0,8,6,482,3,Murillo,DF
2008-2009,16,West Brom,eng ENG,1. Premier League,20th,0.2,,,,,,,,,,,,,,,,,,,,,,,Chris Wood,FW
2009-2010,17,West Brom,eng ENG,2. Championship,2nd,7.9,,,,,,,,,,,,,,,,,,,,,,,Chris Wood,FW
2010-2011,18,West Brom,eng ENG,1. Premier League,11th,0.1,,,,,,,,,,,,,,,,,,,,,,,Chris Wood,FW
2010-2011,18,Barnsley,eng ENG,2. Championship,17th,3.0,,,,,,,,,,,,,,,,,,,,,,,Chris Wood,FW
2010-2011,18,Brighton,eng ENG,3. League One,1st,20.0,,,,,,,,,,,,,,,,,,,,,,,Chris Wood,FW
2011-2012,19,Bristol City,eng ENG,2. Championship,20th,13.0,,,,,,,,,,,,,,,,,,,,,,,Chris Wood,FW
2011-2012,19,Birmingham City,eng ENG,2. Championship,4th,12.8,,,,,,,,,,,,,,,,,,,,,,,Chris Wood,FW
2012-2013,20,Millwall,eng ENG,2. Championship,20th,17.7,,,,,,,,,,,,,,,,,,,,,,,Chris Wood,FW
2012-2013,20,Leicester City,eng ENG,2. Championship,6th,18.1,,,,,,,,,,,,,,,,,,,,,,,Chris Wood,FW
2013-2014,21,Leicester City,eng ENG,2. Championship,1st,10.3,,,,,,,,,,,,,,,,,,,,,,,Chris Wood,FW
2014-2015,22,Leicester City,eng ENG,1. Premier League,14th,1.3,,,,,,,,,,,,,,,,,,,,,,,Chris Wood,FW
2014-2015,22,Ipswich Town,eng ENG,2. Championship,6th,3.0,,,,,,,,,,,,,,,,,,,,,,,Chris Wood,FW
2015-2016,23,Leeds United,eng ENG,2. Championship,13th,32.0,,,,,,,,,,,,,,,,,,,,,,,Chris Wood,FW
2016-2017,24,Leeds United,eng ENG,2. Championship,7th,40.2,,,,,,,,,,,,,,,,,,,,,,,Chris Wood,FW
2017-2018,25,Leeds United,eng ENG,2. Championship,13th,3.0,,,,,,,,,,,,,,,,,,,,,,,Chris Wood,FW
